Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1873,4,,,,,
1873,5,-0.082,,,,
1873,6,0.847,,,,
1873,7,0.729,,,,
1873,8,0.393,-0.075,,,
1873,9,0.097,-0.104,,,
1873,10,-0.563,-0.061,,,
1873,11,,-0.098,,,
1873,12,-0.325,-0.164,,,
1874,1,0.171,-0.224,,,
1874,2,-0.344,-0.278,,,
1874,3,-0.74,-0.292,,,
1874,4,-0.366,-0.272,,,
1874,5,-0.522,-0.295,,,
1874,6,,-0.317,,,
1874,7,0.016,-0.416,,,
1874,8,-0.255,-0.45,,,
1874,9,-0.076,-0.466,,,
1874,10,-0.316,-0.487,,,
1874,11,-0.827,-0.463,,,
1874,12,-0.593,-0.445,,,
1875,1,-1.018,-0.41,,,
1875,2,-0.746,-0.377,,,
1875,3,-0.935,-0.414,,,
1875,4,-0.614,-0.472,,,
1875,5,-0.24,-0.532,-0.357,,
1875,6,0.265,-0.589,-0.341,,
1875,7,0.435,-0.614,-0.335,,
1875,8,0.142,-0.662,-0.328,,
1875,9,-0.525,-0.703,-0.308,,
1875,10,-1.003,-0.658,-0.288,,
1875,11,-1.548,-0.703,-0.295,,
1875,12,-1.278,-0.739,-0.306,,
1876,1,-1.326,,-0.321,,
1876,2,-1.317,,-0.336,,
1876,3,-1.433,,-0.345,,
1876,4,,,-0.342,,
1876,5,-0.777,,-0.34,,
1876,6,-0.171,,-0.348,-0.503,
1876,7,,,-0.37,-0.509,
1876,8,,,-0.377,-0.515,
1876,9,,,-0.385,-0.514,
1876,10,0.081,,-0.398,-0.517,
1876,11,-0.484,,-0.406,-0.51,
1876,12,-0.726,,-0.424,-0.505,
1877,1,-0.329,,-0.444,-0.496,
1877,2,-0.491,-0.192,-0.453,-0.487,
1877,3,-0.277,-0.158,-0.466,-0.486,
1877,4,-0.481,-0.163,-0.472,-0.486,
1877,5,-0.444,-0.123,-0.475,-0.489,
1877,6,0.295,-0.091,-0.489,-0.492,
1877,7,0.333,-0.1,-0.497,-0.5,
1877,8,0.641,-0.04,-0.51,-0.507,
1877,9,-0.017,0.052,-0.525,-0.508,
1877,10,0.02,0.119,-0.539,-0.511,
1877,11,0.0,0.116,-0.56,-0.507,
1877,12,-0.339,0.104,-0.585,-0.505,
1878,1,-0.442,0.063,-0.595,-0.507,
1878,2,0.229,-0.034,-0.602,-0.512,
1878,3,0.831,-0.067,-0.606,-0.51,
1878,4,0.318,-0.101,-0.603,-0.502,
1878,5,-0.484,-0.139,-0.587,-0.502,
1878,6,0.162,-0.177,-0.575,-0.51,
1878,7,-0.16,-0.234,-0.567,-0.514,
1878,8,-0.53,-0.318,-0.552,-0.515,
1878,9,-0.417,-0.492,-0.538,-0.518,
1878,10,-0.377,-0.611,-0.546,-0.517,
1878,11,-0.463,-0.654,-0.544,-0.518,
1878,12,-0.795,-0.754,-0.565,-0.519,
1879,1,-1.12,-0.839,-0.578,-0.527,
1879,2,-0.787,-0.86,-0.581,-0.523,
1879,3,-1.247,-0.9,-0.582,-0.524,
1879,4,-1.109,-0.923,-0.593,-0.526,
1879,5,-1.002,-0.968,-0.593,-0.527,
1879,6,-1.036,-1.021,-0.585,-0.531,
1879,7,-1.189,-1.053,-0.577,-0.536,
1879,8,-0.777,-1.113,-0.568,-0.536,
1879,9,-0.902,-1.162,-0.569,-0.539,
1879,10,-0.646,-1.194,-0.572,-0.543,
1879,11,-1.0,-1.236,-0.574,-0.544,
1879,12,-1.442,-1.252,-0.589,-0.545,
1880,1,-1.498,-1.163,-0.607,-0.546,
1880,2,-1.51,-1.124,-0.63,-0.544,
1880,3,-1.838,-1.112,-0.637,-0.54,
1880,4,-1.483,-1.126,-0.648,-0.538,
1880,5,-1.515,-1.093,-0.657,-0.533,-0.492
1880,6,-1.225,-1.019,-0.67,-0.533,-0.498
1880,7,-0.125,-0.965,-0.679,-0.531,-0.503
1880,8,-0.305,-0.874,-0.697,-0.531,-0.506
1880,9,-0.754,-0.77,-0.713,-0.532,-0.509
1880,10,-0.824,-0.69,-0.716,-0.531,-0.512
1880,11,-0.593,-0.623,-0.71,-0.526,-0.514
1880,12,-0.561,-0.636,-0.714,-0.521,-0.511
1881,1,-0.854,-0.679,-0.706,-0.516,-0.509
1881,2,-0.415,-0.696,-0.694,-0.508,-0.506
1881,3,-0.59,-0.672,-0.692,-0.502,-0.508
1881,4,-0.523,-0.653,-0.692,-0.503,-0.51
1881,5,-0.703,-0.644,-0.696,-0.499,-0.511
1881,6,-1.388,-0.615,-0.691,-0.495,-0.514
1881,7,-0.641,-0.533,-0.684,-0.496,-0.519
1881,8,-0.511,-0.492,-0.669,-0.494,-0.523
1881,9,-0.459,-0.472,-0.663,-0.491,-0.524
1881,10,-0.595,-0.482,-0.654,-0.496,-0.525
1881,11,-0.491,-0.474,-0.648,-0.496,-0.523
1881,12,-0.214,-0.41,-0.639,-0.498,-0.521
1882,1,0.135,-0.417,-0.628,-0.507,-0.519
1882,2,0.075,-0.436,-0.619,-0.509,-0.518
1882,3,-0.348,-0.432,-0.612,-0.516,-0.52
