Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1849,2,-0.296,,,,
1849,3,0.012,,,,
1849,4,-0.964,-0.66,,,
1849,5,-0.994,-0.627,,,
1849,6,-0.756,-0.555,,,
1849,7,-0.524,-0.594,,,
1849,8,-0.883,-0.57,,,
1849,9,-0.795,-0.578,,,
1849,10,-0.477,-0.549,,,
1849,11,-0.413,-0.544,,,
1849,12,-0.244,-0.519,,,
1850,1,-0.796,-0.523,,,
1850,2,-0.008,-0.504,,,
1850,3,-0.077,-0.477,,,
1850,4,-0.619,-0.522,,,
1850,5,-0.941,-0.559,,,
1850,6,-0.447,-0.533,,,
1850,7,-0.574,-0.473,,,
1850,8,-0.655,-0.509,,,
1850,9,-0.478,-0.547,,,
1850,10,-1.007,-0.534,,,
1850,11,-0.862,-0.492,,,
1850,12,0.065,-0.504,,,
1851,1,-0.067,-0.474,,,
1851,2,-0.443,-0.47,,,
1851,3,-0.54,-0.469,,,
1851,4,-0.455,-0.427,,,
1851,5,-0.439,-0.43,,,
1851,6,-0.596,-0.417,,,
1851,7,-0.215,-0.425,,,
1851,8,-0.602,-0.439,,,
1851,9,-0.466,,,,
1851,10,-0.511,,,,
1851,11,-0.894,,,,
1851,12,0.218,,,,
1852,1,,,,,
1852,2,,,,,
1852,3,,,,,
1852,4,,,,,
1852,5,,,,,
1852,6,,,,,
1852,7,,,,,
1852,8,,,,,
1852,9,,,,,
1852,10,,,,,
1852,11,,,,,
1852,12,,,,,
1853,1,,,,,
1853,2,,,,,
1853,3,,,,,
1853,4,,,,,
1853,5,,,,,
1853,6,,,,,
1853,7,,,,,
1853,8,,,,,
1853,9,,,,,
1853,10,,,,,
1853,11,,,,,
1853,12,,,,,
1854,1,,,,,
1854,2,,,,,
1854,3,,,,,
1854,4,,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,,,,,
1854,9,,,,,
1854,10,,,,,
1854,11,,,,,
1854,12,,,,,
1855,1,,,,,
1855,2,,,,,
1855,3,,,,,
1855,4,,,,,
1855,5,,,,,
1855,6,,,,,
1855,7,,,,,
1855,8,,,,,
1855,9,,,,,
1855,10,,,,,
1855,11,,,,,
1855,12,,,,,
1856,1,,,,,
1856,2,,,,,
1856,3,,,,,
1856,4,,,,,
1856,5,,,,,
1856,6,,,,,
1856,7,,,,,
1856,8,,,,,
1856,9,,,,,
1856,10,,,,,
1856,11,,,,,
1856,12,,,,,
1857,1,,,,,
1857,2,,,,,
1857,3,,,,,
1857,4,,,,,
1857,5,,,,,
1857,6,,,,,
1857,7,,,,,
1857,8,,,,,
1857,9,2.309,,,,
1857,10,,,,,
1857,11,,,,,
1857,12,,,,,
1858,1,,,,,
1858,2,,,,,
1858,3,-1.084,,,,
1858,4,-0.651,,,,
1858,5,-0.753,,,,
1858,6,1.072,-0.155,,,
1858,7,0.693,-0.207,,,
1858,8,0.974,-0.182,,,
1858,9,0.98,-0.168,,,
1858,10,,0.127,,,
1858,11,-0.242,0.416,,,
1858,12,-1.532,0.485,,,
1859,1,-0.729,0.417,,,
1859,2,,,,,
1859,3,-0.908,,,,
1859,4,2.882,,,,
1859,5,2.714,,,,
1859,6,1.9,,,,
1859,7,,,,,
1859,8,,,,,
