Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1808,12,-2.767,-1.184,,,
1809,1,-2.225,-1.338,,,
1809,2,-2.547,-1.362,,,
1809,3,-1.959,-1.549,,,
1809,4,-0.035,-1.501,,,
1809,5,-2.242,-1.608,,,
1809,6,-0.25,-1.553,,,
1809,7,-1.644,-1.507,,,
1809,8,-1.001,-1.328,,,
1809,9,-0.728,-1.134,,,
1809,10,-0.688,-1.238,,,
1809,11,-3.206,-1.215,,,
1809,12,-2.113,-1.311,-1.372,,
1810,1,-1.667,-1.297,-1.364,,
1810,2,-0.403,-1.36,-1.346,,
1810,3,0.364,-1.485,-1.4,,
1810,4,-1.28,-1.676,-1.424,,
1810,5,-1.962,-1.604,-1.445,,
1810,6,-1.406,-1.52,-1.491,,
1810,7,-1.478,-1.508,-1.543,,
1810,8,-1.751,-1.736,-1.556,,
1810,9,-2.231,-1.978,-1.6,,
1810,10,-2.978,-2.063,-1.598,,
1810,11,-2.347,-2.067,-1.554,,
1810,12,-1.096,-2.088,-1.556,,
1811,1,-1.532,-2.154,-1.563,,
1811,2,-3.135,-2.014,-1.568,,
1811,3,-2.543,-1.946,-1.591,,
1811,4,-2.294,-1.872,-1.575,,
1811,5,-2.019,-1.924,-1.527,,
1811,6,-1.655,-1.872,-1.499,,
1811,7,-2.266,-1.873,-1.461,,
1811,8,-0.077,-1.889,-1.446,,
1811,9,-1.406,-1.925,-1.447,,
1811,10,-2.096,-1.836,-1.463,,
1811,11,-2.967,-1.827,-1.457,,
1811,12,-0.475,-1.797,-1.467,,
1812,1,-1.548,-1.579,-1.475,,
1812,2,-3.319,-1.482,-1.477,,
1812,3,-2.976,-1.509,-1.487,,
1812,4,-1.224,-1.463,-1.506,,
1812,5,-1.921,-1.303,-1.464,,
1812,6,-1.285,-1.434,-1.392,,
1812,7,0.341,-1.697,-1.37,,
1812,8,1.087,-1.622,-1.39,-1.347,
1812,9,-1.722,-1.72,-1.435,-1.386,
1812,10,-1.545,-1.682,-1.442,-1.408,
1812,11,-1.053,-1.484,-1.431,-1.424,
1812,12,-2.039,-1.398,-1.442,-1.448,
1813,1,-4.702,-1.447,-1.416,-1.455,
1813,2,-2.418,-1.624,-1.403,-1.468,
1813,3,-4.158,-1.468,-1.376,-1.452,
1813,4,-0.769,-1.363,-1.36,-1.43,
1813,5,0.457,-1.195,-1.346,-1.41,
1813,6,-0.249,-1.119,-1.371,-1.41,
1813,7,-0.251,-0.718,-1.349,-1.421,
1813,8,-1.04,-0.655,-1.337,-1.42,
1813,9,0.155,-0.477,-1.315,-1.443,
1813,10,-0.294,-0.498,-1.295,-1.452,
1813,11,0.967,-0.694,-1.272,-1.446,
1813,12,-1.127,-0.743,-1.272,-1.433,
1814,1,0.108,-0.896,-1.269,-1.435,
1814,2,-1.656,-0.902,-1.289,-1.42,
1814,3,-2.025,-1.026,-1.291,-1.41,
1814,4,-1.016,-1.155,-1.319,-1.419,
