Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1812,6,-0.691,,,,
1812,7,1.506,-1.984,,,
1812,8,2.074,-1.924,,,
1812,9,-2.305,-2.03,,,
1812,10,-0.705,-1.974,,,
1812,11,-1.084,,,,
1812,12,-5.391,,,,
1813,1,-6.808,,,,
1813,2,-2.902,,,,
1813,3,-3.798,,,,
1813,4,-1.137,,,,
1813,5,,,,,
1813,6,-0.49,,,,
1813,7,-1.297,,,,
1813,8,-1.29,,,,
1813,9,-0.15,,,,
1813,10,,,,,
1813,11,,,,,
1813,12,,,,,
1814,1,,,,,
1814,2,,,,,
1814,3,,,,,
1814,4,,,,,
1814,5,,,,,
1814,6,,,,,
1814,7,,,,,
1814,8,,,,,
1814,9,,,,,
1814,10,,,,,
1814,11,,,,,
1814,12,,,,,
1815,1,,,,,
1815,2,,,,,
1815,3,,,,,
1815,4,,,,,
1815,5,,,,,
1815,6,,,,,
1815,7,,,,,
1815,8,,,,,
1815,9,,,,,
1815,10,,,,,
1815,11,,,,,
1815,12,,,,,
1816,1,,,,,
1816,2,,,,,
1816,3,,,,,
1816,4,,,,,
1816,5,,,,,
1816,6,,,,,
1816,7,,,,,
1816,8,,,,,
1816,9,,,,,
1816,10,,,,,
1816,11,,,,,
1816,12,,,,,
1817,1,,,,,
1817,2,,,,,
1817,3,,,,,
1817,4,,,,,
1817,5,,,,,
1817,6,,,,,
1817,7,,,,,
1817,8,,,,,
1817,9,,,,,
1817,10,,,,,
1817,11,,,,,
1817,12,,,,,
1818,1,,,,,
1818,2,,,,,
1818,3,,,,,
1818,4,,,,,
1818,5,,,,,
1818,6,,,,,
1818,7,,,,,
1818,8,,,,,
1818,9,,,,,
1818,10,,,,,
1818,11,,,,,
1818,12,,,,,
1819,1,-1.345,,,,
1819,2,-0.555,,,,
1819,3,-0.374,,,,
1819,4,,,,,
1819,5,-1.584,,,,
1819,6,-2.064,,,,
1819,7,-2.49,,,,
1819,8,-1.994,,,,
1819,9,,,,,
1819,10,,,,,
1819,11,,,,,
1819,12,,,,,
1820,1,,,,,
1820,2,,,,,
1820,3,0.752,,,,
1820,4,,,,,
1820,5,-0.914,,,,
1820,6,,,,,
1820,7,-1.156,,,,
1820,8,-1.58,,,,
1820,9,,,,,
1820,10,-3.118,,,,
1820,11,-0.771,,,,
1820,12,,,,,
1821,1,,,,,
1821,2,0.812,,,,
1821,3,1.368,,,,
1821,4,,,,,
1821,5,,,,,
1821,6,-2.106,-0.708,,,
1821,7,-2.316,-0.708,,,
1821,8,-2.068,-0.85,,,
1821,9,-1.935,-0.932,,,
1821,10,-1.444,-0.975,,,
1821,11,-1.038,-1.137,,,
1821,12,-0.222,-1.027,,,
1822,1,1.032,-0.904,,,
1822,2,-0.884,-0.845,,,
1822,3,0.384,-0.833,,,
1822,4,-0.999,-0.837,-0.71,,
1822,5,-2.049,-0.896,-0.71,,
1822,6,,-1.217,-0.638,,
1822,7,-0.84,-1.428,-0.622,,
1822,8,-1.359,-1.323,-0.624,,
1822,9,-1.791,-1.266,-0.679,,
1822,10,-1.496,-1.284,-0.721,,
