Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,1.997,0.103,,,
1750,3,2.719,0.143,,,
1750,4,0.543,0.114,,,
1750,5,-0.475,-0.096,,,
1750,6,0.105,-0.191,,,
1750,7,1.105,-0.232,,,
1750,8,0.296,-0.65,,,
1750,9,-0.03,-0.768,,,
1750,10,-2.069,-0.927,,,
1750,11,-3.898,-0.941,,,
1750,12,-1.906,-0.975,,,
1751,1,-1.176,-1.019,,,
1751,2,-3.015,-0.983,,,
1751,3,1.309,-1.038,,,
1751,4,-1.375,-0.983,,,
1751,5,-0.633,-0.885,,,
1751,6,-0.307,-0.842,,,
1751,7,0.575,-0.781,,,
1751,8,0.723,-0.488,,,
1751,9,-0.69,-0.571,,,
1751,10,-1.402,-0.514,,,
1751,11,-2.726,-0.535,,,
1751,12,-1.393,-0.392,,,
1752,1,-0.439,-0.385,,,
1752,2,0.507,-0.471,,,
1752,3,0.303,,,,
1752,4,-0.683,,,,
1752,5,-0.89,,,,
1752,6,1.41,,,,
1752,7,0.654,,,,
1752,8,-0.3,,,,
1752,9,,,,,
1752,10,-0.459,,,,
1752,11,0.068,,,,
1752,12,-0.342,,,,
1753,1,-2.35,,,,
1753,2,-0.439,,,,
1753,3,1.326,-0.151,,,
1753,4,0.595,-0.124,,,
1753,5,0.162,-0.28,,,
1753,6,0.732,-0.399,,,
1753,7,0.208,-0.27,,,
1753,8,-1.053,-0.37,,,
1753,9,-0.259,-0.766,,,
1753,10,-0.132,-0.852,,,
1753,11,-1.812,-0.769,,,
1753,12,-1.77,-0.823,,,
1754,1,-0.802,-0.936,,,
1754,2,-1.641,-0.857,,,
1754,3,-3.415,-0.91,,,
1754,4,-0.444,-0.855,,,
1754,5,1.164,-0.685,,,
1754,6,0.082,-0.57,,,
1754,7,-1.153,-0.872,,,
1754,8,-0.104,-1.105,,,
1754,9,-0.893,-0.926,,,
1754,10,0.534,-0.64,,,
1754,11,0.228,-0.749,,,
1754,12,-0.394,-0.568,,,
1755,1,-4.423,-0.434,,,
1755,2,-4.442,-0.53,,,
1755,3,-1.262,-0.583,-0.299,,
1755,4,2.99,-0.697,-0.362,,
1755,5,-0.146,-0.804,-0.361,,
1755,6,2.249,-0.736,-0.385,,
1755,7,0.454,-0.188,-0.41,,
1755,8,-1.256,0.34,-0.419,,
1755,9,-1.522,0.485,-0.446,,
1755,10,-0.837,0.145,-0.472,,
1755,11,-1.056,0.094,-0.447,,
1755,12,0.425,0.07,-0.445,,
1756,1,2.143,0.12,-0.478,,
1756,2,1.897,0.186,-0.46,,
1756,3,0.479,0.357,-0.489,,
1756,4,-1.094,0.373,-0.528,,
1756,5,-0.758,0.249,-0.512,,
1756,6,1.964,-0.014,-0.484,,
1756,7,1.058,-0.39,-0.436,,
1756,8,-0.465,-0.521,-0.377,,
1756,9,0.529,-0.573,-0.306,,
1756,10,-0.641,-0.378,-0.294,,
1756,11,-2.551,-0.308,-0.326,,
1756,12,-2.728,-0.35,-0.314,,
1757,1,-2.364,-0.144,-0.26,,
1757,2,0.315,-0.044,-0.253,,
1757,3,-0.145,-0.208,-0.247,,
1757,4,1.25,-0.508,-0.255,,
1757,5,0.078,-0.286,-0.32,,
1757,6,1.463,-0.207,-0.373,,
1757,7,3.53,-0.331,-0.336,,
1757,8,0.73,-0.44,-0.281,,
1757,9,-1.431,-0.449,-0.283,-0.281,
1757,10,-4.244,-0.634,-0.318,-0.304,
1757,11,0.109,-0.505,-0.306,-0.317,
1757,12,-1.781,-0.552,-0.325,-0.345,
1758,1,-3.848,-0.997,-0.327,-0.367,
1758,2,-0.99,-1.053,-0.313,-0.345,
1758,3,-0.25,-1.103,-0.28,-0.367,
1758,4,-0.971,-0.956,-0.274,-0.379,
1758,5,1.621,-1.032,-0.262,-0.389,
1758,6,0.898,-0.892,-0.239,-0.397,
