Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1873,8,0.03,,,,
1873,9,0.142,,,,
1873,10,-0.424,-0.178,,,
1873,11,,-0.214,,,
1873,12,-0.081,-0.263,,,
1874,1,-0.35,-0.317,,,
1874,2,-0.555,-0.367,,,
1874,3,-0.964,-0.385,,,
1874,4,-0.01,-0.378,,,
1874,5,-0.587,-0.385,,,
1874,6,,-0.429,,,
1874,7,-0.288,-0.487,,,
1874,8,-0.573,-0.515,,,
1874,9,-0.066,-0.495,,,
1874,10,-0.347,-0.536,,,
1874,11,-0.932,-0.537,,,
1874,12,-0.608,-0.564,,,
1875,1,-1.047,-0.56,,,
1875,2,-0.896,-0.556,,,
1875,3,-0.721,-0.601,-0.467,,
1875,4,-0.498,-0.642,-0.466,,
1875,5,-0.605,-0.696,-0.452,,
1875,6,-0.194,-0.731,-0.436,,
1875,7,-0.231,-0.729,-0.429,,
1875,8,-0.529,-0.765,-0.423,,
1875,9,-0.606,-0.767,-0.405,,
1875,10,-0.835,-0.724,-0.389,,
1875,11,-1.577,-0.742,-0.392,,
1875,12,-1.029,-0.729,-0.398,,
1876,1,-1.03,-0.734,-0.407,,
1876,2,-1.323,-0.755,-0.413,,
1876,3,-0.743,,-0.418,,
1876,4,,,-0.414,,
1876,5,-0.816,,-0.405,,
1876,6,-0.042,,-0.41,,
1876,7,,,-0.418,-0.359,
1876,8,,,-0.415,-0.364,
1876,9,,,-0.41,-0.36,
1876,10,-0.415,-0.604,-0.421,-0.361,
1876,11,-1.098,-0.559,-0.425,-0.354,
1876,12,-0.985,-0.542,-0.426,-0.349,
1877,1,-0.694,-0.479,-0.436,-0.341,
1877,2,-0.782,-0.386,-0.445,-0.335,
1877,3,-0.254,-0.314,-0.455,-0.333,
1877,4,-0.3,-0.287,-0.453,-0.335,
1877,5,-0.277,-0.21,-0.448,-0.337,
1877,6,0.17,-0.145,-0.45,-0.339,
1877,7,0.465,-0.122,-0.444,-0.341,
1877,8,0.328,-0.049,-0.446,-0.344,
1877,9,0.078,0.044,-0.445,-0.344,
1877,10,-0.09,0.095,-0.448,-0.344,
1877,11,-0.18,0.09,-0.439,-0.342,
1877,12,-0.206,0.106,-0.437,-0.338,
1878,1,-0.412,0.055,-0.428,-0.336,
1878,2,0.084,-0.003,-0.412,-0.343,
1878,3,0.871,-0.022,-0.408,-0.342,
1878,4,0.312,-0.03,-0.389,-0.333,
1878,5,-0.341,-0.038,-0.365,-0.335,
1878,6,0.361,-0.054,-0.346,-0.337,
1878,7,-0.146,-0.087,-0.323,-0.339,
1878,8,-0.362,-0.127,-0.304,-0.341,
1878,9,-0.158,-0.256,-0.282,-0.344,
1878,10,-0.181,-0.336,-0.278,-0.339,
1878,11,-0.279,-0.378,-0.259,-0.334,
1878,12,-0.402,-0.401,-0.261,-0.335,
1879,1,-0.803,-0.461,-0.245,-0.336,
1879,2,-0.401,-0.525,-0.239,-0.331,
1879,3,-0.67,-0.565,-0.227,-0.322,
1879,4,-0.654,-0.57,-0.224,-0.323,
1879,5,-0.838,-0.602,-0.214,-0.321,
1879,6,0.08,-0.628,-0.2,-0.326,
1879,7,-0.866,-0.616,-0.187,-0.328,
1879,8,-1.129,-0.672,-0.179,-0.319,
1879,9,-0.644,-0.669,-0.176,-0.324,
1879,10,-0.239,-0.67,-0.182,-0.327,
