Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1791,6,-0.569,,,,
1791,7,-0.513,-0.051,,,
1791,8,0.72,-0.071,,,
1791,9,-1.128,-0.139,,,
1791,10,-0.704,-0.22,,,
1791,11,0.528,-0.172,,,
1791,12,0.376,-0.028,,,
1792,1,-0.306,0.036,,,
1792,2,-0.42,-0.142,,,
1792,3,-0.058,-0.029,,,
1792,4,-0.01,-0.014,,,
1792,5,0.023,-0.185,,,
1792,6,1.154,-0.299,,,
1792,7,0.256,-0.44,-0.226,,
1792,8,-1.418,-0.379,-0.22,,
1792,9,0.229,-0.41,-0.186,,
1792,10,-0.526,-0.5,-0.136,,
1792,11,-1.522,-0.602,-0.117,,
1792,12,-0.985,-0.791,-0.131,,
1793,1,-2.005,-0.803,-0.128,,
1793,2,0.315,-0.721,-0.129,,
1793,3,-0.431,-0.694,-0.149,,
1793,4,-1.087,-0.662,-0.143,,
1793,5,-1.208,-0.628,-0.154,,
1793,6,-1.109,-0.558,-0.156,,
1793,7,0.111,-0.275,-0.155,,
1793,8,-0.434,-0.304,-0.149,,
1793,9,0.555,-0.219,-0.199,,
1793,10,-0.143,0.014,-0.246,,
1793,11,-1.111,0.202,-0.234,-0.137,
1793,12,-0.146,0.22,-0.224,-0.117,
1794,1,1.395,0.206,-0.213,-0.137,
1794,2,-0.041,0.187,-0.216,-0.145,
1794,3,0.595,0.109,-0.186,-0.143,
1794,4,1.7,0.081,-0.16,-0.139,
1794,5,1.05,0.116,-0.181,-0.151,
1794,6,-0.891,0.007,-0.21,-0.148,
1794,7,-0.06,-0.283,-0.187,-0.154,
1794,8,-0.661,-0.231,-0.163,-0.145,
1794,9,-0.375,-0.166,-0.183,-0.148,
1794,10,-0.488,-0.2,-0.178,-0.137,
1794,11,-0.685,-0.229,-0.163,-0.138,
1794,12,-1.454,-0.161,-0.174,-0.138,
1795,1,-2.091,-0.192,-0.176,-0.128,
1795,2,0.59,-0.136,-0.138,-0.125,
1795,3,1.375,-0.237,-0.127,-0.131,
1795,4,1.288,-0.134,-0.106,-0.092,
1795,5,0.706,-0.197,-0.094,-0.086,
1795,6,-0.08,-0.065,-0.08,-0.097,
1795,7,-0.429,0.272,-0.036,-0.098,
1795,8,0.007,0.239,-0.031,-0.102,
1795,9,-1.586,-0.059,0.003,-0.105,
1795,10,,-0.322,0.016,-0.108,
1795,11,-1.444,-0.371,0.028,-0.103,
1795,12,0.124,-0.359,0.04,-0.108,
1796,1,1.96,-0.311,0.048,-0.119,
1796,2,0.192,-0.269,0.063,-0.119,
1796,3,-2.202,-0.081,0.059,-0.107,
1796,4,-1.861,-0.071,0.045,-0.113,
1796,5,0.116,-0.01,0.062,-0.097,
1796,6,0.065,-0.136,0.025,-0.098,-0.131
1796,7,0.144,-0.208,-0.049,-0.085,-0.133
1796,8,0.505,-0.141,-0.076,-0.104,-0.133
1796,9,0.67,-0.062,-0.1,-0.092,-0.132
1796,10,0.885,0.119,-0.117,-0.071,-0.127
1796,11,-0.715,0.183,-0.133,-0.069,-0.121
1796,12,-1.392,0.219,-0.127,-0.063,-0.106
1797,1,1.092,0.221,-0.124,-0.05,-0.11
1797,2,1.001,0.252,-0.105,-0.044,-0.109
1797,3,-1.248,0.267,-0.097,-0.033,-0.11
1797,4,0.3,0.254,-0.067,-0.034,-0.112
1797,5,0.884,0.246,-0.067,-0.042,-0.109
1797,6,0.507,0.35,-0.076,-0.041,-0.114
1797,7,0.167,0.312,-0.03,-0.035,-0.111
1797,8,0.874,0.281,-0.03,-0.019,-0.107
1797,9,0.844,0.522,-0.076,-0.021,-0.094
1797,10,0.729,0.472,-0.048,-0.003,-0.089
1797,11,-0.807,0.357,-0.054,0.011,-0.08
1797,12,-0.144,0.28,-0.063,0.025,-0.081
1798,1,0.635,0.318,-0.068,0.039,-0.083
1798,2,0.631,0.28,-0.074,0.011,-0.092
1798,3,1.641,0.237,-0.061,0.011,-0.112
1798,4,-0.302,0.095,-0.074,0.037,-0.117
1798,5,-0.494,0.156,-0.052,0.043,-0.12
1798,6,-0.413,-0.032,-0.06,0.052,-0.128
1798,7,0.622,-0.338,-0.084,0.052,-0.138
1798,8,0.42,-0.531,-0.088,0.06,-0.137
1798,9,0.324,-0.737,-0.016,0.053,-0.136
1798,10,-0.978,-0.655,0.019,0.053,-0.141
1798,11,-0.074,-0.606,0.04,0.064,-0.143
1798,12,-2.402,-0.616,0.028,0.06,-0.138
1799,1,-3.034,-0.658,0.042,0.057,-0.141
1799,2,-1.68,-0.652,0.009,0.045,-0.141
1799,3,-0.831,-0.672,0.003,0.032,-0.144
1799,4,0.68,-0.48,0.017,0.026,-0.149
1799,5,0.096,-0.532,0.043,0.018,-0.162
1799,6,-0.535,-0.494,0.085,0.027,-0.158
1799,7,0.121,-0.189,0.086,0.039,-0.164
1799,8,0.483,0.002,0.074,0.043,-0.164
1799,9,0.091,-0.042,0.116,0.048,-0.169
1799,10,1.319,0.147,0.109,0.054,-0.176
1799,11,-0.689,0.169,0.079,0.054,-0.185
1799,12,-1.949,0.158,0.092,0.06,-0.181
1800,1,0.628,0.089,0.105,0.08,-0.183
1800,2,0.605,0.019,0.099,0.072,-0.184
1800,3,-1.359,-0.056,0.085,0.057,-0.174
1800,4,2.95,-0.165,0.099,0.033,-0.17
1800,5,0.361,-0.12,0.116,0.017,-0.17
1800,6,-0.669,0.012,0.129,0.022,-0.183
1800,7,-0.706,0.005,0.114,0.022,-0.184
1800,8,-0.356,-0.052,0.053,0.019,-0.189
1800,9,-0.804,0.237,0.018,0.029,-0.192
1800,10,0.006,0.014,0.058,0.008,-0.201
1800,11,-0.145,0.096,0.058,-0.008,-0.204
1800,12,-0.363,0.098,0.063,-0.012,-0.205
1801,1,0.54,0.239,0.055,-0.024,-0.222
1801,2,-0.073,0.144,0.057,-0.023,-0.229
1801,3,2.102,0.239,0.046,-0.002,-0.235
1801,4,0.274,0.384,0.062,0.01,-0.244
1801,5,1.351,0.463,0.067,0.014,-0.241
1801,6,-0.652,0.588,0.096,0.008,-0.237
1801,7,0.993,0.642,0.162,0.005,-0.234
1801,8,-1.496,0.672,0.166,-0.005,-0.236
1801,9,0.335,0.601,0.164,-0.011,-0.236
1801,10,1.74,0.57,0.169,-0.025,-0.23
1801,11,0.811,0.377,0.169,-0.024,-0.239
1801,12,1.135,0.538,0.182,-0.005,-0.243
1802,1,1.186,0.536,0.201,-0.026,-0.251
1802,2,0.281,0.702,0.191,-0.037,-0.257
1802,3,1.256,0.678,0.194,-0.032,-0.261
1802,4,-0.099,0.664,0.175,-0.049,-0.268
1802,5,-0.969,0.614,0.174,-0.061,-0.273
1802,6,1.281,0.573,0.195,-0.068,-0.281
1802,7,0.976,0.448,0.191,-0.063,-0.283
1802,8,0.492,0.172,0.174,-0.06,-0.276
1802,9,0.051,0.032,0.19,-0.055,-0.286
1802,10,1.571,0.215,0.114,-0.053,-0.285
1802,11,0.211,0.252,0.087,-0.032,-0.283
1802,12,0.64,0.139,0.108,-0.028,-0.294
1803,1,-0.317,0.07,0.113,-0.041,-0.304
1803,2,-3.033,0.072,0.113,-0.065,-0.316
1803,3,,0.042,0.118,-0.108,-0.326
1803,4,2.102,-0.093,0.089,-0.118,-0.322
1803,5,-0.522,-0.093,0.035,-0.124,-0.313
1803,6,-0.082,-0.201,0.035,-0.127,-0.313
1803,7,0.154,-0.095,0.036,-0.13,-0.321
1803,8,0.515,0.036,0.043,-0.136,-0.327
1803,9,-0.311,-0.007,0.012,-0.136,-0.335
1803,10,-0.049,-0.102,-0.0,-0.136,-0.333
1803,11,0.206,-0.047,-0.011,-0.149,-0.326
1803,12,-0.65,-0.022,-0.011,-0.158,-0.328
1804,1,0.959,0.072,-0.033,-0.144,-0.325
1804,2,-1.469,0.016,-0.019,-0.136,-0.341
1804,3,-0.936,0.064,-0.026,-0.146,-0.347
1804,4,0.966,0.083,-0.067,-0.16,-0.353
1804,5,0.134,0.008,-0.091,-0.172,-0.369
1804,6,0.21,0.002,-0.095,-0.167,-0.371
1804,7,1.294,-0.044,-0.137,-0.174,-0.376
1804,8,-0.168,0.042,-0.148,-0.182,-0.378
1804,9,0.272,0.085,-0.181,-0.19,-0.389
1804,10,0.183,-0.126,-0.208,-0.214,-0.392
1804,11,-0.702,-0.242,-0.201,-0.232,-0.396
1804,12,-0.723,-0.214,-0.227,-0.225,-0.383
1805,1,0.412,-0.353,-0.232,-0.239,-0.379
1805,2,-0.438,-0.371,-0.218,-0.243,-0.386
1805,3,-0.418,-0.433,-0.195,-0.217,-0.396
1805,4,-1.573,-0.593,-0.205,-0.248,-0.402
1805,5,-1.249,-0.815,-0.18,-0.255,-0.405
1805,6,0.548,-0.786,-0.186,-0.268,-0.41
1805,7,-0.382,-0.771,-0.195,-0.27,-0.413
1805,8,-0.381,-0.707,-0.183,-0.277,-0.421
1805,9,-0.474,-0.65,-0.233,-0.278,-0.42
1805,10,-1.74,-0.557,-0.294,-0.294,-0.424
1805,11,-3.366,-0.396,-0.305,-0.304,-0.422
1805,12,-0.37,-0.498,-0.318,-0.302,-0.434
1806,1,0.589,-0.489,-0.316,-0.324,-0.442
1806,2,0.331,-0.512,-0.329,-0.339,-0.453
1806,3,0.262,-0.481,-0.318,-0.363,-0.447
1806,4,-0.457,-0.397,-0.333,-0.375,-0.442
1806,5,0.684,-0.167,-0.365,-0.385,-0.445
1806,6,-0.666,-0.062,-0.412,-0.376,-0.452
1806,7,-0.282,-0.225,-0.45,-0.383,-0.46
1806,8,-0.651,-0.283,-0.439,-0.368,-0.469
1806,9,-0.104,-0.363,-0.455,-0.38,-0.479
