Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1784,11,-3.149,-1.413,,,
1784,12,0.832,-1.398,,,
1785,1,-3.392,-1.416,,,
1785,2,-3.967,-1.475,,,
1785,3,-0.289,-1.405,,,
1785,4,-1.902,-1.273,,,
1785,5,-1.911,-1.128,,,
1785,6,0.082,-1.312,,,
1785,7,0.647,-1.212,,,
1785,8,0.428,-0.975,,,
1785,9,-1.419,-0.904,,,
1785,10,-1.233,-0.578,,,
1785,11,-1.412,-0.387,,,
1785,12,-1.377,-0.372,,,
1786,1,-2.187,-0.313,,,
1786,2,-1.127,-0.303,,,
1786,3,0.561,-0.194,,,
1786,4,2.016,-0.163,,,
1786,5,0.379,0.142,,,
1786,6,0.266,0.149,,,
1786,7,1.343,0.235,,,
1786,8,0.558,0.163,,,
1786,9,-0.113,0.007,,,
1786,10,-0.862,-0.145,,,
1786,11,2.248,-0.204,,,
1786,12,-1.293,-0.061,,,
1787,1,-1.156,-0.215,,,
1787,2,-1.989,-0.309,,,
1787,3,-1.313,-0.379,,,
1787,4,0.195,,,,
1787,5,-0.327,,,,
1787,6,1.977,,,,
1787,7,,,,,
1787,8,,,,,
1787,9,,,,,
1787,10,,,,,
1787,11,,,,,
1787,12,,,,,
1788,1,,,,,
1788,2,,,,,
1788,3,,,,,
1788,4,,,,,
1788,5,,,,,
1788,6,,,,,
1788,7,,,,,
1788,8,,,,,
1788,9,,,,,
1788,10,,,,,
1788,11,0.304,,,,
1788,12,0.947,,,,
1789,1,1.399,0.259,,,
1789,2,-2.804,0.23,,,
1789,3,-0.603,0.244,,,
1789,4,0.192,0.127,,,
1789,5,-0.327,0.167,,,
1789,6,1.424,0.009,,,
1789,7,2.004,-0.206,,,
1789,8,-0.263,-0.099,,,
1789,9,0.359,-0.129,,,
1789,10,-1.113,-0.236,,,
1789,11,0.791,-0.287,,,
1789,12,-0.946,-0.392,,,
1790,1,-1.185,-0.535,,,
1790,2,-1.524,-0.464,,,
1790,3,-0.958,-0.555,,,
1790,4,-1.093,-0.521,,,
1790,5,-0.936,-0.643,,,
1790,6,0.164,-0.727,,,
1790,7,0.279,-1.037,,,
1790,8,0.596,-1.047,,,
1790,9,-0.736,-1.105,,,
1790,10,-0.7,-0.892,,,
1790,11,-0.679,-1.007,,,
1790,12,-1.948,-1.021,,,
1791,1,-4.911,-1.011,,,
1791,2,-1.641,-1.097,,,
1791,3,-1.655,-0.974,,,
1791,4,1.462,-0.986,,,
1791,5,-2.309,-0.971,,,
1791,6,-0.008,-0.876,,,
1791,7,0.396,-0.683,,,
1791,8,-0.429,-0.596,,,
1791,9,0.739,-0.562,,,
1791,10,-0.844,-0.655,,,
1791,11,-0.506,-0.512,,,
1791,12,-0.8,-0.5,,,
1792,1,-2.6,-0.492,,,
1792,2,-0.594,-0.589,,,
1792,3,-1.25,-0.579,,,
1792,4,0.343,,,,
1792,5,-0.594,,,,
1792,6,0.137,,,,
1792,7,,,,,
1792,8,,,,,
1792,9,,,,,
1792,10,,,,,
1792,11,,,,,
1792,12,,,,,
1793,1,,,,,
1793,2,,,,,
1793,3,,,,,
1793,4,,,,,
1793,5,,,,,
1793,6,,,,,
1793,7,,,,,
1793,8,,,,,
1793,9,,,,,
1793,10,,,,,
1793,11,,,,,
1793,12,,,,,
1794,1,,,,,
1794,2,,,,,
1794,3,,,,,
1794,4,,,,,
1794,5,,,,,
1794,6,,,,,
1794,7,,,,,
1794,8,,,,,
1794,9,,,,,
1794,10,,,,,
1794,11,,,,,
1794,12,,,,,
1795,1,,,,,
1795,2,,,,,
1795,3,,,,,
1795,4,,,,,
1795,5,,,,,
1795,6,,,,,
1795,7,,,,,
1795,8,,,,,
1795,9,,,,,
1795,10,,,,,
1795,11,,,,,
1795,12,,,,,
1796,1,,,,,
1796,2,,,,,
1796,3,,,,,
1796,4,,,,,
1796,5,,,,,
1796,6,,,,,
1796,7,,,,,
1796,8,,,,,
1796,9,,,,,
1796,10,-1.354,,,,
1796,11,-0.412,,,,
1796,12,-0.999,-0.165,,,
1797,1,0.546,-0.185,,,
1797,2,-0.546,-0.207,,,
1797,3,-0.872,-0.148,,,
1797,4,-1.116,0.026,,,
1797,5,-0.129,-0.002,,,
1797,6,0.79,0.024,,,
1797,7,0.669,-0.168,,,
1797,8,0.595,-0.181,,,
1797,9,1.053,0.124,,,
1797,10,0.737,0.236,,,
1797,11,-0.756,0.312,,,
1797,12,-0.688,0.266,,,
1798,1,-1.758,0.291,,,
1798,2,-0.703,0.248,-0.089,,
1798,3,2.797,0.167,-0.09,,
1798,4,0.226,0.084,-0.06,,
1798,5,0.779,0.137,-0.058,,
1798,6,0.239,0.036,-0.05,,
1798,7,0.975,0.066,-0.065,,
1798,8,0.077,0.09,-0.046,,
1798,9,0.082,-0.262,-0.009,,
1798,10,-0.263,-0.244,-0.022,,
1798,11,-0.116,-0.303,-0.024,,
1798,12,-1.9,-0.331,-0.058,,
1799,1,-1.401,-0.328,-0.063,,
1799,2,-0.411,-0.339,-0.084,,
1799,3,-1.43,-0.288,-0.09,,
1799,4,0.437,-0.269,-0.066,,
1799,5,0.069,-0.325,-0.082,,
1799,6,-0.092,0.005,-0.068,,
1799,7,,0.105,-0.071,,
1799,8,,0.14,-0.112,,
1799,9,0.7,0.34,-0.131,,
1799,10,-0.034,0.318,-0.136,,
1799,11,-0.794,0.347,-0.151,,
1799,12,2.063,0.424,-0.136,,
1800,1,-0.198,0.316,-0.136,,
1800,2,0.01,0.293,-0.147,,
1800,3,0.959,0.195,-0.161,,
1800,4,0.183,0.24,-0.165,,
1800,5,0.409,0.219,-0.168,,
1800,6,0.833,-0.01,-0.172,,
1800,7,-0.282,-0.121,-0.184,,
1800,8,-0.329,-0.162,-0.219,,
1800,9,-0.475,-0.202,-0.273,,
1800,10,0.497,-0.268,-0.257,,
1800,11,-1.044,-0.338,-0.27,,
1800,12,-0.682,-0.482,-0.261,,
1801,1,-1.535,-0.408,,,
1801,2,-0.479,-0.416,,,
1801,3,0.48,-0.375,,,
1801,4,-0.606,-0.413,,,
1801,5,-0.437,-0.437,,,
1801,6,-0.891,-0.395,,,
1801,7,0.604,-0.235,,,
1801,8,-0.419,-0.446,,,
1801,9,0.006,-0.654,,,
1801,10,0.048,-0.721,,,
1801,11,-1.335,-0.771,,,
1801,12,-0.177,-0.556,,,
1802,1,0.384,-0.55,,,
1802,2,-3.009,-0.521,,,
1802,3,-2.016,,,,
1802,4,-1.414,,,,
1802,5,-1.036,,,,
1802,6,,,,,
1802,7,,,,,
1802,8,,,,,
1802,9,,,,,
1802,10,,,,,
1802,11,,,,,
1802,12,,,,,
1803,1,,,,,
1803,2,,,,,
1803,3,,,,,
1803,4,,,,,
