Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,2,-0.781,,,,
1824,3,-0.499,-0.817,,,
1824,4,0.283,-0.797,,,
1824,5,-0.587,-0.722,,,
1824,6,-0.437,-0.656,,,
1824,7,-0.353,-0.628,,,
1824,8,-1.064,-0.603,,,
1824,9,-1.034,-0.545,,,
1824,10,-1.49,-0.506,,,
1824,11,-0.708,-0.449,,,
1824,12,-0.549,-0.409,,,
1825,1,-0.321,-0.397,,,
1825,2,-0.478,-0.349,,,
1825,3,0.194,-0.362,,,
1825,4,0.75,-0.326,-0.648,,
1825,5,0.105,-0.299,-0.62,,
1825,6,0.043,-0.271,-0.581,,
1825,7,-0.208,-0.237,-0.59,,
1825,8,-0.489,-0.301,-0.596,,
1825,9,-1.188,-0.436,-0.592,,
1825,10,-1.068,-0.532,-0.58,,
1825,11,-0.378,-0.548,-0.565,,
1825,12,-0.214,-0.584,-0.564,,
1826,1,0.09,-0.603,-0.568,,
1826,2,-1.253,-0.65,-0.556,,
1826,3,-1.427,-0.671,-0.552,,
1826,4,-0.403,-0.676,-0.534,,
1826,5,-0.083,-0.65,-0.509,,
1826,6,-0.391,-0.594,-0.5,,
1826,7,-0.429,-0.605,-0.505,,
1826,8,-1.057,-0.536,-0.509,,
1826,9,-1.438,-0.413,-0.504,,
1826,10,-1.126,-0.341,-0.509,,
1826,11,-0.069,-0.343,-0.499,,
1826,12,0.463,-0.317,-0.501,,
1827,1,-0.041,-0.308,-0.502,,
1827,2,-0.428,-0.314,-0.499,,
1827,3,0.046,-0.302,-0.502,,
1827,4,0.459,-0.317,-0.488,,
1827,5,-0.11,-0.319,-0.486,,
1827,6,,-0.393,-0.487,,
1827,7,-0.315,-0.498,-0.47,,
1827,8,-1.128,-0.578,-0.446,,
1827,9,-1.301,-0.62,-0.466,,
1827,10,-1.3,-0.663,-0.474,,
1827,11,-0.101,-0.659,-0.497,,
1827,12,-0.421,-0.658,-0.51,,
1828,1,-1.305,-0.658,-0.503,,
1828,2,-1.378,-0.599,-0.505,,
1828,3,-0.462,-0.61,-0.513,,
1828,4,-0.063,-0.555,-0.513,,
1828,5,-0.056,-0.554,-0.487,,
1828,6,-0.062,-0.587,-0.468,,
1828,7,-0.323,-0.555,,,
1828,8,-0.42,-0.525,,,
1828,9,-1.424,-0.503,,,
1828,10,,-0.501,,,
1828,11,-0.09,-0.496,,,
1828,12,-0.823,-0.539,,,
1829,1,-0.916,-0.547,,,
1829,2,-1.021,-0.583,,,
1829,3,-0.202,-0.563,,,
1829,4,-0.03,-0.567,,,
1829,5,-0.005,-0.608,,,
1829,6,-0.574,-0.591,,,
1829,7,-0.418,-0.455,,,
1829,8,-0.858,-0.291,,,
1829,9,-1.181,,,,
1829,10,,,,,
1829,11,-0.585,,,,
1829,12,-0.621,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,,,,,
1833,2,,,,,
1833,3,,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,,,,,
1836,8,,,,,
1836,9,,,,,
1836,10,,,,,
1836,11,,,,,
1836,12,,,,,
1837,1,,,,,
1837,2,,,,,
1837,3,,,,,
1837,4,,,,,
1837,5,,,,,
1837,6,,,,,
1837,7,,,,,
1837,8,,,,,
1837,9,,,,,
1837,10,,,,,
1837,11,,,,,
1837,12,,,,,
1838,1,,,,,
1838,2,,,,,
1838,3,,,,,
1838,4,,,,,
1838,5,,,,,
1838,6,,,,,
1838,7,,,,,
1838,8,,,,,
1838,9,,,,,
1838,10,,,,,
1838,11,,,,,
1838,12,,,,,
1839,1,,,,,
1839,2,,,,,
1839,3,,,,,
1839,4,,,,,
1839,5,,,,,
1839,6,,,,,
1839,7,,,,,
1839,8,,,,,
1839,9,,,,,
1839,10,,,,,
1839,11,,,,,
1839,12,,,,,
1840,1,,,,,
1840,2,,,,,
1840,3,,,,,
1840,4,,,,,
1840,5,,,,,
1840,6,,,,,
1840,7,,,,,
1840,8,,,,,
1840,9,,,,,
1840,10,,,,,
1840,11,,,,,
1840,12,,,,,
1841,1,,,,,
1841,2,,,,,
1841,3,,,,,
1841,4,,,,,
1841,5,,,,,
1841,6,,,,,
1841,7,,,,,
1841,8,,,,,
1841,9,,,,,
1841,10,,,,,
1841,11,,,,,
