Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,3,-0.217,,,,
1824,4,0.187,-0.683,,,
1824,5,-0.463,-0.568,,,
1824,6,,-0.421,,,
1824,7,0.191,-0.388,,,
1824,8,-0.823,-0.346,,,
1824,9,-0.978,-0.298,,,
1824,10,-1.27,-0.263,,,
1824,11,-0.325,-0.223,,,
1824,12,-0.032,-0.203,,,
1825,1,-0.011,-0.205,,,
1825,2,-0.286,-0.171,,,
1825,3,0.359,-0.18,,,
1825,4,0.609,-0.156,,,
1825,5,0.01,-0.13,,,
1825,6,0.125,-0.14,,,
1825,7,0.163,-0.205,-0.478,,
1825,8,-0.415,-0.273,-0.466,,
1825,9,-1.087,-0.39,-0.459,,
1825,10,-0.987,-0.459,-0.445,,
1825,11,-0.01,-0.462,-0.43,,
1825,12,-0.153,-0.524,-0.43,,
1826,1,,-0.547,-0.427,,
1826,2,-1.102,-0.595,-0.415,,
1826,3,-1.05,-0.617,-0.405,,
1826,4,-0.219,-0.624,-0.388,,
1826,5,-0.019,-0.619,-0.356,,
1826,6,,-0.546,-0.33,,
1826,7,-0.113,-0.476,-0.335,,
1826,8,-0.986,-0.369,-0.339,,
1826,9,-1.349,-0.249,-0.34,,
1826,10,-1.072,-0.18,-0.345,,
1826,11,0.047,-0.175,-0.339,,
1826,12,0.724,-0.132,-0.35,,
1827,1,0.058,-0.115,-0.355,,
1827,2,0.179,-0.106,-0.351,,
1827,3,0.385,-0.106,-0.354,,
1827,4,0.611,-0.112,-0.342,,
1827,5,0.04,-0.1,-0.347,,
1827,6,,-0.184,-0.355,,
1827,7,0.09,-0.264,-0.349,,
1827,8,-0.879,-0.355,-0.334,,
1827,9,-1.353,-0.406,-0.359,,
1827,10,-1.145,-0.463,-0.367,,
1827,11,0.197,-0.471,-0.387,,
1827,12,-0.293,-0.446,-0.401,,
1828,1,-0.901,-0.453,-0.395,,
1828,2,-0.907,-0.402,-0.398,,
1828,3,-0.234,-0.406,-0.406,,
1828,4,-0.069,-0.367,,,
1828,5,-0.056,-0.365,,,
1828,6,0.201,-0.359,,,
1828,7,0.001,-0.343,,,
1828,8,-0.26,-0.351,,,
1828,9,-1.404,-0.355,,,
1828,10,,-0.362,,,
1828,11,0.219,-0.365,,,
1828,12,-0.22,-0.445,,,
1829,1,-0.708,-0.453,,,
1829,2,-1.007,-0.484,,,
1829,3,-0.279,-0.463,,,
1829,4,-0.154,-0.453,,,
1829,5,-0.09,-0.519,,,
1829,6,,-0.546,,,
1829,7,-0.096,-0.456,,,
1829,8,-0.633,,,,
1829,9,-1.148,,,,
1829,10,,,,,
1829,11,-0.572,,,,
1829,12,-0.541,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,,,,,
1833,2,,,,,
1833,3,,,,,
1833,4,,,,,
1833,5,,,,,
