Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1910,2,-0.416,,,,
1910,3,-0.551,,,,
1910,4,-0.242,-0.285,,,
1910,5,-0.211,-0.342,,,
1910,6,-0.311,-0.35,,,
1910,7,-0.069,-0.382,,,
1910,8,-0.404,-0.378,,,
1910,9,-0.321,-0.365,,,
1910,10,-0.552,-0.366,,,
1910,11,-0.735,-0.385,,,
1910,12,-0.449,-0.38,,,
1911,1,-0.321,-0.385,,,
1911,2,-0.367,-0.4,,,
1911,3,-0.397,-0.408,,,
1911,4,-0.252,-0.383,,,
1911,5,-0.446,-0.342,,,
1911,6,-0.25,-0.344,,,
1911,7,,-0.388,,,
1911,8,-0.577,-0.409,,,
1911,9,-0.421,-0.444,,,
1911,10,-0.247,-0.462,,,
1911,11,-0.247,-0.419,-0.291,,
1911,12,-0.473,-0.375,-0.285,,
1912,1,-0.848,-0.396,-0.285,,
1912,2,-0.625,-0.407,-0.283,,
1912,3,-0.81,-0.418,-0.284,,
1912,4,-0.474,-0.432,-0.289,,
1912,5,0.075,-0.441,-0.298,,
1912,6,0.277,-0.436,-0.295,,
1912,7,-0.384,-0.396,-0.31,,
1912,8,,-0.4,-0.304,,
1912,9,-0.551,-0.387,-0.3,,
1912,10,-0.417,-0.338,-0.29,,
1912,11,-0.355,-0.35,-0.284,,
1912,12,-0.406,-0.355,,,
1913,1,-0.364,-0.304,,,
1913,2,-0.683,-0.259,,,
1913,3,-0.655,-0.263,,,
1913,4,0.122,-0.265,,,
1913,5,-0.074,-0.217,,,
1913,6,0.225,-0.181,,,
1913,7,0.217,-0.157,,,
1913,8,-0.161,-0.154,,,
1913,9,-0.6,-0.09,,,
1913,10,-0.441,-0.104,,,
1913,11,0.215,-0.081,,,
1913,12,0.032,-0.072,,,
1914,1,-0.079,-0.109,,,
1914,2,-0.65,-0.119,,,
1914,3,0.113,-0.082,,,
1914,4,-0.05,-0.081,,,
1914,5,0.213,,,,
1914,6,0.327,,,,
1914,7,-0.223,,,,
1914,8,-0.285,,,,
1914,9,-0.151,,,,
1914,10,,,,,
1914,11,,,,-0.347,
1914,12,,,,-0.347,
1915,1,,,,-0.348,
1915,2,,,,-0.351,
1915,3,,,,-0.349,
1915,4,,,,-0.347,
1915,5,,,,-0.347,
1915,6,,,,-0.346,
1915,7,,,,-0.348,
1915,8,,,,-0.347,
1915,9,,,,-0.35,
1915,10,,,,-0.351,
1915,11,,,,-0.347,
1915,12,,,,-0.351,
1916,1,,,,-0.352,
1916,2,,,,-0.352,
1916,3,,,,-0.353,
1916,4,,,,-0.357,
1916,5,,,,-0.358,
1916,6,,,,-0.36,
1916,7,,,,-0.361,
1916,8,,,,-0.361,
1916,9,,,,-0.362,
1916,10,,,,-0.365,
1916,11,,,,-0.366,
1916,12,,,,-0.367,
1917,1,-0.505,,,-0.363,
1917,2,-1.178,,,-0.364,
1917,3,-0.424,-0.653,,-0.362,
1917,4,-0.599,-0.659,,-0.361,
1917,5,-1.239,-0.682,,-0.364,
1917,6,-0.579,-0.687,,-0.37,-0.393
1917,7,-0.551,-0.712,,-0.371,-0.392
1917,8,-0.57,-0.713,,-0.372,-0.389
1917,9,-0.941,-0.736,,-0.375,-0.387
1917,10,-0.242,-0.739,,-0.372,-0.384
1917,11,-0.695,-0.679,,-0.374,-0.38
1917,12,-0.719,-0.691,,-0.379,-0.377
1918,1,-0.803,-0.686,,-0.379,-0.376
1918,2,-1.188,-0.723,,-0.378,-0.375
1918,3,-0.702,-0.67,-0.428,-0.378,-0.372
1918,4,-0.635,-0.655,-0.436,-0.384,-0.371
1918,5,-0.518,-0.634,-0.445,-0.388,-0.37
1918,6,-0.725,-0.625,-0.459,-0.393,-0.37
1918,7,-0.489,-0.561,-0.457,-0.401,-0.367
1918,8,-1.021,-0.494,-0.464,-0.405,-0.363
1918,9,-0.297,-0.472,-0.468,-0.404,-0.363
1918,10,-0.06,-0.431,-0.483,-0.404,-0.362
1918,11,-0.449,-0.397,-0.494,-0.408,-0.359
1918,12,-0.614,-0.364,-0.494,-0.412,-0.358
1919,1,-0.038,-0.361,-0.502,-0.419,-0.357
1919,2,-0.381,-0.3,-0.505,-0.419,-0.358
1919,3,-0.442,-0.327,-0.499,-0.424,-0.359
1919,4,-0.134,-0.351,-0.506,-0.426,-0.357
1919,5,-0.111,-0.337,-0.507,-0.429,-0.356
1919,6,-0.332,-0.315,-0.504,-0.434,-0.357
1919,7,-0.448,-0.316,-0.502,-0.437,-0.359
1919,8,-0.299,-0.348,-0.495,-0.437,-0.358
