Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1852,11,-0.556,,,,
1852,12,0.617,,,,
1853,1,,,,,
1853,2,-1.155,,,,
1853,3,-1.185,-0.684,,,
1853,4,-0.667,-0.657,,,
1853,5,,-0.719,,,
1853,6,,-0.884,,,
1853,7,-0.007,-0.854,,,
1853,8,-0.661,,,,
1853,9,-0.769,,,,
1853,10,-0.553,,,,
1853,11,-1.294,,,,
1853,12,-1.36,,,,
1854,1,,,,,
1854,2,,,,,
1854,3,,,,,
1854,4,,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,,,,,
1854,9,,,,,
1854,10,,,,,
1854,11,,,,,
1854,12,-1.574,,,,
1855,1,-0.746,,,,
1855,2,-1.623,,,,
1855,3,-1.424,,,,
1855,4,-0.748,-1.142,,,
1855,5,-0.107,-1.1,,,
1855,6,-0.589,-1.011,,,
1855,7,,-1.075,,,
1855,8,-1.152,-1.027,,,
1855,9,-1.267,-0.96,,,
1855,10,-1.774,,,,
1855,11,-0.713,,,,
1855,12,-0.507,,,,
1856,1,,,,,
1856,2,-1.05,,,,
1856,3,,,,,
1856,4,,,,,
1856,5,,,,,
1856,6,-0.175,,,,
1856,7,-0.662,,,,
1856,8,-0.258,,,,
1856,9,,,,,
1856,10,,,,,
1856,11,,,,,
1856,12,,,-0.742,,
1857,1,,,-0.728,,
1857,2,-0.821,,-0.711,,
1857,3,-2.322,,-0.706,,
1857,4,-1.087,-0.788,-0.708,,
1857,5,-1.003,-0.753,-0.711,,
1857,6,-0.172,-0.788,-0.708,,
1857,7,-0.381,-0.592,-0.712,,
1857,8,-0.635,-0.574,-0.701,,
1857,9,-0.92,-0.546,-0.718,,
1857,10,0.03,-0.521,-0.717,,
1857,11,-0.443,-0.411,-0.741,,
1857,12,-0.663,-0.374,-0.726,,
1858,1,1.319,-0.43,-0.71,,
1858,2,-0.608,-0.464,-0.704,,
1858,3,-1.986,-0.374,-0.692,,
1858,4,-0.784,-0.363,-0.679,,
1858,5,0.317,-0.408,-0.673,,
1858,6,0.269,-0.394,-0.679,,
1858,7,-1.059,-0.576,-0.667,,
1858,8,-1.036,-0.515,-0.66,,
1858,9,0.152,-0.345,-0.668,,
1858,10,0.169,-0.31,-0.669,,
1858,11,-0.989,-0.364,-0.677,,
1858,12,-0.491,-0.443,-0.68,,
1859,1,-0.863,-0.385,-0.672,,
1859,2,0.123,-0.328,-0.678,,
1859,3,0.048,-0.409,-0.673,,
1859,4,-0.363,-0.463,-0.674,,
1859,5,-0.332,-0.5,-0.659,,
1859,6,-0.677,-0.573,-0.661,,
1859,7,-0.356,-0.583,-0.656,,
1859,8,-0.359,-0.674,-0.653,,
1859,9,-0.813,-0.882,-0.625,,
1859,10,-0.482,-0.909,,,
1859,11,-1.439,-1.011,,,
1859,12,-1.367,-0.93,,,
1860,1,-0.984,-0.944,,,
1860,2,-0.96,-0.977,,,
1860,3,-2.453,-0.954,,,
1860,4,-0.687,-1.001,,,
1860,5,-1.548,-0.911,,,
1860,6,0.295,-0.865,,,
1860,7,-0.524,-0.849,,,
1860,8,-0.766,-0.821,,,
1860,9,-0.529,-0.708,,,
1860,10,-1.047,,,,
1860,11,-0.357,,,,
1860,12,-0.822,,,,
1861,1,,,,,
1861,2,,,,,
1861,3,,,,,
1861,4,,,,,
1861,5,,,,,
1861,6,,,,,
1861,7,,,,,
1861,8,,,,,
1861,9,,,,,
1861,10,,,,,
1861,11,,,,,
1861,12,,,,,
1862,1,,,,,
1862,2,,,,,
1862,3,,,,,
1862,4,,,,,
1862,5,,,,,
1862,6,,,,,
1862,7,,,,,
1862,8,,,,,
1862,9,,,,,
1862,10,,,,,
1862,11,,,,,
1862,12,,,,,
1863,1,-0.576,,,,
1863,2,0.294,,,,
1863,3,-0.471,-0.959,,,
1863,4,-1.033,-0.925,,,
1863,5,-0.897,-0.848,,,
1863,6,-0.174,-0.778,,,
1863,7,-0.663,-0.809,,,
1863,8,-0.979,-0.848,,,
1863,9,-1.104,-0.961,,,
1863,10,-1.268,,,,
1863,11,-1.001,,,,
1863,12,-1.464,,,,
1864,1,,,,,
1864,2,,,,,
1864,3,,,,,
1864,4,,,,,
1864,5,,,,,
1864,6,,,,,
1864,7,,,,,
1864,8,,,,,
1864,9,,,,,
1864,10,,,,,
1864,11,,,,,
1864,12,,,,,
1865,1,,,,,
1865,2,,,,,
1865,3,,,,,
1865,4,,,,,
1865,5,,,,,
1865,6,,,,,
1865,7,,,,,
1865,8,,,,,
1865,9,,,,,
1865,10,,,,,
1865,11,,,,,
1865,12,,,,,
1866,1,,,,,
1866,2,,,,,
1866,3,-1.228,,,,
1866,4,-1.268,,,,
1866,5,-0.72,,,,
1866,6,,-0.816,,,
1866,7,-0.685,-0.824,,,
1866,8,-0.867,-0.702,,,
1866,9,-0.518,-0.572,,,
1866,10,-1.218,-0.519,,,
1866,11,-1.157,-0.512,,,
1866,12,-0.053,-0.468,,,
1867,1,-0.017,-0.443,,,
1867,2,-0.106,-0.404,,,
1867,3,0.338,-0.399,,,
1867,4,-0.637,-0.349,,,
1867,5,-0.636,-0.376,,,
1867,6,-0.055,-0.385,,,
1867,7,-0.394,-0.398,,,
1867,8,-0.395,-0.535,,,
1867,9,-0.46,-0.609,,,
1867,10,-0.613,-0.66,,,
1867,11,-1.489,-0.705,,,
1867,12,-0.161,-0.758,,,
1868,1,-0.172,-0.761,,,
1868,2,-1.743,-0.789,,,
1868,3,-0.556,-0.836,,,
1868,4,-1.243,-0.835,,,
1868,5,-1.181,-0.856,,,
1868,6,-0.685,-0.942,,,
1868,7,-0.437,-0.833,-0.574,,
1868,8,-0.73,-0.553,-0.553,,
1868,9,-1.027,-0.493,-0.541,,
1868,10,-0.592,-0.332,-0.523,,
1868,11,-1.749,-0.232,-0.522,,
1868,12,-1.186,-0.17,-0.514,,
1869,1,1.137,-0.113,-0.506,,
1869,2,1.617,-0.063,-0.485,,
1869,3,0.161,,-0.482,,
1869,4,0.69,,-0.477,,
1869,5,0.02,,-0.476,,
1869,6,,,-0.499,,
1869,7,,,-0.521,,
1869,8,,,-0.525,,
1869,9,,,-0.542,,
1869,10,,,-0.523,,
1869,11,,,-0.511,,
1869,12,,,-0.505,,
1870,1,,,-0.498,,
1870,2,,,-0.492,,
