Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1744,1,,,,,
1744,2,,,,,
1744,3,,,,,
1744,4,0.852,,,,
1744,5,-0.942,,,,
1744,6,-0.346,,,,
1744,7,-0.758,,,,
1744,8,,,,,
1744,9,-1.3,,,,
1744,10,-1.068,,,,
1744,11,0.086,,,,
1744,12,-0.377,,,,
1745,1,-0.79,,,,
1745,2,-1.088,,,,
1745,3,-1.455,,,,
1745,4,-0.223,,,,
1745,5,,,,,
1745,6,,,,,
1745,7,,,,,
1745,8,,,,,
1745,9,,,,,
1745,10,,,,,
1745,11,,,,,
1745,12,,,,,
1746,1,,,,,
1746,2,,,,,
1746,3,,,,,
1746,4,,,,,
1746,5,,,,,
1746,6,,,,,
1746,7,,,,,
1746,8,,,,,
1746,9,,,,,
1746,10,,,,,
1746,11,,,,,
1746,12,,,,,
1747,1,,,,,
1747,2,,,,,
1747,3,,,,,
1747,4,,,,,
1747,5,,,,,
1747,6,,,,,
1747,7,,,,,
1747,8,,,,,
1747,9,,,,,
1747,10,,,,,
1747,11,,,,,
1747,12,,,,,
1748,1,,,,,
1748,2,,,,,
1748,3,,,,,
1748,4,,,,,
1748,5,,,,,
1748,6,,,,,
1748,7,,,,,
1748,8,,,,,
1748,9,,,,,
1748,10,,,,,
1748,11,,,,,
1748,12,,,,,
1749,1,,,,,
1749,2,,,,,
1749,3,,,,,
1749,4,,,,,
1749,5,,,,,
1749,6,,,,,
1749,7,,,,,
1749,8,,,,,
1749,9,,,,,
1749,10,,,,,
1749,11,,,,,
1749,12,,,,,
1750,1,-0.842,,,,
1750,2,1.703,,,,
1750,3,1.47,,,,
1750,4,-0.268,,,,
1750,5,0.201,,,,
1750,6,-0.212,,,,
1750,7,1.691,,,,
1750,8,0.005,,,,
1750,9,-0.342,,,,
1750,10,-2.867,,,,
1750,11,,,,,
1750,12,-1.154,,,,
1751,1,-0.005,,,,
1751,2,-2.416,,,,
1751,3,0.769,,,,
1751,4,-0.847,,,,
1751,5,,,,,
1751,6,0.511,,,,
1751,7,,,,,
1751,8,0.041,,,,
1751,9,-1.847,,,,
1751,10,,,,,
1751,11,,,,,
1751,12,,,,,
1752,1,-1.285,,,,
1752,2,,,,,
1752,3,0.376,,,,
1752,4,-0.69,,,,
1752,5,,,,,
1752,6,,,,,
1752,7,,,,,
1752,8,,,,,
1752,9,,,,,
1752,10,-1.447,,,,
1752,11,0.611,,,,
1752,12,0.594,,,,
1753,1,-2.883,,,,
1753,2,-0.867,,,,
1753,3,0.649,-0.183,,,
1753,4,-0.58,-0.121,,,
1753,5,0.04,-0.316,,,
1753,6,1.77,-0.46,,,
1753,7,0.771,-0.308,,,
1753,8,-0.96,-0.463,,,
1753,9,0.103,-0.787,,,
1753,10,-0.706,-0.76,,,
1753,11,-1.721,-0.716,,,
1753,12,-1.131,-0.844,,,
1754,1,-1.065,-0.957,,,
1754,2,-2.72,-0.857,,,
1754,3,-3.249,-0.938,,,
1754,4,-0.246,-0.866,,,
1754,5,0.562,-0.699,,,
1754,6,0.238,-0.656,,,
1754,7,-0.588,-0.888,,,
1754,8,0.234,-0.937,,,
1754,9,-0.863,-0.797,,,
1754,10,0.163,-0.582,,,
1754,11,0.28,-0.676,,,
1754,12,-0.622,-0.515,,,
1755,1,-3.844,-0.477,,,
1755,2,-3.317,-0.612,,,
1755,3,-1.565,-0.659,-0.508,,
1755,4,2.332,-0.758,-0.544,,
1755,5,-0.56,-0.84,-0.568,,
1755,6,2.163,-0.861,-0.614,,
1755,7,-0.127,-0.418,-0.628,,
1755,8,-1.381,-0.02,-0.63,,
1755,9,-1.429,0.05,-0.65,,
1755,10,-1.031,-0.244,-0.664,,
1755,11,-0.704,-0.199,-0.659,,
1755,12,-0.864,-0.273,-0.683,,
1756,1,1.464,-0.251,-0.73,,
1756,2,1.464,-0.2,-0.73,,
1756,3,-0.724,-0.066,-0.77,,
1756,4,-1.2,-0.148,-0.824,,
1756,5,-0.014,-0.307,-0.805,,
1756,6,1.265,-0.522,-0.798,,
1756,7,0.142,-0.929,-0.758,,
1756,8,-0.774,-1.115,-0.692,,
1756,9,0.182,-1.156,-0.642,,
1756,10,-2.007,-1.072,-0.646,,
1756,11,-2.614,-1.048,-0.662,,
1756,12,-3.45,-1.029,-0.665,,
1757,1,-3.415,-0.804,-0.636,,
1757,2,-0.768,-0.628,-0.639,,
1757,3,-1.215,-0.693,-0.624,,
1757,4,-0.2,-0.829,-0.627,,
1757,5,0.28,-0.676,-0.682,,
1757,6,1.496,-0.57,-0.719,,
1757,7,2.84,-0.597,-0.696,,
1757,8,1.339,-0.615,-0.652,,
1757,9,-0.598,-0.557,-0.661,-0.558,
1757,10,-3.64,-0.663,-0.686,-0.574,
1757,11,-0.778,-0.657,-0.683,-0.594,
1757,12,-2.178,-0.753,-0.716,-0.63,
1758,1,-3.743,-1.163,-0.718,-0.64,
1758,2,-0.981,-1.352,-0.708,-0.621,
1758,3,-0.525,-1.492,-0.691,-0.64,
1758,4,-1.472,-1.519,-0.701,-0.639,
1758,5,0.356,-1.502,-0.698,-0.656,
1758,6,0.345,-1.382,-0.674,-0.675,
1758,7,-2.085,-0.96,-0.73,-0.684,
1758,8,-0.928,-0.773,-0.732,-0.676,
1758,9,-2.276,-0.747,-0.7,-0.688,
1758,10,-3.963,-0.668,-0.69,-0.705,
1758,11,-0.576,-0.732,-0.67,-0.7,
1758,12,-0.741,-0.752,-0.671,-0.683,
1759,1,1.324,-0.486,-0.648,-0.662,
1759,2,1.261,-0.4,-0.619,-0.629,
1759,3,-0.215,-0.209,-0.621,-0.616,
1759,4,-0.519,0.12,-0.633,-0.623,
1759,5,-0.406,-0.085,-0.608,-0.619,
1759,6,0.097,-0.262,-0.617,-0.623,
1759,7,1.107,-0.574,-0.532,-0.62,
1759,8,0.102,-0.739,-0.525,-0.631,
1759,9,0.023,-0.894,-0.552,-0.638,
1759,10,-0.017,-0.782,-0.517,-0.655,
1759,11,-3.032,-0.78,-0.509,-0.666,
1759,12,-2.867,-0.772,-0.533,-0.666,
1760,1,-2.418,-0.887,-0.56,-0.617,
1760,2,-0.722,-0.958,-0.598,-0.608,
1760,3,-2.075,-0.994,-0.609,-0.591,
1760,4,0.829,-1.128,-0.604,-0.61,
1760,5,-0.39,-0.92,-0.621,-0.606,
1760,6,0.196,-0.636,-0.645,-0.625,
1760,7,-0.271,-0.588,-0.652,-0.632,
1760,8,-0.749,-0.418,-0.613,-0.623,
1760,9,-0.407,-0.144,-0.631,-0.616,
1760,10,-1.626,-0.263,-0.613,-0.612,
1760,11,-0.539,-0.131,-0.653,-0.623,
1760,12,0.541,-0.047,-0.667,-0.639,
1761,1,-1.846,0.1,-0.638,-0.684,
1761,2,1.322,0.243,-0.621,-0.707,
1761,3,1.207,0.282,-0.606,-0.71,
1761,4,-0.589,0.191,-0.586,-0.697,
1761,5,1.19,0.141,-0.595,-0.705,
1761,6,1.197,-0.235,-0.568,-0.716,
1761,7,1.494,0.061,-0.565,-0.724,
1761,8,0.969,-0.078,-0.567,-0.711,
1761,9,0.068,-0.418,-0.591,-0.709,
1761,10,-2.718,-0.211,-0.599,-0.697,
1761,11,-1.143,-0.244,-0.576,-0.67,
1761,12,-3.968,-0.341,-0.581,-0.654,
1762,1,1.705,-0.362,-0.604,-0.655,
1762,2,-0.345,-0.52,-0.624,-0.626,
1762,3,-2.872,-0.63,-0.651,-0.615,
1762,4,1.886,-0.682,-0.684,-0.624,
1762,5,0.801,-0.739,-0.651,-0.635,
1762,6,0.03,-0.712,-0.612,-0.656,
1762,7,1.243,-1.199,-0.538,-0.687,
1762,8,-0.929,-1.056,-0.563,-0.696,
1762,9,-1.251,-0.954,-0.521,-0.691,-0.621
1762,10,-3.342,-1.142,-0.535,-0.666,-0.612
1762,11,-1.822,-1.376,-0.528,-0.648,-0.611
1762,12,-3.647,-1.421,-0.535,-0.647,-0.612
1763,1,-4.137,-1.553,-0.546,-0.637,-0.6
1763,2,1.367,-1.471,-0.539,-0.626,-0.605
1763,3,-1.642,-1.48,-0.541,-0.636,-0.61
1763,4,-0.369,-1.433,-0.524,-0.621,-0.608
1763,5,-2.017,-1.374,-0.547,-0.626,-0.613
1763,6,-0.511,-0.994,-0.603,-0.633,-0.621
1763,7,-0.333,-0.526,-0.638,-0.62,-0.626
1763,8,0.054,-0.542,-0.683,-0.612,-0.621
1763,9,-1.364,-0.544,-0.721,-0.606,-0.622
1763,10,-2.772,-0.598,-0.705,-0.577,-0.623
1763,11,-1.119,-0.35,-0.74,-0.574,-0.622
1763,12,0.92,-0.321,-0.762,-0.572,-0.617
1764,1,1.477,-0.316,-0.8,-0.584,-0.62
1764,2,1.167,-0.411,-0.803,-0.598,-0.607
1764,3,-1.666,-0.435,-0.797,-0.605,-0.591
1764,4,-1.01,-0.368,-0.76,-0.6,-0.587
1764,5,0.962,-0.362,-0.732,-0.596,-0.586
1764,6,-0.162,-0.483,-0.69,-0.605,-0.584
1764,7,-0.276,-0.439,-0.778,-0.616,-0.581
1764,8,-1.094,-0.719,-0.728,-0.621,-0.577
1764,9,-1.651,-0.546,-0.678,-0.627,-0.579
1764,10,-1.967,-0.46,-0.731,-0.656,-0.585
1764,11,-1.046,-0.54,-0.762,-0.631,-0.595
1764,12,-0.526,-0.543,-0.778,-0.611,-0.602
1765,1,1.996,-0.601,-0.815,-0.593,-0.581
1765,2,-2.189,-0.535,-0.795,-0.583,-0.557
1765,3,0.408,-0.44,-0.773,-0.583,-0.55
1765,4,0.027,-0.327,-0.729,-0.604,-0.556
1765,5,0.006,-0.403,-0.676,-0.61,-0.552
1765,6,-0.206,-0.59,-0.648,-0.622,-0.558
1765,7,-0.974,-1.087,-0.622,-0.633,-0.555
1765,8,-0.3,-1.018,-0.639,-0.627,-0.55
1765,9,-0.513,-1.142,-0.64,-0.621,-0.545
1765,10,-0.612,-1.112,-0.629,-0.622,-0.546
1765,11,-1.953,-1.192,-0.599,-0.619,-0.547
1765,12,-2.77,-1.182,-0.6,-0.623,-0.549
1766,1,-3.964,-1.168,-0.603,-0.613,-0.573
1766,2,-1.37,-1.077,-0.603,-0.633,-0.576
1766,3,-1.072,-1.0,-0.605,-0.659,-0.57
1766,4,0.379,-0.99,-0.568,-0.676,-0.563
1766,5,-0.953,-0.782,-0.553,-0.68,-0.568
1766,6,-0.086,-0.673,-0.576,-0.696,-0.572
1766,7,-0.808,-0.638,-0.602,-0.706,-0.57
1766,8,0.793,-0.302,-0.63,-0.717,-0.566
1766,9,0.419,-0.202,-0.619,-0.726,-0.573
1766,10,-0.496,-0.341,-0.602,-0.705,-0.566
1766,11,0.54,-0.35,-0.616,-0.704,-0.558
1766,12,-1.464,-0.422,-0.629,-0.663,-0.544
1767,1,-3.541,-0.437,-0.628,-0.692,-0.534
1767,2,2.658,-0.479,-0.618,-0.69,-0.535
1767,3,0.128,-0.508,-0.603,-0.671,-0.525
1767,4,-1.286,-0.524,-0.628,-0.692,-0.529
1767,5,-1.055,-0.458,-0.612,-0.71,-0.532
1767,6,-0.958,-0.5,-0.61,-0.698,-0.541
1767,7,-0.986,-0.421,-0.647,-0.705,-0.556
1767,8,0.29,-0.611,-0.603,-0.691,-0.558
1767,9,0.07,-0.766,-0.644,-0.684,-0.554
1767,10,-0.687,-0.635,-0.674,-0.65,-0.54
1767,11,1.341,-0.563,-0.693,-0.628,-0.537
1767,12,-1.971,-0.531,-0.71,-0.595,-0.537
1768,1,-2.597,-0.49,-0.719,-0.559,-0.525
1768,2,0.383,-0.513,-0.715,-0.588,-0.523
1768,3,-1.736,-0.643,-0.701,-0.58,-0.524
1768,4,0.282,-0.629,-0.72,-0.578,-0.514
1768,5,-0.192,-0.76,-0.691,-0.569,-0.511
1768,6,-0.574,-0.634,-0.643,-0.567,-0.509
1768,7,-0.491,-0.426,-0.587,-0.569,-0.491
1768,8,0.015,-0.497,-0.583,-0.565,-0.484
1768,9,-1.49,-0.44,-0.598,-0.557,-0.481
1768,10,-0.516,-0.461,-0.648,-0.54,-0.474
1768,11,-0.227,-0.434,-0.619,-0.543,-0.473
1768,12,-0.464,-0.465,-0.631,-0.552,-0.466
1769,1,-0.097,-0.441,-0.613,-0.578,-0.481
