Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1849,2,-0.507,,,,
1849,3,-0.095,-0.73,,,
1849,4,-1.041,-0.735,,,
1849,5,-1.019,-0.702,,,
1849,6,-0.607,-0.616,,,
1849,7,-0.644,-0.648,,,
1849,8,-0.799,-0.62,,,
1849,9,-0.881,-0.625,,,
1849,10,-0.515,-0.594,,,
1849,11,-0.518,-0.59,,,
1849,12,-0.347,-0.567,,,
1850,1,-0.8,-0.57,,,
1850,2,-0.173,-0.556,,,
1850,3,-0.156,-0.53,,,
1850,4,-0.667,-0.578,,,
1850,5,-0.97,-0.609,,,
1850,6,-0.335,-0.583,,,
1850,7,-0.683,-0.531,,,
1850,8,-0.626,-0.569,,,
1850,9,-0.572,-0.605,,,
1850,10,-1.087,-0.589,,,
1850,11,-0.896,-0.555,,,
1850,12,-0.033,-0.579,,,
1851,1,-0.178,-0.553,,,
1851,2,-0.622,-0.552,,,
1851,3,-0.594,-0.561,,,
1851,4,-0.469,-0.527,,,
1851,5,-0.56,-0.534,,,
1851,6,-0.624,-0.547,,,
1851,7,-0.371,-0.558,,,
1851,8,-0.621,-0.584,,,
1851,9,-0.682,-0.652,,,
1851,10,-0.678,,,,
1851,11,-0.971,,,,
1851,12,-0.195,,,,
1852,1,,,,,
1852,2,,,,,
1852,3,,,,,
1852,4,,,,,
1852,5,,,,,
1852,6,,,,,
1852,7,,,,,
1852,8,,,,,
1852,9,,,,,
1852,10,,,,,
1852,11,,,,,
1852,12,,,,,
1853,1,,,,,
1853,2,,,,,
1853,3,,,,,
1853,4,,,,,
1853,5,,,,,
1853,6,,,,,
1853,7,,,,,
1853,8,,,,,
1853,9,,,,,
1853,10,,,,,
1853,11,,,,,
1853,12,,,,,
1854,1,,,,,
1854,2,,,,,
1854,3,,,,,
1854,4,,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,,,,,
1854,9,,,,,
1854,10,,,,,
1854,11,,,,,
1854,12,,,,,
1855,1,,,,,
1855,2,,,,,
1855,3,,,,,
1855,4,,,,,
1855,5,,,,,
1855,6,,,,,
1855,7,,,,,
1855,8,,,,,
1855,9,,,,,
1855,10,,,,,
1855,11,,,,,
1855,12,,,,,
1856,1,,,,,
1856,2,,,,,
1856,3,,,,,
1856,4,,,,,
1856,5,,,,,
1856,6,,,,,
1856,7,,,,,
1856,8,,,,,
1856,9,,,,,
1856,10,,,,,
1856,11,,,,,
1856,12,,,,,
1857,1,,,,,
1857,2,,,,,
1857,3,,,,,
1857,4,,,,,
1857,5,,,,,
1857,6,,,,,
1857,7,,,,,
1857,8,,,,,
1857,9,1.41,,,,
1857,10,,,,,
1857,11,,,,,
1857,12,,,,,
1858,1,,,,,
1858,2,,,,,
1858,3,-0.993,,,,
1858,4,-0.482,,,,
1858,5,-0.789,,,,
1858,6,0.866,-0.325,,,
1858,7,0.248,-0.361,,,
1858,8,0.52,-0.332,,,
1858,9,0.392,-0.318,,,
1858,10,,-0.091,,,
1858,11,-0.376,0.138,,,
1858,12,-1.518,0.19,,,
1859,1,-0.745,0.157,,,
1859,2,,,,,
1859,3,-0.819,,,,
1859,4,2.238,,,,
1859,5,1.953,,,,
1859,6,1.497,,,,
1859,7,,,,,
1859,8,,,,,
1859,9,-0.407,,,,
1859,10,,,,,
1859,11,,,,,
1859,12,,,,,
1860,1,-1.031,,,,
1860,2,-1.16,,,,
1860,3,0.136,,,,
1860,4,,-0.668,,,
1860,5,-0.964,-0.832,,,
1860,6,-0.508,-0.967,,,
1860,7,-0.942,-1.047,,,
1860,8,-0.556,,,,
1860,9,-1.288,,,,
1860,10,-1.847,,,,
1860,11,-2.289,,,,
1860,12,,,,,
1861,1,,,,,
1861,2,,,,,
1861,3,,,,,
1861,4,,,,,
1861,5,,,,,
1861,6,,,,,
1861,7,,,,,
1861,8,,,,,
1861,9,,,,,
1861,10,,,,,
1861,11,,,,,
1861,12,,,,,
1862,1,-1.387,,,,
1862,2,-2.356,,,,
1862,3,-2.074,,,,
1862,4,-1.929,,,,
1862,5,,,,,
1862,6,-0.912,-1.044,,,
1862,7,0.176,,,,
1862,8,0.067,,,,
1862,9,-0.022,,,,
1862,10,-0.508,,,,
1862,11,,,,,
1862,12,-1.809,,,,
1863,1,,,,,
1863,2,,,,,
1863,3,,,,,
1863,4,,,,,
1863,5,,,,,
1863,6,,,,,
1863,7,,,,,
1863,8,,,,,
1863,9,,,,,
1863,10,,,,,
1863,11,,,,,
1863,12,,,,,
1864,1,,,,,
1864,2,,,,,
1864,3,,,,,
1864,4,,,,,
1864,5,,,,,
1864,6,,,,,
1864,7,,,,,
1864,8,,,,,
1864,9,,,,,
1864,10,,,,,
1864,11,,,,,
1864,12,,,,,
1865,1,,,,,
1865,2,,,,,
1865,3,,,,,
1865,4,,,,,
1865,5,,,,,
1865,6,,,,,
1865,7,,,,,
1865,8,,,,,
1865,9,,,,,
1865,10,,,,,
1865,11,,,,,
1865,12,,,,,
1866,1,,,,,
1866,2,,,,,
1866,3,,,,,
1866,4,,,,,
1866,5,,,,,
1866,6,,,,,
1866,7,,,,,
1866,8,,,,,
1866,9,,,,,
1866,10,,,,,
1866,11,,,,,
1866,12,,,,,
1867,1,,,,,
1867,2,,,,,
1867,3,,,,,
1867,4,,,,,
1867,5,,,,,
1867,6,,,,,
1867,7,,,,,
1867,8,,,,,
1867,9,,,,,
1867,10,,,,,
1867,11,,,,,
1867,12,,,,,
1868,1,-0.36,,,,
1868,2,-0.706,,,,
1868,3,-1.53,,,,
1868,4,-1.381,,,,
1868,5,,,,,
1868,6,-1.422,,,,
1868,7,0.255,,,,
1868,8,0.68,,,,
1868,9,0.689,,,,
1868,10,-0.455,,,,
1868,11,-1.483,,,,
1868,12,0.049,,,,
1869,1,-0.704,,,,
1869,2,-0.638,,,,
1869,3,,,,,
1869,4,,,,,
1869,5,-1.29,,,,
1869,6,0.566,,,,
1869,7,0.831,,,,
1869,8,0.488,,,,
1869,9,1.106,,,,
1869,10,0.761,,,,
1869,11,-1.418,,,,
1869,12,-0.664,,,,
1870,1,-0.183,,,,
1870,2,-1.948,,,,
1870,3,,,,,
1870,4,-1.508,,,,
1870,5,-1.454,,,,
1870,6,0.301,,,,
1870,7,0.929,,,,
1870,8,0.693,,,,
1870,9,0.826,,,,
1870,10,0.896,,,,
1870,11,-0.254,,,,
1870,12,-0.156,,,,
1871,1,,,,,
1871,2,,,,,
1871,3,,,,,
1871,4,,,,,
1871,5,,,,,
1871,6,,,,,
1871,7,,,,,
1871,8,,,,,
1871,9,,,,,
1871,10,,,,,
1871,11,,,,,
1871,12,,,,,
1872,1,,,,,
1872,2,,,,,
1872,3,,,,,
1872,4,,,,,
1872,5,,,,,
1872,6,,,,,
1872,7,,,,,
1872,8,,,,,
1872,9,,,,,
1872,10,,,,,
1872,11,,,,,
1872,12,,,,,
1873,1,,,,,
1873,2,,,,,
1873,3,,,,,
1873,4,,,,,
1873,5,,,,,
1873,6,,,,,
1873,7,-0.032,,,,
1873,8,-0.29,,,,
1873,9,0.26,-0.473,,,
1873,10,-0.496,-0.406,,,
1873,11,-1.269,-0.444,,,
1873,12,-0.056,-0.453,,,
1874,1,-1.117,-0.498,,,
1874,2,-0.656,-0.555,,,
1874,3,-1.475,-0.584,,,
1874,4,0.224,-0.57,,,
1874,5,-0.781,-0.545,,,
1874,6,0.254,-0.592,,,
1874,7,-0.578,-0.574,,,
1874,8,-0.971,-0.608,,,
1874,9,-0.082,-0.544,-0.557,,
1874,10,-0.331,-0.603,-0.559,,
1874,11,-0.964,-0.627,-0.559,,
1874,12,-0.631,-0.7,-0.557,,
1875,1,-0.901,-0.714,-0.55,,
1875,2,-1.055,-0.717,-0.546,,
1875,3,-0.716,-0.748,-0.541,-0.41,
1875,4,-0.485,-0.778,-0.545,-0.404,
1875,5,-1.061,-0.836,-0.532,-0.389,
1875,6,-0.629,-0.852,-0.522,-0.387,
1875,7,-0.739,-0.845,-0.519,-0.39,
1875,8,-1.012,-0.828,-0.511,-0.39,
1875,9,-0.448,-0.758,-0.494,-0.4,
1875,10,-0.689,-0.702,-0.477,-0.4,
1875,11,-1.668,-0.676,-0.472,-0.397,
1875,12,-0.819,-0.602,-0.464,-0.394,
1876,1,-0.823,-0.594,-0.469,-0.376,
1876,2,-0.846,-0.602,-0.467,-0.363,
1876,3,0.118,-0.652,-0.472,-0.356,
1876,4,0.187,-0.661,-0.471,-0.357,
1876,5,-0.746,-0.622,-0.45,-0.348,
1876,6,0.264,-0.62,-0.458,-0.345,
1876,7,-0.648,-0.613,-0.453,-0.337,
1876,8,-1.101,-0.608,-0.443,-0.34,
1876,9,-1.057,-0.651,-0.426,-0.334,
1876,10,-0.793,-0.7,-0.436,-0.337,
1876,11,-1.2,-0.651,-0.433,-0.33,
1876,12,-0.795,-0.678,-0.424,-0.328,
1877,1,-0.738,-0.58,-0.429,-0.32,
1877,2,-0.785,-0.477,-0.433,-0.312,
1877,3,-0.4,-0.373,-0.437,-0.307,
1877,4,-0.404,-0.326,-0.433,-0.308,
1877,5,-0.158,-0.253,-0.428,-0.307,
1877,6,-0.06,-0.229,-0.424,-0.309,
1877,7,0.532,-0.229,-0.417,-0.307,
1877,8,0.139,-0.139,-0.412,-0.307,
1877,9,0.184,-0.043,-0.407,-0.308,
1877,10,-0.23,0.029,-0.413,-0.307,
1877,11,-0.323,0.04,-0.389,-0.303,-0.347
1877,12,-0.506,0.113,-0.37,-0.293,-0.349
1878,1,-0.739,0.042,-0.348,-0.288,-0.35
1878,2,0.297,0.013,-0.32,-0.294,-0.35
1878,3,0.746,-0.006,-0.318,-0.299,-0.344
1878,4,0.461,-0.018,-0.291,-0.291,-0.338
1878,5,-0.025,0.005,-0.263,-0.295,-0.34
1878,6,0.817,0.005,-0.245,-0.291,-0.337
1878,7,-0.315,-0.004,-0.22,-0.29,-0.339
1878,8,-0.205,-0.034,-0.209,-0.293,-0.346
1878,9,-0.045,-0.132,-0.204,-0.3,-0.349
1878,10,-0.383,-0.205,-0.205,-0.293,-0.348
1878,11,-0.042,-0.25,-0.184,-0.279,-0.343
1878,12,-0.506,-0.255,-0.182,-0.28,-0.346
1879,1,-0.852,-0.302,-0.155,-0.277,-0.346
1879,2,-0.061,-0.384,-0.142,-0.272,-0.343
1879,3,-0.429,-0.407,-0.119,-0.256,-0.339
1879,4,-0.414,-0.384,-0.112,-0.253,-0.338
1879,5,-0.561,-0.432,-0.1,-0.246,-0.334
1879,6,0.754,-0.425,-0.092,-0.253,-0.337
1879,7,-0.878,-0.391,-0.081,-0.254,-0.344
1879,8,-1.197,-0.451,-0.069,-0.236,-0.353
