Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1849,2,-0.355,,,,
1849,3,-0.062,-0.695,,,
1849,4,-1.05,-0.7,,,
1849,5,-1.044,-0.667,,,
1849,6,-0.697,-0.584,,,
1849,7,-0.596,-0.618,,,
1849,8,-0.877,-0.591,,,
1849,9,-0.843,-0.597,,,
1849,10,-0.447,-0.566,,,
1849,11,-0.518,-0.562,,,
1849,12,-0.217,-0.539,,,
1850,1,-0.715,-0.542,,,
1850,2,-0.026,-0.526,,,
1850,3,-0.132,-0.501,,,
1850,4,-0.68,-0.548,,,
1850,5,-0.998,-0.581,,,
1850,6,-0.415,-0.555,,,
1850,7,-0.638,-0.501,,,
1850,8,-0.69,-0.538,,,
1850,9,-0.539,-0.575,,,
1850,10,-1.014,-0.559,,,
1850,11,-0.911,-0.523,,,
1850,12,0.098,-0.545,,,
1851,1,-0.061,-0.518,,,
1851,2,-0.478,-0.517,,,
1851,3,-0.573,-0.524,,,
1851,4,-0.49,-0.488,,,
1851,5,-0.565,-0.494,,,
1851,6,-0.678,-0.502,,,
1851,7,-0.315,-0.513,,,
1851,8,-0.676,-0.538,,,
1851,9,-0.621,-0.607,,,
1851,10,-0.583,,,,
1851,11,-0.983,,,,
1851,12,0.004,,,,
1852,1,,,,,
1852,2,,,,,
1852,3,,,,,
1852,4,,,,,
1852,5,,,,,
1852,6,,,,,
1852,7,,,,,
1852,8,,,,,
1852,9,,,,,
1852,10,,,,,
1852,11,,,,,
1852,12,,,,,
1853,1,,,,,
1853,2,,,,,
1853,3,,,,,
1853,4,,,,,
1853,5,,,,,
1853,6,,,,,
1853,7,,,,,
1853,8,,,,,
1853,9,,,,,
1853,10,,,,,
1853,11,,,,,
1853,12,,,,,
1854,1,,,,,
1854,2,,,,,
1854,3,,,,,
1854,4,,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,,,,,
1854,9,,,,,
1854,10,,,,,
1854,11,,,,,
1854,12,,,,,
1855,1,,,,,
1855,2,,,,,
1855,3,,,,,
1855,4,,,,,
1855,5,,,,,
1855,6,,,,,
1855,7,,,,,
1855,8,,,,,
1855,9,,,,,
1855,10,,,,,
1855,11,,,,,
1855,12,,,,,
1856,1,,,,,
1856,2,,,,,
1856,3,,,,,
1856,4,,,,,
1856,5,,,,,
1856,6,,,,,
1856,7,,,,,
1856,8,,,,,
1856,9,,,,,
1856,10,,,,,
1856,11,,,,,
1856,12,,,,,
1857,1,,,,,
1857,2,,,,,
1857,3,,,,,
1857,4,,,,,
1857,5,,,,,
1857,6,,,,,
1857,7,,,,,
1857,8,,,,,
1857,9,1.971,,,,
1857,10,,,,,
1857,11,,,,,
1857,12,,,,,
1858,1,,,,,
1858,2,,,,,
1858,3,-1.088,,,,
1858,4,-0.65,,,,
1858,5,-0.86,,,,
1858,6,1.003,-0.251,,,
1858,7,0.511,-0.296,,,
1858,8,0.755,-0.266,,,
1858,9,0.712,-0.249,,,
1858,10,,0.024,,,
1858,11,-0.467,0.297,,,
1858,12,-1.536,0.359,,,
1859,1,-0.678,0.309,,,
1859,2,,,,,
1859,3,-0.884,,,,
1859,4,2.631,,,,
1859,5,2.408,,,,
1859,6,1.755,,,,
1859,7,,,,,
1859,8,,,,,
1859,9,-0.317,,,,
1859,10,,,,,
1859,11,,,,,
1859,12,,,,,
1860,1,-1.142,,,,
1860,2,-1.231,,,,
1860,3,0.354,,,,
1860,4,,-0.771,,,
1860,5,-1.108,-0.963,,,
1860,6,-0.753,-1.097,,,
1860,7,-1.126,-1.158,,,
1860,8,-0.756,,,,
1860,9,-1.565,,,,
1860,10,-2.127,,,,
1860,11,-2.616,,,,
1860,12,,,,,
1861,1,,,,,
1861,2,,,,,
1861,3,,,,,
1861,4,,,,,
1861,5,,,,,
1861,6,,,,,
1861,7,,,,,
1861,8,,,,,
1861,9,,,,,
1861,10,,,,,
1861,11,,,,,
1861,12,,,,,
1862,1,-1.12,,,,
1862,2,-2.428,,,,
1862,3,-2.511,,,,
1862,4,-2.349,-0.837,,,
1862,5,,-0.927,,,
1862,6,-1.143,-1.037,,,
1862,7,0.358,-0.916,,,
1862,8,0.22,,,,
1862,9,0.285,,,,
1862,10,-0.326,,,,
1862,11,,,,,
1862,12,-1.622,,,,
1863,1,,,,,
1863,2,,,,,
1863,3,,,,,
1863,4,,,,,
1863,5,,,,,
1863,6,,,,,
1863,7,,,,,
1863,8,,,,,
1863,9,,,,,
1863,10,,,,,
1863,11,,,,,
1863,12,,,,,
1864,1,,,,,
1864,2,,,,,
1864,3,,,,,
1864,4,,,,,
1864,5,,,,,
1864,6,,,,,
1864,7,,,,,
1864,8,,,,,
1864,9,,,,,
1864,10,,,,,
1864,11,,,,,
1864,12,,,,,
1865,1,,,,,
1865,2,,,,,
1865,3,,,,,
1865,4,,,,,
1865,5,,,,,
1865,6,,,,,
1865,7,,,,,
1865,8,,,,,
1865,9,,,,,
1865,10,,,,,
1865,11,,,,,
1865,12,,,,,
1866,1,,,,,
1866,2,,,,,
1866,3,,,,,
1866,4,,,,,
1866,5,,,,,
1866,6,,,,,
1866,7,,,,,
1866,8,,,,,
1866,9,,,,,
1866,10,,,,,
1866,11,,,,,
1866,12,,,,,
1867,1,,,,,
1867,2,,,,,
1867,3,,,,,
1867,4,,,,,
1867,5,,,,,
1867,6,,,,,
1867,7,,,,,
1867,8,,,,,
1867,9,,,,,
1867,10,,,,,
1867,11,,,,,
1867,12,,,,,
1868,1,-0.096,,,,
1868,2,-0.28,,,,
1868,3,-1.729,,,,
1868,4,-1.792,-0.249,,,
1868,5,,-0.447,,,
1868,6,-1.906,-0.457,,,
1868,7,0.281,-0.502,,,
1868,8,0.848,-0.533,,,
1868,9,1.097,-0.424,,,
1868,10,-0.549,-0.281,,,
1868,11,-1.563,-0.406,,,
1868,12,0.326,-0.2,,,
1869,1,-0.632,-0.137,,,
1869,2,-0.65,-0.165,,,
1869,3,,-0.146,,,
1869,4,,-0.012,,,
1869,5,-1.614,-0.021,,,
1869,6,0.563,-0.085,,,
1869,7,1.037,-0.02,,,
1869,8,0.508,-0.126,,,
1869,9,1.326,-0.139,,,
1869,10,1.062,-0.289,,,
1869,11,-1.669,-0.308,,,
1869,12,-0.442,-0.344,,,
1870,1,0.145,-0.339,,,
1870,2,-1.926,-0.305,,,
1870,3,,-0.326,,,
1870,4,-1.886,-0.307,,,
1870,5,-1.845,-0.175,,,
1870,6,0.126,-0.109,,,
1870,7,1.099,-0.232,,,
