Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1845,2,-1.076,,,,
1845,3,-0.887,,,,
1845,4,-0.988,,,,
1845,5,-0.847,,,,
1845,6,-0.857,,,,
1845,7,-0.32,,,,
1845,8,-0.611,,,,
1845,9,-0.84,,,,
1845,10,,-0.678,,,
1845,11,,-0.607,,,
1845,12,,-0.517,,,
1846,1,0.356,-0.489,,,
1846,2,0.222,-0.46,,,
1846,3,0.328,-0.43,,,
1846,4,-0.568,-0.383,,,
1846,5,0.011,-0.362,,,
1846,6,0.219,-0.23,-0.772,,
1846,7,0.019,-0.294,-0.768,,
1846,8,-0.263,-0.366,-0.757,,
1846,9,-0.481,-0.487,-0.753,,
1846,10,-1.09,-0.513,-0.753,,
1846,11,-0.997,-0.607,-0.746,,
1846,12,-0.52,-0.687,-0.741,,
1847,1,-0.409,-0.723,-0.736,,
1847,2,-0.644,-0.752,-0.732,,
1847,3,-1.118,-0.774,-0.723,,
1847,4,-0.883,-0.779,-0.727,,
1847,5,-1.122,-0.737,-0.714,,
1847,6,-0.735,-0.802,-0.706,,
1847,7,-0.416,-0.861,-0.72,,
1847,8,-0.61,-0.841,-0.712,,
1847,9,-0.742,-0.828,-0.71,-0.727,
1847,10,-1.146,-0.807,-0.711,-0.724,
1847,11,-0.503,-0.789,-0.714,-0.721,
1847,12,-1.291,-0.767,-0.7,-0.731,
1848,1,-1.127,-0.734,-0.694,-0.739,
1848,2,-0.399,-0.736,-0.691,-0.748,
1848,3,-0.966,-0.756,-0.683,-0.748,
1848,4,-0.622,-0.722,-0.665,-0.746,
1848,5,-0.916,-0.724,-0.654,-0.738,
1848,6,-0.463,-0.697,-0.629,-0.729,
1848,7,-0.023,-0.638,-0.645,-0.725,
1848,8,-0.632,-0.655,-0.663,-0.72,
1848,9,-0.98,-0.615,-0.685,-0.719,
1848,10,-0.74,-0.667,-0.695,-0.722,
1848,11,-0.53,-0.68,-0.711,-0.72,
1848,12,-0.968,-0.683,-0.723,-0.725,
1849,1,-0.421,-0.712,-0.72,-0.729,
1849,2,-0.601,-0.725,-0.724,-0.73,
1849,3,-0.487,-0.714,-0.73,-0.73,
1849,4,-1.241,-0.725,-0.726,-0.727,
1849,5,-1.07,-0.779,-0.728,-0.72,
1849,6,-0.502,-0.808,-0.733,-0.717,
1849,7,-0.373,-0.883,-0.735,-0.713,
1849,8,-0.789,-0.881,-0.738,-0.709,
1849,9,-0.847,-0.906,-0.74,-0.704,
1849,10,-0.868,-0.89,-0.736,-0.703,
1849,11,-1.181,-0.887,-0.724,-0.694,
1849,12,-1.314,-0.849,-0.721,-0.685,
1850,1,-1.328,-0.813,-0.716,-0.68,
1850,2,-0.575,-0.782,-0.713,-0.674,
1850,3,-0.78,-0.743,-0.709,-0.674,
1850,4,-1.057,-0.718,-0.7,-0.67,
1850,5,-1.024,-0.669,-0.71,-0.665,
1850,6,-0.047,-0.609,-0.706,-0.66,
1850,7,0.057,-0.548,-0.697,-0.659,
1850,8,-0.416,-0.572,-0.698,-0.658,
1850,9,-0.382,-0.591,-0.692,-0.658,
1850,10,-0.571,-0.597,-0.689,-0.653,
1850,11,-0.585,-0.593,-0.682,-0.65,
1850,12,-0.601,-0.631,-0.677,-0.64,
1851,1,-0.598,-0.62,-0.678,-0.645,
1851,2,-0.865,-0.625,-0.672,-0.651,
1851,3,-1.008,-0.664,-0.674,-0.659,
1851,4,-1.118,-0.689,-0.677,-0.659,
1851,5,-0.979,-0.733,-0.687,-0.666,
1851,6,-0.503,-0.747,-0.678,-0.671,
1851,7,0.186,-0.745,-0.691,-0.677,
1851,8,-0.48,-0.741,-0.702,-0.681,
1851,9,-0.841,-0.762,-0.707,-0.687,
1851,10,-0.875,-0.72,-0.702,-0.689,
1851,11,-1.115,-0.672,-0.694,-0.692,
1851,12,-0.773,-0.675,-0.693,-0.696,
1852,1,-0.575,-0.702,-0.69,-0.699,
1852,2,-0.816,-0.697,-0.686,-0.704,
1852,3,-1.252,-0.67,-0.685,-0.705,
1852,4,-0.622,-0.648,-0.68,-0.707,
1852,5,-0.393,-0.644,-0.674,-0.708,-0.729
1852,6,-0.542,-0.67,-0.664,-0.71,-0.728
1852,7,-0.137,-0.668,-0.64,-0.714,-0.725
1852,8,-0.417,-0.64,-0.637,-0.715,-0.725
1852,9,-0.526,-0.585,-0.638,-0.716,-0.723
1852,10,-0.611,-0.571,-0.629,-0.712,-0.723
1852,11,-1.06,-0.582,-0.616,-0.716,-0.722
1852,12,-1.085,-0.547,-0.621,-0.714,-0.728
1853,1,-0.549,-0.544,-0.624,-0.709,-0.733
1853,2,-0.489,-0.531,-0.625,-0.713,-0.738
1853,3,-0.583,-0.577,-0.632,-0.71,-0.741
1853,4,-0.455,-0.605,-0.642,-0.709,-0.742
1853,5,-0.524,-0.609,-0.646,-0.706,-0.738
1853,6,-0.124,-0.558,-0.651,-0.707,-0.735
1853,7,-0.099,-0.609,-0.644,-0.711,-0.735
1853,8,-0.272,-0.677,-0.639,-0.71,-0.735
1853,9,-1.071,-0.689,-0.632,-0.711,-0.734
1853,10,-0.951,-0.73,-0.623,-0.712,-0.736
1853,11,-1.105,-0.737,-0.621,-0.713,-0.733
1853,12,-0.469,-0.763,-0.619,-0.713,-0.739
1854,1,-1.169,-0.771,-0.633,-0.716,-0.742
1854,2,-1.3,-0.793,-0.639,-0.717,-0.742
1854,3,-0.731,-0.771,-0.644,-0.721,-0.744
1854,4,-0.943,-0.739,-0.652,-0.715,-0.742
1854,5,-0.613,-0.713,-0.656,-0.709,-0.735
1854,6,-0.432,-0.738,-0.66,-0.707,-0.733
1854,7,-0.195,-0.628,-0.662,-0.707,-0.731
1854,8,-0.535,-0.554,-0.669,-0.705,-0.729
1854,9,-0.809,-0.564,-0.67,-0.704,-0.724
1854,10,-0.571,-0.529,-0.678,-0.702,-0.723
1854,11,-0.795,-0.497,-0.691,-0.699,-0.718
1854,12,-0.758,-0.487,-0.699,-0.693,-0.715
1855,1,0.151,-0.485,-0.712,-0.69,-0.715
1855,2,-0.414,-0.479,-0.716,-0.693,-0.714
1855,3,-0.855,-0.478,-0.723,-0.7,-0.715
1855,4,-0.519,-0.527,-0.723,-0.696,-0.715
1855,5,-0.231,-0.529,-0.722,-0.687,-0.712
1855,6,-0.316,-0.541,-0.721,-0.686,-0.71
1855,7,-0.162,-0.571,-0.721,-0.685,-0.709
1855,8,-0.472,-0.581,-0.728,-0.682,-0.708
1855,9,-0.789,-0.562,-0.728,-0.683,-0.706
1855,10,-1.165,-0.563,-0.728,-0.685,-0.702
1855,11,-0.821,-0.616,-0.729,-0.688,-0.698
1855,12,-0.892,-0.624,-0.738,-0.69,-0.693
1856,1,-0.215,-0.665,-0.744,-0.703,-0.697
1856,2,-0.532,-0.694,-0.749,-0.703,-0.704
1856,3,-0.629,-0.726,-0.748,-0.702,-0.71
1856,4,-0.535,-0.741,-0.747,-0.698,-0.709
1856,5,-0.861,-0.786,-0.739,-0.697,-0.711
1856,6,-0.414,-0.796,-0.748,-0.698,-0.714
1856,7,-0.65,-0.835,-0.741,-0.703,-0.712
1856,8,-0.825,-0.893,-0.732,-0.7,-0.713
1856,9,-1.17,-0.951,-0.735,-0.699,-0.712
1856,10,-1.351,-1.0,-0.729,-0.7,-0.711
1856,11,-1.357,-1.025,-0.723,-0.692,-0.708
1856,12,-1.012,-1.074,-0.722,-0.691,-0.707
1857,1,-0.683,-1.094,-0.724,-0.702,-0.708
1857,2,-1.231,-1.084,-0.724,-0.708,-0.709
1857,3,,-1.062,-0.723,-0.708,-0.708
1857,4,-1.117,-1.003,-0.724,-0.713,-0.707
1857,5,-1.168,-0.973,-0.725,-0.712,-0.704
1857,6,-0.998,-0.975,-0.723,-0.712,-0.701
1857,7,-0.894,-0.962,-0.74,-0.714,-0.699
1857,8,-0.702,-0.934,-0.749,-0.717,-0.698
