Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,2,-0.832,,,,
1824,3,0.42,,,,
1824,4,0.465,,,,
1824,5,0.168,-0.32,,,
1824,6,0.181,-0.205,,,
1824,7,0.261,-0.231,,,
1824,8,-0.998,-0.165,,,
1824,9,-1.025,-0.214,,,
1824,10,-1.178,-0.244,,,
1824,11,-0.221,-0.263,,,
1824,12,0.034,-0.28,,,
1825,1,-0.045,-0.347,,,
1825,2,-0.045,-0.355,,,
1825,3,-0.161,-0.372,,,
1825,4,0.103,-0.373,,,
1825,5,-0.067,-0.402,-0.426,,
1825,6,-0.015,-0.492,-0.391,,
1825,7,-0.552,-0.568,-0.379,,
1825,8,-1.094,-0.553,-0.35,,
1825,9,-1.22,-0.529,-0.345,,
1825,10,-1.198,-0.49,-0.332,,
1825,11,-0.564,-0.473,-0.323,,
1825,12,-1.05,-0.508,-0.315,,
1826,1,-0.96,-0.464,-0.31,,
1826,2,0.14,-0.452,-0.296,,
1826,3,0.128,-0.4,-0.292,,
1826,4,0.577,-0.375,-0.275,,
1826,5,0.126,-0.386,-0.253,,
1826,6,-0.432,-0.274,-0.227,,
1826,7,-0.025,-0.223,-0.251,,
1826,8,-0.946,-0.156,-0.247,,
1826,9,-0.591,-0.128,-0.274,,
1826,10,-0.908,-0.088,-0.288,,
1826,11,-0.689,-0.042,-0.298,,
1826,12,0.296,0.003,-0.309,,
1827,1,-0.351,0.044,-0.315,,
1827,2,0.941,0.098,-0.307,,
1827,3,0.467,0.056,-0.305,,
1827,4,1.058,0.049,-0.3,,
1827,5,0.672,0.071,-0.319,,
1827,6,,0.054,-0.333,,
1827,7,0.456,0.099,-0.317,,
1827,8,-0.297,0.044,-0.297,,
1827,9,-1.092,-0.019,-0.305,,
1827,10,-0.988,-0.118,-0.31,,
1827,11,-0.429,-0.178,-0.319,,
1827,12,0.095,-0.173,-0.322,,
1828,1,0.193,-0.214,-0.307,,
1828,2,0.273,-0.221,-0.297,,
1828,3,-0.281,-0.24,-0.302,,
1828,4,-0.133,-0.23,-0.302,,
1828,5,-0.053,-0.227,-0.276,,
1828,6,0.177,-0.219,-0.24,,
1828,7,-0.034,-0.331,,,
1828,8,-0.377,-0.403,,,
1828,9,-1.316,-0.479,,,
1828,10,,-0.502,,,
1828,11,-0.395,-0.533,,,
1828,12,0.186,-0.588,,,
1829,1,-1.145,-0.595,,,
1829,2,-0.593,-0.604,,,
1829,3,-1.199,-0.572,,,
1829,4,-0.405,-0.573,,,
1829,5,-0.425,-0.651,,,
1829,6,-0.479,-0.733,,,
1829,7,-0.121,-0.563,,,
1829,8,-0.481,-0.419,,,
1829,9,-0.941,,,,
1829,10,,,,,
1829,11,-1.333,,,,
1829,12,-0.791,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
