Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1852,11,-0.707,,,,
1852,12,0.39,-0.625,,,
1853,1,-1.784,-0.596,,,
1853,2,-1.287,-0.617,,,
1853,3,-0.951,-0.633,,,
1853,4,-0.59,-0.566,,,
1853,5,-0.203,-0.626,,,
1853,6,-0.494,-0.777,,,
1853,7,0.168,-0.745,,,
1853,8,-0.455,-0.768,,,
1853,9,-0.694,-0.705,,,
1853,10,-0.181,,,,
1853,11,-1.425,,,,
1853,12,-1.423,,,,
1854,1,,,,,
1854,2,,,,,
1854,3,,,,,
1854,4,,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,,,,,
1854,9,,,,,
1854,10,,,,,
1854,11,,,,,
1854,12,-1.204,,,,
1855,1,-0.946,,,,
1855,2,-1.551,,,,
1855,3,-1.143,-0.882,,,
1855,4,-0.705,-0.962,,,
1855,5,-0.128,-0.915,,,
1855,6,-0.297,-0.859,,,
1855,7,,-0.862,,,
1855,8,-0.701,-0.798,,,
1855,9,-1.013,-0.725,,,
1855,10,-1.32,-0.739,,,
1855,11,-0.72,-0.756,,,
1855,12,-0.538,-0.726,,,
1856,1,-0.983,-0.655,,,
1856,2,-0.784,-0.626,,,
1856,3,-0.261,-0.625,,,
1856,4,,-0.61,,,
1856,5,-0.328,,,,
1856,6,0.064,,,,
1856,7,-0.403,,,,
1856,8,-0.354,,,,
1856,9,,,-0.711,,
1856,10,,,-0.695,,
1856,11,,,-0.697,,
1856,12,,,-0.7,,
1857,1,,,-0.689,,
1857,2,-1.237,,-0.676,,
1857,3,-1.916,,-0.67,,
1857,4,-0.902,-0.765,-0.67,,
1857,5,-0.985,-0.781,-0.674,,
1857,6,-0.258,-0.828,-0.675,,
1857,7,-0.329,-0.645,-0.675,,
1857,8,-0.799,-0.607,-0.666,,
1857,9,-0.939,-0.609,-0.682,,
1857,10,-0.078,-0.619,-0.681,,
1857,11,-0.763,-0.537,-0.703,,
1857,12,-0.749,-0.492,-0.695,,
1858,1,1.218,-0.535,-0.683,,
1858,2,-0.784,-0.542,-0.68,,
1858,3,-1.942,-0.453,-0.67,,
1858,4,-1.026,-0.474,-0.665,,
1858,5,0.001,-0.487,-0.661,,
1858,6,0.288,-0.484,-0.666,,
1858,7,-0.849,-0.662,-0.664,,
1858,8,-0.878,-0.629,-0.661,,
1858,9,0.13,-0.486,-0.675,,
1858,10,-0.336,-0.437,-0.673,,
1858,11,-0.914,-0.467,-0.68,,
1858,12,-0.714,-0.548,-0.685,,
1859,1,-0.917,-0.498,-0.679,,
1859,2,-0.396,-0.461,-0.681,,
1859,3,-0.224,-0.539,-0.677,,
1859,4,-0.43,-0.539,-0.676,,
1859,5,-0.363,-0.592,-0.673,,
1859,6,-0.689,-0.637,-0.68,,
1859,7,-0.242,-0.638,-0.685,,
1859,8,-0.432,-0.69,-0.675,,
1859,9,-0.814,-0.848,-0.655,,
1859,10,-0.339,-0.863,-0.651,,
1859,11,-1.54,-0.952,-0.642,-0.755,
1859,12,-1.261,-0.882,,-0.753,
1860,1,-0.921,-0.904,,,
1860,2,-1.03,-0.912,,,
1860,3,-2.112,-0.88,,,
1860,4,-0.61,-0.936,,,
1860,5,-1.434,-0.846,,,
1860,6,0.15,-0.813,,,
1860,7,-0.505,-0.81,,,
1860,8,-0.531,-0.772,,,
1860,9,-0.433,-0.69,,,
1860,10,-1.005,-0.7,,,
1860,11,-0.463,-0.643,,,
1860,12,-0.864,,,,
1861,1,-0.887,,,,
1861,2,,,,,
1861,3,-1.126,,,,
1861,4,,,,,
1861,5,,,,,
1861,6,,,,,
1861,7,,,,,
1861,8,,,,,
1861,9,,,,,
1861,10,,,,,
1861,11,,,,,
1861,12,,,,,
1862,1,,,,,
1862,2,,,,,
1862,3,,,,,
1862,4,,,,,
1862,5,,,,,
1862,6,,,,,
1862,7,,,,,
1862,8,,,,,
1862,9,,,,,
1862,10,,,,,
1862,11,,,,,
1862,12,,,,,
1863,1,-0.901,,,,
1863,2,0.182,,,,
1863,3,-0.496,-0.951,,,
1863,4,-1.027,-0.907,,,
1863,5,-0.583,-0.833,,,
1863,6,-0.086,-0.754,,,
1863,7,-0.527,-0.728,,,
1863,8,-0.867,-0.752,,,
1863,9,-1.173,-0.876,,,
1863,10,-0.974,-0.931,,,
1863,11,-1.053,-1.023,,,
1863,12,-1.546,-1.08,,,
1864,1,-0.583,-1.087,,,
1864,2,-0.107,-1.099,,,-0.669
1864,3,-1.983,-1.038,,,-0.669
