Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1840,3,-1.519,,,,
1840,4,-0.841,,,,
1840,5,-0.637,-1.039,,,
1840,6,-0.139,-0.968,,,
1840,7,-0.017,-1.069,,,
1840,8,-0.778,-1.056,,,
1840,9,-1.066,-1.094,,,
1840,10,-1.629,-1.138,,,
1840,11,-1.903,-1.166,,,
1840,12,-1.754,-1.218,,,
1841,1,-1.436,-1.227,,,
1841,2,-0.953,-1.173,,,
1841,3,-1.981,-1.187,-0.933,,
1841,4,-1.36,-1.075,-0.936,,
1841,5,-0.973,-0.994,-0.935,,
1841,6,-0.769,-0.926,-0.919,,
1841,7,-0.126,-0.867,-0.926,,
1841,8,-0.129,-0.828,-0.941,,
1841,9,-1.234,-0.671,-0.897,,
1841,10,-0.278,-0.597,-0.902,,
1841,11,-0.94,-0.617,-0.903,,
1841,12,-0.928,-0.613,-0.899,,
1842,1,-0.733,-0.719,-0.91,,
1842,2,-0.491,-0.766,-0.925,,
1842,3,-0.095,-0.761,-0.926,,
1842,4,-0.47,-0.84,-0.919,,
1842,5,-1.213,-0.869,-0.907,,
1842,6,-0.723,-0.796,-0.892,-0.965,
1842,7,-1.393,-0.723,-0.898,-0.958,
1842,8,-0.696,-0.645,-0.894,-0.957,
1842,9,-1.176,-0.751,-0.884,-0.949,
1842,10,-1.223,-0.77,-0.888,-0.944,
1842,11,-1.285,-0.8,-0.896,-0.93,
1842,12,-0.06,-0.779,-0.899,-0.93,
1843,1,0.148,-0.735,-0.909,-0.918,
1843,2,0.446,-0.719,-0.908,-0.905,
1843,3,-1.364,-0.701,-0.91,-0.896,
1843,4,-0.705,-0.672,-0.91,-0.897,
1843,5,-1.562,-0.648,-0.902,-0.888,
1843,6,-0.475,-0.663,-0.913,-0.889,
1843,7,-0.867,-0.769,-0.889,-0.892,
1843,8,-0.508,-0.883,-0.874,-0.899,
1843,9,-0.952,-0.809,-0.841,-0.899,
1843,10,-0.874,-0.843,-0.835,-0.901,
1843,11,-1.005,-0.843,-0.841,-0.908,
1843,12,-0.236,-0.859,-0.829,-0.911,
1844,1,-1.126,-0.873,-0.828,-0.914,
1844,2,-0.918,-0.9,-0.825,-0.914,
1844,3,-0.478,-0.948,-0.812,-0.892,
1844,4,-1.112,-0.93,-0.823,-0.9,
1844,5,-1.564,-0.987,-0.833,-0.901,
1844,6,-0.665,-1.109,-0.818,-0.901,
1844,7,-1.04,-1.063,-0.813,-0.904,
1844,8,-0.828,-1.059,-0.814,-0.908,
1844,9,-1.527,-1.096,-0.827,-0.904,
1844,10,-0.657,-1.094,-0.829,-0.899,
1844,11,-1.688,-1.054,-0.833,-0.888,
1844,12,-1.709,-1.026,-0.837,-0.879,-0.883
1845,1,-0.574,-0.99,-0.818,-0.888,-0.886
1845,2,-0.873,-0.981,-0.821,-0.883,-0.884
1845,3,-0.919,-0.951,-0.81,-0.874,-0.881
1845,4,-1.084,-1.032,-0.807,-0.877,-0.878
1845,5,-1.09,-1.013,-0.792,-0.882,-0.872
1845,6,-0.32,-1.07,-0.815,-0.883,-0.871
1845,7,-0.608,-1.021,-0.848,-0.887,-0.867
1845,8,-0.725,-0.953,-0.86,-0.879,-0.863
1845,9,-1.162,-0.88,-0.854,-0.876,-0.859
1845,10,-1.634,-0.871,-0.863,-0.867,-0.861
1845,11,-1.459,-0.89,-0.85,-0.86,-0.859
1845,12,-2.396,-0.868,-0.854,-0.853,-0.852
1846,1,0.024,-0.824,-0.85,-0.84,-0.855
1846,2,-0.056,-0.759,-0.862,-0.836,-0.857
1846,3,-0.051,-0.701,-0.866,-0.831,-0.86
1846,4,-0.969,-0.639,-0.867,-0.832,-0.86
1846,5,-1.32,-0.646,-0.881,-0.831,-0.859
1846,6,-0.062,-0.452,-0.904,-0.829,-0.858
1846,7,-0.081,-0.489,-0.902,-0.829,-0.861
1846,8,0.054,-0.529,-0.888,-0.829,-0.859
1846,9,-0.467,-0.596,-0.888,-0.826,-0.855
1846,10,-0.888,-0.567,-0.899,-0.829,-0.86
1846,11,-1.539,-0.581,-0.899,-0.825,-0.861
1846,12,-0.07,-0.655,-0.903,-0.82,-0.863
1847,1,-0.419,-0.668,-0.897,-0.814,-0.863
1847,2,-0.541,-0.743,-0.891,-0.815,-0.857
1847,3,-0.856,-0.747,-0.882,-0.83,-0.85
1847,4,-0.619,-0.764,-0.88,-0.835,-0.845
1847,5,-1.483,-0.667,-0.868,-0.828,-0.843
1847,6,-0.948,-0.781,-0.865,-0.821,-0.842
1847,7,-0.237,-0.898,-0.877,-0.807,-0.839
1847,8,-0.853,-0.878,-0.871,-0.805,-0.842
1847,9,-0.515,-0.889,-0.864,-0.804,-0.843
1847,10,-1.082,-0.938,-0.866,-0.796,-0.842
1847,11,-0.382,-0.881,-0.868,-0.794,-0.837
1847,12,-1.441,-0.862,-0.868,-0.801,-0.832
1848,1,-1.822,-0.896,-0.865,-0.813,-0.821
1848,2,-0.293,-0.924,-0.851,-0.831,-0.819
1848,3,-0.989,-0.982,-0.843,-0.813,-0.817
1848,4,-1.211,-0.968,-0.825,-0.801,-0.818
1848,5,-0.801,-1.094,-0.818,-0.785,-0.818
1848,6,-0.72,-1.107,-0.794,-0.777,-0.817
1848,7,-0.642,-1.039,-0.792,-0.769,-0.82
1848,8,-1.192,-1.019,-0.799,-0.762,-0.824
1848,9,-1.207,-0.978,-0.821,-0.754,-0.822
1848,10,-0.915,-1.023,-0.829,-0.749,-0.82
1848,11,-1.9,-1.086,-0.822,-0.735,-0.819
1848,12,-1.592,-1.102,-0.828,-0.742,-0.812
1849,1,-1.007,-1.108,-0.83,-0.729,-0.813
1849,2,-0.054,-1.047,-0.833,-0.725,-0.815
1849,3,-0.499,-1.031,-0.839,-0.72,-0.814
1849,4,-1.75,-0.995,-0.835,-0.721,-0.814
1849,5,-1.556,-0.92,-0.818,-0.705,-0.807
1849,6,-0.913,-0.913,-0.821,-0.695,-0.8
1849,7,-0.711,-0.939,-0.815,-0.677,-0.801
1849,8,-0.462,-0.978,-0.817,-0.667,-0.802
1849,9,-1.01,-0.976,-0.833,-0.664,-0.799
1849,10,-0.489,-0.929,-0.841,-0.669,-0.793
