Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,-0.354,-0.395,,,
1750,3,1.936,-0.381,,,
1750,4,0.429,-0.35,,,
1750,5,-1.346,-0.586,,,
1750,6,0.088,-0.607,,,
1750,7,0.717,-0.694,,,
1750,8,0.706,-0.949,,,
1750,9,-0.372,-1.018,,,
1750,10,-1.281,-1.193,,,
1750,11,-4.262,-1.144,,,
1750,12,-2.878,-1.211,,,
1751,1,-1.708,-1.165,,,
1751,2,-3.42,-1.128,,,
1751,3,1.116,-1.114,,,
1751,4,-1.681,-1.122,,,
1751,5,-0.755,-1.052,,,
1751,6,-0.713,-1.009,,,
1751,7,1.27,-0.973,,,
1751,8,1.145,-0.606,,,
1751,9,-0.204,-0.668,,,
1751,10,-1.374,-0.612,,,
1751,11,-3.423,-0.606,,,
1751,12,-2.357,-0.435,,,
1752,1,-1.284,-0.456,,,
1752,2,0.987,-0.614,,,
1752,3,0.368,,,,
1752,4,-1.003,,,,
1752,5,-0.686,,,,
1752,6,1.345,,,,
1752,7,1.01,,,,
1752,8,-0.749,,,,
1752,9,,,,,
1752,10,-0.348,,,,
1752,11,-0.461,,,,
1752,12,-1.278,,,,
1753,1,-1.353,,,,
1753,2,-1.331,,,,
1753,3,1.077,-0.287,,,
1753,4,0.388,-0.278,,,
1753,5,0.265,-0.392,,,
1753,6,0.517,-0.528,,,
1753,7,0.4,-0.478,,,
1753,8,-0.75,-0.582,,,
1753,9,-0.575,-0.917,,,
1753,10,-0.241,-0.879,,,
1753,11,-1.826,-0.816,,,
1753,12,-2.907,-0.798,,,
1754,1,-0.751,-0.85,,,
1754,2,-2.576,-0.804,,,
1754,3,-2.944,-0.836,,,
1754,4,0.844,-0.755,,,
1754,5,1.01,-0.599,,,
1754,6,0.735,-0.397,,,
1754,7,-0.222,-0.588,,,
1754,8,-0.199,-0.739,,,
1754,9,-0.953,-0.58,,,
1754,10,0.735,-0.444,,,
1754,11,0.039,-0.493,,,
1754,12,-0.475,-0.384,,,
1755,1,-3.05,-0.306,,,
1755,2,-4.389,-0.393,,,
1755,3,-1.034,-0.435,-0.245,,
1755,4,2.482,-0.468,-0.307,,
1755,5,0.413,-0.623,-0.323,,
1755,6,2.042,-0.618,-0.341,,
1755,7,0.716,-0.275,-0.387,,
