Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1807,9,-0.895,,,,
1807,10,-0.688,-1.045,,,
1807,11,-1.922,-0.918,,,
1807,12,-0.052,-0.892,,,
1808,1,-2.88,-0.843,,,
1808,2,-1.389,-0.792,,,
1808,3,-0.722,-0.736,,,
1808,4,-1.495,-0.825,,,
1808,5,-0.531,-0.803,,,
1808,6,0.124,-0.848,,,
1808,7,0.965,-0.727,,,
1808,8,,-0.736,,,
1808,9,,-0.662,,,
1808,10,,-0.622,,,
1808,11,-1.657,-0.6,,,
1808,12,-0.589,-0.671,,,
1809,1,-1.437,-0.805,-1.008,,
1809,2,-1.489,-0.825,-1.032,,
1809,3,0.157,-0.875,-1.055,,
1809,4,-1.008,-0.787,-1.053,,
1809,5,-0.266,-0.769,-1.079,,
1809,6,-0.735,-0.85,-1.11,,
1809,7,-0.638,-0.829,-1.09,,
1809,8,-0.27,-0.83,-1.098,,
1809,9,-0.81,-0.962,-1.125,,
1809,10,-0.7,-0.962,-1.125,,
1809,11,-1.444,-1.135,-1.116,,
1809,12,-1.565,-1.098,-1.136,,
1810,1,-1.174,-1.087,-1.153,,
1810,2,-1.503,-1.153,-1.129,,
1810,3,-1.433,-1.191,-1.138,,
1810,4,-1.011,-1.264,-1.145,,
1810,5,-2.331,-1.288,-1.128,,
1810,6,-0.298,-1.287,-1.134,,
1810,7,-0.507,-1.393,-1.123,,
1810,8,-1.058,-1.547,-1.098,,
1810,9,-1.271,-1.611,-1.107,,
1810,10,-1.572,-1.713,-1.113,,
1810,11,-1.731,-1.587,-1.129,,
1810,12,-1.554,-1.653,-1.118,,
1811,1,-2.452,-1.672,-1.118,,
1811,2,-3.347,-1.657,-1.121,,
1811,3,-2.203,-1.645,-1.118,,
1811,4,-2.231,-1.551,-1.111,,
1811,5,-0.82,-1.599,-1.103,,
1811,6,-1.09,-1.608,-1.1,,
1811,7,-0.741,-1.383,-1.11,,
1811,8,-0.878,-1.26,-1.122,,
1811,9,-1.119,-1.34,-1.186,,
1811,10,-0.441,-1.283,-1.161,,
1811,11,-2.308,-1.341,-1.169,,
1811,12,-1.66,-1.365,-1.175,,
1812,1,0.24,-1.359,-1.162,,
1812,2,-1.868,-1.218,-1.167,,
1812,3,-3.163,-1.242,-1.164,,
1812,4,-1.543,-1.297,-1.18,,
1812,5,-1.521,-1.182,-1.173,,
1812,6,-1.383,-1.076,-1.136,,
1812,7,-0.659,-1.28,-1.122,,
1812,8,,-1.118,-1.116,,
1812,9,,-0.96,-1.11,,
1812,10,-1.102,-0.984,-1.119,,
1812,11,-0.928,-0.981,-1.083,,
1812,12,-0.389,-0.804,-1.091,,
1813,1,-2.209,-0.669,-1.082,,
1813,2,0.08,-0.751,-1.07,,
1813,3,,-0.638,-1.059,,
1813,4,-1.832,-0.659,-1.055,,
1813,5,-1.486,-0.676,-1.062,,
1813,6,0.746,-0.677,-1.073,,
1813,7,0.961,-0.663,-1.041,,
1813,8,-0.181,-0.854,-1.033,,
1813,9,-0.047,-1.055,,,
1813,10,-1.349,-0.865,,,
1813,11,-1.136,-0.801,,,
1813,12,-0.396,-0.952,,,
1814,1,-2.045,-1.022,,,
1814,2,-2.209,-1.056,,,
1814,3,-3.684,-1.105,,,
1814,4,0.447,-1.131,,,
1814,5,-0.724,-1.119,,,
1814,6,-1.065,-1.035,,,
1814,7,0.124,-0.892,,,
1814,8,,-0.802,,,
1814,9,,,,,
1814,10,,,,,
1814,11,-0.99,,,,
1814,12,0.614,,,,
1815,1,-0.332,,,,
1815,2,-1.126,,,,
1815,3,,,,,
1815,4,-1.564,,,,
1815,5,-0.181,,,,
1815,6,-0.753,,,,
1815,7,,,,,
1815,8,,,,,
1815,9,,,,,
1815,10,,,,,
1815,11,,,,,
1815,12,,,,,
1816,1,,,,,
1816,2,,,,,
1816,3,,,,,
1816,4,,,,,
1816,5,,,,,
1816,6,,,,,
1816,7,,,,,
1816,8,,,,,
1816,9,,,,,
1816,10,,,,,
1816,11,,,,,
1816,12,,,,,
1817,1,,,,,
1817,2,,,,,
1817,3,,,,,
1817,4,,,,,
1817,5,,,,,
1817,6,,,,,
1817,7,,,,,
1817,8,,,,,
1817,9,,,,,
1817,10,,,,,
1817,11,,,,,
1817,12,,,,,
1818,1,,,,,
1818,2,,,,,
1818,3,,,,,
1818,4,,,,,
1818,5,,,,,
1818,6,,,,,
1818,7,,,,,
1818,8,,,,,
1818,9,,,,,
1818,10,,,,,
1818,11,,,,,
1818,12,,,,,
1819,1,,,,,
1819,2,,,,,
1819,3,,,,,
1819,4,,,,,
1819,5,,,,,
1819,6,,,,,
1819,7,,,,,
1819,8,,,,,
1819,9,,,,,
1819,10,,,,,
1819,11,,,,,
1819,12,,,,,
1820,1,,,,,
1820,2,,,,,
1820,3,,,,,
1820,4,,,,,
1820,5,,,,,
1820,6,,,,,
1820,7,,,,,
1820,8,,,,,
1820,9,,,,,
1820,10,,,,,
1820,11,,,,,
1820,12,,,,,
1821,1,,,,,
1821,2,,,,,
1821,3,,,,,
1821,4,,,,,
1821,5,,,,,
1821,6,,,,,
1821,7,,,,,
1821,8,,,,,
1821,9,,,,,
1821,10,,,,,
1821,11,,,,,
1821,12,,,,,
1822,1,,,,,
1822,2,,,,,
1822,3,,,,,
1822,4,,,,,
1822,5,,,,,
1822,6,,,,,
1822,7,,,,,
1822,8,,,,,
1822,9,,,,,
1822,10,,,,,
1822,11,,,,,
1822,12,,,,,
1823,1,-1.135,,,,
1823,2,-2.675,,,,
1823,3,-0.15,-0.684,,,
1823,4,0.74,-0.646,,,
1823,5,-0.511,-0.555,,,
1823,6,0.02,-0.568,,,
1823,7,0.755,-0.429,,,
1823,8,0.11,-0.209,,,
1823,9,-0.619,-0.253,,,
1823,10,-1.589,-0.148,,,
1823,11,-0.049,0.024,,,
1823,12,-1.714,0.259,,,
1824,1,0.536,0.312,,,
1824,2,-0.04,0.35,,,
1824,3,-0.672,0.282,-0.287,,
1824,4,2.0,0.173,-0.279,,
1824,5,1.556,-0.125,-0.247,,
1824,6,2.833,-0.154,-0.216,,
1824,7,1.393,-0.225,-0.242,,
1824,8,0.57,-0.316,-0.259,,
1824,9,-1.435,-0.178,-0.311,,
1824,10,-2.897,-0.404,-0.319,,
1824,11,-3.631,-0.506,-0.311,,
1824,12,-2.064,-0.722,-0.307,,
1825,1,-0.317,-0.789,-0.318,,
1825,2,-1.131,-0.853,-0.319,,
1825,3,0.992,-0.668,-0.292,,
1825,4,-0.72,-0.403,-0.258,,
1825,5,0.337,-0.243,-0.233,,
1825,6,0.233,-0.219,-0.199,-0.154,
1825,7,0.595,-0.232,-0.17,-0.154,
1825,8,-0.195,0.019,-0.127,-0.146,
1825,9,0.782,0.022,-0.115,-0.138,
1825,10,0.28,0.029,-0.117,-0.116,
1825,11,-1.705,0.056,-0.081,-0.116,
1825,12,-1.777,0.044,-0.068,-0.129,
1826,1,-0.471,0.013,-0.055,-0.125,
1826,2,1.87,-0.015,-0.041,-0.144,
1826,3,1.029,-0.083,-0.029,-0.14,
1826,4,-0.637,-0.111,0.016,-0.137,
1826,5,0.668,0.024,0.019,-0.135,
1826,6,0.092,0.252,0.064,-0.114,
1826,7,0.215,0.155,0.051,-0.101,
1826,8,-0.526,-0.064,0.06,-0.096,
1826,9,-0.038,-0.345,0.101,-0.091,
1826,10,-0.056,-0.349,0.066,-0.091,
1826,11,-0.086,-0.333,0.046,-0.096,
1826,12,0.965,-0.279,0.006,-0.076,
1827,1,-1.63,-0.357,0.003,-0.069,
1827,2,-0.769,-0.296,-0.001,-0.083,
1827,3,-2.339,-0.307,0.012,-0.099,
1827,4,-0.681,-0.303,0.025,-0.096,
1827,5,0.852,-0.267,0.063,-0.106,
1827,6,0.745,-0.306,0.105,-0.106,
1827,7,-0.715,-0.118,0.14,-0.113,
1827,8,0.202,-0.063,0.133,-0.128,
1827,9,-0.172,0.179,0.098,-0.128,
1827,10,-0.01,0.289,0.098,-0.121,
1827,11,0.352,0.355,0.119,-0.114,
1827,12,0.492,0.36,0.139,-0.108,
1828,1,0.629,0.543,0.142,-0.091,-0.408
1828,2,-0.116,0.608,0.139,-0.079,-0.403
1828,3,0.575,0.632,0.135,-0.077,-0.408
1828,4,0.635,0.727,0.128,-0.089,-0.417
1828,5,1.638,0.704,0.13,-0.076,-0.422
1828,6,0.807,0.747,0.113,-0.073,-0.433
1828,7,1.487,0.676,0.118,-0.081,-0.432
1828,8,0.972,0.726,0.059,-0.092,-0.432
1828,9,0.12,0.827,0.055,-0.09,-0.433
1828,10,1.127,0.765,0.071,-0.088,-0.438
1828,11,0.079,0.658,0.064,-0.097,-0.449
1828,12,1.014,0.625,0.091,-0.101,-0.45
1829,1,-0.229,0.602,0.105,-0.108,-0.459
1829,2,0.486,0.551,0.112,-0.116,-0.462
1829,3,1.792,0.484,0.106,-0.108,-0.463
1829,4,-0.112,0.218,0.097,-0.13,-0.464
1829,5,0.35,0.099,0.056,-0.143,-0.469
1829,6,0.419,0.052,0.065,-0.167,-0.472
1829,7,1.207,0.218,0.104,-0.172,-0.474
1829,8,0.356,0.05,0.094,-0.181,-0.48
1829,9,-0.681,-0.195,0.113,-0.175,-0.477
1829,10,-2.061,-0.243,0.126,-0.164,-0.474
1829,11,-1.351,-0.14,0.099,-0.14,-0.473
1829,12,0.447,-0.054,0.096,-0.109,-0.472
1830,1,1.765,-0.093,0.092,-0.128,-0.466
1830,2,-1.527,-0.15,0.063,-0.141,-0.462
1830,3,-1.149,-0.051,0.036,-0.164,-0.449
1830,4,-0.685,0.11,0.016,-0.173,-0.453
1830,5,1.583,0.09,0.005,-0.182,-0.46
1830,6,1.447,-0.179,-0.016,-0.183,-0.462
1830,7,0.747,-0.341,-0.013,-0.187,-0.469
1830,8,-0.334,-0.352,-0.031,-0.182,-0.463
1830,9,0.51,-0.192,-0.039,-0.192,-0.467
1830,10,-0.133,-0.109,-0.062,-0.214,-0.459
1830,11,-1.594,-0.22,-0.071,-0.192,-0.454
1830,12,-2.775,-0.197,-0.078,-0.171,-0.444
1831,1,-0.179,-0.174,-0.106,-0.177,-0.45
1831,2,-1.661,-0.15,-0.143,-0.216,-0.448
1831,3,0.768,-0.229,-0.151,-0.242,-0.444
1831,4,0.308,-0.269,-0.193,-0.263,-0.444
1831,5,0.259,-0.345,-0.213,-0.268,-0.443
1831,6,,0.008,-0.265,-0.272,-0.44
1831,7,1.027,0.085,-0.267,-0.276,-0.442
1831,8,-0.047,0.109,-0.293,-0.288,-0.445
