Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1816,6,-1.214,,,,
1816,7,-2.016,-1.702,,,
1816,8,-1.575,-1.46,,,
1816,9,-2.196,-1.475,,,
1816,10,-3.137,-1.439,,,
1816,11,-1.867,-1.536,,,
1816,12,-1.612,-1.624,,,
1817,1,-0.844,-1.586,,,
1817,2,-0.594,-1.53,,,
1817,3,-1.224,-1.604,,,
1817,4,-0.445,-1.556,,,
1817,5,-1.71,-1.533,,,
1817,6,-2.275,-1.541,,,
1817,7,-1.552,-1.521,-1.485,,
1817,8,-0.91,-1.583,-1.499,,
1817,9,-3.08,-1.54,-1.489,,
1817,10,-2.556,-1.474,-1.473,,
1817,11,-1.599,-1.328,-1.474,,
1817,12,-1.701,-1.169,-1.445,,
1818,1,-0.607,-1.185,-1.445,,
1818,2,-1.336,-1.252,-1.454,,
1818,3,-0.712,-1.186,-1.457,,
1818,4,0.344,-1.182,-1.448,,
1818,5,0.045,-1.159,-1.432,,
1818,6,-0.368,-1.121,-1.419,,
1818,7,-1.737,-1.268,-1.406,,
1818,8,-1.714,-1.315,-1.339,,
1818,9,-2.29,-1.414,-1.322,,
1818,10,-2.507,-1.582,-1.309,,
1818,11,-1.323,-1.676,-1.307,-1.165,
1818,12,-1.253,-1.727,-1.302,-1.157,
1819,1,-2.362,-1.679,-1.282,-1.147,
1819,2,-1.9,-1.631,-1.268,-1.139,
1819,3,-1.904,-1.564,-1.265,-1.119,
1819,4,-1.67,-1.477,-1.24,-1.108,
1819,5,-1.08,-1.442,-1.224,-1.091,
1819,6,-0.983,-1.478,-1.208,-1.087,
1819,7,-1.16,-1.527,-1.19,-1.072,
1819,8,-1.141,-1.517,-1.165,-1.067,
1819,9,-1.483,-1.456,-1.12,-1.056,
1819,10,-1.463,-1.306,-1.121,-1.056,
1819,11,-0.904,-1.287,-1.096,-1.064,
1819,12,-1.68,-1.288,-1.073,-1.074,
1820,1,-2.952,-1.259,-1.059,-1.066,
1820,2,-1.784,-1.274,-1.064,-1.061,
1820,3,-1.168,-1.248,-1.039,-1.051,
1820,4,0.129,-1.273,-1.028,-1.042,
1820,5,-0.856,-1.299,-1.029,-1.037,
1820,6,-0.99,-1.282,-1.03,-1.016,
1820,7,-0.821,-1.01,-1.022,-1.015,
1820,8,-1.32,-0.82,-1.002,-1.018,
1820,9,-1.174,-0.724,-0.999,-1.02,
1820,10,-1.758,-0.745,-1.001,-1.01,
1820,11,-1.216,-0.709,-1.01,-0.996,
1820,12,-1.476,-0.699,-1.008,-0.985,
1821,1,0.312,-0.7,-0.985,-0.982,
1821,2,0.503,-0.655,-0.977,-0.964,
1821,3,-0.027,-0.723,-0.971,-0.959,
1821,4,,-0.713,-0.949,-0.95,
1821,5,-0.419,-0.686,-0.951,,
1821,6,-0.881,-0.62,-0.942,,
1821,7,-0.83,-0.627,-0.897,,
1821,8,-0.778,-0.592,-0.872,,
1821,9,-1.992,-0.464,-0.843,,
1821,10,-1.641,-0.496,-0.813,,
1821,11,-0.881,-0.483,-0.798,,
1821,12,-0.692,-0.483,-0.782,,
1822,1,0.233,-0.471,-0.752,,
1822,2,0.92,-0.506,-0.743,,
1822,3,1.512,-0.473,-0.723,,
1822,4,-0.508,-0.496,-0.729,,
1822,5,-0.258,-0.561,-0.728,,
1822,6,-0.884,-0.648,-0.693,,
1822,7,-0.684,-0.678,-0.646,,
1822,8,-1.2,-0.769,,,
1822,9,-1.597,-0.936,,,
1822,10,-1.916,-0.877,,,
1822,11,-1.658,-0.896,,,
1822,12,-1.735,-0.845,,,
1823,1,-0.132,-0.817,,,
1823,2,-0.165,-0.817,,,
1823,3,-0.495,-0.844,,,
1823,4,0.201,-0.785,,,
1823,5,-0.483,-0.767,,,
1823,6,-0.278,-0.68,,,
1823,7,-0.344,-0.643,,,
1823,8,-1.201,-0.665,,,
1823,9,-1.925,,,,
1823,10,-1.201,,,,
1823,11,-1.451,,,,
1823,12,,,,,
1824,1,,,,,
1824,2,,,,,
1824,3,,,,,
1824,4,,,,,
1824,5,,,,,
1824,6,,,,,
1824,7,,,,,
1824,8,,,,,
1824,9,,,,,
1824,10,,,,,
1824,11,,,,,
1824,12,,,,,
1825,1,,,,,
