Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1869,2,-0.017,,,,
1869,3,-0.513,-0.315,,,
1869,4,-0.481,-0.345,,,
1869,5,-0.293,-0.341,,,
1869,6,-0.058,-0.389,,,
1869,7,0.062,-0.413,,,
1869,8,-0.202,-0.511,,,
1869,9,-0.166,-0.533,,,
1869,10,-0.468,-0.534,,,
1869,11,-0.814,-0.543,,,
1869,12,-1.137,-0.547,,,
1870,1,-0.863,-0.556,,,
1870,2,-1.203,-0.599,,,
1870,3,-0.772,-0.639,,,
1870,4,-0.496,-0.668,-0.562,,
1870,5,-0.403,-0.678,-0.579,,
1870,6,-0.104,-0.704,-0.587,,
1870,7,-0.041,-0.742,-0.585,,
1870,8,-0.716,-0.744,-0.577,,
1870,9,-0.65,-0.75,-0.576,,
1870,10,-0.818,-0.733,-0.584,,
1870,11,-0.928,-0.747,-0.585,,
1870,12,-1.459,-0.778,-0.587,,
1871,1,-1.309,-0.81,-0.591,,
1871,2,-1.233,-0.772,-0.593,,
1871,3,-0.835,-0.772,-0.593,,
1871,4,-0.298,-0.763,-0.599,,
1871,5,-0.568,-0.794,-0.595,,
1871,6,-0.481,-0.769,-0.595,,
1871,7,-0.419,-0.763,-0.594,,
1871,8,-0.269,-0.759,-0.6,,
1871,9,-0.645,-0.749,-0.606,,
1871,10,-0.714,-0.762,-0.604,,
1871,11,-1.302,-0.735,-0.602,,
1871,12,-1.149,-0.717,-0.605,-0.583,
1872,1,-1.241,-0.698,-0.614,-0.583,
1872,2,-1.184,-0.702,-0.618,-0.582,
1872,3,-0.715,-0.676,-0.622,-0.579,
1872,4,-0.457,-0.652,-0.623,-0.579,
1872,5,-0.246,-0.624,-0.625,-0.576,
1872,6,-0.258,-0.625,-0.62,-0.576,
1872,7,-0.195,-0.587,-0.625,-0.576,
1872,8,-0.32,-0.537,-0.619,-0.574,
1872,9,-0.326,-0.538,-0.625,-0.572,
1872,10,-0.424,-0.575,-0.631,-0.569,
1872,11,-0.972,-0.589,-0.637,-0.567,
1872,12,-1.158,-0.571,-0.642,-0.565,
1873,1,-0.782,-0.561,-0.646,-0.56,
1873,2,-0.59,-0.553,-0.643,-0.547,
1873,3,-0.721,-0.563,-0.641,-0.532,
1873,4,-0.904,-0.568,-0.64,-0.525,
1873,5,-0.42,-0.536,-0.646,-0.524,
1873,6,-0.033,-0.486,-0.643,-0.522,
1873,7,-0.079,-0.466,-0.635,-0.521,
1873,8,-0.222,-0.45,-0.626,-0.52,
1873,9,-0.446,-0.46,-0.622,-0.515,
1873,10,-0.494,-0.418,-0.622,-0.513,
1873,11,-0.585,-0.395,-0.623,-0.507,
1873,12,-0.561,-0.415,-0.621,-0.507,
1874,1,-0.534,-0.446,-0.617,-0.507,
1874,2,-0.404,-0.462,-0.621,-0.512,
1874,3,-0.844,-0.462,-0.619,-0.513,-0.527
1874,4,-0.399,-0.463,-0.618,-0.515,-0.527
1874,5,-0.145,-0.492,-0.614,-0.519,-0.531
1874,6,-0.264,-0.516,-0.618,-0.522,-0.534
1874,7,-0.455,-0.569,-0.608,-0.525,-0.537
1874,8,-0.418,-0.606,-0.6,-0.53,-0.537
1874,9,-0.443,-0.628,-0.595,-0.534,-0.537
1874,10,-0.508,-0.666,-0.594,-0.536,-0.538
1874,11,-0.932,-0.72,-0.593,-0.536,-0.537
1874,12,-0.845,-0.731,-0.593,-0.534,-0.535
1875,1,-1.171,-0.718,-0.588,-0.536,-0.538
1875,2,-0.845,-0.726,-0.584,-0.531,-0.537
1875,3,-1.114,-0.733,-0.581,-0.53,-0.534
1875,4,-0.859,-0.752,-0.575,-0.533,-0.532
1875,5,-0.791,-0.783,-0.555,-0.533,-0.531
1875,6,-0.391,-0.817,-0.544,-0.538,-0.533
1875,7,-0.297,-0.792,-0.535,-0.542,-0.534
