Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1843,2,1.509,,,,
1843,3,-0.211,-0.473,,,
1843,4,-0.737,-0.43,,,
1843,5,-1.626,-0.551,,,
1843,6,-1.468,-0.693,,,
1843,7,-0.574,-0.762,,,
1843,8,-1.128,-0.859,,,
1843,9,-1.613,-0.825,,,
1843,10,,-0.957,,,
1843,11,-1.169,-0.948,,,
1843,12,-1.577,-0.928,,,
1844,1,-0.214,-0.872,,,
1844,2,0.34,-0.817,,,
1844,3,,-0.772,,,
1844,4,,-0.837,,,
1844,5,-1.524,-0.839,,,
1844,6,-1.228,-0.903,,,
1844,7,0.101,-1.103,,,
1844,8,-0.472,-1.188,,,
1844,9,-1.073,-1.153,,,
1844,10,-1.107,-0.99,,,
1844,11,-1.187,-0.89,,,
1844,12,-2.354,-0.852,,,
1845,1,-2.608,-0.865,,,
1845,2,-0.678,-0.835,,,
1845,3,0.606,,,,
1845,4,-0.352,,,,
1845,5,-0.334,,,,
1845,6,,,,,
1845,7,,,,,
1845,8,,,,,
1845,9,,,,,
1845,10,,,,,
1845,11,,,,,
1845,12,,,,,
1846,1,,,,,
1846,2,,,,,
1846,3,,,,,
1846,4,,,,,
1846,5,,,,,
1846,6,,,,,
1846,7,,,,,
1846,8,,,,,
1846,9,,,,,
1846,10,,,,,
1846,11,,,,,
1846,12,,,,,
1847,1,-0.518,,,,
1847,2,,,,,
1847,3,,,,,
1847,4,,,,,
1847,5,,,,,
1847,6,,,,,
1847,7,,,,,
1847,8,,,,,
1847,9,,,,,
1847,10,,,,,
1847,11,,,,,
1847,12,,,,,
1848,1,-1.322,,,,
1848,2,-1.156,,,,
1848,3,-0.579,-0.765,,,
1848,4,-0.641,-0.718,,,
1848,5,-0.407,-0.621,,,
1848,6,0.32,-0.542,,,
1848,7,0.317,-0.514,,,
1848,8,0.014,-0.51,,,
1848,9,-1.062,-0.547,,,
1848,10,-0.122,-0.495,,,
1848,11,0.515,-0.478,,,
1848,12,-2.381,-0.543,,,
1849,1,-0.988,-0.601,,,
1849,2,-1.106,-0.625,-0.431,,
1849,3,-1.027,-0.564,-0.435,,
1849,4,-0.007,-0.56,-0.44,-0.501,
1849,5,-0.205,-0.615,-0.407,-0.494,
1849,6,-0.46,-0.401,-0.462,-0.493,
1849,7,-0.377,-0.37,-0.468,-0.502,
1849,8,-0.277,-0.368,-0.499,-0.508,
1849,9,-0.334,-0.38,-0.502,-0.508,
1849,10,-0.069,-0.515,-0.521,-0.488,
1849,11,-0.148,-0.669,-0.517,-0.475,
1849,12,0.191,-0.722,-0.524,-0.447,
1850,1,-0.62,-0.663,-0.545,-0.429,
1850,2,-1.079,-0.671,-0.546,-0.419,
1850,3,-1.17,-0.699,-0.567,-0.417,
1850,4,-1.629,-0.717,-0.542,-0.415,
1850,5,-2.056,-0.807,-0.533,-0.407,
1850,6,-1.092,-0.955,-0.478,-0.397,
1850,7,0.322,-0.938,-0.465,-0.399,
1850,8,-0.368,-0.921,-0.448,-0.399,
1850,9,-0.672,-0.856,-0.431,-0.404,-0.523
1850,10,-0.288,-0.763,-0.42,-0.403,-0.521
1850,11,-1.225,-0.388,-0.416,-0.398,-0.52
1850,12,-1.585,-0.271,-0.418,-0.391,-0.513
1851,1,-0.416,-0.282,-0.422,-0.403,-0.513
1851,2,-0.879,-0.191,-0.413,-0.414,-0.52
1851,3,-0.391,-0.133,-0.402,-0.435,-0.509
1851,4,-0.505,-0.156,-0.396,-0.446,-0.507
1851,5,2.442,-0.074,-0.421,-0.446,-0.508
1851,6,0.307,-0.065,-0.386,-0.433,-0.508
1851,7,0.197,-0.103,-0.377,-0.433,-0.511
1851,8,0.725,-0.096,-0.385,-0.432,-0.511
1851,9,0.026,-0.178,-0.406,-0.436,-0.514
1851,10,-0.564,-0.212,-0.451,-0.448,-0.519
1851,11,-0.245,-0.458,-0.458,-0.437,-0.51
1851,12,-1.481,-0.505,-0.47,-0.45,-0.512
1852,1,-0.873,-0.534,-0.48,-0.435,-0.515
1852,2,-0.789,-0.634,-0.494,-0.464,-0.52
1852,3,-1.38,-0.676,-0.508,-0.472,-0.522
1852,4,-0.905,-0.558,-0.485,-0.485,-0.523
1852,5,-0.518,-0.549,-0.475,-0.486,-0.519
1852,6,-0.251,-0.429,-0.462,-0.494,-0.512
1852,7,-0.148,-0.399,-0.46,-0.509,-0.506
1852,8,-0.478,-0.344,-0.432,-0.514,-0.507
1852,9,-0.478,-0.194,-0.399,-0.528,-0.514
1852,10,0.848,-0.117,-0.373,-0.533,-0.523
1852,11,-0.135,-0.086,-0.329,-0.541,-0.531
1852,12,-0.034,-0.051,-0.305,-0.528,-0.542
1853,1,-0.518,-0.031,-0.313,-0.533,-0.552
1853,2,-0.133,0.056,-0.31,-0.541,-0.569
1853,3,0.427,0.06,-0.334,-0.539,-0.569
1853,4,0.021,0.013,-0.341,-0.538,-0.571
1853,5,-0.147,-0.059,-0.338,-0.536,-0.565
1853,6,0.16,-0.078,-0.316,-0.532,-0.56
1853,7,0.093,-0.076,-0.318,-0.531,-0.557
1853,8,0.565,-0.196,-0.322,-0.532,-0.558
1853,9,-0.428,-0.422,-0.36,-0.534,-0.554
1853,10,0.289,-0.647,-0.381,-0.533,-0.556
1853,11,-1.006,-0.691,-0.427,-0.519,-0.553
1853,12,-0.261,-0.802,-0.423,-0.504,-0.549
1854,1,-0.491,-0.887,-0.424,-0.517,-0.557
1854,2,-1.576,-1.029,-0.434,-0.526,-0.566
1854,3,-2.29,-1.09,-0.437,-0.521,-0.565
1854,4,-2.677,-1.008,-0.455,-0.515,-0.554
1854,5,-0.673,-0.887,-0.467,-0.505,-0.549
1854,6,-1.175,-0.783,-0.439,-0.5,-0.543
1854,7,-0.927,-0.784,-0.403,-0.501,-0.546
1854,8,-1.138,-0.602,-0.429,-0.497,-0.546
1854,9,-1.155,-0.346,-0.441,-0.484,-0.541
1854,10,1.271,-0.128,-0.45,-0.484,-0.533
1854,11,0.453,-0.022,-0.455,-0.486,-0.523
1854,12,0.978,0.107,-0.464,-0.484,-0.516
1855,1,-0.497,0.167,-0.474,-0.483,-0.499
1855,2,0.608,0.248,-0.481,-0.478,-0.492
1855,3,0.784,0.169,-0.488,-0.49,-0.491
1855,4,-0.06,0.004,-0.525,-0.474,-0.496
1855,5,0.59,-0.121,-0.548,-0.458,-0.5
1855,6,0.383,-0.224,-0.578,-0.438,-0.496
1855,7,-0.215,-0.228,-0.601,-0.431,-0.495
1855,8,-0.164,-0.37,-0.633,-0.424,-0.493
1855,9,-2.102,-0.658,-0.647,-0.414,-0.492
1855,10,-0.712,-0.8,-0.657,-0.412,-0.482
1855,11,-1.041,-0.879,-0.657,-0.407,-0.474
1855,12,-0.26,-0.864,-0.646,-0.396,-0.479
1856,1,-0.546,-0.836,-0.64,-0.406,-0.486
1856,2,-1.095,-0.808,-0.651,-0.421,-0.489
1856,3,-2.678,-0.65,-0.665,-0.426,-0.49
1856,4,-1.756,-0.728,-0.67,-0.431,-0.493
1856,5,-0.365,-0.721,-0.618,-0.465,-0.492
1856,6,0.568,-0.68,-0.621,-0.473,-0.491
1856,7,0.116,-0.529,-0.656,-0.476,-0.488
1856,8,0.172,-0.631,-0.666,-0.487,-0.484
1856,9,-0.201,-0.586,-0.635,-0.496,-0.486
1856,10,-1.647,-0.557,-0.58,-0.501,-0.489
1856,11,-0.964,-0.597,-0.551,-0.495,-0.484
1856,12,0.237,-0.711,-0.53,-0.492,-0.49
1857,1,1.269,-0.782,-0.522,-0.498,-0.49
1857,2,-2.324,-0.872,-0.501,-0.507,-0.501
1857,3,-2.142,-0.931,-0.461,-0.5,-0.495
1857,4,-1.407,-0.907,-0.482,-0.494,-0.496
1857,5,-0.844,-0.953,-0.496,-0.488,-0.493
1857,6,-0.792,-1.125,-0.505,-0.477,-0.494
1857,7,-0.746,-1.391,-0.506,-0.475,-0.502
1857,8,-0.9,-1.369,-0.524,-0.482,-0.502
1857,9,-0.909,-1.223,-0.58,-0.497,-0.509
1857,10,-1.356,-1.152,-0.575,-0.531,-0.506
1857,11,-1.519,-1.094,-0.588,-0.542,-0.501
1857,12,-1.829,-0.963,-0.571,-0.563,-0.486
1858,1,-1.925,-0.859,-0.549,-0.575,-0.48
1858,2,-2.055,-0.792,-0.538,-0.595,-0.488
1858,3,-0.396,-0.826,-0.493,-0.6,-0.487
1858,4,-0.557,-0.711,-0.484,-0.611,-0.491
1858,5,-0.146,-0.408,-0.475,-0.611,-0.489
1858,6,0.782,-0.295,-0.476,-0.614,-0.491
1858,7,0.5,-0.348,-0.495,-0.613,-0.49
1858,8,-0.088,-0.359,-0.521,-0.629,-0.491
1858,9,-1.323,-0.361,-0.492,-0.631,-0.488
1858,10,0.025,-0.262,-0.481,-0.641,-0.476
1858,11,2.114,-0.161,-0.503,-0.635,-0.48
1858,12,-0.475,-0.218,-0.524,-0.639,-0.473
1859,1,-2.561,-0.299,-0.527,-0.654,-0.472
1859,2,-2.186,-0.28,-0.54,-0.655,-0.473
1859,3,-0.415,-0.065,-0.555,-0.632,-0.467
1859,4,0.626,-0.069,-0.548,-0.608,-0.472
1859,5,1.068,-0.277,-0.522,-0.605,-0.469
1859,6,0.097,-0.203,-0.545,-0.592,-0.459
1859,7,-0.473,-0.032,-0.593,-0.59,-0.458
1859,8,0.142,0.108,-0.585,-0.585,-0.451
1859,9,1.255,-0.073,-0.558,-0.574,-0.45
1859,10,-0.015,-0.105,-0.538,-0.577,-0.449
1859,11,-0.387,-0.207,-0.521,-0.571,-0.447
1859,12,0.417,-0.101,-0.489,-0.584,-0.449
1860,1,-0.516,0.032,-0.476,-0.569,-0.442
1860,2,-0.498,0.062,-0.482,-0.566,-0.439
1860,3,-2.597,0.005,-0.506,-0.565,-0.429
1860,4,0.25,-0.005,-0.537,-0.577,-0.431
1860,5,-0.157,-0.017,-0.536,-0.593,-0.42
1860,6,1.365,-0.076,-0.548,-0.595,-0.42
1860,7,1.128,-0.174,-0.549,-0.591,-0.424
1860,8,0.494,-0.353,-0.557,-0.588,-0.422
1860,9,0.571,-0.215,-0.552,-0.579,-0.42
1860,10,-0.128,-0.33,-0.564,-0.561,-0.425
1860,11,-0.532,-0.455,-0.565,-0.55,-0.42
1860,12,-0.297,-0.625,-0.581,-0.567,-0.412
1861,1,-1.683,-0.726,-0.587,-0.57,-0.41
1861,2,-2.646,-0.82,-0.607,-0.564,-0.412
1861,3,-0.941,-0.96,-0.597,-0.544,-0.416
1861,4,-1.138,-1.047,-0.611,-0.54,-0.414
1861,5,-1.657,-0.956,-0.653,-0.539,-0.425
1861,6,-0.673,-1.023,-0.656,-0.549,-0.43
1861,7,-0.083,-1.017,-0.651,-0.543,-0.432
1861,8,-0.629,-0.955,-0.643,-0.536,-0.435
1861,9,-1.113,-0.918,-0.629,-0.537,-0.44
1861,10,-1.173,-0.842,-0.636,-0.529,-0.442
1861,11,0.564,-0.687,-0.659,-0.531,-0.444
