Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,1.255,-0.238,,,
1750,3,1.592,-0.213,,,
1750,4,0.095,-0.276,,,
1750,5,-0.548,-0.524,,,
1750,6,-0.521,-0.583,,,
1750,7,0.789,-0.577,,,
1750,8,0.133,-0.888,,,
1750,9,-0.304,-0.961,,,
1750,10,-2.86,-1.051,,,
1750,11,-3.707,-1.096,,,
1750,12,-2.379,-1.115,,,
1751,1,-0.47,-1.161,,,
1751,2,-2.483,-1.19,,,
1751,3,0.719,-1.292,,,
1751,4,-0.98,-1.269,,,
1751,5,-1.091,-1.169,,,
1751,6,-0.754,-1.091,,,
1751,7,0.239,,,,
1751,8,-0.215,,,,
1751,9,-1.528,,,,
1751,10,,,,,
1751,11,,,,,
1751,12,,,,,
1752,1,,,,,
1752,2,,,,,
1752,3,,,,,
1752,4,,,,,
1752,5,,,,,
1752,6,,,,,
1752,7,,,,,
1752,8,,,,,
1752,9,,,,,
1752,10,,,,,
1752,11,,,,,
1752,12,,,,,
1753,1,-1.68,,,,
1753,2,-0.155,,,,
1753,3,1.323,-0.355,,,
1753,4,-0.512,-0.288,,,
1753,5,-0.0,-0.432,,,
1753,6,0.554,-0.58,,,
1753,7,-0.13,-0.453,,,
1753,8,-1.139,-0.569,,,
1753,9,-0.77,-0.861,,,
1753,10,-0.761,-0.749,,,
1753,11,-1.444,-0.676,,,
1753,12,-2.251,-0.743,,,
1754,1,-0.147,-0.796,,,
1754,2,-1.555,-0.752,,,
1754,3,-2.183,-0.796,,,
1754,4,0.84,-0.752,,,
1754,5,0.874,-0.631,,,
1754,6,-0.25,-0.494,,,
1754,7,-0.764,-0.659,,,
1754,8,-0.617,-0.727,,,
1754,9,-1.289,-0.682,,,
1754,10,-0.239,-0.634,,,
1754,11,0.007,-0.744,,,
1754,12,-0.606,-0.617,,,
1755,1,-2.128,-0.544,,,
1755,2,-2.372,-0.634,,,
1755,3,-1.637,-0.656,-0.46,,
1755,4,1.409,-0.657,-0.499,,
1755,5,-0.44,-0.726,-0.512,,
1755,6,1.27,-0.774,-0.539,,
1755,7,0.115,-0.441,-0.565,,
1755,8,-1.696,-0.033,-0.576,,
1755,9,-1.56,0.074,-0.611,,
1755,10,-0.248,-0.111,-0.628,,
1755,11,-0.816,-0.119,-0.629,,
1755,12,-1.189,-0.168,-0.643,,
1756,1,1.876,-0.171,-0.671,,
1756,2,2.525,-0.132,-0.674,,
1756,3,-0.356,-0.018,-0.696,,
1756,4,-0.811,-0.15,-0.735,,
1756,5,-0.54,-0.276,-0.724,,
1756,6,0.683,-0.472,-0.71,,
1756,7,0.081,-0.858,-0.677,,
1756,8,-1.228,-1.033,-0.617,,
1756,9,-0.19,-1.065,-0.578,,
1756,10,-1.84,-0.981,-0.605,,
1756,11,-2.323,-0.937,-0.636,,
1756,12,-3.544,-0.882,-0.629,,
1757,1,-2.759,-0.676,-0.616,,
1757,2,0.427,-0.485,-0.604,,
1757,3,-0.733,-0.475,-0.593,,
1757,4,0.192,-0.646,-0.607,,
1757,5,-0.013,-0.497,-0.652,,
1757,6,1.343,-0.373,-0.713,,
1757,7,2.549,-0.414,-0.739,,
1757,8,1.067,-0.518,-0.704,,
1757,9,-0.065,-0.52,-0.713,-0.664,
1757,10,-3.893,-0.665,-0.745,-0.687,
1757,11,-0.54,-0.668,-0.753,-0.7,
1757,12,-2.056,-0.807,-0.783,-0.714,
1758,1,-3.247,-1.167,-0.808,-0.726,
1758,2,-0.82,-1.367,-0.799,-0.723,
1758,3,-0.753,-1.535,-0.788,-0.751,
1758,4,-1.556,-1.468,-0.827,-0.756,
1758,5,-0.048,-1.49,-0.827,-0.774,
1758,6,-0.316,-1.436,-0.821,-0.786,
1758,7,-1.77,-1.012,-0.869,-0.785,
1758,8,-1.343,-0.772,-0.895,-0.784,
1758,9,-2.081,-0.696,-0.865,-0.787,
1758,10,-3.088,-0.632,-0.858,-0.8,
1758,11,-0.803,-0.711,-0.833,-0.795,
1758,12,-1.409,-0.671,-0.818,-0.779,
1759,1,1.841,-0.52,-0.798,-0.78,
1759,2,2.065,-0.402,-0.763,-0.76,
1759,3,0.156,-0.278,-0.762,-0.752,
1759,4,-0.79,-0.113,-0.793,-0.767,
1759,5,-0.998,-0.271,-0.767,-0.775,
1759,6,0.165,-0.506,-0.779,-0.784,
1759,7,0.048,-0.97,-0.7,-0.782,
1759,8,0.069,-1.163,-0.707,-0.785,
1759,9,-0.597,-1.356,-0.736,-0.789,
1759,10,-1.103,-1.335,-0.718,-0.798,
1759,11,-2.696,-1.328,-0.721,-0.807,
1759,12,-4.236,-1.385,-0.753,-0.811,
1760,1,-3.723,-1.505,-0.801,-0.782,
1760,2,-0.247,-1.61,-0.844,-0.78,
1760,3,-2.167,-1.635,-0.868,-0.766,
1760,4,-0.537,-1.759,-0.876,-0.78,
1760,5,-0.906,-1.603,-0.888,-0.778,
1760,6,-0.519,-1.315,-0.89,-0.804,
1760,7,-1.401,-1.089,-0.887,-0.813,
1760,8,-1.192,-0.989,-0.871,-0.805,
1760,9,-0.893,-0.69,-0.891,-0.801,
1760,10,-2.59,-0.678,-0.884,-0.809,
1760,11,-0.822,-0.519,-0.918,-0.818,
1760,12,-0.787,-0.344,-0.929,-0.827,
1761,1,-1.005,-0.122,-0.9,-0.863,
1761,2,0.953,0.049,-0.893,-0.891,
1761,3,1.416,0.114,-0.877,-0.898,
1761,4,-0.392,0.02,-0.866,-0.891,
1761,5,1.001,0.027,-0.866,-0.904,
1761,6,1.584,-0.265,-0.848,-0.917,
1761,7,1.266,-0.014,-0.883,-0.922,
1761,8,0.856,-0.094,-0.903,-0.909,
1761,9,-0.117,-0.418,-0.926,-0.911,
1761,10,-3.708,-0.279,-0.93,-0.905,
1761,11,-0.748,-0.381,-0.913,-0.877,
1761,12,-4.286,-0.556,-0.938,-0.857,
1762,1,2.01,-0.693,-0.948,-0.86,
1762,2,-0.007,-0.889,-0.966,-0.85,
1762,3,-2.474,-1.007,-0.986,-0.846,
