Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1744,1,,,,,
1744,2,,,,,
1744,3,,,,,
1744,4,0.384,,,,
1744,5,-0.798,,,,
1744,6,-0.383,,,,
1744,7,-0.669,,,,
1744,8,,,,,
1744,9,-1.227,,,,
1744,10,-1.407,,,,
1744,11,0.074,,,,
1744,12,-0.679,,,,
1745,1,-0.593,,,,
1745,2,-1.215,,,,
1745,3,-1.531,,,,
1745,4,-0.729,,,,
1745,5,,,,,
1745,6,,,,,
1745,7,,,,,
1745,8,,,,,
1745,9,,,,,
1745,10,,,,,
1745,11,,,,,
1745,12,,,,,
1746,1,,,,,
1746,2,,,,,
1746,3,,,,,
1746,4,,,,,
1746,5,,,,,
1746,6,,,,,
1746,7,,,,,
1746,8,,,,,
1746,9,,,,,
1746,10,,,,,
1746,11,,,,,
1746,12,,,,,
1747,1,,,,,
1747,2,,,,,
1747,3,,,,,
1747,4,,,,,
1747,5,,,,,
1747,6,,,,,
1747,7,,,,,
1747,8,,,,,
1747,9,,,,,
1747,10,,,,,
1747,11,,,,,
1747,12,,,,,
1748,1,,,,,
1748,2,,,,,
1748,3,,,,,
1748,4,,,,,
1748,5,,,,,
1748,6,,,,,
1748,7,,,,,
1748,8,,,,,
1748,9,,,,,
1748,10,,,,,
1748,11,,,,,
1748,12,,,,,
1749,1,,,,,
1749,2,,,,,
1749,3,,,,,
1749,4,,,,,
1749,5,,,,,
1749,6,,,,,
1749,7,,,,,
1749,8,,,,,
1749,9,,,,,
1749,10,,,,,
1749,11,,,,,
1749,12,,,,,
1750,1,-0.194,,,,
1750,2,2.39,,,,
1750,3,1.819,,,,
1750,4,0.003,,,,
1750,5,0.056,,,,
1750,6,-0.289,,,,
1750,7,1.607,,,,
1750,8,0.141,,,,
1750,9,-0.259,,,,
1750,10,-3.327,,,,
1750,11,,,,,
1750,12,-1.528,,,,
1751,1,0.025,,,,
1751,2,-2.501,,,,
1751,3,0.924,,,,
1751,4,-0.796,,,,
1751,5,,,,,
1751,6,0.041,,,,
1751,7,,,,,
1751,8,-0.078,,,,
1751,9,-1.775,,,,
1751,10,,,,,
1751,11,,,,,
1751,12,,,,,
1752,1,-1.156,,,,
1752,2,,,,,
1752,3,0.521,,,,
1752,4,-0.912,,,,
1752,5,,,,,
1752,6,,,,,
1752,7,,,,,
1752,8,,,,,
1752,9,,,,,
1752,10,-1.397,,,,
1752,11,0.706,,,,
1752,12,0.541,,,,
1753,1,-2.078,,,,
1753,2,-0.432,,,,
1753,3,1.087,-0.102,,,
1753,4,-0.376,-0.04,,,
1753,5,-0.058,-0.232,,,
1753,6,0.999,-0.488,,,
1753,7,0.397,-0.363,,,
1753,8,-0.767,-0.483,,,
1753,9,0.157,-0.797,,,
1753,10,-0.657,-0.759,,,
1753,11,-1.599,-0.696,,,
1753,12,-2.527,-0.779,,,
1754,1,-0.576,-0.868,,,
1754,2,-1.877,-0.824,,,
1754,3,-2.686,-0.935,,,
1754,4,0.089,-0.904,,,
1754,5,0.692,-0.787,,,
1754,6,0.008,-0.624,,,
1754,7,-0.673,-0.821,,,
1754,8,-0.237,-0.916,,,
1754,9,-1.178,-0.842,,,
1754,10,-0.284,-0.728,,,
1754,11,-0.193,-0.825,,,
1754,12,-0.571,-0.671,,,
1755,1,-2.944,-0.598,,,
1755,2,-3.014,-0.692,,,
1755,3,-1.796,-0.72,-0.438,,
1755,4,1.459,-0.773,-0.479,,
1755,5,-0.481,-0.824,-0.497,,
1755,6,1.865,-0.84,-0.54,,
1755,7,0.197,-0.441,-0.561,,
1755,8,-1.357,-0.0,-0.567,,
1755,9,-1.52,0.109,-0.597,,
1755,10,-0.916,-0.115,-0.618,,
1755,11,-0.806,-0.095,-0.609,,
1755,12,-0.771,-0.154,-0.624,,
1756,1,1.851,-0.125,-0.655,,
1756,2,2.272,-0.087,-0.655,,
1756,3,-0.491,0.046,-0.694,,
1756,4,-1.218,-0.039,-0.757,,
1756,5,-0.245,-0.185,-0.738,,
1756,6,1.152,-0.398,-0.714,,
1756,7,0.553,-0.813,-0.671,,
1756,8,-0.9,-0.997,-0.604,,
1756,9,0.074,-1.029,-0.554,,
1756,10,-1.94,-0.912,-0.567,,
1756,11,-2.553,-0.904,-0.594,,
1756,12,-3.332,-0.881,-0.588,,
1757,1,-3.133,-0.667,-0.563,,
1757,2,0.066,-0.472,-0.554,,
1757,3,-0.87,-0.479,-0.541,,
1757,4,0.186,-0.638,-0.549,,
1757,5,-0.15,-0.458,-0.589,,
1757,6,1.425,-0.348,-0.642,,
1757,7,3.12,-0.367,-0.651,,
1757,8,1.441,-0.437,-0.608,,
1757,9,-0.006,-0.426,-0.61,-0.545,
1757,10,-3.855,-0.578,-0.638,-0.569,
1757,11,-0.385,-0.524,-0.641,-0.589,
1757,12,-2.021,-0.637,-0.67,-0.612,
1758,1,-3.361,-1.019,-0.682,-0.623,
1758,2,-0.768,-1.202,-0.671,-0.614,
1758,3,-0.738,-1.383,-0.65,-0.635,
1758,4,-1.641,-1.431,-0.672,-0.64,
1758,5,0.504,-1.437,-0.671,-0.656,
1758,6,0.072,-1.36,-0.658,-0.668,
1758,7,-1.467,-0.913,-0.702,-0.672,
1758,8,-0.76,-0.667,-0.717,-0.671,
1758,9,-2.178,-0.581,-0.681,-0.681,
1758,10,-4.432,-0.502,-0.666,-0.697,
1758,11,-0.45,-0.623,-0.644,-0.69,
1758,12,-1.102,-0.596,-0.635,-0.666,
1759,1,2.006,-0.406,-0.624,-0.659,
1759,2,2.181,-0.315,-0.591,-0.637,
1759,3,0.302,-0.171,-0.591,-0.624,
1759,4,-0.702,0.138,-0.615,-0.63,
1759,5,-0.945,-0.041,-0.585,-0.629,
1759,6,0.4,-0.263,-0.594,-0.635,
1759,7,0.806,-0.721,-0.508,-0.626,
1759,8,0.331,-0.937,-0.51,-0.629,
1759,9,-0.45,-1.123,-0.538,-0.635,
1759,10,-0.716,-1.085,-0.514,-0.647,
1759,11,-2.603,-1.059,-0.509,-0.66,
1759,12,-3.766,-1.084,-0.534,-0.668,
1760,1,-3.485,-1.194,-0.58,-0.633,
1760,2,-0.411,-1.278,-0.63,-0.629,
1760,3,-1.934,-1.261,-0.651,-0.615,
1760,4,-0.248,-1.391,-0.66,-0.627,
1760,5,-0.633,-1.233,-0.681,-0.621,
1760,6,0.097,-0.919,-0.685,-0.645,
1760,7,-0.506,-0.697,-0.685,-0.651,
1760,8,-0.68,-0.546,-0.66,-0.644,
1760,9,-0.251,-0.249,-0.673,-0.64,
1760,10,-2.273,-0.253,-0.661,-0.643,
1760,11,-0.71,-0.108,-0.702,-0.656,
1760,12,0.006,0.024,-0.712,-0.671,
1761,1,-0.819,0.167,-0.688,-0.704,
1761,2,1.401,0.311,-0.686,-0.733,
1761,3,1.626,0.338,-0.669,-0.739,
1761,4,-0.295,0.249,-0.637,-0.724,
1761,5,1.1,0.242,-0.641,-0.738,
1761,6,1.685,-0.077,-0.617,-0.752,
1761,7,1.216,0.156,-0.646,-0.756,
1761,8,1.049,0.035,-0.67,-0.743,
1761,9,0.073,-0.313,-0.694,-0.749,
1761,10,-3.348,-0.152,-0.693,-0.742,
1761,11,-0.792,-0.232,-0.665,-0.717,
1761,12,-3.82,-0.378,-0.682,-0.699,
1762,1,1.976,-0.45,-0.69,-0.701,
1762,2,-0.045,-0.664,-0.705,-0.685,
1762,3,-2.554,-0.78,-0.728,-0.681,
1762,4,1.639,-0.863,-0.746,-0.69,
1762,5,0.133,-0.934,-0.731,-0.697,
1762,6,-0.061,-0.804,-0.695,-0.721,
1762,7,0.344,-1.253,-0.616,-0.758,
1762,8,-1.511,-1.188,-0.651,-0.765,
1762,9,-1.318,-1.1,-0.619,-0.763,-0.682
1762,10,-4.345,-1.314,-0.615,-0.743,-0.675
1762,11,-1.645,-1.488,-0.6,-0.733,-0.677
1762,12,-2.257,-1.525,-0.619,-0.724,-0.679
1763,1,-3.415,-1.559,-0.62,-0.716,-0.669
1763,2,0.737,-1.485,-0.618,-0.707,-0.673
1763,3,-1.506,-1.47,-0.631,-0.709,-0.676
1763,4,-0.926,-1.319,-0.613,-0.693,-0.674
1763,5,-1.95,-1.241,-0.642,-0.695,-0.678
1763,6,-0.503,-1.023,-0.683,-0.699,-0.684
1763,7,-0.065,-0.715,-0.706,-0.689,-0.688
1763,8,-0.622,-0.718,-0.75,-0.682,-0.682
1763,9,-1.137,-0.685,-0.796,-0.678,-0.687
1763,10,-2.539,-0.662,-0.783,-0.653,-0.69
1763,11,-0.709,-0.435,-0.833,-0.657,-0.691
1763,12,0.359,-0.447,-0.869,-0.649,-0.685
1764,1,0.279,-0.412,-0.888,-0.672,-0.697
1764,2,0.706,-0.412,-0.895,-0.695,-0.69
1764,3,-1.116,-0.469,-0.906,-0.701,-0.681
1764,4,-0.646,-0.404,-0.87,-0.694,-0.682
1764,5,0.773,-0.486,-0.848,-0.686,-0.681
1764,6,-0.647,-0.651,-0.805,-0.697,-0.681
1764,7,0.35,-0.57,-0.894,-0.701,-0.679
1764,8,-0.617,-0.838,-0.859,-0.71,-0.677
1764,9,-1.821,-0.748,-0.824,-0.711,-0.678
1764,10,-1.756,-0.695,-0.865,-0.728,-0.68
1764,11,-1.7,-0.739,-0.885,-0.715,-0.689
1764,12,-1.622,-0.768,-0.908,-0.683,-0.694
1765,1,1.256,-0.846,-0.935,-0.648,-0.678
1765,2,-2.513,-0.84,-0.9,-0.633,-0.658
1765,3,-0.038,-0.777,-0.874,-0.641,-0.65
1765,4,-0.01,-0.727,-0.826,-0.654,-0.652
1765,5,0.253,-0.792,-0.785,-0.659,-0.645
1765,6,-0.996,-0.862,-0.763,-0.67,-0.65
1765,7,-0.586,-1.148,-0.747,-0.671,-0.647
1765,8,-0.546,-1.04,-0.753,-0.665,-0.642
1765,9,-1.062,-1.135,-0.744,-0.66,-0.636
1765,10,-1.163,-1.09,-0.725,-0.66,-0.639
1765,11,-2.475,-1.272,-0.687,-0.668,-0.644
1765,12,-2.467,-1.226,-0.686,-0.673,-0.643
1766,1,-2.169,-1.171,-0.69,-0.682,-0.672
1766,2,-1.219,-1.072,-0.677,-0.699,-0.681
1766,3,-1.179,-1.034,-0.688,-0.735,-0.677
1766,4,0.529,-1.038,-0.668,-0.752,-0.669
1766,5,-1.927,-0.787,-0.673,-0.759,-0.671
1766,6,-0.448,-0.686,-0.681,-0.776,-0.676
1766,7,0.077,-0.784,-0.698,-0.788,-0.675
1766,8,0.632,-0.512,-0.72,-0.803,-0.672
1766,9,-0.598,-0.453,-0.708,-0.817,-0.679
1766,10,-1.213,-0.566,-0.695,-0.797,-0.673
1766,11,0.532,-0.495,-0.708,-0.794,-0.665
1766,12,-1.249,-0.573,-0.712,-0.753,-0.653
1767,1,-3.346,-0.687,-0.712,-0.791,-0.644
1767,2,2.046,-0.689,-0.715,-0.809,-0.65
1767,3,-0.468,-0.619,-0.694,-0.803,-0.646
1767,4,-0.827,-0.64,-0.71,-0.826,-0.652
1767,5,-1.072,-0.618,-0.699,-0.838,-0.65
1767,6,-1.393,-0.595,-0.671,-0.83,-0.659
1767,7,-1.293,-0.519,-0.681,-0.832,-0.674
1767,8,0.611,-0.657,-0.615,-0.819,-0.678
1767,9,0.247,-0.7,-0.663,-0.818,-0.676
1767,10,-1.473,-0.613,-0.693,-0.781,-0.662
1767,11,0.798,-0.496,-0.717,-0.764,-0.661
1767,12,-0.966,-0.416,-0.721,-0.745,-0.657
1768,1,-2.438,-0.334,-0.722,-0.715,-0.646
1768,2,0.392,-0.374,-0.712,-0.732,-0.642
1768,3,-0.984,-0.543,-0.689,-0.717,-0.642
1768,4,0.221,-0.533,-0.708,-0.708,-0.634
1768,5,0.325,-0.682,-0.694,-0.7,-0.631
1768,6,-0.426,-0.612,-0.663,-0.699,-0.624
1768,7,-0.313,-0.47,-0.658,-0.703,-0.61
1768,8,0.131,-0.555,-0.649,-0.693,-0.605
1768,9,-1.782,-0.506,-0.674,-0.693,-0.602
1768,10,-1.351,-0.512,-0.721,-0.683,-0.598
1768,11,-0.989,-0.539,-0.685,-0.691,-0.599
1768,12,-0.131,-0.579,-0.683,-0.704,-0.588
1769,1,-0.734,-0.521,-0.688,-0.735,-0.599
