Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1843,2,1.498,,,,
1843,3,-0.13,-0.576,,,
1843,4,-1.009,-0.558,,,
1843,5,-1.78,-0.681,,,
1843,6,-1.837,-0.856,,,
1843,7,-0.289,-0.996,,,
1843,8,-1.135,-1.172,,,
1843,9,-1.711,-1.15,,,
1843,10,,-1.238,,,
1843,11,-1.571,-1.217,,,
1843,12,-2.165,-1.145,,,
1844,1,-1.215,-1.118,,,
1844,2,-0.611,-1.094,,,
1844,3,,-1.043,,,
1844,4,,-1.073,,,
1844,5,-1.527,-1.029,,,
1844,6,-0.97,-0.976,,,
1844,7,0.03,-1.049,,,
1844,8,-0.84,-1.037,,,
1844,9,-1.1,-0.99,,,
1844,10,-0.974,-0.894,,,
1844,11,-1.041,-0.855,,,
1844,12,-1.532,-0.839,,,
1845,1,-2.096,-0.815,,,
1845,2,-0.463,-0.77,,,
1845,3,0.706,,,,
1845,4,-0.922,,,,
1845,5,-1.052,,,,
1845,6,,,,,
1845,7,,,,,
1845,8,,,,,
1845,9,,,,,
1845,10,,,,,
1845,11,,,,,
1845,12,,,,,
1846,1,,,,,
1846,2,,,,,
1846,3,,,,,
1846,4,,,,,
1846,5,,,,,
1846,6,,,,,
1846,7,,,,,
1846,8,,,,,
1846,9,,,,,
1846,10,,,,,
1846,11,,,,,
1846,12,,,,,
1847,1,,,,,
1847,2,,,,,
1847,3,,,,,
1847,4,,,,,
1847,5,,,,,
1847,6,,,,,
1847,7,,,,,
1847,8,,,,,
1847,9,,,,,
1847,10,,,,,
1847,11,,,,,
1847,12,,,,,
1848,1,-0.794,,,,
1848,2,-0.675,,,,
1848,3,-0.591,,,,
1848,4,-0.824,-0.605,,,
1848,5,-0.662,-0.531,,,
1848,6,0.717,-0.545,,,
1848,7,0.326,-0.618,,,
1848,8,-0.181,-0.725,,,
1848,9,-1.258,-0.737,,,
1848,10,-0.112,-0.655,,,
1848,11,-0.193,-0.644,,,
1848,12,-2.295,-0.72,,,
1849,1,-1.663,-0.788,,,
1849,2,-1.964,-0.816,,,
1849,3,-0.735,-0.722,-0.559,,
1849,4,0.161,-0.747,-0.564,,
1849,5,-0.529,-0.758,-0.53,,
1849,6,-0.199,-0.593,-0.588,,
1849,7,-0.489,-0.548,-0.59,,
1849,8,-0.514,-0.523,-0.608,,
1849,9,-0.128,-0.589,-0.617,,
1849,10,-0.416,-0.712,-0.643,,
1849,11,-0.33,-0.842,-0.647,,
1849,12,-0.309,-0.901,-0.656,,
1850,1,-1.121,-0.834,-0.67,,
1850,2,-1.668,-0.803,-0.675,,
1850,3,-1.525,-0.862,-0.689,,
1850,4,-1.317,-0.843,-0.667,,
1850,5,-2.091,-0.993,-0.655,,
1850,6,-0.899,-1.128,-0.619,,
1850,7,0.309,-1.074,-0.616,,
1850,8,-0.136,-1.044,-0.599,,
1850,9,-0.835,-0.927,-0.584,,
1850,10,-0.189,-0.853,-0.574,,
1850,11,-2.134,-0.538,-0.569,,
1850,12,-1.929,-0.5,-0.578,,
1851,1,-0.468,-0.506,-0.573,,
1851,2,-1.318,-0.467,-0.567,,
1851,3,-0.111,-0.444,-0.546,,
1851,4,-0.429,-0.467,-0.543,,
1851,5,1.688,-0.315,-0.554,,
1851,6,-0.448,-0.332,-0.514,,
1851,7,0.236,-0.37,-0.492,,
1851,8,0.333,-0.33,-0.496,,
1851,9,-0.559,-0.441,-0.518,,
1851,10,-0.462,-0.503,-0.552,,
1851,11,-0.317,-0.663,-0.553,,
1851,12,-2.129,-0.666,-0.564,,
1852,1,-0.93,-0.675,-0.56,,
1852,2,-0.836,-0.753,-0.563,,
1852,3,-1.441,-0.745,-0.579,,
1852,4,-1.167,-0.674,-0.563,,
1852,5,-0.233,-0.676,-0.561,-0.582,
1852,6,-0.491,-0.499,-0.553,-0.592,
1852,7,0.13,-0.471,-0.551,-0.604,
1852,8,-0.602,-0.374,-0.52,-0.61,
1852,9,-0.465,-0.226,-0.486,-0.623,-0.576
1852,10,0.398,-0.148,-0.475,-0.624,-0.586
1852,11,-0.341,-0.158,-0.433,-0.627,-0.589
1852,12,-0.009,-0.101,-0.419,-0.624,-0.598
1853,1,-0.598,-0.062,-0.429,-0.635,-0.609
1853,2,0.336,0.005,-0.437,-0.652,-0.629
1853,3,0.334,0.045,-0.453,-0.646,-0.626
1853,4,-0.23,0.014,-0.463,-0.643,-0.629
1853,5,-0.358,-0.029,-0.437,-0.637,-0.62
1853,6,0.19,-0.016,-0.411,-0.642,-0.613
1853,7,0.606,0.005,-0.413,-0.644,-0.612
1853,8,0.195,-0.209,-0.412,-0.643,-0.611
1853,9,0.016,-0.405,-0.452,-0.641,-0.605
1853,10,0.033,,,-0.64,-0.604
1853,11,-0.863,,,-0.627,-0.595
1853,12,0.149,,,-0.614,-0.587
1854,1,,,,-0.625,-0.591
1854,2,,,,-0.625,-0.588
1854,3,,,,-0.621,-0.581
1854,4,,,,-0.617,-0.574
1854,5,,,,-0.602,-0.567
1854,6,,,,-0.603,-0.564
1854,7,,,,-0.605,-0.566
1854,8,,,,-0.601,-0.565
1854,9,,,,-0.599,-0.561
1854,10,,,,-0.597,-0.55
1854,11,,,,-0.598,-0.537
1854,12,,,,-0.59,-0.532
1855,1,-1.015,,,-0.588,-0.517
1855,2,0.158,,,-0.579,-0.513
1855,3,0.516,-0.23,,-0.577,-0.507
1855,4,-0.625,-0.347,,-0.561,-0.509
1855,5,0.424,-0.37,,-0.546,-0.51
1855,6,-0.064,-0.421,,-0.528,-0.503
1855,7,-0.268,-0.383,,-0.524,-0.502
1855,8,-0.673,-0.504,,-0.519,-0.497
1855,9,-1.75,-0.753,,-0.507,-0.498
1855,10,-0.833,,,-0.507,-0.486
1855,11,-0.523,,,-0.501,-0.479
1855,12,-0.395,,,-0.484,-0.479
1856,1,,,,-0.492,-0.487
1856,2,,,,-0.495,-0.485
1856,3,,,,-0.501,-0.482
1856,4,,,,-0.505,-0.483
1856,5,,,,-0.535,-0.482
1856,6,,,,-0.529,-0.483
1856,7,,,,-0.535,-0.477
1856,8,,,,-0.538,-0.475
1856,9,,,,-0.542,-0.475
1856,10,,,,-0.546,-0.476
1856,11,,,,-0.542,-0.472
1856,12,-0.344,,,-0.542,-0.477
1857,1,0.619,,,-0.546,-0.473
1857,2,-1.839,-0.973,-0.639,-0.553,-0.479
1857,3,-1.769,-1.049,-0.618,-0.541,-0.47
1857,4,-1.162,-1.001,-0.631,-0.528,-0.47
1857,5,-1.116,-0.991,-0.635,-0.521,-0.469
1857,6,-1.102,-1.106,-0.628,-0.508,-0.467
1857,7,-0.543,-1.336,-0.625,-0.511,-0.475
1857,8,-0.958,-1.41,-0.638,-0.517,-0.474
1857,9,-1.234,-1.256,-0.667,-0.532,-0.476
1857,10,-0.975,-1.196,-0.648,-0.561,-0.469
1857,11,-1.47,-1.093,-0.659,-0.565,-0.466
1857,12,-1.725,-0.993,-0.637,-0.585,-0.459
1858,1,-2.134,-0.946,-0.62,-0.596,-0.458
1858,2,-2.735,-0.867,-0.6,-0.627,-0.469
1858,3,0.081,-0.854,-0.561,-0.626,-0.468
1858,4,-0.446,-0.763,-0.551,-0.637,-0.475
1858,5,0.121,-0.528,-0.565,-0.631,-0.467
1858,6,0.098,-0.45,-0.558,-0.635,-0.468
1858,7,0.028,-0.516,-0.571,-0.64,-0.467
1858,8,-0.02,-0.457,-0.578,-0.649,-0.467
1858,9,-1.067,-0.478,-0.551,-0.652,-0.464
1858,10,0.106,-0.392,-0.545,-0.654,-0.449
1858,11,1.352,-0.293,-0.564,-0.643,-0.458
1858,12,-0.788,-0.333,-0.567,-0.646,-0.451
1859,1,-2.925,-0.392,-0.575,-0.662,-0.449
1859,2,-2.024,-0.398,-0.576,-0.642,-0.445
1859,3,-0.166,-0.294,-0.587,-0.61,-0.439
1859,4,0.583,-0.318,-0.578,-0.597,-0.447
1859,5,1.309,-0.47,-0.548,-0.591,-0.442
1859,6,-0.38,-0.355,-0.577,-0.586,-0.431
1859,7,-0.685,-0.178,-0.611,-0.588,-0.428
1859,8,-0.095,-0.062,-0.608,-0.587,-0.419
1859,9,0.187,-0.15,-0.579,-0.578,-0.418
1859,10,-0.177,-0.154,-0.553,-0.57,-0.416
1859,11,-0.478,-0.284,-0.525,-0.549,-0.415
1859,12,0.598,-0.149,-0.488,-0.555,-0.411
1860,1,-0.801,-0.028,-0.483,-0.533,-0.399
1860,2,-0.638,0.025,-0.489,-0.531,-0.391
1860,3,-1.217,0.059,-0.506,-0.517,-0.377
1860,4,0.534,0.053,-0.541,-0.523,-0.382
1860,5,-0.254,-0.019,-0.531,-0.538,-0.37
1860,6,1.239,-0.068,-0.541,-0.529,-0.371
1860,7,0.771,-0.113,-0.539,-0.523,-0.372
1860,8,0.535,-0.205,-0.55,-0.51,-0.372
1860,9,0.6,-0.175,-0.543,-0.508,-0.372
1860,10,-0.25,-0.292,-0.562,-0.488,-0.382
1860,11,-1.346,-0.429,-0.557,-0.483,-0.373
1860,12,0.014,-0.51,-0.564,-0.489,-0.364
1861,1,-1.341,-0.619,-0.564,-0.495,-0.36
1861,2,-1.742,-0.666,-0.579,-0.484,-0.362
1861,3,-0.854,-0.795,-0.566,-0.453,-0.368
1861,4,-0.876,-0.859,-0.572,-0.447,-0.367
1861,5,-1.9,-0.732,-0.587,-0.437,-0.376
1861,6,0.276,-0.906,-0.577,-0.448,-0.38
1861,7,-0.541,-0.911,-0.566,-0.432,-0.385
1861,8,-0.025,-0.907,-0.53,-0.427,-0.39
1861,9,-0.96,-0.839,-0.496,-0.421,-0.393
1861,10,-1.014,-0.73,-0.511,-0.413,-0.4
1861,11,0.184,-0.523,-0.531,-0.411,-0.403
1861,12,-2.082,-0.454,-0.53,-0.406,-0.394
1862,1,-1.4,-0.43,-0.525,-0.41,-0.392
1862,2,-1.691,-0.54,-0.534,-0.406,-0.395
1862,3,-0.039,-0.649,-0.537,-0.38,-0.384
1862,4,0.435,-0.818,-0.51,-0.367,-0.382
1862,5,0.576,-0.906,-0.464,-0.355,-0.384
1862,6,1.112,-0.926,-0.482,-0.343,-0.384
1862,7,-0.261,-0.976,-0.442,-0.346,-0.385
1862,8,-1.338,-1.12,-0.424,-0.338,-0.382
1862,9,-2.266,-1.073,-0.367,-0.328,-0.376
1862,10,-3.051,-1.243,-0.399,-0.314,-0.379
1862,11,-0.866,-1.253,-0.416,-0.305,-0.378
1862,12,-2.328,-1.376,-0.422,-0.295,-0.379
1863,1,-1.992,-1.352,-0.426,-0.28,-0.376
1863,2,-3.417,-1.315,-0.421,-0.287,-0.376
1863,3,0.517,-1.151,-0.456,-0.29,-0.375
1863,4,-1.597,-0.918,-0.424,-0.308,-0.368
1863,5,0.447,-0.807,-0.402,-0.298,-0.357
1863,6,-0.362,-0.63,-0.421,-0.294,-0.362
1863,7,0.027,-0.652,-0.419,-0.291,-0.365
1863,8,-0.892,-0.359,-0.391,-0.291,-0.363
1863,9,-0.299,-0.244,-0.355,-0.286,-0.364
1863,10,-0.26,-0.139,-0.348,-0.259,-0.366
