Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,-1.23,-0.7,,,
1750,3,,-0.661,,,
1750,4,0.312,-0.574,,,
1750,5,-1.522,-0.728,,,
1750,6,0.219,-0.691,,,
1750,7,0.367,-0.693,,,
1750,8,0.567,-0.843,,,
1750,9,,-0.913,,,
1750,10,-0.561,-1.082,,,
1750,11,-3.103,-1.043,,,
1750,12,-2.622,-1.107,,,
1751,1,-2.101,-1.052,,,
1751,2,-3.038,-1.006,,,
1751,3,0.787,-1.008,,,
1751,4,-1.717,-1.059,,,
1751,5,-1.054,-1.08,,,
1751,6,-0.553,-1.088,,,
1751,7,1.028,-1.045,,,
1751,8,1.121,-0.689,,,
1751,9,-0.284,-0.753,,,
1751,10,-1.169,-0.715,,,
1751,11,-3.359,-0.691,,,
1751,12,-2.714,-0.49,,,
1752,1,-1.583,-0.542,,,
1752,2,1.235,-0.737,,,
1752,3,0.017,,,,
1752,4,-1.26,,,,
1752,5,-0.774,,,,
1752,6,1.867,,,,
1752,7,0.4,,,,
1752,8,-1.22,,,,
1752,9,,,,,
1752,10,-0.413,,,,
1752,11,-0.494,,,,
1752,12,-1.567,,,,
1753,1,-2.357,,,,
1753,2,-1.561,,,,
1753,3,0.6,-0.325,,,
1753,4,0.121,-0.323,,,
1753,5,0.195,-0.433,,,
1753,6,1.856,-0.416,,,
1753,7,0.867,-0.366,,,
1753,8,-0.688,-0.508,,,
1753,9,-0.461,-0.845,,,
1753,10,-0.385,-0.809,,,
1753,11,-1.813,-0.761,,,
1753,12,-1.365,-0.822,,,
1754,1,-1.752,-0.905,,,
1754,2,-3.272,-0.812,,,
1754,3,-3.443,-0.828,,,
1754,4,0.556,-0.706,,,
1754,5,0.764,-0.482,,,
1754,6,1.132,-0.407,,,
1754,7,-0.137,-0.61,,,
1754,8,0.431,-0.666,,,
1754,9,-0.653,-0.443,,,
1754,10,1.074,-0.205,,,
1754,11,0.88,-0.254,,,
1754,12,-0.46,-0.138,,,
1755,1,-4.194,-0.138,,,
1755,2,-3.945,-0.286,,,
1755,3,-0.767,-0.341,-0.351,,
1755,4,3.415,-0.429,-0.397,,
1755,5,0.18,-0.649,-0.424,,
1755,6,2.516,-0.644,-0.432,,
1755,7,-0.131,-0.318,-0.458,,
1755,8,-1.342,0.098,-0.473,,
1755,9,-1.322,0.174,-0.489,,
1755,10,0.027,-0.166,-0.501,,
1755,11,-1.76,-0.135,-0.516,,
1755,12,-0.406,-0.224,-0.535,,
1756,1,-0.276,-0.248,-0.582,,
1756,2,1.041,-0.102,-0.594,,
1756,3,0.14,0.011,-0.621,,
1756,4,-0.655,-0.092,-0.657,,
1756,5,0.544,-0.192,-0.626,,
1756,6,1.451,-0.305,-0.604,,
1756,7,-0.416,-0.54,-0.555,,
1756,8,0.405,-0.651,-0.481,,
1756,9,0.042,-0.742,-0.427,,
1756,10,-1.216,-0.664,-0.443,,
1756,11,-2.955,-0.607,-0.465,,
1756,12,-1.762,-0.558,-0.476,,
1757,1,-3.095,-0.322,-0.461,,
1757,2,-0.294,-0.208,-0.47,,
1757,3,-0.951,-0.272,-0.454,,
1757,4,0.279,-0.433,-0.47,,
1757,5,1.229,-0.366,-0.544,,
1757,6,2.037,-0.388,-0.551,,
1757,7,2.419,-0.457,-0.507,,
1757,8,1.767,-0.639,-0.469,,
1757,9,-0.718,-0.589,-0.491,-0.483,
1757,10,-3.153,-0.663,-0.519,-0.494,
1757,11,-2.157,-0.824,-0.523,-0.499,
1757,12,-2.016,-0.933,-0.559,-0.516,
1758,1,-3.928,-1.296,-0.556,-0.525,
1758,2,-2.472,-1.562,-0.544,-0.508,
1758,3,-0.357,-1.678,-0.542,-0.528,
1758,4,-0.61,-1.625,-0.553,-0.532,
1758,5,-0.705,-1.443,-0.537,-0.549,
1758,6,0.731,-1.277,-0.539,-0.57,
1758,7,-1.932,-0.85,-0.57,-0.572,
1758,8,-1.434,-0.547,-0.595,-0.559,
1758,9,-2.103,-0.534,-0.585,-0.565,
1758,10,-2.517,-0.517,-0.582,-0.581,
1758,11,0.026,-0.506,-0.571,-0.581,
