Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,5,,,,,
1824,6,,,,,
1824,7,,,,,
1824,8,,,,,
1824,9,,,,,
1824,10,,,,,
1824,11,-0.141,,,,
1824,12,0.153,,,,
1825,1,-0.261,-0.39,,,
1825,2,-0.232,-0.41,,,
1825,3,-0.317,-0.437,,,
1825,4,0.038,-0.434,,,
1825,5,-0.13,-0.458,,,
1825,6,-0.046,-0.576,,,
1825,7,-0.793,-0.663,,,
1825,8,-1.174,-0.616,,,
1825,9,-1.231,-0.554,,,
1825,10,-1.078,-0.495,,,
1825,11,-0.43,-0.476,,,
1825,12,-1.262,-0.51,,,
1826,1,-1.298,-0.445,,,
1826,2,0.33,-0.429,,,
1826,3,0.426,-0.37,-0.28,,
1826,4,0.741,-0.35,-0.264,,
1826,5,0.107,-0.362,-0.241,,
1826,6,-0.454,-0.244,-0.213,,
1826,7,-0.02,-0.171,-0.239,,
1826,8,-0.975,-0.096,-0.233,,
1826,9,-0.528,-0.091,-0.27,,
1826,10,-0.836,-0.053,-0.289,,
1826,11,-0.574,-0.014,-0.301,,
1826,12,0.149,0.043,-0.315,,
1827,1,-0.418,0.082,-0.326,,
1827,2,1.236,0.153,-0.321,,
1827,3,0.483,0.125,-0.322,,
1827,4,1.192,0.116,-0.316,,
1827,5,0.581,0.131,-0.342,,
1827,6,,0.147,-0.355,,
1827,7,0.454,0.212,-0.341,,
1827,8,-0.128,0.147,-0.319,,
1827,9,-0.864,0.072,-0.323,,
1827,10,-0.949,-0.043,-0.328,,
1827,11,-0.393,-0.104,-0.337,,
1827,12,0.345,-0.111,-0.341,,
1828,1,0.364,-0.161,-0.326,,
1828,2,0.45,-0.193,-0.315,,
1828,3,-0.411,-0.243,-0.318,,
1828,4,-0.187,-0.237,-0.318,,
1828,5,-0.154,-0.243,-0.296,,
1828,6,0.135,-0.247,-0.255,,
1828,7,-0.138,-0.379,,,
1828,8,-0.519,-0.467,,,
1828,9,-1.454,-0.565,,,
1828,10,,-0.609,,,
1828,11,-0.469,-0.641,,,
1828,12,0.301,-0.699,,,
1829,1,-1.223,-0.715,,,
1829,2,-0.602,-0.725,,,
1829,3,-1.584,-0.685,,,
1829,4,-0.716,-0.676,,,
1829,5,-0.542,-0.779,,,
1829,6,-0.557,-0.855,,,
