Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1819,8,,,,,
1819,9,-0.022,,,,
1819,10,-0.881,,,,
1819,11,-2.022,,,,
1819,12,-1.286,,,,
1820,1,-3.509,,,,
1820,2,-0.848,-0.894,,,
1820,3,-0.617,-0.932,,,
1820,4,0.246,-0.986,,,
1820,5,-0.058,-0.996,,,
1820,6,-0.33,-1.107,,,
1820,7,-0.099,-0.847,,,
1820,8,-1.303,-0.794,,,
1820,9,-0.481,-0.77,,,
1820,10,-1.524,-0.824,,,
1820,11,-2.148,-0.824,,,
1820,12,-2.616,-0.853,,,
1821,1,-0.384,-0.903,,,
1821,2,-0.217,-0.843,,,
1821,3,-0.322,,,,
1821,4,-0.407,,,,
1821,5,-0.05,,,,
1821,6,-0.687,,,,
1821,7,-0.695,,,,
1821,8,-0.591,,,,
1821,9,,,,,
1821,10,-1.969,,,,
1821,11,-2.089,,,,
1821,12,-1.366,,,,
1822,1,-1.035,,,,
1822,2,-0.168,,,,
1822,3,1.617,-0.87,,,
1822,4,-1.528,-0.849,,,
1822,5,-1.361,-0.875,,,
1822,6,-0.286,-0.995,,,
1822,7,-0.827,-1.002,,,
1822,8,-0.661,-1.057,,,
1822,9,-0.765,-1.273,,,
1822,10,-1.724,-1.257,,,
1822,11,-2.396,-1.284,,,
1822,12,-2.805,-1.26,,,
1823,1,-1.123,-1.162,,,
1823,2,-0.826,-1.179,,,
1823,3,-0.972,-1.201,,,
1823,4,-1.341,-1.165,,,
1823,5,-1.69,,,,
1823,6,0.013,,,,
1823,7,0.349,,,,
1823,8,-0.874,,,,
1823,9,-1.02,,,,
1823,10,-1.291,,,,
1823,11,,,,,
1823,12,,,,,
1824,1,,,,,
1824,2,,,,,
1824,3,,,,,
1824,4,,,,,
1824,5,,,,,
1824,6,,,,,
1824,7,,,,,
1824,8,,,,,
1824,9,,,,,
1824,10,,,,,
1824,11,,,,,
1824,12,,,,,
1825,1,-0.34,,,,
1825,2,-0.877,,,,
1825,3,-0.709,,,,
1825,4,-0.377,-0.773,,,
1825,5,-0.028,-0.746,,,
1825,6,-0.673,-0.865,,,
1825,7,-1.752,-0.901,,,
1825,8,-2.88,,,,
1825,9,-1.497,,,,
1825,10,0.365,,,,
1825,11,,,,,
1825,12,,,,,
1826,1,,,,,
1826,2,,,,,
1826,3,,,,,
1826,4,,,,,
1826,5,0.694,,,,
1826,6,0.586,,,,
1826,7,-0.341,,,,
1826,8,-1.841,,,,
1826,9,-1.301,-0.195,,,
1826,10,-0.148,-0.1,,,
1826,11,0.072,-0.159,,,
1826,12,0.26,-0.176,,,
1827,1,0.116,-0.099,,,
1827,2,-0.243,0.065,,,
1827,3,0.26,0.141,,,
1827,4,0.686,0.161,,,
1827,5,-0.012,0.072,,,
1827,6,0.386,-0.002,,,
1827,7,0.581,-0.127,,,
1827,8,0.13,-0.232,,,
1827,9,-0.394,-0.283,,,
1827,10,0.091,-0.278,,,
1827,11,-0.997,-0.269,,,
1827,12,-0.621,-0.345,,,
1828,1,-1.389,-0.508,,,
1828,2,-1.5,-0.549,,,
1828,3,-0.361,-0.612,,,
1828,4,0.745,-0.676,,,
1828,5,0.1,-0.66,,,
1828,6,-0.53,,,,
1828,7,-1.373,,,,
1828,8,-0.363,,,,
1828,9,-1.144,,,,
1828,10,,,,,
1828,11,,,,,
1828,12,,,,,
1829,1,,,,,
1829,2,,,,,
1829,3,,,,,
1829,4,,,,,
1829,5,,,,,
1829,6,,,,,
1829,7,,,,,
1829,8,,,,,
1829,9,,,,,
1829,10,,,,,
1829,11,,,,,
1829,12,,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,-2.256,,,,
1830,10,,,,,
1830,11,0.215,,,,
1830,12,-0.061,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,-2.262,,,,
1831,9,-1.012,,,,
1831,10,-0.911,-1.034,,,
1831,11,-1.981,-1.08,,,
1831,12,-1.387,-1.137,,,
1832,1,-0.333,-1.155,,,
1832,2,-0.931,-1.084,,,
1832,3,-0.67,-1.116,,,
1832,4,-0.612,-1.093,,,
1832,5,-1.427,-1.065,,,
1832,6,-1.142,-1.105,,,
1832,7,-1.191,-1.147,,,
1832,8,-1.41,-1.156,,,
1832,9,-1.391,-1.185,,,
1832,10,-0.646,-1.222,,,
1832,11,-1.646,-1.206,,,
1832,12,-1.857,-1.144,,,
1833,1,-0.845,,,,
1833,2,-1.033,,,,
1833,3,-1.024,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,,,,,
1836,8,,,,,
1836,9,,,,,
1836,10,,,,,
1836,11,,,,,
1836,12,,,,,
1837,1,,,,,
1837,2,,,,,
1837,3,,,,,
1837,4,,,,,
1837,5,,,,,
1837,6,,,,,
1837,7,,,,,
1837,8,,,,,
1837,9,,,,,
1837,10,,,,,
1837,11,,,,,
1837,12,,,,,
1838,1,,,,,
1838,2,,,,,
1838,3,,,,,
1838,4,,,,,
1838,5,,,,,
1838,6,,,,,
1838,7,,,,,
1838,8,,,,,
1838,9,,,,,
1838,10,,,,,
1838,11,,,,,
1838,12,,,,,
1839,1,-1.073,,,,
1839,2,-1.197,,,,
1839,3,-2.221,-0.66,,,
1839,4,-1.185,-0.723,,,
1839,5,-0.429,-0.782,,,
1839,6,-0.31,-0.894,,,
1839,7,1.066,-0.867,,,
1839,8,0.308,-0.887,,,
1839,9,-0.439,-0.848,,,
1839,10,-1.229,-0.757,,,
1839,11,-1.83,-0.721,,,
1839,12,-2.194,-0.705,,,
1840,1,-0.747,-0.85,,,
1840,2,-1.429,-0.955,,,
1840,3,-1.76,-0.957,,,
1840,4,-0.09,-0.942,,,
1840,5,0.001,-0.805,,,
1840,6,-0.118,-0.784,,,
1840,7,-0.676,-0.952,,,
1840,8,-0.944,-1.06,,,
1840,9,-0.469,-1.086,,,
1840,10,-1.05,-1.179,,,
1840,11,-0.189,-1.269,,,
1840,12,-1.932,-1.35,,,
1841,1,-2.769,-1.239,,,
1841,2,-2.722,-1.251,,,
1841,3,-2.074,-1.33,,,
1841,4,-1.207,-1.346,,,
1841,5,-1.074,-1.5,,,
1841,6,-1.095,-1.52,,,
