Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1843,2,1.35,,,,
1843,3,-0.14,-0.585,,,
1843,4,-0.94,-0.565,,,
1843,5,-1.756,-0.683,,,
1843,6,-1.863,-0.847,,,
1843,7,-0.329,-0.98,,,
1843,8,-1.096,-1.147,,,
1843,9,-1.679,-1.123,,,
1843,10,,-1.211,,,
1843,11,-1.505,-1.198,,,
1843,12,-2.042,-1.127,,,
1844,1,-1.071,-1.1,,,
1844,2,-0.661,-1.078,,,
1844,3,,-1.032,,,
1844,4,,-1.065,,,
1844,5,-1.59,-1.027,,,
1844,6,-1.016,-0.993,,,
1844,7,-0.006,-1.086,,,
1844,8,-0.836,-1.076,,,
1844,9,-1.124,-1.041,,,
1844,10,-1.087,-0.942,,,
1844,11,-1.039,-0.897,,,
1844,12,-1.642,-0.88,,,
1845,1,-2.178,-0.858,,,
1845,2,-0.551,-0.812,,,
1845,3,0.576,,,,
1845,4,-0.811,,,,
1845,5,-1.05,,,,
1845,6,,,,,
1845,7,,,,,
1845,8,,,,,
1845,9,,,,,
1845,10,,,,,
1845,11,,,,,
1845,12,,,,,
1846,1,,,,,
1846,2,,,,,
1846,3,,,,,
1846,4,,,,,
1846,5,,,,,
1846,6,,,,,
1846,7,,,,,
1846,8,,,,,
1846,9,,,,,
1846,10,,,,,
1846,11,,,,,
1846,12,,,,,
1847,1,,,,,
1847,2,,,,,
1847,3,,,,,
1847,4,,,,,
1847,5,,,,,
1847,6,,,,,
1847,7,,,,,
1847,8,,,,,
1847,9,,,,,
1847,10,,,,,
1847,11,,,,,
1847,12,,,,,
1848,1,,,,,
1848,2,,,,,
1848,3,,,,,
1848,4,,,,,
1848,5,-0.676,,,,
1848,6,0.547,,,,
1848,7,,,,,
1848,8,-0.199,-0.727,,,
1848,9,-1.267,-0.743,,,
1848,10,-0.203,-0.656,,,
1848,11,-0.059,-0.645,,,
1848,12,-2.299,-0.714,,,
1849,1,-1.532,-0.782,,,
1849,2,-1.895,-0.809,,,
1849,3,-0.779,-0.717,,,
1849,4,,-0.736,,,
1849,5,,-0.756,,,
1849,6,-0.286,-0.578,,,
1849,7,-0.515,-0.532,,,
1849,8,-0.517,-0.508,,,
1849,9,-0.163,-0.566,,,
1849,10,-0.435,-0.694,,,
1849,11,-0.293,-0.827,,,
1849,12,-0.17,-0.887,,,
1850,1,-0.982,-0.821,,,
1850,2,-1.602,-0.797,,,
1850,3,-1.47,-0.853,-0.692,,
1850,4,-1.354,-0.841,-0.67,,
1850,5,-2.14,-0.985,-0.659,,
1850,6,-0.998,-1.129,-0.622,,
1850,7,0.272,-1.081,-0.619,,
1850,8,-0.234,-1.054,-0.603,,
1850,9,-0.835,-0.945,-0.588,,
1850,10,,-0.869,-0.576,,
1850,11,,,-0.572,,
1850,12,,,-0.578,,
1851,1,-0.404,,-0.575,,
1851,2,-1.283,,-0.568,,
1851,3,-0.162,,-0.548,,
1851,4,-0.446,-0.443,-0.545,,
1851,5,,-0.302,-0.559,,
1851,6,-0.353,-0.317,-0.519,,
1851,7,0.232,-0.361,-0.499,,
1851,8,0.397,-0.328,-0.504,,
1851,9,-0.514,-0.431,-0.526,,
1851,10,-0.601,-0.486,-0.562,,
1851,11,-0.336,-0.658,-0.564,,
1851,12,-2.071,-0.672,-0.576,,
1852,1,-0.931,-0.685,-0.574,,
1852,2,-0.888,-0.772,-0.578,,
1852,3,-1.402,-0.77,-0.594,,
1852,4,-1.098,-0.688,-0.575,,
1852,5,-0.327,-0.688,-0.572,,
1852,6,-0.521,-0.518,,,
1852,7,0.071,-0.493,,,
1852,8,-0.646,-0.397,,,
1852,9,-0.492,-0.254,,,
1852,10,0.386,-0.177,,,
1852,11,-0.337,-0.182,,,
1852,12,-0.035,-0.127,,,
1853,1,-0.624,-0.091,,,
1853,2,0.264,-0.017,,,
1853,3,0.309,0.017,,,
1853,4,-0.171,-0.017,-0.47,-0.649,
1853,5,-0.39,-0.064,-0.446,-0.643,
1853,6,0.141,-0.05,-0.42,-0.646,
1853,7,0.509,-0.03,-0.423,-0.648,
1853,8,0.238,-0.235,-0.424,-0.646,
1853,9,-0.08,-0.433,,-0.645,
1853,10,-0.027,,,-0.644,
1853,11,-0.901,,,-0.63,
1853,12,0.129,,,-0.617,
1854,1,,,,-0.629,
1854,2,,,,-0.63,
1854,3,,,,-0.626,
1854,4,,,,-0.622,
1854,5,,,,-0.607,
1854,6,,,,-0.607,
1854,7,,,,-0.608,
1854,8,,,,-0.605,
1854,9,,,,-0.601,
1854,10,,,,-0.599,
1854,11,,,,-0.601,
1854,12,,,,-0.594,
1855,1,-0.894,,,-0.592,
1855,2,0.247,,,-0.584,
1855,3,0.53,-0.182,,-0.583,
1855,4,-0.535,-0.314,,-0.568,
1855,5,0.382,-0.355,,-0.553,
1855,6,-0.048,-0.41,,-0.534,
1855,7,-0.299,-0.384,,-0.53,
1855,8,-0.623,-0.519,,-0.524,
1855,9,-1.833,-0.77,,-0.513,
1855,10,-0.91,,,-0.513,-0.509
1855,11,-0.618,,,-0.506,-0.501
1855,12,-0.322,,,-0.49,-0.501
1856,1,,,,-0.499,-0.508
1856,2,,,,-0.504,-0.507
1856,3,,,,-0.51,-0.505
1856,4,,,,-0.513,-0.506
1856,5,,,,-0.544,-0.505
1856,6,,,,-0.54,-0.506
1856,7,,,,-0.547,-0.501
1856,8,,,,-0.551,-0.499
1856,9,,,,-0.556,-0.499
1856,10,,,,-0.559,-0.501
1856,11,,,,-0.555,-0.496
1856,12,-0.28,,,-0.553,-0.501
1857,1,0.635,,,-0.557,-0.498
1857,2,-1.904,-0.983,-0.631,-0.564,-0.505
1857,3,-1.853,-1.052,-0.608,-0.554,-0.496
1857,4,-1.255,-1.006,-0.624,-0.542,-0.496
1857,5,-1.124,-1.011,-0.629,-0.535,-0.495
1857,6,-1.055,-1.135,-0.624,-0.523,-0.494
1857,7,-0.556,-1.36,-0.621,-0.526,-0.502
1857,8,-0.943,-1.415,-0.637,-0.532,-0.501
1857,9,-1.153,-1.255,-0.669,-0.547,-0.503
1857,10,-1.16,-1.183,-0.652,-0.576,-0.497
1857,11,-1.479,-1.088,-0.663,-0.581,-0.494
1857,12,-1.768,-0.98,-0.642,-0.599,-0.486
1858,1,-2.071,-0.929,-0.624,-0.61,-0.484
1858,2,-2.56,-0.853,-0.606,-0.639,-0.495
1858,3,0.06,-0.847,-0.566,-0.638,-0.494
1858,4,-0.39,-0.754,-0.557,-0.649,-0.5
1858,5,0.014,-0.5,-0.566,-0.644,-0.492
1858,6,0.248,-0.414,-0.56,-0.648,-0.493
1858,7,0.051,-0.485,-0.575,-0.652,-0.492
1858,8,-0.03,-0.448,-0.583,-0.662,-0.492
1858,9,-1.084,-0.47,-0.556,-0.665,-0.488
1858,10,-0.038,-0.385,-0.55,-0.668,-0.475
1858,11,1.569,-0.283,-0.569,-0.658,-0.482
1858,12,-0.738,-0.329,-0.575,-0.661,-0.476
1859,1,-2.925,-0.388,-0.584,-0.676,-0.473
1859,2,-2.11,-0.394,-0.587,-0.659,-0.469
1859,3,-0.212,-0.276,-0.598,-0.63,-0.464
1859,4,0.636,-0.294,-0.587,-0.615,-0.471
1859,5,1.24,-0.463,-0.56,-0.609,-0.466
1859,6,-0.31,-0.346,-0.586,-0.604,-0.456
1859,7,-0.655,-0.165,-0.621,-0.605,-0.453
1859,8,-0.098,-0.045,-0.618,-0.604,-0.444
1859,9,0.333,-0.143,-0.59,-0.595,-0.444
1859,10,-0.259,-0.155,-0.564,-0.591,-0.442
1859,11,-0.461,-0.284,-0.537,-0.573,-0.441
1859,12,0.667,-0.157,-0.503,-0.581,-0.438
1860,1,-0.749,-0.037,-0.499,-0.561,-0.428
1860,2,-0.669,0.01,-0.506,-0.561,-0.42
1860,3,-1.388,0.026,-0.526,-0.55,-0.408
1860,4,0.485,0.02,-0.558,-0.556,-0.412
1860,5,-0.301,-0.038,-0.549,-0.57,-0.4
1860,6,1.208,-0.092,-0.556,-0.563,-0.401
1860,7,0.782,-0.151,-0.553,-0.556,-0.402
1860,8,0.47,-0.252,-0.563,-0.546,-0.401
1860,9,0.524,-0.209,-0.558,-0.542,-0.402
1860,10,-0.333,-0.324,-0.576,-0.521,-0.411
1860,11,-1.148,-0.457,-0.573,-0.516,-0.402
1860,12,0.021,-0.553,-0.584,-0.523,-0.394
1861,1,-1.463,-0.663,-0.584,-0.527,-0.391
1861,2,-1.876,-0.713,-0.599,-0.516,-0.394
1861,3,-0.872,-0.844,-0.589,-0.489,-0.398
1861,4,-0.9,-0.899,-0.595,-0.482,-0.398
1861,5,-1.894,-0.79,-0.616,-0.474,-0.407
1861,6,0.059,-0.943,-0.606,-0.486,-0.411
1861,7,-0.549,-0.943,-0.594,-0.472,-0.416
1861,8,-0.125,-0.931,-0.563,-0.466,-0.421
1861,9,-1.042,-0.872,-0.534,-0.462,-0.424
1861,10,-1.004,-0.772,-0.549,-0.453,-0.431
1861,11,0.168,-0.573,-0.569,-0.452,-0.434
1861,12,-1.814,-0.499,-0.569,-0.446,-0.425
1862,1,-1.465,-0.477,-0.566,-0.453,-0.423
1862,2,-1.732,-0.581,-0.576,-0.448,-0.426
1862,3,-0.161,-0.689,-0.582,-0.422,-0.415
1862,4,0.292,-0.862,-0.558,-0.41,-0.413
1862,5,0.493,-0.954,-0.517,-0.399,-0.416
1862,6,0.957,-0.984,-0.537,-0.388,-0.416
1862,7,-0.292,-1.021,-0.502,-0.391,-0.415
1862,8,-1.37,-1.142,-0.485,-0.384,-0.412
1862,9,-2.344,-1.096,-0.431,-0.376,-0.406
1862,10,-3.071,-1.243,-0.461,-0.362,-0.411
1862,11,-0.944,-1.27,-0.478,-0.351,-0.409
1862,12,-2.168,-1.381,-0.484,-0.34,-0.411
1863,1,-1.917,-1.352,-0.489,-0.326,-0.408
1863,2,-3.174,-1.319,-0.485,-0.332,-0.408
1863,3,0.382,-1.16,-0.517,-0.334,-0.407
1863,4,-1.465,-0.939,-0.485,-0.351,-0.401
1863,5,0.166,-0.833,-0.465,-0.342,-0.391
1863,6,-0.377,-0.667,-0.485,-0.34,-0.395
1863,7,0.062,-0.688,-0.479,-0.336,-0.397
1863,8,-0.978,-0.444,-0.449,-0.337,-0.396
1863,9,-0.434,-0.351,-0.421,-0.331,-0.396
1863,10,-0.418,-0.249,-0.414,-0.305,-0.398
1863,11,0.324,-0.261,-0.379,-0.335,-0.396
1863,12,-0.171,-0.258,-0.396,-0.334,-0.404
1864,1,-2.171,-0.301,-0.36,-0.317,-0.41
1864,2,-0.249,-0.279,-0.346,-0.309,-0.412
1864,3,1.502,-0.245,-0.326,-0.302,-0.421
1864,4,-0.241,-0.109,-0.319,-0.319,-0.414
1864,5,0.019,0.029,-0.343,-0.326,-0.406
1864,6,-0.338,-0.003,-0.306,-0.304,-0.405
1864,7,-0.459,0.295,-0.285,-0.298,-0.403
1864,8,-0.713,0.345,-0.278,-0.284,-0.404
1864,9,-0.023,0.371,-0.255,-0.287,-0.402
1864,10,1.215,0.281,-0.255,-0.285,-0.407
1864,11,1.98,0.172,-0.261,-0.281,-0.399
1864,12,-0.551,0.27,-0.272,-0.283,-0.391
1865,1,1.402,0.35,-0.284,-0.263,-0.399
1865,2,0.344,0.466,-0.261,-0.257,-0.404
1865,3,1.817,0.353,-0.226,-0.233,-0.416
1865,4,-1.314,0.381,-0.166,-0.255,-0.423
1865,5,-1.293,0.221,-0.153,-0.248,-0.431
1865,6,0.839,0.17,-0.125,-0.267,-0.43
1865,7,0.495,-0.039,-0.098,-0.274,-0.428
1865,8,0.681,-0.075,-0.101,-0.278,-0.428
1865,9,-1.376,-0.156,-0.111,-0.29,-0.428
1865,10,1.553,-0.088,-0.126,-0.308,-0.43
1865,11,0.058,0.035,-0.11,-0.299,-0.434
1865,12,-1.17,-0.113,-0.095,-0.298,-0.439
1866,1,-1.099,-0.019,-0.088,-0.283,-0.445
1866,2,-0.092,-0.016,-0.074,-0.284,-0.443
1866,3,0.851,0.113,-0.073,-0.287,-0.429
1866,4,-0.5,-0.069,-0.016,-0.282,-0.419
1866,5,0.184,-0.179,-0.054,-0.269,-0.412
1866,6,-0.935,-0.048,-0.062,-0.283,-0.412
1866,7,1.617,0.029,-0.04,-0.286,-0.412
1866,8,0.723,-0.072,-0.055,-0.291,-0.414
1866,9,0.166,-0.042,-0.07,-0.292,-0.412
1866,10,-0.631,0.023,-0.09,-0.302,-0.407
1866,11,-1.261,0.019,-0.082,-0.313,-0.406
1866,12,0.401,0.121,-0.039,-0.297,-0.4
1867,1,-0.17,-0.097,-0.029,-0.289,-0.404
1867,2,-1.307,-0.158,0.009,-0.287,-0.398
1867,3,1.205,-0.19,0.009,-0.277,-0.386
1867,4,0.278,-0.096,-0.011,-0.285,-0.374
1867,5,0.142,-0.002,-0.045,-0.296,-0.365
1867,6,0.289,-0.076,-0.028,-0.308,-0.361
1867,7,-1.004,-0.09,-0.025,-0.305,-0.356
1867,8,-0.009,-0.26,-0.029,-0.293,-0.351
1867,9,-0.208,-0.376,-0.034,-0.265,-0.345
1867,10,0.494,-0.595,-0.049,-0.245,-0.336
1867,11,-0.131,-0.515,-0.018,-0.237,-0.333
1867,12,-0.496,-0.498,-0.049,-0.222,-0.327
1868,1,-0.332,-0.373,-0.059,-0.206,-0.326
1868,2,-3.347,-0.384,-0.071,-0.177,-0.328
1868,3,-0.185,-0.396,-0.064,-0.177,-0.33
1868,4,-2.354,-0.188,-0.13,-0.153,-0.324
1868,5,1.104,-0.338,-0.133,-0.138,-0.326
1868,6,0.486,-0.353,-0.111,-0.141,-0.325
1868,7,0.499,-0.395,-0.087,-0.143,-0.318
1868,8,-0.135,-0.211,-0.118,-0.13,-0.313
1868,9,-0.361,-0.146,-0.153,-0.127,-0.307
1868,10,2.994,-0.07,-0.15,-0.127,-0.309
1868,11,-1.928,-0.124,-0.159,-0.134,-0.307
