Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1832,2,-0.379,,,,
1832,3,-0.913,-0.935,,,
1832,4,-2.309,-0.765,,,
1832,5,-0.119,-0.941,,,
1832,6,-0.603,-1.219,,,
1832,7,1.254,-1.106,,,
1832,8,-0.855,-1.08,,,
1832,9,-0.648,-1.105,,,
1832,10,-0.425,-1.073,,,
1832,11,-3.22,-1.228,,,
1832,12,-4.257,-1.151,,,
1833,1,-0.8,-1.256,,,
1833,2,-0.067,-1.196,,,
1833,3,-1.208,-1.299,-0.775,,
1833,4,-1.926,-1.357,-0.779,,
1833,5,-1.986,-0.904,-0.835,,
1833,6,0.326,-0.592,-0.901,,
1833,7,-0.01,-0.797,-0.891,,
1833,8,-0.135,-0.924,-0.897,,
1833,9,-1.878,-0.652,-0.858,,
1833,10,-1.12,-0.709,-0.857,,
1833,11,2.216,-0.623,-0.88,,
1833,12,-0.519,-0.707,-0.874,,
1834,1,-3.258,-0.778,-0.878,,
1834,2,-1.586,-0.79,-0.877,,
1834,3,2.045,-0.676,-0.865,,
1834,4,-2.603,-0.545,-0.83,,
1834,5,-0.949,-0.577,-0.849,,
1834,6,-0.682,-0.506,-0.841,-0.907,
1834,7,-0.867,-0.167,-0.801,-0.901,
1834,8,-0.281,0.101,-0.811,-0.897,
1834,9,-0.509,-0.074,-0.795,-0.897,
1834,10,0.458,0.068,-0.822,-0.908,
1834,11,1.829,0.009,-0.836,-0.93,
1834,12,0.331,-0.141,-0.834,-0.972,
1835,1,0.813,-0.194,-0.873,-0.976,
1835,2,1.631,-0.305,-0.868,-1.016,
1835,3,-0.053,-0.475,-0.878,-1.026,
1835,4,-0.909,-0.592,-0.91,-1.026,
1835,5,-1.647,-0.913,-0.886,-1.016,
1835,6,-2.482,-1.155,-0.859,-1.01,
1835,7,-1.511,-1.142,-0.94,-1.006,
1835,8,-1.611,-1.293,-0.944,-1.004,
1835,9,-2.549,-1.108,-0.989,-1.013,
1835,10,-0.941,-1.169,-1.004,-1.028,
1835,11,-2.031,-1.174,-0.986,-1.06,
1835,12,-2.573,-1.02,-1.018,-1.095,
1836,1,0.974,-1.025,-1.03,-1.117,
1836,2,-0.181,-1.023,-1.034,-1.12,
1836,3,2.169,-0.938,-1.052,-1.145,
1836,4,-1.642,-0.892,-1.037,-1.164,
1836,5,-1.707,-0.908,-1.067,-1.167,
1836,6,-0.64,-0.734,-1.075,-1.162,
1836,7,-1.567,-0.793,-1.007,-1.146,
1836,8,-1.589,-0.862,-0.942,-1.129,
1836,9,-1.531,-1.035,-1.04,-1.124,
1836,10,-0.384,-1.227,-1.042,-1.097,
1836,11,-2.226,-1.165,-1.055,-1.106,
1836,12,-0.479,-1.15,-1.057,-1.125,-0.816
1837,1,0.263,-1.112,-1.034,-1.11,-0.827
1837,2,-1.011,-1.026,-1.026,-1.085,-0.819
1837,3,0.099,-1.004,-1.042,-1.069,-0.834
1837,4,-3.954,-1.167,-1.079,-1.056,-0.836
1837,5,-0.954,-1.129,-1.159,-1.068,-0.841
1837,6,-0.467,-1.31,-1.288,-1.074,-0.848
1837,7,-1.104,-1.803,-1.3,-1.09,-0.849
1837,8,-0.555,-1.745,-1.377,-1.092,-0.849
1837,9,-1.277,-2.076,-1.412,-1.104,-0.845
1837,10,-2.33,-1.985,-1.412,-1.109,-0.841
1837,11,-1.776,-1.978,-1.386,-1.084,-0.842
1837,12,-2.654,-2.07,-1.333,-1.048,-0.861
1838,1,-5.649,-2.042,-1.293,-1.031,-0.876
1838,2,-0.311,-2.024,-1.256,-0.99,-0.865
1838,3,-3.875,-2.166,-1.25,-0.97,-0.872
1838,4,-2.859,-1.99,-1.277,-0.964,-0.873
1838,5,-0.872,-1.809,-1.286,-0.952,-0.878
1838,6,-1.579,-1.671,-1.288,-0.952,-0.881
1838,7,-0.763,-1.131,-1.343,-0.954,-0.875
1838,8,-0.344,-0.913,-1.343,-0.964,-0.874
1838,9,-2.979,-0.91,-1.433,-0.947,-0.87
1838,10,-0.219,-0.898,-1.472,-0.919,-0.871
1838,11,0.392,-0.97,-1.454,-0.948,-0.873
1838,12,-0.995,-0.904,-1.45,-0.947,-0.873
1839,1,0.836,-0.798,-1.415,-0.903,-0.86
1839,2,2.305,-0.754,-1.381,-0.888,-0.853
1839,3,-3.844,-0.628,-1.383,-0.897,-0.847
1839,4,-2.711,-0.754,-1.364,-0.907,-0.85
1839,5,-1.74,-1.034,-1.363,-0.912,-0.86
1839,6,-0.78,-1.572,-1.409,-0.903,-0.859
1839,7,0.502,-1.63,-1.419,-0.894,-0.854
1839,8,0.187,-2.074,-1.358,-0.902,-0.852
1839,9,-1.468,-1.931,-1.342,-0.911,-0.856
1839,10,-1.727,-1.783,-1.29,-0.921,-0.851
1839,11,-2.976,-1.642,-1.301,-0.964,-0.855
1839,12,-7.446,-1.52,-1.315,-1.005,-0.858
1840,1,0.142,-1.487,-1.308,-1.011,-0.886
1840,2,-3.026,-1.455,-1.316,-1.045,-0.889
1840,3,-2.134,-1.516,-1.33,-1.047,-0.878
1840,4,-0.926,-1.581,-1.308,-1.047,-0.883
1840,5,-0.047,-1.547,-1.281,-1.041,-0.886
1840,6,0.68,-1.155,-1.236,-1.02,-0.891
1840,7,0.899,-1.358,-1.121,-1.011,-0.891
1840,8,0.57,-1.119,-1.036,-0.998,-0.893
1840,9,-2.199,-1.211,-0.951,-0.983,-0.89
1840,10,-2.506,-1.466,-0.923,-0.981,-0.901
1840,11,-2.567,-1.515,-0.919,-0.972,-0.909
1840,12,-2.748,-1.606,-0.887,-0.983,-0.913
1841,1,-2.295,-1.634,-0.877,-1.005,-0.919
1841,2,-0.159,-1.649,-0.894,-0.962,-0.917
1841,3,-3.23,-1.603,-0.842,-0.971,-0.925
1841,4,-3.994,-1.328,-0.801,-0.991,-0.935
1841,5,-0.628,-1.294,-0.828,-0.979,-0.933
1841,6,-0.412,-1.335,-0.818,-0.969,-0.925
1841,7,0.556,-1.172,-0.799,-0.957,-0.922
1841,8,0.398,-0.939,-0.833,-0.953,-0.914
1841,9,-1.652,-0.584,-0.755,-0.947,-0.902
1841,10,0.8,-0.321,-0.772,-0.968,-0.894
1841,11,-2.165,-0.401,-0.769,-0.961,-0.894
1841,12,-3.241,-0.474,-0.749,-0.944,-0.883
1842,1,-0.337,-0.577,-0.754,-0.958,-0.877
1842,2,2.636,-0.697,-0.777,-0.922,-0.884
1842,3,1.028,-0.735,-0.78,-0.943,-0.886
