Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1892,2,-0.496,,,,
1892,3,-0.132,-0.325,,,
1892,4,0.144,-0.326,,,
1892,5,0.21,-0.306,,,
1892,6,0.391,-0.353,,,
1892,7,-0.246,-0.286,,,
1892,8,-0.55,-0.295,,,
1892,9,-0.572,-0.294,,,
1892,10,-0.399,-0.315,,,
1892,11,-0.309,-0.41,,,
1892,12,-0.417,-0.512,,,
1893,1,-1.055,-0.54,,,
1893,2,-0.603,-0.556,,,
1893,3,-0.128,-0.525,-0.349,,
1893,4,-0.099,-0.494,-0.347,,
1893,5,-0.939,-0.511,-0.335,,
1893,6,-0.828,-0.471,-0.329,,
1893,7,-0.586,-0.428,-0.317,,
1893,8,-0.733,-0.377,-0.304,,
1893,9,-0.208,-0.398,-0.297,,
1893,10,-0.017,-0.458,-0.284,,
1893,11,-0.516,-0.395,-0.272,,
1893,12,0.061,-0.387,-0.259,,
1894,1,-0.545,-0.388,-0.251,,
1894,2,0.009,-0.338,-0.25,,
1894,3,-0.378,-0.284,-0.254,,
1894,4,-0.818,-0.257,-0.253,,
1894,5,-0.181,-0.216,-0.255,,
1894,6,-0.729,-0.228,-0.275,-0.286,
1894,7,-0.596,-0.22,-0.255,-0.29,
1894,8,-0.143,-0.305,-0.246,-0.286,
1894,9,0.446,-0.261,-0.245,-0.282,
1894,10,0.302,-0.209,-0.248,-0.277,
1894,11,-0.026,-0.19,-0.256,-0.267,
1894,12,-0.077,-0.146,-0.272,-0.261,
1895,1,-0.453,-0.09,-0.278,-0.258,
1895,2,-1.01,-0.085,-0.272,-0.251,
1895,3,0.154,-0.128,-0.262,-0.243,
1895,4,-0.192,-0.149,-0.266,-0.238,
1895,5,0.046,-0.154,-0.256,-0.228,
1895,6,-0.201,-0.168,-0.249,-0.221,
1895,7,0.075,-0.136,-0.227,-0.215,
1895,8,-0.087,-0.053,-0.224,-0.204,
1895,9,-0.071,-0.072,-0.226,-0.198,
1895,10,0.062,-0.037,-0.226,-0.194,
1895,11,-0.087,-0.031,-0.197,-0.186,
1895,12,-0.249,0.015,-0.176,-0.179,
1896,1,-0.07,0.016,-0.169,-0.167,
1896,2,-0.013,0.0,-0.16,-0.165,
1896,3,-0.074,-0.006,-0.159,-0.162,
1896,4,0.23,-0.042,-0.162,-0.16,
1896,5,0.107,-0.09,-0.152,-0.153,
1896,6,0.361,-0.155,-0.143,-0.151,
1896,7,0.088,-0.203,-0.131,-0.143,
1896,8,-0.281,-0.199,-0.137,-0.135,
1896,9,-0.144,-0.201,-0.137,-0.127,
1896,10,-0.371,-0.223,-0.12,-0.12,
1896,11,-0.663,-0.253,-0.132,-0.109,
1896,12,-1.031,-0.329,-0.124,-0.106,-0.178
1897,1,-0.65,-0.39,-0.122,-0.092,-0.175
1897,2,0.045,-0.382,-0.122,-0.091,-0.175
1897,3,-0.108,-0.368,-0.122,-0.09,-0.176
1897,4,-0.023,-0.386,-0.125,-0.091,-0.175
1897,5,-0.256,-0.312,-0.116,-0.093,-0.176
1897,6,-0.555,-0.221,-0.113,-0.093,-0.176
1897,7,-0.638,-0.148,-0.106,-0.088,-0.177
1897,8,-0.183,-0.184,-0.083,-0.078,-0.175
1897,9,0.023,-0.199,-0.081,-0.069,-0.173
1897,10,-0.596,-0.203,-0.071,-0.066,-0.17
1897,11,0.235,-0.115,-0.066,-0.063,-0.168
1897,12,0.054,-0.034,-0.058,-0.058,-0.167
1898,1,0.226,0.008,-0.061,-0.048,-0.164
1898,2,-0.389,0.005,-0.057,-0.042,-0.162
1898,3,-0.28,-0.011,-0.046,-0.039,-0.158
1898,4,-0.07,0.023,-0.042,-0.036,-0.158
1898,5,0.799,0.012,-0.037,-0.027,-0.157
1898,6,0.415,0.059,-0.028,-0.018,-0.156
1898,7,-0.142,0.052,-0.017,-0.011,-0.156
1898,8,-0.218,0.055,-0.025,-0.002,-0.156
1898,9,-0.167,0.045,-0.027,0.004,-0.156
1898,10,-0.19,0.069,-0.036,0.006,-0.154
1898,11,0.113,-0.074,-0.034,0.01,-0.156
1898,12,0.616,-0.127,-0.042,0.01,-0.159
1899,1,0.135,-0.153,-0.035,0.01,-0.161
1899,2,-0.353,-0.148,-0.019,0.003,-0.168
