Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1883,3,-0.414,,,,
1883,4,-0.368,,,,
1883,5,-0.33,-0.686,,,
1883,6,-0.006,-0.609,,,
1883,7,-0.321,-0.579,,,
1883,8,-0.439,-0.55,,,
1883,9,-0.635,-0.617,,,
1883,10,-0.374,-0.689,,,
1883,11,-1.291,-0.763,,,
1883,12,-0.716,-0.812,,,
1884,1,-0.831,-0.83,,,
1884,2,-0.875,-0.834,,,
1884,3,-1.212,-0.83,,,
1884,4,-1.233,-0.858,,,
1884,5,-1.226,-0.838,,,
1884,6,-0.588,-0.866,,,
1884,7,-0.541,-0.946,,,
1884,8,-0.492,-0.952,,,
1884,9,-0.587,-0.909,-0.755,,
1884,10,-0.701,-0.91,-0.751,,
1884,11,-1.06,-0.882,-0.754,,
1884,12,-1.05,-0.871,-0.753,,
1885,1,-1.783,-0.843,-0.749,,
1885,2,-0.956,-0.84,-0.758,,
1885,3,-0.691,-0.825,-0.761,,
1885,4,-1.25,-0.816,-0.756,,
1885,5,-0.885,-0.787,-0.749,,
1885,6,-0.456,-0.755,-0.736,,
1885,7,-0.208,-0.723,-0.733,,
1885,8,-0.46,-0.746,-0.737,,
1885,9,-0.396,-0.77,-0.749,,
1885,10,-0.598,-0.701,-0.751,,
1885,11,-0.709,-0.685,-0.758,,
1885,12,-0.669,-0.692,-0.765,,
1886,1,-1.404,-0.684,-0.759,-0.628,
1886,2,-1.232,-0.691,-0.758,-0.63,
1886,3,-0.976,-0.677,-0.752,-0.63,
1886,4,-0.424,-0.667,-0.745,-0.632,
1886,5,-0.686,-0.683,-0.729,-0.633,
1886,6,-0.543,-0.673,-0.724,-0.628,
1886,7,-0.116,-0.701,-0.727,-0.629,
1886,8,-0.537,-0.693,-0.715,-0.627,
1886,9,-0.23,-0.687,-0.7,-0.625,
1886,10,-0.483,-0.692,-0.678,-0.624,
1886,11,-0.898,-0.694,-0.659,-0.622,
1886,12,-0.545,-0.696,-0.651,-0.62,
1887,1,-1.74,-0.712,-0.643,-0.627,
1887,2,-1.141,-0.73,-0.639,-0.63,
1887,3,-0.901,-0.747,-0.636,-0.632,
