Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1891,2,-0.643,,,,
1891,3,-0.075,,,,
1891,4,,,,,
1891,5,,-0.291,,,
1891,6,0.163,-0.26,,,
1891,7,-0.102,-0.306,,,
1891,8,0.009,-0.303,,,
1891,9,-0.137,-0.354,,,
1891,10,-0.184,-0.336,,,
1891,11,-0.487,-0.315,,,
1891,12,-0.402,-0.354,,,
1892,1,-0.698,-0.401,,,
1892,2,-0.607,-0.456,,,
1892,3,-0.69,-0.502,,,
1892,4,-0.341,-0.545,,,
1892,5,-0.3,-0.628,,,
1892,6,-0.31,-0.697,,,
1892,7,-0.658,-0.791,,,
1892,8,-0.659,-0.872,,,
1892,9,-0.688,-0.905,,,
1892,10,-0.704,-0.913,,,
1892,11,-1.478,-0.952,,,
1892,12,-1.228,-1.009,-0.63,,
1893,1,-1.828,-0.998,-0.63,,
1893,2,-1.579,-1.02,-0.625,,
1893,3,-1.089,-1.019,-0.622,,
1893,4,-0.436,-1.045,-0.62,,
1893,5,-0.767,-1.005,-0.608,,
1893,6,-0.999,-0.999,-0.596,,
1893,7,-0.526,-0.951,-0.597,,
1893,8,-0.914,-0.918,-0.592,,
1893,9,-0.675,-0.916,-0.602,,
1893,10,-1.027,-0.959,-0.601,,
1893,11,-0.987,-0.96,-0.6,,
1893,12,-1.159,-0.914,-0.598,,
1894,1,-1.258,-0.909,-0.589,,
1894,2,-1.175,-0.851,-0.58,,
1894,3,-1.073,-0.819,-0.571,,
1894,4,-0.942,-0.752,-0.565,,
1894,5,-0.784,,-0.55,,
1894,6,-0.442,,-0.54,,
1894,7,-0.47,,-0.538,,
1894,8,,,-0.536,,
1894,9,,,-0.536,,
1894,10,,,-0.53,,
1894,11,,,-0.524,,
1894,12,,,-0.514,,
1895,1,-0.802,,-0.509,,
1895,2,-0.969,,-0.497,,
1895,3,-0.629,,-0.479,,
1895,4,,,-0.468,,
1895,5,,-0.386,-0.439,,
1895,6,-0.041,-0.342,-0.422,,
1895,7,-0.251,-0.296,-0.392,,
1895,8,-0.258,-0.241,-0.381,,
1895,9,-0.223,-0.248,-0.377,,
1895,10,-0.055,-0.275,-0.375,,
1895,11,-0.358,-0.289,,,
1895,12,-0.061,-0.262,,,
1896,1,-0.249,-0.204,,,
1896,2,-0.303,-0.137,,,
1896,3,-0.719,-0.087,,,
1896,4,-0.471,-0.065,,,
1896,5,,-0.005,,,
1896,6,0.275,0.017,,,
1896,7,0.45,-0.01,,,
1896,8,0.544,,,,
1896,9,0.384,,,,
1896,10,,,,,
1896,11,0.361,,,,
1896,12,0.207,,,,
1897,1,,,,,
1897,2,,,,,
1897,3,,,,,
1897,4,,,,,
1897,5,,,,,
1897,6,0.293,,,,
1897,7,-0.33,,,,
1897,8,0.026,,,,
1897,9,0.433,-0.108,,,
1897,10,,-0.14,,,
1897,11,0.226,-0.194,,,
1897,12,-0.201,-0.234,,,
1898,1,-0.018,-0.201,,,
1898,2,-0.953,-0.219,,,
1898,3,-0.818,-0.259,,,
1898,4,-0.326,-0.283,,,
1898,5,,-0.35,,,
1898,6,,-0.402,,,
1898,7,0.056,-0.463,,,
1898,8,-0.185,-0.459,,,
1898,9,-0.048,-0.436,,,
1898,10,-0.32,-0.442,,,
1898,11,-0.571,-0.404,,,
1898,12,-0.822,-0.385,,,
1899,1,-0.75,-0.389,,,
1899,2,-0.913,-0.376,,,
1899,3,-0.54,,,,
1899,4,-0.403,,,,
1899,5,,,,,
1899,6,0.043,,,,
1899,7,,,,,
1899,8,,,,,
1899,9,,,,,
1899,10,,,,,
1899,11,,,,,
1899,12,,,,,
1900,1,,,,,
1900,2,,,,,
1900,3,,,,,
1900,4,,,,,
1900,5,,,,,
1900,6,,,,,
1900,7,,,,,
1900,8,,,,,
1900,9,,,,,-0.388
1900,10,,,,,-0.392
1900,11,-0.372,,,,-0.391
1900,12,-0.229,,,,-0.393
1901,1,-0.083,,,,-0.397
1901,2,-0.174,,,,-0.398
1901,3,0.452,-0.083,,,-0.402
1901,4,,-0.123,,,-0.403
1901,5,,-0.108,,,-0.405
1901,6,-0.103,-0.151,,,-0.409
1901,7,-0.156,-0.173,,,-0.412
1901,8,-0.367,-0.181,,,-0.414
1901,9,-0.232,-0.276,,,-0.414
1901,10,-0.322,-0.355,,,-0.416
1901,11,-0.187,-0.389,,,-0.413
1901,12,-0.748,-0.37,,,-0.414
1902,1,-0.348,-0.333,,,-0.413
1902,2,-0.262,-0.299,,,-0.413
1902,3,-0.689,-0.257,,,-0.411
1902,4,-0.717,-0.265,,,-0.411
1902,5,,-0.311,,,-0.411
1902,6,0.133,-0.268,,,-0.408
1902,7,0.28,-0.316,,,-0.404
1902,8,0.045,-0.304,,,-0.401
1902,9,0.267,-0.248,,,-0.398
1902,10,,-0.21,,,-0.394
1902,11,-0.743,-0.191,,,-0.388
1902,12,-0.224,-0.224,,,-0.382
1903,1,-0.931,-0.273,,,-0.373
1903,2,-0.121,,,,-0.366
1903,3,-0.01,,-0.323,,-0.363
1903,4,,-0.401,-0.328,,-0.362
1903,5,,,-0.318,,-0.361
1903,6,-0.256,,-0.31,,-0.359
1903,7,-0.304,,-0.302,,-0.356
1903,8,,,-0.308,,-0.351
1903,9,-0.647,,-0.314,,-0.347
1903,10,-0.757,,-0.313,,-0.343
1903,11,,,-0.313,,-0.339
1903,12,,,-0.304,,-0.332
1904,1,,,-0.302,,-0.328
1904,2,,,-0.304,,-0.324
1904,3,-0.427,,-0.299,,-0.321
1904,4,-0.561,,-0.295,,-0.317
1904,5,-0.654,,-0.302,,-0.313
1904,6,-0.323,-0.473,-0.294,,-0.309
1904,7,-0.534,-0.491,-0.293,,-0.304
1904,8,-0.266,-0.469,-0.3,,-0.299
1904,9,-0.324,-0.525,-0.299,,-0.293
1904,10,,-0.516,,,-0.292
1904,11,-0.082,-0.486,,,-0.287
1904,12,-0.33,-0.469,,,-0.281
1905,1,-1.036,-0.419,,-0.305,-0.278
1905,2,-0.599,-0.395,,-0.314,-0.27
1905,3,-1.1,-0.344,,-0.325,-0.268
1905,4,,-0.314,,-0.335,-0.266
1905,5,,-0.288,,-0.347,-0.263
1905,6,-0.123,-0.241,,-0.358,-0.259
1905,7,0.062,-0.121,,-0.369,-0.254
1905,8,0.022,-0.116,,-0.38,-0.25
1905,9,0.295,-0.014,,-0.39,-0.245
1905,10,,0.048,,-0.401,-0.243
1905,11,0.223,0.061,-0.326,-0.406,-0.241
1905,12,0.24,0.105,-0.327,-0.414,-0.241
1906,1,0.408,0.097,-0.323,-0.422,-0.242
1906,2,-0.543,0.058,-0.323,-0.428,-0.241
1906,3,0.117,0.039,-0.318,-0.44,-0.237
1906,4,,0.04,-0.314,-0.449,-0.235
1906,5,,-0.028,-0.311,-0.458,-0.234
1906,6,0.404,-0.069,-0.313,-0.463,-0.236
1906,7,-0.04,-0.127,-0.312,-0.469,-0.24
1906,8,-0.442,-0.14,-0.306,-0.47,-0.245
1906,9,0.066,-0.203,-0.307,-0.469,-0.25
1906,10,-0.126,-0.284,-0.301,-0.471,-0.255
1906,11,-0.594,-0.337,-0.304,-0.467,-0.261
1906,12,-0.25,-0.386,-0.307,-0.467,-0.269
1907,1,-0.291,-0.408,-0.304,-0.468,-0.272
1907,2,-0.699,-0.39,-0.308,-0.471,-0.274
1907,3,-0.634,-0.412,-0.307,-0.467,-0.276
1907,4,,-0.397,-0.309,-0.464,-0.28
1907,5,,-0.388,-0.322,-0.462,-0.285
1907,6,-0.186,-0.387,-0.333,-0.459,-0.291
