Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1861,2,-2.799,,,,
1861,3,-1.341,,,,
1861,4,-0.766,-1.035,,,
1861,5,-1.056,-1.004,,,
1861,6,,-1.003,,,
1861,7,-0.022,-1.035,,,
1861,8,-0.534,-0.95,,,
1861,9,-1.131,-0.932,,,
1861,10,-1.194,-0.917,,,
1861,11,-0.216,-0.833,,,
1861,12,-0.725,-0.722,,,
1862,1,-1.917,-0.713,,,
1862,2,-1.778,-0.777,,,
1862,3,-1.123,-0.881,,,
1862,4,-0.582,-1.031,,,
1862,5,-0.049,-1.164,,,
1862,6,0.605,-1.287,,,
1862,7,0.089,-1.3,-0.693,,
1862,8,-1.302,-1.366,-0.671,,
1862,9,-2.38,-1.33,-0.62,,
1862,10,-2.992,-1.346,-0.642,,
1862,11,-1.813,-1.344,-0.666,,
1862,12,-2.199,-1.406,-0.678,,
1863,1,-2.074,-1.392,-0.691,,
1863,2,-2.57,-1.397,-0.693,,
1863,3,-0.692,-1.298,-0.711,,
1863,4,-0.771,-1.143,-0.69,,
1863,5,-0.024,-1.066,-0.677,,
1863,6,-0.14,-0.929,-0.696,,
1863,7,,-0.897,-0.684,,
1863,8,,-0.825,-0.654,,
1863,9,,-0.813,-0.651,,
1863,10,-1.135,-0.722,-0.659,-0.449,
1863,11,-0.896,-0.707,-0.643,-0.468,
1863,12,-0.544,-0.657,-0.645,-0.468,
1864,1,-1.691,-0.676,-0.63,-0.451,
1864,2,-1.706,-0.601,-0.606,-0.448,
1864,3,-0.551,-0.503,-0.598,-0.444,
1864,4,0.317,-0.323,-0.585,-0.457,
1864,5,0.158,-0.198,-0.597,-0.462,
1864,6,0.462,-0.178,-0.578,-0.451,
1864,7,0.023,0.026,-0.562,-0.444,
1864,8,-0.46,0.224,-0.563,-0.433,
1864,9,-0.016,0.315,-0.538,-0.438,
1864,10,1.027,0.185,-0.528,-0.435,
1864,11,0.602,0.06,-0.531,-0.433,
1864,12,-0.307,0.057,-0.536,-0.442,
1865,1,0.764,0.083,-0.541,-0.431,
1865,2,0.668,0.128,-0.524,-0.429,
1865,3,0.541,0.072,-0.497,-0.402,
1865,4,-1.241,0.083,-0.444,-0.414,
1865,5,-1.345,0.046,-0.395,-0.41,
1865,6,0.423,-0.086,-0.349,-0.424,
1865,7,0.338,-0.215,-0.318,-0.434,
1865,8,0.089,-0.351,-0.325,-0.434,
1865,9,-0.689,-0.494,-0.318,-0.434,
1865,10,1.15,-0.497,-0.32,-0.443,
1865,11,0.168,-0.389,-0.321,-0.445,
1865,12,-1.892,-0.496,-0.319,-0.439,
1866,1,-0.786,-0.451,-0.31,-0.428,
1866,2,-0.969,-0.384,-0.292,-0.42,
1866,3,-1.173,-0.383,-0.278,-0.419,
1866,4,-1.28,-0.51,-0.221,-0.41,-0.406
1866,5,-0.046,-0.605,-0.214,-0.397,-0.399
1866,6,-0.866,-0.41,-0.217,-0.396,-0.4
1866,7,0.878,-0.425,-0.192,-0.397,-0.4
1866,8,0.893,-0.496,-0.189,-0.395,-0.399
1866,9,-0.671,-0.369,-0.181,-0.392,-0.397
1866,10,-0.38,-0.258,-0.199,-0.387,-0.391
1866,11,-0.962,-0.274,-0.195,-0.396,-0.391
1866,12,0.447,-0.178,-0.173,-0.386,-0.387
1867,1,-0.974,-0.27,-0.165,-0.378,-0.39
1867,2,-1.816,-0.365,-0.139,-0.376,-0.383
1867,3,0.349,-0.371,-0.136,-0.369,-0.369
1867,4,0.053,-0.325,-0.149,-0.365,-0.354
1867,5,-0.238,-0.154,-0.16,-0.37,-0.344
1867,6,0.282,-0.142,-0.166,-0.376,-0.341
1867,7,-0.226,-0.077,-0.17,-0.372,-0.335
1867,8,-0.248,-0.178,-0.187,-0.356,-0.33
1867,9,-0.741,-0.23,-0.183,-0.332,-0.326
1867,10,0.173,-0.306,-0.185,-0.311,-0.312
1867,11,1.087,-0.294,-0.155,-0.3,-0.307
1867,12,0.597,-0.321,-0.17,-0.291,-0.306
1868,1,-0.193,-0.237,-0.178,-0.278,-0.309
1868,2,-3.033,-0.237,-0.175,-0.257,-0.311
1868,3,-0.277,-0.205,-0.158,-0.253,-0.307
1868,4,-0.856,-0.03,-0.196,-0.241,-0.303
1868,5,-0.094,-0.161,-0.212,-0.228,-0.301
1868,6,-0.035,-0.269,-0.182,-0.227,-0.301
1868,7,0.778,-0.271,-0.173,-0.229,-0.295
1868,8,-0.25,-0.145,-0.186,-0.218,-0.29
1868,9,-0.358,-0.125,-0.188,-0.208,-0.282
1868,10,2.273,-0.117,-0.161,-0.199,-0.281
1868,11,-0.479,-0.078,-0.151,-0.196,-0.287
1868,12,-0.707,0.076,-0.147,-0.199,-0.28
1869,1,-0.213,0.053,-0.164,-0.192,-0.264
1869,2,-1.521,0.164,-0.184,-0.188,-0.256
1869,3,-0.034,0.209,-0.186,-0.212,-0.256
1869,4,-0.766,0.038,-0.19,-0.217,-0.255
1869,5,0.382,0.071,-0.195,-0.206,-0.258
1869,6,1.81,0.077,-0.194,-0.212,-0.258
1869,7,0.501,0.136,-0.195,-0.213,-0.253
1869,8,1.085,0.235,-0.189,-0.212,-0.254
1869,9,0.18,0.301,-0.2,-0.217,-0.26
1869,10,0.219,0.251,-0.203,-0.23,-0.259
1869,11,-0.085,0.26,-0.21,-0.224,-0.259
1869,12,-0.628,0.068,-0.216,-0.213,-0.256
1870,1,0.489,0.017,-0.202,-0.236,-0.257
1870,2,-0.329,-0.054,-0.189,-0.238,-0.265
1870,3,0.756,-0.041,-0.168,-0.253,-0.26
1870,4,-1.363,-0.151,-0.178,-0.251,-0.265
1870,5,0.487,-0.213,-0.205,-0.244,-0.267
1870,6,-0.493,-0.166,-0.232,-0.247,-0.271
1870,7,-0.12,-0.227,-0.239,-0.249,-0.277
1870,8,0.233,-0.348,-0.188,-0.252,-0.28
1870,9,0.342,-0.516,-0.188,-0.252,-0.283
1870,10,-1.106,-0.376,-0.163,-0.265,-0.281
1870,11,-0.826,-0.367,-0.136,-0.275,-0.278
1870,12,-0.063,-0.379,-0.135,-0.264,-0.278
1871,1,-0.236,-0.383,-0.148,-0.268,-0.265
1871,2,-1.784,-0.426,-0.144,-0.273,-0.251
1871,3,-1.262,-0.523,-0.139,-0.261,-0.244
1871,4,0.311,-0.479,-0.176,-0.246,-0.238
