Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1848,2,-0.674,,,,
1848,3,-1.745,-1.348,,,
1848,4,-1.161,-1.394,,,
1848,5,-0.886,-1.547,,,
1848,6,-0.616,-1.356,,,
1848,7,0.466,-0.88,,,
1848,8,-0.127,-0.885,,,
1848,9,-1.532,-0.675,,,
1848,10,-1.344,-0.725,,,
1848,11,-1.595,-0.794,,,
1848,12,-2.263,-0.809,,,
1849,1,0.914,-0.833,,,
1849,2,-0.732,-0.826,,,
1849,3,0.774,-0.86,-0.914,,
1849,4,-1.755,-0.779,-0.877,,
1849,5,-1.717,-0.793,-0.896,,
1849,6,-0.8,-0.82,-0.901,,
1849,7,0.183,-1.234,-0.916,,
1849,8,-0.043,-1.191,-0.984,,
1849,9,-1.937,-1.174,-0.991,,
1849,10,-0.381,-1.132,-1.001,,
1849,11,-1.757,-1.107,-0.983,,
1849,12,-2.593,-1.127,-0.979,,
1850,1,-4.045,-1.121,-0.976,,
1850,2,-0.217,-1.137,-0.974,,
1850,3,0.974,-1.015,-0.964,,
1850,4,-1.253,-1.215,-0.953,,
1850,5,-1.412,-1.142,-0.996,,
1850,6,-1.039,-0.907,-0.916,,
1850,7,0.254,-0.663,-0.877,,
1850,8,-0.241,-0.644,-0.909,,
1850,9,-0.478,-0.852,-0.89,,
1850,10,-2.77,-1.028,-0.918,,
1850,11,-0.89,-0.941,-0.906,,
1850,12,0.234,-0.826,-0.903,,
1851,1,-1.121,-0.867,-0.908,,
1851,2,0.007,-0.847,-0.893,,
1851,3,-1.511,-0.873,-0.872,,
1851,4,-3.37,-0.7,-0.871,,
1851,5,-0.37,-0.793,-0.89,,
1851,6,0.339,-0.769,-0.873,,
1851,7,-0.237,-0.727,-0.911,,
1851,8,0.002,-0.893,-0.895,,
1851,9,-0.792,-0.932,-0.915,,
1851,10,-0.696,-0.711,-0.907,,
1851,11,-2.001,-0.63,-0.885,,
1851,12,0.523,-0.741,-0.895,,
1852,1,-0.616,-0.703,-0.893,,
1852,2,-1.985,-0.746,-0.885,,
1852,3,-1.986,-0.722,-0.848,,
1852,4,-0.709,-0.679,-0.835,,
1852,5,0.597,-0.706,-0.81,,
1852,6,-0.997,-0.729,-0.77,,
1852,7,0.221,-0.883,-0.711,,
1852,8,-0.506,-0.93,-0.66,,
1852,9,-0.507,-0.817,-0.678,,
1852,10,-0.188,-0.993,-0.644,,
1852,11,-2.321,-1.056,-0.609,,
1852,12,0.243,-1.011,-0.603,,
1853,1,-2.461,-1.018,-0.619,,
1853,2,-2.544,-0.911,,,
1853,3,-0.635,-0.888,,,
1853,4,-2.823,-0.983,,,
1853,5,-0.154,-1.013,,,
1853,6,-0.454,-1.138,,,
1853,7,0.14,-1.046,,,
1853,8,0.77,-0.818,,,
1853,9,-0.233,-0.799,,,
1853,10,-1.328,-0.67,,,
1853,11,-2.682,-0.691,,,
1853,12,-1.248,-0.769,,,
1854,1,-1.36,-0.757,,,
1854,2,0.195,,,,
1854,3,-0.412,,,,
1854,4,-1.278,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,,,,,
1854,9,,,,,
1854,10,,,,,
1854,11,,,,,
1854,12,,,,,
1855,1,,,,,
1855,2,,,,,
1855,3,,,,,
1855,4,,,,,
1855,5,,,,,
1855,6,,,,,
1855,7,,,,,
1855,8,,,,,
1855,9,,,,,
1855,10,,,,,
1855,11,,,,,
1855,12,,,,,
1856,1,,,,,
1856,2,,,,,
1856,3,,,,,
1856,4,,,,,
1856,5,,,,,
1856,6,,,,,
1856,7,,,,,
1856,8,,,,,
1856,9,,,,,
1856,10,,,,,
1856,11,,,,,
1856,12,,,,,
1857,1,,,,,
1857,2,,,,,
1857,3,,,,,
1857,4,,,,,
1857,5,,,,,
1857,6,,,,,
1857,7,,,,,
1857,8,,,,,
1857,9,,,,,
1857,10,,,,,
1857,11,,,,,
1857,12,,,,,
1858,1,,,,,
1858,2,,,,,
1858,3,,,,,
1858,4,,,,,
1858,5,,,,,
1858,6,,,,,
1858,7,,,,,
1858,8,,,,,
1858,9,,,,,
1858,10,,,,,
1858,11,,,,,
1858,12,,,,,
1859,1,,,,,
1859,2,,,,,
1859,3,,,,,
1859,4,,,,,
1859,5,,,,,
1859,6,,,,,
1859,7,,,,,
1859,8,,,,,
1859,9,,,,,
1859,10,,,,,
1859,11,,,,,
1859,12,,,,,
1860,1,,,,,
1860,2,,,,,
1860,3,,,,,
1860,4,,,,,
1860,5,,,,,
1860,6,,,,,
1860,7,,,,,
1860,8,,,,,
1860,9,,,,,
1860,10,,,,,
1860,11,,,,,
1860,12,,,,,
1861,1,,,,,
1861,2,,,,,
1861,3,,,,,
1861,4,,,,,
1861,5,,,,,
1861,6,,,,,
1861,7,,,,,
1861,8,,,,,
1861,9,,,,,
1861,10,,,,,
1861,11,,,,,
1861,12,,,,,
1862,1,,,,,
1862,2,,,,,
1862,3,,,,,
1862,4,,,,,
1862,5,,,,,
1862,6,,,,,
1862,7,,,,,
1862,8,,,,,
1862,9,,,,,
1862,10,,,,,
1862,11,,,,,
1862,12,,,,,
1863,1,,,,,
1863,2,,,,,
1863,3,,,,,
1863,4,,,,,
1863,5,,,,,
1863,6,,,,,
1863,7,,,,,
1863,8,,,,,
1863,9,,,,,
1863,10,,,,,
1863,11,,,,,
1863,12,,,,,
1864,1,,,,,
1864,2,,,,,
1864,3,,,,,
1864,4,,,,,
1864,5,,,,,
1864,6,,,,,
1864,7,,,,,
1864,8,,,,,
1864,9,,,,,
1864,10,,,,,
1864,11,,,,,
1864,12,,,,,
1865,1,,,,,
1865,2,,,,,
1865,3,,,,,
1865,4,,,,,
1865,5,,,,,
1865,6,,,,,
1865,7,,,,,
1865,8,,,,,
1865,9,,,,,
1865,10,,,,,
1865,11,,,,,
1865,12,,,,,
1866,1,,,,,
1866,2,,,,,
1866,3,,,,,
1866,4,,,,,
1866,5,,,,,
1866,6,,,,,
1866,7,,,,,
1866,8,,,,,
1866,9,,,,,
1866,10,,,,,
1866,11,,,,,
1866,12,,,,,
1867,1,,,,,
1867,2,,,,,
1867,3,,,,,
1867,4,,,,,
1867,5,,,,,
1867,6,,,,,
1867,7,,,,,
1867,8,,,,,
1867,9,,,,,
1867,10,,,,,
1867,11,,,,,
1867,12,,,,,
1868,1,,,,,
1868,2,,,,,
1868,3,,,,,
1868,4,,,,,
1868,5,,,,,
1868,6,,,,,
1868,7,,,,,
1868,8,,,,,
1868,9,,,,,
1868,10,,,,,
1868,11,,,,,
1868,12,,,,,
1869,1,,,,,
1869,2,,,,,
1869,3,,,,,
1869,4,,,,,
1869,5,,,,,
1869,6,,,,,
1869,7,,,,,
1869,8,,,,,
1869,9,,,,,
1869,10,,,,,
1869,11,,,,,
1869,12,,,,,
1870,1,-2.687,,,,
1870,2,-1.412,,,,
1870,3,1.264,-0.369,,,
1870,4,-0.113,-0.366,,,
1870,5,0.381,-0.446,,,
1870,6,1.569,-0.43,,,
1870,7,0.234,-0.4,,,
1870,8,0.389,-0.454,,,
1870,9,1.065,-0.689,,,
1870,10,-1.215,-0.6,,,
1870,11,-1.447,-0.597,,,
1870,12,-3.191,-0.753,,,
1871,1,-2.32,-0.79,,,
1871,2,-2.06,-0.74,,,
1871,3,-1.555,-0.854,-0.598,,
1871,4,0.948,-0.783,-0.581,,
1871,5,0.413,-0.763,-0.546,,
1871,6,-0.302,-0.593,-0.477,,
1871,7,-0.206,-0.619,-0.445,,
1871,8,0.991,-0.648,-0.477,,
1871,9,-0.306,-0.513,-0.448,,
1871,10,-0.361,-0.688,-0.416,,
1871,11,-1.207,-0.694,-0.375,,
1871,12,-1.154,-0.757,-0.367,,
1872,1,-2.629,-0.659,-0.373,,
1872,2,-2.409,-0.773,-0.349,,
