Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1840,2,-0.406,,,,
1840,3,-1.009,-0.771,,,
1840,4,-1.166,-0.8,,,
1840,5,-0.501,-0.722,,,
1840,6,-0.5,-0.674,,,
1840,7,0.095,-0.72,,,
1840,8,-0.573,-0.722,,,
1840,9,-0.549,-0.725,,,
1840,10,-1.236,-0.692,,,
1840,11,-1.069,-0.688,,,
1840,12,-1.297,-0.646,,,
1841,1,-0.43,-0.627,,,
1841,2,-0.428,-0.539,,,
1841,3,-1.049,-0.531,-0.567,,
1841,4,-0.77,-0.423,-0.573,,
1841,5,-0.448,-0.379,-0.576,,
1841,6,0.006,-0.273,-0.574,,
1841,7,0.315,-0.24,-0.591,,
1841,8,0.485,-0.157,-0.613,,
1841,9,-0.444,-0.106,-0.57,,
1841,10,0.057,-0.109,-0.575,,
1841,11,-0.544,-0.129,-0.576,,
1841,12,-0.021,-0.17,-0.579,,
1842,1,-0.041,-0.261,-0.594,,
1842,2,0.577,-0.344,-0.616,,
1842,3,-0.447,-0.376,-0.621,,
1842,4,-0.798,-0.486,-0.627,,
1842,5,-0.694,-0.552,-0.625,,
1842,6,-0.484,-0.563,-0.615,,
1842,7,-0.782,-0.543,-0.636,,
1842,8,-0.503,-0.578,-0.642,-0.776,
1842,9,-0.828,-0.62,-0.645,-0.776,
1842,10,-1.273,-0.627,-0.662,-0.778,
1842,11,-1.326,-0.634,-0.672,-0.773,
1842,12,-0.155,-0.602,-0.675,-0.779,
1843,1,0.191,-0.567,-0.68,-0.776,
1843,2,0.164,-0.549,-0.687,-0.763,
1843,3,-0.954,-0.537,-0.689,-0.755,
1843,4,-0.885,-0.498,-0.701,-0.758,
1843,5,-0.769,-0.463,-0.714,-0.754,
1843,6,-0.104,-0.512,-0.721,-0.754,
1843,7,-0.357,-0.626,-0.711,-0.754,
1843,8,-0.286,-0.718,-0.714,-0.759,
1843,9,-0.688,-0.655,-0.701,-0.761,
1843,10,-0.81,-0.67,-0.702,-0.765,
1843,11,-0.907,-0.684,-0.706,-0.771,
1843,12,-0.735,-0.728,-0.712,-0.777,
1844,1,-1.183,-0.769,-0.72,-0.784,
1844,2,-0.934,-0.84,-0.733,-0.796,
1844,3,-0.199,-0.891,-0.74,-0.778,
1844,4,-1.068,-0.925,-0.762,-0.782,
1844,5,-0.935,-1.008,-0.781,-0.785,
1844,6,-0.63,-1.055,-0.795,-0.786,
1844,7,-0.855,-1.051,-0.808,-0.787,
1844,8,-1.142,-1.034,-0.833,-0.792,
1844,9,-1.295,-1.119,-0.848,-0.79,
1844,10,-1.219,-1.211,-0.857,-0.788,
1844,11,-1.896,-1.226,-0.868,-0.777,
1844,12,-1.307,-1.231,-0.872,-0.778,
1845,1,-1.126,-1.178,-0.864,-0.791,
1845,2,-0.73,-1.164,-0.869,-0.793,
1845,3,-1.219,-1.113,-0.871,-0.792,
1845,4,-2.181,-1.174,-0.876,-0.793,
1845,5,-1.107,-1.169,-0.872,,
1845,6,-0.692,-1.201,-0.893,,
1845,7,,-1.094,-0.932,,
1845,8,-0.975,-1.086,-0.933,,
1845,9,,-1.003,-0.933,,
1845,10,-1.952,-0.895,-0.939,,
1845,11,-1.838,-0.858,-0.94,,
1845,12,-1.697,-0.829,-0.944,,
1846,1,0.162,-0.824,-0.941,,
1846,2,-0.628,-0.767,-0.949,,
1846,3,-0.228,-0.782,-0.954,,
1846,4,-0.888,-0.724,-0.957,,
1846,5,-0.659,-0.712,-0.966,,
1846,6,-0.343,-0.643,-0.979,,
1846,7,-0.165,-0.727,-0.977,,
1846,8,-0.284,-0.749,,,
1846,9,-0.862,-0.842,,,
1846,10,-1.257,-0.88,,,
1846,11,-1.697,-0.938,,,
1846,12,-0.864,-0.972,,,
1847,1,-0.851,-0.983,,,
1847,2,-0.891,-1.026,,,
1847,3,-1.339,-1.033,,,
1847,4,-1.35,-1.059,,,
1847,5,-1.353,-1.009,,,
1847,6,-0.751,-1.056,,,
