Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1819,2,-0.507,,,,
1819,3,-0.537,,,,
1819,4,,,,,
1819,5,-1.091,,,,
1819,6,-2.015,,,,
1819,7,-1.933,,,,
1819,8,-1.608,,,,
1819,9,,,,,
1819,10,,,,,
1819,11,,,,,
1819,12,,,,,
1820,1,,,,,
1820,2,,,,,
1820,3,0.031,,,,
1820,4,,,,,
1820,5,-0.282,,,,
1820,6,,,,,
1820,7,-0.7,,,,
1820,8,-1.309,,,,
1820,9,,,,,
1820,10,-3.459,,,,
1820,11,-0.717,,,,
1820,12,,,,,
1821,1,,,,,
1821,2,0.452,,,,
1821,3,1.086,,,,
1821,4,,,,,
1821,5,,,,,
1821,6,-2.185,,,,
1821,7,-2.054,,,,
1821,8,-1.833,,,,
1821,9,,,,,
1821,10,,,,,
1821,11,-1.521,,,,
1821,12,-0.554,,,,
1822,1,,,,,
1822,2,,,,,
1822,3,,,,,
1822,4,,,,,
1822,5,,,,,
1822,6,,,,,
1822,7,,,,,
1822,8,,,,,
1822,9,,,,,
1822,10,,,,,
1822,11,,,,,
1822,12,,,,,
1823,1,,,,,
1823,2,,,,,
1823,3,,,,,
1823,4,,,,,
1823,5,,,,,
1823,6,,,,,
1823,7,,,,,
1823,8,,,,,
1823,9,,,,,
1823,10,,,,,
1823,11,,,,,
1823,12,,,,,
1824,1,,,,,
1824,2,,,,,
1824,3,,,,,
1824,4,,,,,
1824,5,,,,,
1824,6,,,,,
1824,7,,,,,
1824,8,,,,,
1824,9,,,,,
1824,10,,,,,
1824,11,,,,,
1824,12,,,,,
1825,1,,,,,
1825,2,,,,,
1825,3,,,,,
1825,4,,,,,
1825,5,,,,,
1825,6,,,,,
1825,7,,,,,
1825,8,,,,,
1825,9,,,,,
1825,10,,,,,
1825,11,,,,,
1825,12,,,,,
1826,1,,,,,
1826,2,,,,,
1826,3,,,,,
1826,4,,,,,
1826,5,,,,,
1826,6,,,,,
1826,7,,,,,
1826,8,,,,,
1826,9,,,,,
1826,10,,,,,
1826,11,,,,,
1826,12,,,,,
1827,1,,,,,
1827,2,,,,,
1827,3,,,,,
1827,4,,,,,
1827,5,,,,,
1827,6,,,,,
1827,7,,,,,
1827,8,,,,,
1827,9,,,,,
1827,10,,,,,
1827,11,,,,,
1827,12,,,,,
1828,1,,,,,
1828,2,,,,,
1828,3,,,,,
1828,4,,,,,
1828,5,,,,,
1828,6,,,,,
1828,7,,,,,
1828,8,,,,,
1828,9,,,,,
1828,10,,,,,
1828,11,,,,,
1828,12,,,,,
1829,1,,,,,
1829,2,,,,,
1829,3,,,,,
1829,4,,,,,
1829,5,,,,,
1829,6,,,,,
1829,7,,,,,
1829,8,,,,,
1829,9,,,,,
1829,10,,,,,
1829,11,,,,,
1829,12,,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,,,,,
1833,2,,,,,
1833,3,,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,,,,,
1836,8,,,,,
1836,9,,,,,
1836,10,,,,,
1836,11,,,,,
1836,12,,,,,
1837,1,,,,,
1837,2,,,,,
1837,3,,,,,
1837,4,,,,,
1837,5,,,,,
1837,6,,,,,
1837,7,,,,,
1837,8,,,,,
1837,9,,,,,
1837,10,,,,,
1837,11,,,,,
1837,12,,,,,
1838,1,,,,,
1838,2,,,,,
1838,3,,,,,
1838,4,,,,,
1838,5,,,,,
1838,6,,,,,
1838,7,,,,,
1838,8,,,,,
1838,9,,,,,
1838,10,,,,,
1838,11,,,,,
1838,12,,,,,
1839,1,,,,,
1839,2,,,,,
1839,3,,,,,
1839,4,,,,,
1839,5,,,,,
1839,6,,,,,
1839,7,,,,,
1839,8,,,,,
1839,9,,,,,
1839,10,,,,,
1839,11,,,,,
1839,12,-1.589,,,,
1840,1,-1.109,,,,
1840,2,-1.481,,,,
1840,3,-2.146,-1.081,,,
1840,4,-2.484,-1.069,,,
1840,5,-0.603,-1.037,,,
1840,6,-1.3,-1.105,,,
1840,7,1.268,-1.113,,,
1840,8,-0.658,-1.056,,,
1840,9,-0.63,-1.11,,,
1840,10,-0.931,-1.013,,,
1840,11,-0.78,-1.061,,,
1840,12,-2.408,-1.003,,,
1841,1,-1.2,-1.022,,,
1841,2,-0.799,-0.996,,,
1841,3,-2.801,-0.945,,,
1841,4,-1.317,,,,
1841,5,-1.176,,,,
1841,6,-0.603,,,,
1841,7,,,,,
1841,8,,,,,
1841,9,,,,,
1841,10,,,,,
1841,11,,,,,
1841,12,,,,,
1842,1,,,,,
1842,2,,,,,
1842,3,,,,,
1842,4,,,,,
1842,5,,,,,
1842,6,,,,,
1842,7,,,,,
1842,8,,,,,
1842,9,,,,,
1842,10,,,,,
1842,11,,,,,
1842,12,,,,,
1843,1,0.534,,,,
1843,2,2.014,,,,
1843,3,-0.123,-0.523,,,
1843,4,-1.021,-0.499,,,
1843,5,-1.832,-0.638,,,
1843,6,-1.707,-0.825,,,
1843,7,-0.407,-0.96,,,
1843,8,-1.157,-1.126,,,
1843,9,-1.903,-1.098,,,
1843,10,-0.527,-1.209,,,
1843,11,-1.512,-1.177,,-0.676,
1843,12,-2.258,-1.123,,-0.684,
1844,1,-1.088,-1.08,,-0.689,
1844,2,0.024,-1.038,,-0.704,
1844,3,0.209,-0.961,-0.643,-0.684,
1844,4,-2.352,-0.998,-0.646,-0.668,
1844,5,-1.442,-0.954,-0.664,-0.656,
1844,6,-1.065,-0.924,-0.632,-0.65,
1844,7,0.108,-1.029,-0.632,-0.652,
1844,8,-0.653,-1.057,-0.594,-0.66,
1844,9,-0.979,-1.0,-0.603,-0.656,
1844,10,-0.973,-0.877,-0.588,-0.649,
1844,11,-0.973,-0.82,-0.573,-0.64,
1844,12,-1.903,-0.789,-0.564,-0.629,
1845,1,-2.347,-0.767,-0.53,-0.63,
1845,2,-0.317,-0.728,-0.511,-0.631,
1845,3,0.9,-0.77,-0.495,-0.626,
1845,4,-0.878,-0.761,-0.497,-0.618,
1845,5,-0.755,-0.814,-0.518,-0.629,
1845,6,-0.694,-0.731,-0.56,-0.625,
1845,7,0.373,-0.478,-0.589,-0.633,
1845,8,-0.194,-0.472,-0.635,-0.627,
1845,9,-1.473,-0.508,-0.641,-0.629,
1845,10,-0.869,-0.436,-0.632,-0.62,
1845,11,-1.612,-0.378,-0.61,-0.629,
1845,12,-0.909,-0.404,-0.565,-0.625,
1846,1,0.697,-0.408,-0.551,-0.621,
1846,2,-0.249,-0.358,-0.53,-0.624,
1846,3,0.473,-0.209,-0.518,-0.601,
1846,4,-0.024,-0.13,-0.507,-0.592,
1846,5,-0.049,-0.215,-0.481,-0.564,-0.687
1846,6,-1.014,-0.008,-0.484,-0.563,-0.682
1846,7,0.333,-0.158,-0.495,-0.57,-0.676
1846,8,0.403,-0.085,-0.524,-0.562,-0.666
1846,9,0.319,-0.194,-0.542,-0.565,-0.663
1846,10,0.077,-0.152,-0.501,-0.57,-0.669
1846,11,-2.63,-0.134,-0.481,-0.557,-0.67
1846,12,1.575,-0.041,-0.466,-0.572,-0.674
1847,1,-1.109,0.016,-0.476,-0.571,-0.668
1847,2,0.621,-0.034,-0.473,-0.563,-0.669
1847,3,-0.83,-0.014,-0.459,-0.573,-0.674
1847,4,0.479,-0.097,-0.448,-0.581,-0.676
1847,5,0.173,0.028,-0.433,-0.577,-0.675
1847,6,0.096,-0.315,-0.406,-0.576,-0.673
1847,7,1.016,-0.32,-0.386,-0.568,-0.67
1847,8,-0.201,-0.437,-0.407,-0.561,-0.67
1847,9,0.562,-0.405,-0.449,-0.562,-0.675
1847,10,-0.914,-0.488,-0.459,-0.549,-0.668
1847,11,-1.13,-0.545,-0.479,-0.551,-0.667
1847,12,-2.54,-0.469,-0.48,-0.551,-0.666
