Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1859,12,-0.251,,,,
1860,1,-1.116,-0.44,,,
1860,2,0.07,-0.385,,,
1860,3,-0.684,-0.473,,,
1860,4,-0.59,-0.491,,,
1860,5,-0.14,-0.612,,,
1860,6,0.195,-0.731,,,
1860,7,-0.752,-0.739,,,
1860,8,0.317,-0.947,,,
1860,9,-1.573,-1.036,,,
1860,10,-0.733,-1.04,,,
1860,11,-2.084,-1.079,,,
1860,12,-1.676,-1.083,,,
1861,1,-1.213,-1.061,-0.655,,
1861,2,-2.434,-1.092,-0.661,,
1861,3,-1.751,-0.904,-0.676,,
1861,4,-0.633,-0.917,-0.682,,
1861,5,-0.611,-0.833,-0.703,,
1861,6,0.148,-0.767,-0.694,,
1861,7,-0.485,-0.804,-0.687,,
1861,8,-0.054,-0.677,-0.683,,
1861,9,0.673,-0.654,-0.703,,
1861,10,-0.879,-0.656,-0.737,,
1861,11,-1.079,-0.646,-0.739,,
1861,12,-0.888,-0.695,-0.748,,
1862,1,-1.657,-0.649,-0.748,,
1862,2,-0.906,-0.745,-0.744,,
1862,3,-1.473,-0.886,-0.734,,
1862,4,-0.664,-0.897,-0.731,,
1862,5,-0.484,-0.885,-0.734,,
1862,6,-0.446,-0.841,-0.729,,
1862,7,0.07,-0.721,-0.715,,
1862,8,-1.202,-0.711,-0.728,,
1862,9,-1.023,-0.687,-0.715,,
1862,10,-1.017,-0.641,-0.705,,
1862,11,-0.929,-0.696,-0.707,,
1862,12,-0.357,-0.653,-0.714,,
1863,1,-0.216,-0.648,-0.683,,
1863,2,-0.786,-0.596,-0.674,,
1863,3,-1.187,-0.644,-0.654,,
1863,4,-0.119,-0.628,-0.633,,
1863,5,-1.144,-0.666,-0.612,,
1863,6,0.079,-0.691,-0.594,,
1863,7,0.125,-0.71,-0.564,,
1863,8,-0.579,-0.714,-0.524,,
1863,9,-1.594,-0.777,-0.508,,
1863,10,-0.83,-0.94,-0.502,,
1863,11,-1.386,-0.841,-0.491,,
1863,12,-0.653,-0.882,-0.498,,
1864,1,-0.443,-0.943,-0.488,,
1864,2,-0.842,-0.904,-0.486,,
1864,3,-1.942,-0.762,-0.502,,
1864,4,-2.067,-0.723,-0.497,,
1864,5,0.041,-0.676,-0.48,,
1864,6,-0.414,-0.617,-0.47,,
1864,7,-0.603,-0.604,-0.442,,
1864,8,-0.122,-0.593,-0.439,,
1864,9,0.117,-0.42,-0.434,,
1864,10,-0.366,-0.25,-0.428,,
1864,11,-0.821,-0.275,-0.43,,
1864,12,0.052,-0.257,,,
1865,1,-0.285,-0.116,,,
1865,2,-0.703,-0.034,,,
1865,3,0.128,-0.076,,,
1865,4,-0.024,0.003,,,
1865,5,-0.255,-0.002,,,
1865,6,-0.207,-0.053,,,
1865,7,1.099,0.017,,,
1865,8,0.86,0.073,,,
1865,9,-0.392,-0.0,,,
1865,10,0.582,-0.022,,,
1865,11,-0.879,0.001,,,
1865,12,-0.558,,,,
1866,1,0.554,,,,
1866,2,-0.032,,,,
1866,3,,,,,
1866,4,,,,,
1866,5,,,,,
1866,6,,,,,
1866,7,,,,,
1866,8,,,,,
1866,9,,,,,
1866,10,,,,,
1866,11,,,,,
1866,12,,,,,
1867,1,,,,,
1867,2,,,,,
1867,3,,,,,
1867,4,,,,,
1867,5,,,,,
1867,6,,,,,
1867,7,,,,,
1867,8,,,,,
1867,9,,,,,
1867,10,,,,,
1867,11,,,,,
1867,12,,,,,
1868,1,,,,,
1868,2,,,,,
1868,3,,,,,
1868,4,,,,,
1868,5,,,,,
1868,6,,,,,
1868,7,,,,,
1868,8,,,,,
1868,9,,,,,
1868,10,,,,,
1868,11,,,,,
1868,12,,,,,
1869,1,,,,,
1869,2,,,,,
1869,3,,,,,
1869,4,,,,,
1869,5,,,,,
1869,6,,,,,
1869,7,,,,,
1869,8,,,,,
1869,9,,,,,
1869,10,,,,,
1869,11,,,,,
1869,12,,,,,
1870,1,,,,,
1870,2,,,,,
1870,3,,,,,
1870,4,,,,,
1870,5,,,,,
1870,6,,,,,
1870,7,,,,,
1870,8,,,,,
1870,9,,,,,
1870,10,,,,,
1870,11,,,,,
1870,12,,,,,
1871,1,,,,,
1871,2,,,,,
1871,3,,,,,
1871,4,,,,,
1871,5,,,,,
1871,6,,,,,
1871,7,,,,,
1871,8,,,,,
1871,9,,,,,
1871,10,,,,,
1871,11,,,,,
1871,12,,,,,
1872,1,,,,,
1872,2,,,,,
1872,3,,,,,
1872,4,,,,,
1872,5,,,,,
1872,6,,,,,
1872,7,,,,,
1872,8,,,,,
1872,9,,,,,
1872,10,,,,,
