Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1849,2,-0.562,,,,
1849,3,-0.169,,,,
1849,4,-1.173,-0.766,,,
1849,5,-1.066,-0.731,,,
1849,6,-0.673,-0.651,,,
1849,7,-0.545,-0.687,,,
1849,8,-0.618,-0.655,,,
1849,9,-0.942,-0.663,,,
1849,10,-0.497,-0.634,,,
1849,11,-0.497,-0.631,,,
1849,12,-0.627,-0.611,,,
1850,1,-0.876,-0.611,,,
1850,2,-0.179,-0.595,,,
1850,3,-0.266,-0.568,,,
1850,4,-0.827,-0.62,,,
1850,5,-1.03,-0.659,,,
1850,6,-0.429,-0.626,,,
1850,7,-0.546,-0.567,,,
1850,8,-0.426,-0.606,,,
1850,9,-0.619,-0.645,,,
1850,10,-1.12,-0.629,,,
1850,11,-0.959,-0.592,,,
1850,12,-0.237,-0.616,,,
1851,1,-0.166,-0.597,,,
1851,2,-0.648,-0.602,,,
1851,3,-0.735,-0.614,,,
1851,4,-0.636,-0.577,,,
1851,5,-0.582,-0.582,,,
1851,6,-0.722,-0.603,,,
1851,7,-0.307,-0.616,,,
1851,8,-0.498,-0.643,,,
1851,9,-0.762,,,,
1851,10,-0.675,,,,
1851,11,-1.01,,,,
1851,12,-0.5,,,,
1852,1,,,,,
1852,2,,,,,
1852,3,,,,,
1852,4,,,,,
1852,5,,,,,
1852,6,,,,,
1852,7,,,,,
1852,8,,,,,
1852,9,,,,,
1852,10,,,,,
1852,11,,,,,
1852,12,,,,,
1853,1,,,,,
1853,2,,,,,
1853,3,,,,,
1853,4,,,,,
1853,5,,,,,
1853,6,,,,,
1853,7,,,,,
1853,8,,,,,
1853,9,,,,,
1853,10,,,,,
1853,11,,,,,
1853,12,,,,,
1854,1,,,,,
1854,2,,,,,
1854,3,,,,,
1854,4,,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,,,,,
1854,9,,,,,
1854,10,,,,,
1854,11,,,,,
1854,12,,,,,
1855,1,,,,,
1855,2,,,,,
1855,3,,,,,
1855,4,,,,,
1855,5,,,,,
1855,6,,,,,
1855,7,,,,,
1855,8,,,,,
1855,9,,,,,
1855,10,,,,,
1855,11,,,,,
1855,12,,,,,
1856,1,,,,,
1856,2,,,,,
1856,3,,,,,
1856,4,,,,,
1856,5,,,,,
1856,6,,,,,
1856,7,,,,,
1856,8,,,,,
1856,9,,,,,
1856,10,,,,,
1856,11,,,,,
1856,12,,,,,
1857,1,,,,,
1857,2,,,,,
1857,3,,,,,
1857,4,,,,,
1857,5,,,,,
1857,6,,,,,
1857,7,,,,,
1857,8,,,,,
1857,9,0.667,,,,
1857,10,,,,,
1857,11,,,,,
1857,12,,,,,
1858,1,,,,,
1858,2,,,,,
1858,3,-1.014,,,,
1858,4,-0.447,,,,
1858,5,-0.799,,,,
1858,6,0.48,-0.474,,,
1858,7,-0.099,-0.491,,,
1858,8,0.155,-0.458,,,
1858,9,-0.101,-0.439,,,
1858,10,,-0.273,,,
1858,11,-0.441,-0.104,,,
1858,12,-1.481,-0.07,,,
1859,1,-0.673,-0.064,,,
1859,2,,,,,
1859,3,-0.783,,,,
1859,4,1.543,,,,
1859,5,1.234,,,,
1859,6,0.881,,,,
1859,7,,,,,
1859,8,,,,,
1859,9,-0.51,,,,
1859,10,,,,,
1859,11,,,,,
1859,12,,,,,
1860,1,-0.596,,,,
1860,2,-0.703,,,,
1860,3,-0.018,,,,
1860,4,,-0.459,,,
1860,5,-0.842,-0.59,,,
1860,6,-0.432,-0.726,,,
1860,7,-0.59,-0.836,,,
1860,8,-0.24,,,,
1860,9,-0.871,,,,
1860,10,-1.298,,,,
1860,11,-1.902,,,,
1860,12,,,,,
1861,1,,,,,
1861,2,,,,,
1861,3,,,,,
1861,4,,,,,
1861,5,,,,,
1861,6,,,,,
1861,7,,,,,
1861,8,,,,,
1861,9,,,,,
1861,10,,,,,
1861,11,,,,,
1861,12,,,,,
1862,1,-1.489,,,,
1862,2,-2.173,,,,
1862,3,-1.638,,,,
1862,4,-1.588,,,,
1862,5,,,,,
1862,6,,,,,
1862,7,,,,,
1862,8,,,,,
1862,9,,,,,
1862,10,,,,,
1862,11,,,,,
1862,12,,,,,
1863,1,,,,,
1863,2,,,,,
1863,3,,,,,
1863,4,,,,,
1863,5,,,,,
1863,6,,,,,
1863,7,,,,,
1863,8,,,,,
1863,9,,,,,
1863,10,,,,,
1863,11,,,,,
1863,12,,,,,
1864,1,,,,,
1864,2,,,,,
1864,3,,,,,
1864,4,,,,,
1864,5,,,,,
1864,6,,,,,
1864,7,,,,,
1864,8,,,,,
1864,9,,,,,
1864,10,,,,,
1864,11,,,,,
1864,12,,,,,
1865,1,,,,,
1865,2,,,,,
1865,3,,,,,
1865,4,,,,,
1865,5,,,,,
1865,6,,,,,
1865,7,,,,,
1865,8,,,,,
1865,9,,,,,
1865,10,,,,,
1865,11,,,,,
1865,12,,,,,
1866,1,,,,,
1866,2,,,,,
1866,3,,,,,
1866,4,,,,,
1866,5,,,,,
1866,6,,,,,
1866,7,,,,,
1866,8,,,,,
1866,9,,,,,
1866,10,,,,,
1866,11,,,,,
1866,12,,,,,
1867,1,,,,,
1867,2,,,,,
1867,3,,,,,
1867,4,,,,,
1867,5,,,,,
1867,6,,,,,
1867,7,,,,,
1867,8,,,,,
1867,9,,,,,
1867,10,,,,,
1867,11,,,,,
1867,12,,,,,
1868,1,,,,,
1868,2,,,,,
1868,3,,,,,
1868,4,,,,,
1868,5,,,,,
1868,6,,,,,
1868,7,,,,,
1868,8,,,,,
1868,9,,,,,
1868,10,,,,,
1868,11,,,,,
1868,12,,,,,
1869,1,,,,,
1869,2,,,,,
1869,3,,,,,
1869,4,,,,,
1869,5,,,,,
1869,6,,,,,
1869,7,,,,,
1869,8,,,,,
1869,9,,,,,
1869,10,,,,,
1869,11,,,,,
1869,12,,,,,
1870,1,,,,,
1870,2,,,,,
1870,3,,,,,
1870,4,,,,,
1870,5,,,,,
1870,6,,,,,
1870,7,,,,,
1870,8,,,,,
1870,9,,,,,
1870,10,,,,,
