Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1819,2,-1.604,,,,
1819,3,-1.214,,,,
1819,4,,,,,
1819,5,-0.143,,,,
1819,6,-0.889,,,,
1819,7,-0.759,,,,
1819,8,-0.682,,,,
1819,9,,,,,
1819,10,,,,,
1819,11,,,,,
1819,12,,,,,
1820,1,-0.866,,,,
1820,2,-0.106,,,,
1820,3,-1.338,-0.149,,,
1820,4,0.158,-0.305,,,
1820,5,1.277,-0.484,,,
1820,6,-0.027,-0.516,,,
1820,7,0.308,-0.395,,,
1820,8,-1.095,-0.499,,,
1820,9,0.341,-0.371,,,
1820,10,-1.496,-0.428,,,
1820,11,-1.669,-0.419,,,
1820,12,,-0.518,,,
1821,1,0.584,-0.645,,,
1821,2,-1.355,-0.691,,,
1821,3,0.196,-0.871,,,
1821,4,-0.515,-0.876,,,
1821,5,1.379,-0.959,,,
1821,6,-1.219,-0.917,,,
1821,7,-1.205,-1.051,,,
1821,8,-1.654,,,,
1821,9,-1.814,,,,
1821,10,-1.557,,,,
1821,11,-2.673,,,,
1821,12,-1.173,,,,
1822,1,,,,,
1822,2,,,,,
1822,3,,,,,
1822,4,,,,,
1822,5,,,,,
1822,6,,,,,
1822,7,,,,,
1822,8,,,,,
1822,9,,,,,
1822,10,,,,,
1822,11,,,,,
1822,12,,,,,
1823,1,,,,,
1823,2,,,,,
1823,3,,,,,
1823,4,,,,,
1823,5,,,,,
1823,6,,,,,
1823,7,,,,,
1823,8,,,,,
1823,9,,,,,
1823,10,,,,,
1823,11,,,,,
1823,12,,,,,
1824,1,,,,,
1824,2,,,,,
1824,3,,,,,
1824,4,,,,,
1824,5,,,,,
1824,6,,,,,
1824,7,,,,,
1824,8,,,,,
1824,9,,,,,
1824,10,,,,,
1824,11,,,,,
1824,12,,,,,
1825,1,,,,,
1825,2,,,,,
1825,3,,,,,
1825,4,,,,,
1825,5,,,,,
1825,6,,,,,
1825,7,,,,,
1825,8,,,,,
1825,9,,,,,
1825,10,,,,,
1825,11,,,,,
1825,12,,,,,
1826,1,,,,,
1826,2,,,,,
1826,3,,,,,
1826,4,,,,,
1826,5,,,,,
1826,6,,,,,
1826,7,,,,,
1826,8,,,,,
1826,9,,,,,
1826,10,,,,,
1826,11,,,,,
1826,12,,,,,
1827,1,,,,,
1827,2,,,,,
1827,3,,,,,
1827,4,,,,,
1827,5,,,,,
1827,6,,,,,
1827,7,,,,,
1827,8,,,,,
1827,9,,,,,
1827,10,,,,,
1827,11,,,,,
1827,12,,,,,
1828,1,,,,,
1828,2,,,,,
1828,3,,,,,
1828,4,,,,,
1828,5,,,,,
1828,6,,,,,
1828,7,,,,,
1828,8,,,,,
1828,9,,,,,
1828,10,,,,,
1828,11,,,,,
1828,12,,,,,
1829,1,,,,,
1829,2,,,,,
1829,3,,,,,
1829,4,,,,,
1829,5,,,,,
1829,6,,,,,
1829,7,,,,,
1829,8,,,,,
1829,9,,,,,
1829,10,,,,,
1829,11,,,,,
1829,12,,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,,,,,
1833,2,,,,,
1833,3,,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,,,,,
1836,8,,,,,
1836,9,,,,,
1836,10,,,,,
1836,11,,,,,
1836,12,,,,,
1837,1,,,,,
1837,2,,,,,
1837,3,,,,,
1837,4,,,,,
1837,5,,,,,
1837,6,,,,,
1837,7,,,,,
1837,8,,,,,
1837,9,,,,,
1837,10,,,,,
1837,11,,,,,
1837,12,,,,,
1838,1,,,,,
1838,2,,,,,
1838,3,,,,,
1838,4,,,,,
1838,5,,,,,
1838,6,,,,,
1838,7,,,,,
1838,8,,,,,
1838,9,,,,,
1838,10,,,,,
1838,11,,,,,
1838,12,,,,,
1839,1,,,,,
1839,2,,,,,
1839,3,,,,,
1839,4,,,,,
1839,5,,,,,
1839,6,,,,,
1839,7,,,,,
1839,8,,,,,
1839,9,,,,,
1839,10,,,,,
1839,11,,,,,
1839,12,,,,,
1840,1,,,,,
1840,2,,,,,
1840,3,,,,,
1840,4,,,,,
1840,5,,,,,
1840,6,,,,,
1840,7,,,,,
1840,8,,,,,
1840,9,,,,,
1840,10,,,,,
1840,11,,,,,
1840,12,,,,,
1841,1,,,,,
1841,2,,,,,
1841,3,,,,,
1841,4,,,,,
1841,5,,,,,
1841,6,,,,,
1841,7,,,,,
1841,8,,,,,
1841,9,,,,,
1841,10,,,,,
1841,11,,,,,
1841,12,,,,,
1842,1,,,,,
1842,2,,,,,
1842,3,,,,,
1842,4,,,,,
1842,5,,,,,
1842,6,,,,,
1842,7,,,,,
1842,8,,,,,
1842,9,,,,,
1842,10,,,,,
1842,11,,,,,
1842,12,,,,,
1843,1,,,,,
1843,2,,,,,
1843,3,,,,,
1843,4,,,,,
1843,5,,,,,
1843,6,,,,,
1843,7,,,,,
1843,8,,,,,
1843,9,,,,,
1843,10,,,,,
1843,11,,,,,
1843,12,,,,,
1844,1,,,,,
1844,2,,,,,
1844,3,,,,,
1844,4,,,,,
1844,5,,,,,
1844,6,,,,,
1844,7,,,,,
1844,8,,,,,
1844,9,,,,,
1844,10,,,,,
1844,11,,,,,
1844,12,,,,,
1845,1,,,,,
1845,2,,,,,
1845,3,,,,,
1845,4,,,,,
1845,5,,,,,
1845,6,,,,,
1845,7,,,,,
1845,8,,,,,
1845,9,,,,,
1845,10,,,,,
1845,11,,,,,
1845,12,,,,,
1846,1,,,,,
1846,2,,,,,
1846,3,,,,,
1846,4,,,,,
1846,5,,,,,
1846,6,,,,,
1846,7,,,,,
1846,8,,,,,
1846,9,,,,,
1846,10,,,,,
1846,11,,,,,
1846,12,,,,,
1847,1,,,,,
1847,2,,,,,
1847,3,,,,,
1847,4,,,,,
1847,5,,,,,
1847,6,,,,,
1847,7,,,,,
1847,8,,,,,
1847,9,,,,,
1847,10,,,,,
1847,11,,,,,
1847,12,,,,,
1848,1,,,,,
1848,2,,,,,
1848,3,,,,,
1848,4,,,,,
1848,5,,,,,
1848,6,,,,,
1848,7,,,,,
1848,8,,,,,
1848,9,,,,,
1848,10,,,,,
1848,11,,,,,
1848,12,,,,,
1849,1,,,,,
1849,2,,,,,
1849,3,,,,,
1849,4,,,,,
1849,5,,,,,
1849,6,,,,,
1849,7,,,,,
1849,8,,,,,
1849,9,,,,,
1849,10,,,,,
1849,11,,,,,
1849,12,,,,,
1850,1,,,,,
1850,2,,,,,
1850,3,,,,,
1850,4,,,,,
1850,5,,,,,
1850,6,,,,,
1850,7,,,,,
1850,8,,,,,
1850,9,,,,,
1850,10,,,,,
1850,11,,,,,
1850,12,,,,,
1851,1,,,,,
1851,2,,,,,
1851,3,,,,,
1851,4,,,,,
1851,5,,,,,
1851,6,,,,,
1851,7,,,,,
1851,8,,,,,
1851,9,,,,,
1851,10,,,,,
1851,11,,,,,
1851,12,,,,,
1852,1,,,,,
1852,2,,,,,
1852,3,,,,,
1852,4,,,,,
1852,5,,,,,
1852,6,,,,,
1852,7,,,,,
1852,8,,,,,
1852,9,,,,,
1852,10,,,,,
1852,11,,,,,
1852,12,,,,,
1853,1,,,,,
1853,2,,,,,
1853,3,,,,,
1853,4,,,,,
1853,5,,,,,
1853,6,,,,,
1853,7,,,,,
1853,8,,,,,
1853,9,,,,,
1853,10,,,,,
1853,11,,,,,
1853,12,,,,,
1854,1,,,,,
1854,2,,,,,
1854,3,,,,,
1854,4,,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,,,,,
1854,9,,,,,
1854,10,,,,,
1854,11,,,,,
1854,12,,,,,
1855,1,,,,,
1855,2,,,,,
1855,3,,,,,
1855,4,,,,,
1855,5,,,,,
1855,6,,,,,
1855,7,,,,,
1855,8,,,,,
1855,9,,,,,
1855,10,,,,,
1855,11,,,,,
1855,12,,,,,
1856,1,,,,,
1856,2,,,,,
1856,3,,,,,
1856,4,,,,,
1856,5,,,,,
1856,6,,,,,
1856,7,,,,,
1856,8,,,,,
1856,9,,,,,
1856,10,,,,,
1856,11,,,,,
1856,12,,,,,
1857,1,,,,,
1857,2,,,,,
1857,3,,,,,
1857,4,,,,,
1857,5,,,,,
1857,6,,,,,
1857,7,,,,,
1857,8,,,,,
1857,9,,,,,
1857,10,,,,,
1857,11,,,,,
1857,12,,,,,
1858,1,,,,,
1858,2,,,,,
1858,3,,,,,
1858,4,,,,,
1858,5,,,,,
1858,6,,,,,
1858,7,,,,,
1858,8,,,,,
1858,9,,,,,
1858,10,,,,,
1858,11,,,,,
1858,12,,,,,
1859,1,,,,,
1859,2,,,,,
1859,3,,,,,
1859,4,,,,,
1859,5,,,,,
1859,6,,,,,
1859,7,,,,,
1859,8,,,,,
1859,9,,,,,
1859,10,,,,,
1859,11,,,,,
1859,12,,,,,
1860,1,,,,,
1860,2,,,,,
1860,3,,,,,
1860,4,,,,,
1860,5,,,,,
1860,6,,,,,
1860,7,,,,,
1860,8,,,,,
1860,9,,,,,
1860,10,,,,,
1860,11,,,,,
1860,12,,,,,
1861,1,-0.795,,,,
1861,2,-0.279,,,,
1861,3,-0.959,,,,
1861,4,-0.41,,,,
1861,5,-1.061,,,,
1861,6,,,,,
1861,7,-0.043,,,,
1861,8,-0.454,,,,
1861,9,,,,,
1861,10,,,,,
1861,11,,,,,
1861,12,,,,,
1862,1,,,,,
1862,2,,,,,
1862,3,,,,,
1862,4,,,,,
1862,5,,,,,
1862,6,,,,,
1862,7,,,,,
1862,8,,,,,
1862,9,,,,,
1862,10,,,,,
1862,11,,,,,
1862,12,,,,,
1863,1,,,,,
1863,2,,,,,
1863,3,,,,,
1863,4,,,,,
1863,5,,,,,
1863,6,,,,,
1863,7,,,,,
1863,8,,,,,
1863,9,,,,,
1863,10,,,,,
1863,11,,,,,
1863,12,,,,,
1864,1,-1.678,,,,
1864,2,-0.074,,,,
1864,3,0.995,,,,
1864,4,-1.286,-0.301,,,
1864,5,0.205,-0.296,,,
1864,6,-0.208,-0.268,,,
1864,7,0.788,-0.09,,,
1864,8,-0.648,-0.199,,,
1864,9,-1.102,-0.324,,,
1864,10,0.356,-0.323,,,
1864,11,0.291,-0.345,,,
1864,12,-0.854,-0.351,,,
1865,1,0.463,-0.396,,,
1865,2,-1.389,-0.299,,,
1865,3,-0.504,-0.261,-0.218,,
1865,4,-1.268,-0.235,-0.205,,
1865,5,-0.067,-0.274,-0.207,,
1865,6,-0.28,-0.28,-0.201,,
1865,7,0.254,-0.364,-0.215,,
1865,8,0.518,-0.28,-0.22,,
1865,9,-0.652,-0.195,-0.235,,
1865,10,0.665,-0.082,-0.246,,
1865,11,-0.174,-0.05,-0.258,-0.334,
1865,12,-0.932,-0.123,-0.264,-0.331,
1866,1,-0.538,-0.063,-0.254,-0.336,
1866,2,-0.384,-0.144,-0.243,-0.351,
1866,3,0.516,-0.101,-0.24,-0.352,
1866,4,0.088,-0.155,-0.231,-0.348,
1866,5,0.319,-0.16,-0.263,-0.336,
1866,6,-1.158,-0.086,-0.256,-0.337,
1866,7,0.981,-0.048,-0.249,-0.334,
1866,8,-0.465,-0.1,-0.258,-0.331,
1866,9,-0.126,-0.019,-0.297,-0.324,
1866,10,0.017,-0.006,-0.296,-0.314,
1866,11,-0.233,-0.013,-0.285,-0.324,
1866,12,-0.049,0.072,-0.271,-0.321,
1867,1,-0.081,0.032,-0.275,-0.32,
1867,2,-1.009,0.086,-0.265,-0.322,
1867,3,1.491,0.139,-0.243,-0.32,
1867,4,0.243,0.148,-0.261,-0.326,
1867,5,0.236,0.155,-0.278,-0.333,
1867,6,-0.143,0.035,-0.271,-0.336,
1867,7,0.506,-0.038,-0.297,-0.329,
1867,8,0.174,-0.12,-0.282,-0.324,
1867,9,0.509,-0.359,-0.283,-0.317,
1867,10,0.134,-0.472,-0.286,-0.308,
1867,11,-0.147,-0.474,-0.274,-0.313,
1867,12,-1.49,-0.534,-0.268,-0.301,
1868,1,-0.956,-0.542,-0.26,-0.305,
1868,2,-1.996,-0.554,-0.263,-0.299,
1868,3,-1.38,-0.636,-0.258,-0.295,
1868,4,-1.118,-0.611,-0.276,-0.291,
1868,5,0.215,-0.743,-0.276,-0.304,-0.379
1868,6,-0.863,-0.683,-0.272,-0.309,-0.369
1868,7,0.412,-0.706,-0.287,-0.306,-0.361
1868,8,0.031,-0.591,-0.315,-0.3,-0.352
1868,9,-0.474,-0.59,-0.342,-0.298,-0.347
1868,10,0.431,-0.597,-0.342,-0.297,-0.345
1868,11,-1.726,-0.545,-0.34,-0.301,-0.346
1868,12,-0.767,-0.42,-0.331,-0.295,-0.34
1869,1,-1.236,-0.406,-0.342,-0.286,-0.336
1869,2,-0.617,-0.414,-0.335,-0.3,-0.327
1869,3,-1.366,-0.354,-0.328,-0.328,-0.327
1869,4,-1.204,-0.452,-0.313,-0.321,-0.332
1869,5,0.844,-0.371,-0.319,-0.326,-0.341
1869,6,0.631,-0.343,-0.333,-0.323,-0.338
1869,7,0.578,-0.33,-0.351,-0.326,-0.334
1869,8,-0.064,-0.321,-0.346,-0.327,-0.331
1869,9,0.251,-0.251,-0.37,-0.318,-0.325
1869,10,-0.746,-0.271,-0.38,-0.319,-0.332
1869,11,-0.756,-0.286,-0.384,-0.328,-0.336
1869,12,-0.434,-0.336,-0.396,-0.33,-0.339
1870,1,-1.076,-0.322,-0.403,-0.349,-0.345
1870,2,-0.512,-0.289,-0.408,-0.35,-0.344
1870,3,-0.527,-0.337,-0.416,-0.353,-0.346
1870,4,-1.445,-0.31,-0.412,-0.355,-0.347
1870,5,0.666,-0.26,-0.42,-0.356,-0.346
1870,6,0.038,-0.283,-0.401,-0.357,-0.35
1870,7,0.746,-0.312,-0.395,-0.356,-0.347
1870,8,0.333,-0.444,-0.377,-0.361,-0.347
1870,9,-0.334,-0.493,-0.354,-0.362,-0.351
1870,10,-0.417,-0.364,-0.335,-0.375,-0.351
1870,11,-0.156,-0.383,-0.351,-0.385,-0.344
1870,12,-0.717,-0.437,-0.354,-0.387,-0.341
1871,1,-1.42,-0.471,-0.358,-0.387,-0.328
1871,2,-2.094,-0.505,-0.356,-0.391,-0.33
1871,3,-1.119,-0.452,-0.356,-0.399,-0.324
1871,4,0.101,-0.339,-0.363,-0.398,-0.315
1871,5,0.441,-0.376,-0.339,-0.395,-0.314
1871,6,-0.615,-0.393,-0.335,-0.395,-0.317
1871,7,0.344,-0.371,-0.322,-0.407,-0.315
1871,8,-0.077,-0.254,-0.341,-0.407,-0.313
1871,9,0.305,-0.157,-0.359,-0.404,-0.31
1871,10,0.939,-0.193,-0.345,-0.403,-0.308
1871,11,-0.608,-0.233,-0.367,-0.405,-0.314
1871,12,-0.911,-0.253,-0.374,-0.412,-0.312
1872,1,-1.162,-0.277,-0.378,-0.423,-0.309
1872,2,-0.686,-0.277,-0.389,-0.424,-0.314
1872,3,0.039,-0.299,-0.393,-0.44,-0.316
1872,4,-0.332,-0.346,-0.377,-0.438,-0.323
1872,5,-0.031,-0.349,-0.378,-0.439,-0.326
1872,6,-0.855,-0.304,-0.389,-0.44,-0.327
1872,7,0.06,-0.255,-0.402,-0.438,-0.325
1872,8,-0.084,-0.277,-0.417,-0.439,-0.324
1872,9,0.042,-0.28,-0.423,-0.434,-0.32
1872,10,0.375,-0.251,-0.423,-0.44,-0.317
1872,11,-0.648,-0.306,-0.439,-0.446,-0.321
1872,12,-0.362,-0.325,-0.446,-0.444,-0.317
1873,1,-0.573,-0.313,-0.452,-0.45,-0.317
1873,2,-0.949,-0.295,-0.458,-0.446,-0.317
1873,3,-0.008,-0.341,-0.467,-0.437,-0.316
1873,4,0.017,-0.371,-0.474,-0.424,-0.319
1873,5,-0.686,-0.337,-0.494,-0.419,-0.325
1873,6,-1.081,-0.35,-0.501,-0.404,-0.325
1873,7,0.206,-0.344,-0.487,-0.401,-0.325
1873,8,0.13,-0.412,-0.467,-0.391,-0.328
1873,9,-0.508,-0.614,-0.456,-0.388,-0.327
1873,10,0.012,-0.647,-0.453,-0.385,-0.328
1873,11,-0.24,-0.625,-0.451,-0.361,-0.334
1873,12,-0.522,-0.519,-0.459,-0.35,-0.334
1874,1,-0.501,-0.508,-0.472,-0.343,-0.335
1874,2,-1.764,-0.579,-0.478,-0.334,-0.339
1874,3,-2.429,-0.534,-0.48,-0.327,-0.351
1874,4,-0.38,-0.519,-0.494,-0.32,-0.345
1874,5,-0.427,-0.569,-0.492,-0.339,-0.351
1874,6,0.191,-0.615,-0.491,-0.341,-0.357
1874,7,0.341,-0.728,-0.495,-0.345,-0.365
1874,8,-0.719,-0.697,-0.503,-0.346,-0.366
1874,9,0.029,-0.569,-0.51,-0.346,-0.364
1874,10,0.191,-0.661,-0.497,-0.344,-0.37
1874,11,-0.837,-0.649,-0.493,-0.344,-0.378
1874,12,-1.072,-0.695,-0.484,-0.35,-0.378
1875,1,-1.86,-0.693,-0.472,-0.356,-0.385
1875,2,-1.39,-0.634,-0.469,-0.36,-0.381
1875,3,-0.899,-0.71,-0.451,-0.368,-0.379
1875,4,-1.481,-0.793,-0.469,-0.359,-0.378
1875,5,-0.275,-0.838,-0.472,-0.363,-0.378
1875,6,-0.36,-0.844,-0.487,-0.37,-0.383
1875,7,0.356,-0.737,-0.506,-0.369,-0.384
1875,8,-0.013,-0.698,-0.514,-0.369,-0.382
1875,9,-0.878,-0.66,-0.52,-0.366,-0.381
1875,10,-0.807,-0.512,-0.512,-0.363,-0.387
1875,11,-1.377,-0.44,-0.487,-0.355,-0.39
1875,12,-1.142,-0.502,-0.455,-0.351,-0.388
1876,1,-0.576,-0.571,-0.445,-0.321,-0.392
1876,2,-0.916,-0.605,-0.427,-0.308,-0.398
1876,3,-0.446,-0.518,-0.419,-0.296,-0.405
1876,4,0.288,-0.44,-0.407,-0.282,-0.406
1876,5,0.592,-0.365,-0.384,-0.292,-0.412
1876,6,-1.105,-0.343,-0.365,-0.296,-0.411
1876,7,-0.476,-0.412,-0.364,-0.296,-0.415
1876,8,-0.419,-0.431,-0.327,-0.295,-0.418
1876,9,0.173,-0.428,-0.295,-0.295,-0.419
1876,10,0.131,-0.415,-0.295,-0.301,-0.418
1876,11,-0.479,-0.445,-0.311,-0.305,-0.42
1876,12,-0.886,-0.377,-0.308,-0.304,-0.423
1877,1,-1.403,-0.273,-0.312,-0.298,-0.431
1877,2,-1.139,-0.233,-0.303,-0.305,-0.431
1877,3,-0.407,-0.155,-0.3,-0.313,-0.437
1877,4,0.445,-0.224,-0.31,-0.319,-0.441
1877,5,0.228,-0.253,-0.31,-0.319,-0.442
1877,6,-0.291,-0.281,-0.311,-0.318,-0.446
1877,7,0.775,-0.309,-0.311,-0.321,-0.448
1877,8,0.053,-0.331,-0.302,-0.325,-0.45
1877,9,1.115,-0.328,-0.314,-0.324,-0.45
1877,10,-0.699,-0.326,-0.294,-0.325,-0.449
1877,11,-0.822,-0.277,-0.288,-0.328,-0.45
1877,12,-1.231,-0.18,-0.294,-0.332,-0.445
1878,1,-1.738,-0.177,-0.286,-0.329,-0.445
1878,2,-1.406,-0.081,-0.28,-0.335,-0.442
1878,3,-0.361,-0.181,-0.265,-0.338,-0.436
1878,4,0.468,-0.059,-0.252,-0.346,-0.429
1878,5,0.811,0.105,-0.216,-0.345,-0.435
1878,6,0.874,0.259,-0.202,-0.341,-0.435
1878,7,0.804,0.369,-0.154,-0.343,-0.433
1878,8,1.215,0.521,-0.149,-0.356,-0.437
1878,9,-0.084,0.511,-0.135,-0.355,-0.435
1878,10,0.763,0.438,-0.112,-0.36,-0.439
1878,11,1.146,0.257,-0.134,-0.368,-0.435
1878,12,0.609,0.214,-0.134,-0.373,-0.433
1879,1,-0.417,0.154,-0.119,-0.384,-0.43
1879,2,0.425,0.039,-0.112,-0.378,-0.427
1879,3,-0.486,0.065,-0.109,-0.373,-0.424
1879,4,-0.406,-0.036,-0.108,-0.37,-0.421
1879,5,-1.363,-0.198,-0.119,-0.375,-0.424
1879,6,0.356,-0.347,-0.116,-0.392,-0.429
1879,7,0.086,-0.463,-0.1,-0.403,-0.43
1879,8,-0.16,-0.574,-0.107,-0.404,-0.43
1879,9,0.23,-0.666,-0.115,-0.411,-0.432
1879,10,-0.453,-0.656,-0.141,-0.422,-0.425
1879,11,-0.802,-0.534,-0.145,-0.427,-0.427
1879,12,-1.178,-0.624,-0.152,-0.426,-0.431
1880,1,-1.811,-0.563,-0.17,-0.421,-0.43
1880,2,-0.898,-0.521,-0.181,-0.413,-0.43
1880,3,-1.59,-0.539,-0.196,-0.405,-0.432
1880,4,-0.29,-0.502,-0.181,-0.401,-0.427
1880,5,0.099,-0.368,-0.183,-0.4,-0.431
1880,6,-0.724,-0.295,-0.177,-0.409,-0.437
1880,7,0.822,0.046,-0.151,-0.412,-0.439
1880,8,0.343,0.068,-0.157,-0.404,-0.439
1880,9,0.016,0.233,-0.156,-0.4,-0.444
1880,10,-0.018,0.399,-0.181,-0.4,-0.446
1880,11,0.815,0.327,-0.203,-0.395,-0.452
1880,12,-0.303,0.298,-0.228,-0.39,-0.454
1881,1,2.28,0.264,-0.242,-0.397,-0.458
1881,2,-0.63,0.234,-0.285,-0.404,-0.461
1881,3,0.39,0.262,-0.291,-0.41,-0.456
1881,4,1.699,0.28,-0.312,-0.414,-0.457
1881,5,-0.762,0.118,-0.351,-0.428,-0.46
1881,6,-1.069,0.084,-0.382,-0.428,-0.462
1881,7,0.407,-0.142,-0.404,-0.424,-0.461
1881,8,-0.016,-0.221,-0.43,-0.429,-0.461
1881,9,0.356,-0.327,-0.452,-0.435,-0.462
1881,10,0.191,-0.563,-0.444,-0.432,-0.466
1881,11,-1.121,-0.496,-0.44,-0.436,-0.465
1881,12,-0.72,-0.466,-0.476,-0.434,-0.462
1882,1,-0.433,-0.526,-0.494,-0.438,-0.457
1882,2,-1.575,-0.575,-0.505,-0.439,-0.453
1882,3,-0.883,-0.587,-0.522,-0.434,-0.452
1882,4,-1.127,-0.587,-0.533,-0.443,-0.451
1882,5,0.043,-0.573,-0.545,-0.445,-0.457
1882,6,-0.714,-0.587,-0.541,-0.452,-0.457
1882,7,-0.315,-0.565,-0.531,-0.459,-0.458
1882,8,-0.607,-0.579,-0.524,-0.462,-0.459
1882,9,0.224,-0.534,-0.496,-0.467,-0.462
1882,10,0.188,-0.521,-0.507,-0.457,-0.458
1882,11,-0.958,-0.571,-0.512,-0.454,-0.458
1882,12,-0.888,-0.563,-0.525,-0.446,-0.457
1883,1,-0.169,-0.54,-0.537,-0.439,-0.462
1883,2,-1.74,-0.602,-0.528,-0.438,-0.465
1883,3,-0.341,-0.657,-0.536,-0.435,-0.471
1883,4,-0.98,-0.716,-0.547,-0.435,-0.477
1883,5,-0.548,-0.736,-0.574,-0.452,-0.475
1883,6,-0.624,-0.763,-0.579,-0.466,-0.475
1883,7,-0.04,-0.896,-0.64,-0.464,-0.474
1883,8,-1.353,-0.843,-0.658,-0.483,-0.477
1883,9,-0.435,-0.966,-0.685,-0.483,-0.472
1883,10,-0.513,-0.879,-0.717,-0.493,-0.47
1883,11,-1.201,-0.927,-0.722,-0.508,-0.465
1883,12,-1.212,-1.027,-0.722,-0.517,-0.465
1884,1,-1.763,-1.107,-0.729,-0.517,-0.467
1884,2,-1.111,-1.061,-0.745,-0.521,-0.464
1884,3,-1.81,-1.09,-0.76,-0.521,-0.454
1884,4,0.06,-1.139,-0.757,-0.521,-0.456
1884,5,-1.125,-1.166,-0.752,-0.509,-0.455
1884,6,-1.826,-1.143,-0.752,-0.516,-0.461
1884,7,-0.994,-1.1,-0.776,-0.514,-0.464
1884,8,-0.806,-1.044,-0.77,-0.513,-0.464
1884,9,-0.78,-0.884,-0.753,-0.518,-0.462
