Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,0.06,-0.386,,,
1750,3,2.192,-0.333,,,
1750,4,0.458,-0.268,,,
1750,5,-1.055,-0.412,,,
1750,6,0.389,-0.421,,,
1750,7,0.519,-0.418,,,
1750,8,0.438,-0.67,,,
1750,9,-0.179,-0.772,,,
1750,10,-0.975,-0.949,,,
1750,11,-3.088,-0.93,,,
1750,12,-2.042,-0.988,,,
1751,1,-1.733,-0.972,,,
1751,2,-2.959,-0.915,,,
1751,3,0.959,-0.936,,,
1751,4,-1.657,-0.949,,,
1751,5,-0.829,-0.95,,,
1751,6,-0.306,-0.954,,,
1751,7,0.705,-0.87,,,
1751,8,1.126,-0.551,,,
1751,9,-0.437,-0.633,,,
1751,10,-1.128,-0.576,,,
1751,11,-3.101,-0.575,,,
1751,12,-2.087,-0.381,,,
1752,1,-0.732,-0.417,,,
1752,2,0.872,-0.585,,,
1752,3,-0.023,,,,
1752,4,-0.969,,,,
1752,5,-0.821,,,,
1752,6,2.021,,,,
1752,7,0.271,,,,
1752,8,-0.891,,,,
1752,9,,,,,
1752,10,-0.41,,,,
1752,11,-0.28,,,,
1752,12,-0.929,,,,
1753,1,-2.603,,,,
1753,2,-0.843,,,,
1753,3,0.875,-0.196,,,
1753,4,0.402,-0.189,,,
1753,5,0.327,-0.312,,,
1753,6,1.74,-0.285,,,
1753,7,0.643,-0.174,,,
1753,8,-0.9,-0.304,,,
1753,9,-0.375,-0.697,,,
1753,10,-0.326,-0.752,,,
1753,11,-1.753,-0.689,,,
1753,12,-0.609,-0.762,,,
1754,1,-1.269,-0.876,,,
1754,2,-2.407,-0.755,,,
1754,3,-3.832,-0.775,,,
1754,4,-0.262,-0.67,,,
1754,5,1.081,-0.446,,,
1754,6,0.864,-0.414,,,
1754,7,-0.723,-0.7,,,
1754,8,0.545,-0.851,,,
1754,9,-0.615,-0.612,,,
1754,10,0.943,-0.273,,,
1754,11,0.933,-0.361,,,
1754,12,-0.229,-0.203,,,
1755,1,-4.694,-0.133,,,
1755,2,-4.227,-0.282,,,
1755,3,-0.963,-0.353,-0.283,,
1755,4,3.802,-0.484,-0.341,,
1755,5,0.03,-0.66,-0.35,,
1755,6,2.763,-0.614,-0.361,,
1755,7,0.111,-0.146,-0.382,,
1755,8,-1.238,0.295,-0.399,,
1755,9,-1.464,0.39,-0.416,,
1755,10,-0.635,-0.006,-0.431,,
1755,11,-1.174,-0.023,-0.423,,
1755,12,0.318,-0.082,-0.43,,
1756,1,0.927,-0.075,-0.479,,
1756,2,1.058,0.052,-0.472,,
1756,3,0.183,0.194,-0.502,,
1756,4,-0.956,0.171,-0.538,,
1756,5,-0.171,0.045,-0.516,,
1756,6,2.053,-0.155,-0.499,,
1756,7,0.197,-0.45,-0.455,,
1756,8,0.284,-0.567,-0.392,,
1756,9,0.243,-0.649,-0.325,,
1756,10,-0.905,-0.495,-0.314,,
1756,11,-2.691,-0.396,-0.337,,
1756,12,-2.078,-0.421,-0.342,,
1757,1,-2.612,-0.201,-0.3,,
1757,2,-0.349,-0.129,-0.31,,
1757,3,-0.799,-0.286,-0.302,,
1757,4,0.89,-0.534,-0.312,,
1757,5,1.011,-0.38,-0.391,,
1757,6,1.764,-0.335,-0.411,,
1757,7,2.827,-0.443,-0.352,,
1757,8,1.154,-0.567,-0.303,,
1757,9,-1.645,-0.512,-0.315,-0.303,
1757,10,-3.883,-0.628,-0.346,-0.316,
1757,11,-0.837,-0.643,-0.336,-0.325,
1757,12,-1.546,-0.685,-0.365,-0.351,
1758,1,-3.906,-1.111,-0.36,-0.366,
1758,2,-1.83,-1.247,-0.348,-0.344,
1758,3,-0.143,-1.291,-0.332,-0.364,
1758,4,-0.504,-1.172,-0.326,-0.369,
1758,5,0.833,-1.14,-0.311,-0.385,
1758,6,1.265,-0.977,-0.295,-0.403,
1758,7,-2.29,-0.534,-0.341,-0.406,
1758,8,-0.473,-0.268,-0.347,-0.388,
1758,9,-2.176,-0.244,-0.328,-0.398,
1758,10,-2.454,-0.169,-0.314,-0.416,
1758,11,-0.453,-0.26,-0.284,-0.413,
1758,12,0.402,-0.319,-0.303,-0.4,
1759,1,1.408,0.022,-0.294,-0.375,
1759,2,1.369,0.054,-0.284,-0.339,
1759,3,0.149,0.224,-0.273,-0.324,
1759,4,0.39,0.46,-0.297,-0.33,
1759,5,-0.255,0.182,-0.271,-0.322,
1759,6,0.549,0.025,-0.289,-0.326,
1759,7,1.801,-0.188,-0.238,-0.316,
1759,8,-0.087,-0.408,-0.249,-0.333,
1759,9,-0.136,-0.563,-0.29,-0.345,
1759,10,0.384,-0.432,-0.262,-0.373,
1759,11,-3.796,-0.357,-0.253,-0.39,
1759,12,-1.473,-0.318,-0.284,-0.385,
1760,1,-1.157,-0.433,-0.311,-0.324,
1760,2,-1.268,-0.472,-0.338,-0.31,
1760,3,-1.709,-0.502,-0.322,-0.294,
1760,4,1.963,-0.556,-0.292,-0.322,
1760,5,0.638,-0.264,-0.3,-0.327,
1760,6,1.023,-0.034,-0.342,-0.346,
1760,7,0.424,-0.091,-0.349,-0.365,
1760,8,-0.564,0.074,-0.288,-0.36,
1760,9,-0.488,0.326,-0.311,-0.355,
1760,10,-0.27,0.156,-0.308,-0.351,
1760,11,-0.292,0.238,-0.348,-0.348,
1760,12,1.292,0.227,-0.375,-0.368,
1761,1,-1.844,0.253,-0.332,-0.415,
1761,2,0.709,0.376,-0.303,-0.444,
1761,3,1.314,0.489,-0.293,-0.45,
1761,4,-0.069,0.315,-0.294,-0.433,
1761,5,1.625,0.249,-0.31,-0.426,
1761,6,0.889,-0.123,-0.302,-0.436,
1761,7,0.735,0.067,-0.296,-0.448,
1761,8,0.909,-0.074,-0.286,-0.45,
1761,9,0.868,-0.457,-0.324,-0.456,
1761,10,-2.355,-0.239,-0.345,-0.457,
1761,11,-1.083,-0.244,-0.308,-0.43,
1761,12,-3.173,-0.326,-0.31,-0.429,
1762,1,0.436,-0.286,-0.331,-0.465,
