Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,2.855,0.623,,,
1750,3,2.744,0.576,,,
1750,4,1.189,0.412,,,
1750,5,-1.006,-0.097,,,
1750,6,-0.076,-0.287,,,
1750,7,1.041,-0.565,,,
1750,8,1.169,-1.117,,,
1750,9,-0.491,-1.166,,,
1750,10,-3.593,-1.298,,,
1750,11,-6.385,-1.278,,,
1750,12,-3.5,-1.387,,,
1751,1,-0.733,-1.406,,,
1751,2,-3.762,-1.464,,,
1751,3,2.155,-1.468,,,
1751,4,-0.395,-1.311,,,
1751,5,-0.77,-0.992,,,
1751,6,-1.383,-0.753,,,
1751,7,0.817,-0.813,,,
1751,8,0.469,-0.379,,,
1751,9,-0.539,-0.402,,,
1751,10,-1.707,-0.371,,,
1751,11,-2.55,-0.347,,,
1751,12,-0.641,-0.223,,,
1752,1,-1.45,-0.11,,,
1752,2,1.45,-0.085,,,
1752,3,1.877,,,,
1752,4,-0.02,,,,
1752,5,-0.48,,,,
1752,6,0.095,,,,
1752,7,2.175,,,,
1752,8,0.766,,,,
1752,9,,,,,
1752,10,-0.377,,,,
1752,11,0.676,,,,
1752,12,0.257,,,,
1753,1,-0.085,,,,
1753,2,-0.162,,,,
1753,3,2.444,0.11,,,
1753,4,0.752,0.183,,,
1753,5,-0.115,0.035,,,
1753,6,-1.035,-0.47,,,
1753,7,-0.398,-0.479,,,
1753,8,-0.632,-0.58,,,
1753,9,-0.006,-0.896,,,
1753,10,0.494,-0.856,,,
1753,11,-1.092,-0.779,,,
1753,12,-5.805,-0.669,,,
1754,1,-0.196,-0.71,,,
1754,2,-1.37,-0.769,,,
1754,3,-1.353,-0.862,,,
1754,4,1.239,-0.905,,,
1754,5,0.807,-0.872,,,
1754,6,0.287,-0.373,,,
1754,7,-0.896,-0.546,,,
1754,8,-1.334,-0.738,,,
1754,9,-1.128,-0.704,,,
1754,10,-0.019,-0.717,,,
1754,11,-0.696,-0.719,,,
1754,12,0.181,-0.619,,,
1755,1,-2.267,-0.434,,,
1755,2,-3.681,-0.461,,,
1755,3,-0.943,-0.46,-0.083,,
1755,4,1.082,-0.442,-0.159,,
1755,5,0.792,-0.443,-0.173,,
1755,6,1.479,-0.521,-0.226,,
1755,7,1.331,-0.118,-0.294,,
1755,8,-1.662,0.55,-0.318,,
1755,9,-1.114,0.733,-0.371,,
1755,10,0.19,0.606,-0.402,,
1755,11,-0.71,0.418,-0.404,,
1755,12,-0.754,0.398,-0.394,,
1756,1,2.575,0.357,-0.4,,
1756,2,4.33,0.343,-0.407,,
1756,3,1.262,0.407,-0.446,,
1756,4,-0.453,0.344,-0.51,,
1756,5,-1.453,0.161,-0.508,,
1756,6,1.239,0.018,-0.44,,
1756,7,0.833,-0.367,-0.383,,
1756,8,-1.831,-0.514,-0.306,,
1756,9,-0.343,-0.571,-0.263,,
1756,10,-0.571,-0.35,-0.292,,
1756,11,-2.9,-0.243,-0.344,,
1756,12,-2.474,-0.161,-0.334,,
1757,1,-2.041,0.094,-0.309,,
1757,2,2.565,0.337,-0.272,,
1757,3,0.579,0.39,-0.269,,
1757,4,2.194,0.027,-0.295,,
1757,5,-0.159,0.255,-0.336,,
1757,6,2.221,0.215,-0.43,,
1757,7,3.894,0.039,-0.482,,
1757,8,1.077,-0.305,-0.414,,
1757,9,0.298,-0.416,-0.429,-0.374,
1757,10,-4.929,-0.694,-0.473,-0.409,
1757,11,-0.16,-0.699,-0.489,-0.412,
1757,12,-2.955,-0.92,-0.512,-0.433,
1758,1,-4.158,-1.306,-0.537,-0.456,
1758,2,-1.561,-1.484,-0.522,-0.456,
1758,3,-0.758,-1.706,-0.494,-0.5,
1758,4,-1.135,-1.573,-0.534,-0.516,
1758,5,-0.219,-1.642,-0.54,-0.516,
1758,6,-0.436,-1.538,-0.551,-0.517,
1758,7,-0.731,-0.924,-0.596,-0.498,
1758,8,-1.064,-0.52,-0.661,-0.491,
1758,9,-2.371,-0.356,-0.631,-0.506,
1758,10,-3.334,-0.304,-0.626,-0.534,
1758,11,-0.985,-0.48,-0.583,-0.542,
1758,12,-1.7,-0.366,-0.566,-0.493,
1759,1,3.209,-0.256,-0.556,-0.486,
1759,2,3.285,-0.093,-0.501,-0.44,
1759,3,1.213,0.024,-0.47,-0.421,
1759,4,-0.517,0.172,-0.519,-0.433,
1759,5,-2.33,-0.012,-0.488,-0.437,
