Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,1.449,-0.079,,,
1750,3,2.415,-0.019,,,
1750,4,0.342,-0.032,,,
1750,5,-0.378,-0.185,,,
1750,6,0.128,-0.257,,,
1750,7,1.068,-0.207,,,
1750,8,0.049,-0.575,,,
1750,9,0.072,-0.697,,,
1750,10,-1.88,-0.823,,,
1750,11,-3.108,-0.87,,,
1750,12,-1.729,-0.896,,,
1751,1,-0.905,-0.962,,,
1751,2,-2.978,-0.937,,,
1751,3,0.954,-1.033,,,
1751,4,-1.172,-1.004,,,
1751,5,-0.936,-0.971,,,
1751,6,-0.183,-0.943,,,
1751,7,0.273,-0.89,,,
1751,8,0.354,-0.618,,,
1751,9,-1.09,-0.691,,,
1751,10,-1.528,-0.66,,,
1751,11,-2.705,-0.656,,,
1751,12,-1.401,-0.509,,,
1752,1,-0.27,-0.513,,,
1752,2,0.294,-0.584,,,
1752,3,0.076,,,,
1752,4,-0.807,,,,
1752,5,-0.888,,,,
1752,6,1.59,,,,
1752,7,0.224,,,,
1752,8,-0.504,,,,
1752,9,,,,,
1752,10,-0.73,,,,
1752,11,0.079,,,,
1752,12,-0.244,,,,
1753,1,-3.097,,,,
1753,2,-0.35,,,,
1753,3,1.213,-0.178,,,
1753,4,0.146,-0.134,,,
1753,5,0.163,-0.281,,,
1753,6,1.604,-0.281,,,
1753,7,0.49,-0.093,,,
1753,8,-1.24,-0.224,,,
1753,9,-0.166,-0.624,,,
1753,10,-0.202,-0.703,,,
1753,11,-1.683,-0.631,,,
1753,12,-0.245,-0.753,,,
1754,1,-0.843,-0.884,,,
1754,2,-1.918,-0.756,,,
1754,3,-3.592,-0.794,,,
1754,4,-0.804,-0.727,,,
1754,5,1.033,-0.538,,,
1754,6,0.131,-0.558,,,
1754,7,-1.079,-0.874,,,
1754,8,0.292,-1.045,,,
1754,9,-0.62,-0.858,,,
1754,10,0.604,-0.519,,,
1754,11,0.585,-0.656,,,
1754,12,-0.482,-0.459,,,
1755,1,-4.633,-0.353,,,
1755,2,-3.971,-0.494,,,
1755,3,-1.356,-0.559,-0.383,,
1755,4,3.261,-0.693,-0.435,,
1755,5,-0.602,-0.786,-0.432,,
