Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1840,3,-1.538,-1.032,,,
1840,4,-0.829,-1.075,,,
1840,5,-0.668,-1.032,,,
1840,6,-0.13,-0.961,,,
1840,7,-0.02,-1.058,,,
1840,8,-0.756,-1.046,,,
1840,9,-1.024,-1.082,,,
1840,10,-1.621,-1.121,,,
1840,11,-1.863,-1.146,,,
1840,12,-1.757,-1.193,,,
1841,1,-1.42,-1.2,,,
1841,2,-0.929,-1.143,,,
1841,3,-1.97,-1.156,-0.921,,
1841,4,-1.29,-1.041,-0.924,,
1841,5,-0.973,-0.961,-0.923,,
1841,6,-0.697,-0.889,-0.907,,
1841,7,-0.107,-0.831,-0.915,,
1841,8,-0.068,-0.791,-0.929,,
1841,9,-1.174,-0.64,-0.885,,
1841,10,-0.246,-0.57,-0.89,,
1841,11,-0.903,-0.591,-0.89,,
1841,12,-0.893,-0.59,-0.886,,
1842,1,-0.729,-0.695,-0.898,,
1842,2,-0.444,-0.746,-0.912,,
1842,3,-0.158,-0.742,-0.914,,
1842,4,-0.455,-0.824,-0.907,,
1842,5,-1.222,-0.857,-0.896,,
1842,6,-0.681,-0.789,-0.88,-0.963,
1842,7,-1.373,-0.719,-0.887,-0.956,
1842,8,-0.671,-0.645,-0.884,-0.954,
1842,9,-1.137,-0.748,-0.874,-0.947,
1842,10,-1.23,-0.767,-0.879,-0.943,
1842,11,-1.287,-0.794,-0.887,-0.929,
1842,12,-0.083,-0.771,-0.889,-0.928,
1843,1,0.116,-0.728,-0.9,-0.918,
1843,2,0.435,-0.712,-0.899,-0.904,
1843,3,-1.391,-0.693,-0.901,-0.896,
1843,4,-0.681,-0.663,-0.902,-0.896,
1843,5,-1.543,-0.638,-0.895,-0.888,
1843,6,-0.411,-0.655,-0.906,-0.888,
1843,7,-0.848,-0.761,-0.882,-0.891,
1843,8,-0.479,-0.874,-0.868,-0.898,
1843,9,-0.915,-0.799,-0.837,-0.898,
1843,10,-0.862,-0.832,-0.831,-0.9,
1843,11,-0.99,-0.833,-0.836,-0.907,
1843,12,-0.284,-0.852,-0.825,-0.91,
1844,1,-1.165,-0.868,-0.825,-0.913,
1844,2,-0.916,-0.897,-0.823,-0.914,
1844,3,-0.498,-0.946,-0.812,-0.892,
1844,4,-1.073,-0.931,-0.823,-0.9,
1844,5,-1.557,-0.99,-0.834,-0.9,
1844,6,-0.633,-1.109,-0.821,-0.9,
1844,7,-1.041,-1.065,-0.817,-0.903,
1844,8,-0.831,-1.061,-0.818,-0.907,
1844,9,-1.5,-1.101,-0.831,-0.903,
1844,10,-0.685,-1.104,-0.834,-0.898,
1844,11,-1.701,-1.068,-0.839,-0.887,
1844,12,-1.703,-1.041,-0.843,-0.878,-0.883
1845,1,-0.646,-1.008,-0.824,-0.887,-0.887
1845,2,-0.867,-1.0,-0.827,-0.882,-0.884
1845,3,-0.977,-0.969,-0.817,-0.874,-0.881
1845,4,-1.112,-1.05,-0.815,-0.877,-0.878
1845,5,-1.127,-1.031,-0.801,-0.882,-0.872
1845,6,-0.308,-1.087,-0.824,-0.883,-0.871
1845,7,-0.646,-1.033,-0.857,-0.887,-0.868
1845,8,-0.728,-0.968,-0.869,-0.879,-0.863
1845,9,-1.135,-0.894,-0.863,-0.876,-0.859
1845,10,-1.658,-0.88,-0.871,-0.867,-0.862
1845,11,-1.471,-0.895,-0.859,-0.86,-0.86
1845,12,-2.376,-0.873,-0.863,-0.854,-0.852
1846,1,0.007,-0.826,-0.86,-0.842,-0.855
1846,2,-0.08,-0.762,-0.871,-0.838,-0.857
1846,3,-0.093,-0.707,-0.876,-0.833,-0.86
1846,4,-0.94,-0.645,-0.877,-0.835,-0.86
1846,5,-1.314,-0.652,-0.891,-0.834,-0.86
1846,6,-0.04,-0.465,-0.913,-0.831,-0.859
1846,7,-0.086,-0.505,-0.911,-0.832,-0.861
1846,8,0.047,-0.544,-0.898,-0.832,-0.86
1846,9,-0.477,-0.613,-0.899,-0.829,-0.856
1846,10,-0.917,-0.587,-0.909,-0.832,-0.861
1846,11,-1.557,-0.605,-0.91,-0.829,-0.862
1846,12,-0.123,-0.677,-0.913,-0.824,-0.865
1847,1,-0.476,-0.69,-0.907,-0.818,-0.865
1847,2,-0.549,-0.765,-0.901,-0.82,-0.859
1847,3,-0.926,-0.769,-0.893,-0.834,-0.852
1847,4,-0.631,-0.785,-0.89,-0.84,-0.847
1847,5,-1.518,-0.691,-0.878,-0.833,-0.845
1847,6,-0.911,-0.803,-0.875,-0.826,-0.844
1847,7,-0.244,-0.921,-0.887,-0.812,-0.841
1847,8,-0.85,-0.897,-0.881,-0.811,-0.845
1847,9,-0.523,-0.905,-0.874,-0.81,-0.845
1847,10,-1.114,-0.95,-0.875,-0.802,-0.844
1847,11,-0.43,-0.895,-0.878,-0.8,-0.84
1847,12,-1.466,-0.874,-0.877,-0.807,-0.834
1848,1,-1.891,-0.906,-0.873,-0.819,-0.823
1848,2,-0.26,-0.931,-0.858,-0.837,-0.822
1848,3,-1.021,-0.987,-0.851,-0.819,-0.82
1848,4,-1.169,-0.972,-0.832,-0.806,-0.821
1848,5,-0.855,-1.091,-0.825,-0.791,-0.821
1848,6,-0.668,-1.103,-0.802,-0.784,-0.82
1848,7,-0.624,-1.031,-0.801,-0.775,-0.823
1848,8,-1.156,-1.02,-0.808,-0.769,-0.826
1848,9,-1.185,-0.981,-0.83,-0.761,-0.825
1848,10,-0.933,-1.026,-0.839,-0.756,-0.822
1848,11,-1.864,-1.086,-0.831,-0.742,-0.821
1848,12,-1.607,-1.102,-0.837,-0.749,-0.814
1849,1,-1.029,-1.106,-0.839,-0.736,-0.816
1849,2,-0.13,-1.047,-0.841,-0.732,-0.818
1849,3,-0.554,-1.031,-0.846,-0.727,-0.817
1849,4,-1.703,-0.995,-0.841,-0.729,-0.816
1849,5,-1.583,-0.922,-0.825,-0.712,-0.809
1849,6,-0.852,-0.917,-0.827,-0.703,-0.802
1849,7,-0.677,-0.944,-0.82,-0.684,-0.803
1849,8,-0.45,-0.977,-0.822,-0.674,-0.804
1849,9,-0.993,-0.977,-0.837,-0.671,-0.802
1849,10,-0.501,-0.931,-0.845,-0.676,-0.796
1849,11,-0.98,-0.908,-0.826,-0.671,-0.791
1849,12,-1.551,-0.858,-0.809,-0.66,-0.786
1850,1,-1.357,-0.837,-0.801,-0.664,-0.787
1850,2,-0.527,-0.787,-0.795,-0.657,-0.781
1850,3,-0.545,-0.762,-0.803,-0.655,-0.776
1850,4,-1.159,-0.765,-0.788,-0.647,-0.779
1850,5,-1.301,-0.77,-0.8,-0.64,-0.784
1850,6,-0.255,-0.722,-0.79,-0.647,-0.785
1850,7,-0.429,-0.605,-0.782,-0.648,-0.788
1850,8,0.159,-0.602,-0.806,-0.646,-0.785
1850,9,-0.693,-0.675,-0.776,-0.649,-0.785
1850,10,-0.539,-0.699,-0.742,-0.653,-0.778
1850,11,-1.049,-0.662,-0.722,-0.653,-0.775
1850,12,-0.975,-0.672,-0.704,-0.64,-0.766
1851,1,0.055,-0.653,-0.691,-0.656,-0.76
1851,2,-0.493,-0.673,-0.666,-0.667,-0.765
1851,3,-1.421,-0.681,-0.646,-0.677,-0.765
1851,4,-1.449,-0.686,-0.636,-0.681,-0.766
1851,5,-0.862,-0.648,-0.593,-0.681,-0.77
1851,6,-0.373,-0.588,-0.585,-0.686,-0.769
1851,7,-0.202,-0.6,-0.562,-0.698,-0.773
1851,8,-0.071,-0.614,-0.566,-0.708,-0.772
1851,9,-0.795,-0.649,-0.556,-0.708,-0.771
1851,10,-0.595,-0.62,-0.548,-0.714,-0.771
1851,11,-0.601,-0.58,-0.515,-0.723,-0.767
1851,12,-0.253,-0.538,-0.492,-0.736,-0.767
1852,1,-0.081,-0.5,-0.461,-0.74,-0.774
1852,2,-0.664,-0.537,-0.447,-0.731,-0.781
1852,3,-1.845,-0.552,-0.45,-0.725,-0.791
1852,4,-1.103,-0.523,-0.463,-0.726,-0.794
1852,5,-0.381,-0.567,-0.465,-0.725,-0.793
1852,6,0.136,-0.62,-0.444,-0.726,-0.793
1852,7,0.254,-0.729,-0.44,-0.727,-0.789
1852,8,-0.51,-0.816,-0.432,-0.735,-0.792
1852,9,-0.981,-0.6,-0.436,-0.743,-0.791
1852,10,-0.251,-0.435,-0.419,-0.746,-0.791
1852,11,-1.126,-0.373,-0.402,-0.751,-0.794
1852,12,-0.882,-0.349,-0.416,-0.74,-0.804
1853,1,-1.4,-0.359,-0.423,-0.729,-0.805
