Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,-1.495,-0.717,,,
1750,3,,-0.708,,,
1750,4,0.314,-0.656,,,
1750,5,-1.709,-0.88,,,
1750,6,-0.066,-0.851,,,
1750,7,0.538,-0.912,,,
1750,8,0.55,-1.06,,,
1750,9,,-1.1,,,
1750,10,-0.86,-1.258,,,
1750,11,-4.203,-1.202,,,
1750,12,-3.027,-1.263,,,
1751,1,-2.007,-1.19,,,
1751,2,-3.274,-1.166,,,
1751,3,0.98,-1.151,,,
1751,4,-1.586,-1.204,,,
1751,5,-1.038,-1.168,,,
1751,6,-0.794,-1.139,,,
1751,7,1.415,-1.149,,,
1751,8,0.842,-0.761,,,
1751,9,-0.263,-0.805,,,
1751,10,-1.494,-0.774,,,
1751,11,-3.768,-0.744,,,
1751,12,-2.679,-0.573,,,
1752,1,-2.13,-0.615,,,
1752,2,1.387,-0.792,,,
1752,3,0.454,,,,
1752,4,-1.221,,,,
1752,5,-0.674,,,,
1752,6,1.262,,,,
1752,7,0.909,,,,
1752,8,-1.283,,,,
1752,9,,,,,
1752,10,-0.444,,,,
1752,11,-0.799,,,,
1752,12,-1.602,,,,
1753,1,-1.338,,,,
1753,2,-1.715,,,,
1753,3,1.03,-0.422,,,
1753,4,0.064,-0.411,,,
1753,5,0.139,-0.508,,,
1753,6,0.718,-0.621,,,
1753,7,0.501,-0.597,,,
1753,8,-0.831,-0.713,,,
1753,9,-0.787,-0.991,,,
1753,10,-0.306,-0.844,,,
1753,11,-1.964,-0.796,,,
1753,12,-2.968,-0.78,,,
1754,1,-1.043,-0.8,,,
1754,2,-3.103,-0.767,,,
1754,3,-2.311,-0.787,,,
1754,4,1.822,-0.687,,,
1754,5,0.716,-0.533,,,
1754,6,0.912,-0.326,,,
1754,7,0.269,-0.446,,,
1754,8,-0.445,-0.5,,,
1754,9,-1.018,-0.376,,,
1754,10,0.895,-0.348,,,
1754,11,-0.122,-0.379,,,
1754,12,-0.483,-0.303,,,
1755,1,-2.479,-0.28,,,
1755,2,-3.752,-0.368,,,
1755,3,-0.824,-0.395,-0.294,,
1755,4,2.156,-0.38,-0.344,,
1755,5,0.343,-0.551,-0.372,,
1755,6,1.819,-0.599,-0.388,,
1755,7,0.55,-0.377,-0.437,,
1755,8,-1.497,0.068,-0.464,,
1755,9,-1.35,0.162,-0.493,,
1755,10,1.077,-0.012,-0.506,,
1755,11,-2.177,-0.005,-0.538,,
1755,12,-1.06,-0.058,-0.551,,
1756,1,0.186,-0.11,-0.581,,
1756,2,1.594,0.017,-0.604,,
1756,3,0.307,0.103,-0.628,,
1756,4,0.065,-0.042,-0.67,,
1756,5,0.42,-0.105,-0.653,,
1756,6,1.192,-0.21,-0.617,,
1756,7,-0.073,-0.423,-0.575,,
1756,8,0.018,-0.507,-0.505,,
1756,9,-0.318,-0.567,-0.468,,
1756,10,-0.659,-0.516,-0.514,,
1756,11,-2.934,-0.475,-0.552,,
1756,12,-2.312,-0.386,-0.559,,
1757,1,-2.371,-0.145,-0.567,,
1757,2,0.578,0.006,-0.564,,
1757,3,-0.412,0.034,-0.552,,
1757,4,0.686,-0.201,-0.58,,
1757,5,0.909,-0.165,-0.643,,
1757,6,2.259,-0.182,-0.681,,
1757,7,2.818,-0.344,-0.681,,
1757,8,1.829,-0.669,-0.642,,
1757,9,0.014,-0.694,-0.666,-0.628,
1757,10,-3.473,-0.808,-0.697,-0.636,
1757,11,-2.502,-1.036,-0.711,-0.635,
1757,12,-2.515,-1.226,-0.745,-0.65,
1758,1,-4.323,-1.571,-0.767,-0.668,
1758,2,-3.312,-1.908,-0.758,-0.662,
1758,3,-0.717,-2.092,-0.76,-0.692,
1758,4,-0.684,-2.038,-0.794,-0.698,
1758,5,-1.829,-1.91,-0.779,-0.713,
1758,6,-0.022,-1.767,-0.794,-0.729,
1758,7,-1.317,-1.284,-0.832,-0.721,
1758,8,-2.212,-0.918,-0.884,-0.712,
1758,9,-2.199,-0.866,-0.874,-0.714,
1758,10,-2.83,-0.887,-0.884,-0.731,
1758,11,-0.962,-0.863,-0.868,-0.736,
1758,12,-0.798,-0.82,-0.856,-0.715,
1759,1,1.469,-0.73,-0.801,-0.713,
1759,2,1.08,-0.567,-0.793,-0.673,
1759,3,-0.083,-0.407,-0.777,-0.665,
1759,4,-0.937,-0.236,-0.807,-0.688,
1759,5,-1.542,-0.484,-0.788,-0.691,
1759,6,0.493,-0.648,-0.83,-0.706,
1759,7,-0.244,-0.974,-0.774,-0.711,
1759,8,-0.248,-1.186,-0.789,-0.722,
1759,9,-0.286,-1.364,-0.818,-0.724,
1759,10,-0.776,-1.261,-0.812,-0.734,
1759,11,-3.931,-1.175,-0.828,-0.745,
1759,12,-2.771,-1.236,-0.876,-0.731,
1760,1,-2.438,-1.277,-0.917,-0.687,
1760,2,-1.467,-1.338,-0.947,-0.665,
1760,3,-2.226,-1.439,-0.962,-0.648,
1760,4,0.299,-1.452,-0.929,-0.66,
1760,5,-0.499,-1.231,-0.898,-0.672,
1760,6,-0.241,-1.161,-0.912,-0.697,
1760,7,-0.744,-1.137,-0.898,-0.713,
1760,8,-0.981,-1.142,-0.86,-0.707,
1760,9,-1.495,-0.88,-0.89,-0.7,
1760,10,-0.926,-0.95,-0.891,-0.711,
1760,11,-1.284,-0.792,-0.888,-0.699,
1760,12,-1.931,-0.612,-0.908,-0.703,
1761,1,-2.152,-0.281,-0.861,-0.74,
1761,2,-1.522,-0.156,-0.82,-0.763,
1761,3,0.913,0.02,-0.801,-0.762,
1761,4,-0.539,-0.11,-0.793,-0.763,
1761,5,1.402,-0.151,-0.82,-0.763,
1761,6,1.917,-0.39,-0.813,-0.771,
1761,7,3.231,-0.129,-0.852,-0.784,
1761,8,0.514,-0.03,-0.84,-0.788,
1761,9,0.613,-0.286,-0.861,-0.786,
1761,10,-2.48,-0.156,-0.862,-0.787,
1761,11,-1.776,-0.274,-0.831,-0.754,
1761,12,-4.8,-0.488,-0.853,-0.747,
1762,1,0.98,-0.727,-0.855,-0.776,
1762,2,-0.33,-0.767,-0.879,-0.782,
1762,3,-2.163,-0.893,-0.896,-0.771,
1762,4,1.026,-0.807,-0.888,-0.796,
