Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1892,2,-0.982,,,,
1892,3,-0.117,-0.394,,,
1892,4,-0.485,-0.333,,,
1892,5,-0.127,-0.272,,,
1892,6,0.327,-0.28,,,
1892,7,-0.017,-0.291,,,
1892,8,-0.486,-0.306,,,
1892,9,0.218,-0.346,,,
1892,10,-0.116,-0.339,,,
1892,11,-0.216,-0.428,,,
1892,12,-0.357,-0.515,,,
1893,1,-1.14,-0.565,,,
1893,2,-1.153,-0.54,,,
1893,3,-0.6,-0.587,-0.504,,
1893,4,-0.402,-0.623,-0.49,,
1893,5,-1.195,-0.632,-0.468,,
1893,6,-0.713,-0.615,-0.451,,
1893,7,-0.623,-0.606,-0.435,,
1893,8,-0.186,-0.543,-0.425,,
1893,9,-0.336,-0.513,-0.404,,
1893,10,-0.553,-0.586,-0.399,,
1893,11,-0.33,-0.513,-0.395,,
1893,12,-0.146,-0.485,-0.381,,
1894,1,-1.04,-0.441,-0.375,,
1894,2,-0.392,-0.427,-0.358,,
1894,3,-0.241,-0.425,-0.349,,
1894,4,-1.279,-0.363,-0.337,,
1894,5,-0.319,-0.33,-0.339,,
1894,6,-0.382,-0.386,-0.337,-0.427,
1894,7,-0.088,-0.378,-0.337,-0.43,
1894,8,-0.024,-0.434,-0.335,-0.428,
1894,9,-0.305,-0.429,-0.334,-0.426,
1894,10,0.183,-0.337,-0.341,-0.419,
1894,11,0.067,-0.336,-0.35,-0.421,
1894,12,-0.817,-0.346,-0.36,-0.425,
1895,1,-0.937,-0.298,-0.35,-0.412,
1895,2,-1.066,-0.277,-0.34,-0.399,
1895,3,-0.18,-0.296,-0.339,-0.387,
1895,4,-0.175,-0.327,-0.326,-0.379,
1895,5,-0.304,-0.334,-0.306,-0.371,
1895,6,-0.507,-0.284,-0.319,-0.368,
1895,7,0.489,-0.237,-0.297,-0.363,
1895,8,0.227,-0.193,-0.297,-0.354,
1895,9,-0.526,-0.158,-0.292,-0.352,
1895,10,-0.194,-0.161,-0.296,-0.335,
1895,11,-0.013,-0.167,-0.274,-0.324,
1895,12,-0.222,-0.076,-0.272,-0.313,
1896,1,-0.378,-0.106,-0.277,-0.301,
1896,2,-0.527,-0.097,-0.304,-0.295,
1896,3,0.234,-0.045,-0.309,-0.285,
1896,4,-0.211,-0.036,-0.303,-0.285,
1896,5,-0.37,-0.128,-0.286,-0.284,
1896,6,0.585,-0.12,-0.277,-0.291,
1896,7,0.126,-0.173,-0.256,-0.292,
1896,8,0.331,-0.201,-0.264,-0.291,
1896,9,0.098,-0.225,-0.27,-0.293,
1896,10,-0.084,-0.281,-0.256,-0.297,
1896,11,-1.113,-0.307,-0.279,-0.289,
1896,12,-0.135,-0.379,-0.295,-0.286,-0.371
1897,1,-1.009,-0.339,-0.295,-0.277,-0.363
1897,2,-0.858,-0.356,-0.298,-0.273,-0.363
1897,3,-0.062,-0.341,-0.292,-0.277,-0.363
1897,4,-0.877,-0.281,-0.295,-0.271,-0.365
1897,5,-0.68,-0.105,-0.309,-0.274,-0.367
1897,6,-0.281,-0.189,-0.303,-0.273,-0.369
1897,7,0.602,-0.091,-0.268,-0.268,-0.375
1897,8,0.125,-0.117,-0.234,-0.255,-0.379
1897,9,0.28,-0.133,-0.222,-0.252,-0.383
1897,10,0.634,-0.114,-0.218,-0.261,-0.384
1897,11,0.997,-0.046,-0.213,-0.259,-0.385
1897,12,-1.143,-0.076,-0.206,-0.257,-0.382
1898,1,0.166,-0.199,-0.213,-0.249,-0.379
1898,2,-1.162,-0.363,-0.206,-0.241,-0.376
1898,3,-0.255,-0.438,-0.199,-0.236,-0.374
1898,4,-0.654,-0.509,-0.18,-0.231,-0.372
1898,5,0.141,-0.534,-0.179,-0.216,-0.374
1898,6,-0.645,-0.407,-0.175,-0.206,-0.37
1898,7,-0.874,-0.403,-0.167,-0.202,-0.371
1898,8,-1.836,-0.376,-0.164,-0.197,-0.37
1898,9,-0.625,-0.404,-0.165,-0.209,-0.367
1898,10,-0.216,-0.389,-0.17,-0.205,-0.366
1898,11,0.692,-0.54,-0.173,-0.2,-0.364
1898,12,0.383,-0.596,-0.201,-0.205,-0.367
1899,1,0.221,-0.531,-0.21,-0.204,-0.367
1899,2,-0.847,-0.397,-0.225,-0.211,-0.372
1899,3,-0.588,-0.339,-0.238,-0.221,-0.374
1899,4,-0.47,-0.32,-0.258,-0.219,-0.378
1899,5,-1.675,-0.442,-0.238,-0.222,-0.382
1899,6,-1.321,-0.512,-0.234,-0.221,-0.386
1899,7,-0.084,-0.437,-0.216,-0.228,-0.387
1899,8,-0.237,-0.282,-0.211,-0.234,-0.384
1899,9,0.077,-0.191,-0.22,-0.246,-0.385
1899,10,0.006,-0.146,-0.202,-0.254,-0.383
1899,11,-0.771,-0.008,-0.198,-0.257,-0.381
1899,12,-0.459,0.098,-0.186,-0.262,-0.376
1900,1,1.125,0.111,-0.187,-0.259,-0.376
1900,2,1.015,0.182,-0.171,-0.255,-0.374
1900,3,0.506,0.166,-0.165,-0.263,-0.371
1900,4,0.065,0.245,-0.195,-0.268,-0.373
1900,5,-0.02,0.317,-0.212,-0.27,-0.375
1900,6,-0.042,0.353,-0.195,-0.255,-0.377
1900,7,0.066,0.269,-0.202,-0.265,-0.378
1900,8,0.612,0.155,-0.185,-0.266,-0.379
1900,9,-0.117,0.126,-0.181,-0.258,-0.381
1900,10,0.962,0.077,-0.167,-0.253,-0.381
1900,11,0.086,0.033,-0.159,-0.26,-0.382
1900,12,-0.018,-0.054,-0.14,-0.262,-0.382
1901,1,0.11,-0.091,-0.128,-0.256,-0.379
1901,2,-0.351,-0.19,-0.09,-0.258,-0.379
1901,3,0.157,-0.236,-0.108,-0.264,-0.379
1901,4,-0.516,-0.427,-0.106,-0.266,-0.382
1901,5,-0.551,-0.427,-0.113,-0.267,-0.384
1901,6,-1.088,-0.414,-0.132,-0.274,-0.389
1901,7,-0.372,-0.42,-0.152,-0.278,-0.394
1901,8,-0.585,-0.434,-0.159,-0.287,-0.396
1901,9,-0.665,-0.497,-0.173,-0.294,-0.4
1901,10,-1.329,-0.438,-0.181,-0.301,-0.398
1901,11,0.091,-0.428,-0.166,-0.301,-0.396
1901,12,0.128,-0.301,-0.148,-0.303,-0.393
1902,1,0.048,-0.225,-0.162,-0.292,-0.388
1902,2,-0.52,-0.087,-0.169,-0.294,-0.386
1902,3,-0.599,0.024,-0.201,-0.3,-0.389
1902,4,0.191,0.035,-0.213,-0.302,-0.384
1902,5,-0.433,0.024,-0.205,-0.307,-0.378
1902,6,0.435,0.004,-0.22,-0.315,-0.379
1902,7,0.539,-0.018,-0.249,-0.336,-0.383
1902,8,1.065,0.012,-0.276,-0.351,-0.385
1902,9,0.671,0.06,-0.304,-0.364,-0.386
1902,10,-1.201,0.06,-0.317,-0.377,-0.39
1902,11,-0.034,0.148,-0.327,-0.393,-0.385
1902,12,-0.109,0.152,-0.304,-0.383,-0.387
1903,1,-0.217,0.096,-0.317,-0.387,-0.385
1903,2,-0.158,0.045,-0.326,-0.381,-0.382
1903,3,-0.033,-0.156,-0.317,-0.38,-0.385
1903,4,0.201,-0.062,-0.326,-0.375,-0.386
1903,5,0.613,-0.036,-0.341,-0.385,-0.382
1903,6,0.49,-0.09,-0.349,-0.376,-0.383
1903,7,-0.142,-0.155,-0.345,-0.371,-0.381
1903,8,0.454,-0.247,-0.353,-0.354,-0.382
1903,9,-1.741,-0.362,-0.363,-0.347,-0.384
1903,10,-0.073,-0.461,-0.362,-0.343,-0.382
1903,11,0.282,-0.574,-0.36,-0.347,-0.381
1903,12,-0.759,-0.635,-0.347,-0.356,-0.378
1904,1,-0.994,-0.703,-0.347,-0.362,-0.376
1904,2,-1.259,-0.794,-0.349,-0.36,-0.38
1904,3,-1.422,-0.801,-0.35,-0.358,-0.38
1904,4,-0.985,-0.855,-0.343,-0.36,-0.375
1904,5,-0.743,-0.906,-0.363,-0.349,-0.373
1904,6,-0.24,-0.955,-0.372,-0.345,-0.37
1904,7,-0.958,-0.924,-0.368,-0.344,-0.371
1904,8,-0.632,-0.867,-0.377,-0.34,-0.37
1904,9,-1.83,-0.845,-0.38,-0.343,-0.369
1904,10,-0.725,-0.826,-0.403,-0.347,-0.368
1904,11,-0.321,-0.812,-0.417,-0.342,-0.368
1904,12,-1.355,-0.682,-0.444,-0.327,-0.363
1905,1,-0.617,-0.664,-0.484,-0.339,-0.356
1905,2,-0.581,-0.605,-0.531,-0.348,-0.35
1905,3,-1.154,-0.415,-0.564,-0.355,-0.348
1905,4,-0.758,-0.322,-0.559,-0.368,-0.345
1905,5,-0.577,-0.36,-0.573,-0.379,-0.347
1905,6,1.321,-0.289,-0.571,-0.386,-0.345
1905,7,-0.743,-0.209,-0.572,-0.394,-0.343
1905,8,0.075,-0.229,-0.577,-0.404,-0.347
1905,9,0.453,-0.171,-0.578,-0.41,-0.344
1905,10,0.389,-0.147,-0.582,-0.428,-0.342
1905,11,-0.774,-0.135,-0.611,-0.441,-0.343
1905,12,-0.499,-0.27,-0.612,-0.45,-0.344
1906,1,0.336,-0.24,-0.615,-0.458,-0.343
1906,2,-0.819,-0.303,-0.618,-0.463,-0.342
1906,3,-0.455,-0.401,-0.586,-0.474,-0.343
1906,4,-0.476,-0.509,-0.581,-0.48,-0.344
1906,5,-0.43,-0.539,-0.582,-0.483,-0.345
1906,6,-0.292,-0.531,-0.58,-0.488,-0.348
1906,7,-0.382,-0.533,-0.572,-0.495,-0.349
1906,8,-0.685,-0.552,-0.561,-0.5,-0.352
1906,9,-0.72,-0.583,-0.544,-0.506,-0.353
1906,10,-0.917,-0.64,-0.539,-0.498,-0.352
1906,11,-1.129,-0.708,-0.532,-0.503,-0.351
1906,12,-0.409,-0.786,-0.543,-0.5,-0.352
1907,1,0.318,-0.911,-0.525,-0.5,-0.349
1907,2,-1.051,-1.0,-0.511,-0.5,-0.349
1907,3,-0.818,-1.048,-0.486,-0.5,-0.35
