Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1857,10,,,,,
1857,11,,,,,
1857,12,,,,,
1858,1,,,,,
1858,2,,,,,
1858,3,-0.572,,,,
1858,4,0.101,,,,
1858,5,-0.235,,,,
1858,6,0.401,,,,
1858,7,-0.09,,,,
1858,8,0.409,,,,
1858,9,0.379,,,,
1858,10,,,,,
1858,11,1.159,,,,
1858,12,-1.138,,,,
1859,1,-1.095,,,,
1859,2,,,,,
1859,3,-0.901,,,,
1859,4,2.208,,,,
1859,5,1.686,,,,
1859,6,0.926,,,,
1859,7,,,,,
1859,8,,,,,
1859,9,-0.427,,,,
1859,10,,,,,
1859,11,,,,,
1859,12,,,,,
1860,1,-1.083,,,,
1860,2,-1.639,,,,
1860,3,-0.502,,,,
1860,4,,,,,
1860,5,-0.422,,,,
1860,6,-0.084,,,,
1860,7,-0.85,,,,
1860,8,-0.481,,,,
1860,9,-1.208,,,,
1860,10,-1.626,,,,
1860,11,-1.108,,,,
1860,12,,,,,
1861,1,,,,,
1861,2,,,,,
1861,3,,,,,
1861,4,,,,,
1861,5,,,,,
1861,6,,,,,
1861,7,,,,,
1861,8,,,,,
1861,9,,,,,
1861,10,,,,,
1861,11,,,,,
1861,12,,,,,
1862,1,,,,,
1862,2,,,,,
1862,3,,,,,
1862,4,,,,,
1862,5,,,,,
1862,6,,,,,
1862,7,,,,,
1862,8,,,,,
1862,9,,,,,
1862,10,,,,,
1862,11,,,,,
1862,12,,,,,
1863,1,,,,,
1863,2,,,,,
1863,3,,,,,
1863,4,,,,,
1863,5,,,,,
1863,6,,,,,
1863,7,,,,,
1863,8,,,,,
1863,9,,,,,
1863,10,,,,,
1863,11,,,,,
1863,12,,,,,
1864,1,,,,,
1864,2,,,,,
1864,3,,,,,
1864,4,,,,,
1864,5,,,,,
1864,6,,,,,
1864,7,,,,,
1864,8,,,,,
1864,9,,,,,
1864,10,,,,,
1864,11,,,,,
1864,12,,,,,
1865,1,,,,,
1865,2,,,,,
1865,3,,,,,
1865,4,,,,,
1865,5,,,,,
1865,6,,,,,
1865,7,,,,,
1865,8,,,,,
1865,9,,,,,
1865,10,,,,,
1865,11,,,,,
1865,12,,,,,
1866,1,,,,,
1866,2,,,,,
1866,3,,,,,
1866,4,,,,,
1866,5,,,,,
1866,6,,,,,
