Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1780,2,-1.086,,,,
1780,3,0.763,,,,
1780,4,2.094,0.403,,,
1780,5,2.611,0.378,,,
1780,6,0.607,0.149,,,
1780,7,0.463,0.119,,,
1780,8,-1.268,0.15,,,
1780,9,-2.03,0.089,,,
1780,10,1.685,-0.072,,,
1780,11,-0.134,-0.25,,,
1780,12,-1.59,-0.418,,,
1781,1,-0.683,-0.423,,,
1781,2,-0.722,-0.275,,,
1781,3,0.037,-0.166,,,
1781,4,0.164,-0.388,,,
1781,5,0.47,-0.276,-0.152,,
1781,6,-1.407,-0.111,-0.153,,
1781,7,0.403,-0.184,-0.129,,
1781,8,0.51,-0.369,-0.188,,
1781,9,-0.725,-0.48,-0.196,,
1781,10,-0.974,-0.523,-0.24,,
1781,11,1.207,-0.591,-0.265,,
1781,12,0.385,-0.406,-0.214,,
1782,1,-1.558,-0.343,-0.176,,
1782,2,-2.935,-0.23,-0.149,,
1782,3,-1.303,-0.174,-0.162,,
1782,4,-0.347,-0.159,-0.209,,
1782,5,-0.352,-0.44,-0.238,,
1782,6,0.818,-0.544,-0.279,-0.329,
1782,7,1.153,-0.53,-0.278,-0.313,
1782,8,1.866,-0.161,-0.285,-0.304,
1782,9,-0.048,-0.066,-0.369,-0.309,
1782,10,-0.8,-0.027,-0.433,-0.3,
1782,11,-2.157,0.029,-0.483,-0.302,
1782,12,-0.866,-0.031,-0.481,-0.28,
1783,1,-1.389,-0.157,-0.489,-0.293,
1783,2,1.491,-0.332,-0.461,-0.291,
1783,3,-0.161,-0.412,-0.413,-0.27,
1783,4,0.122,-0.353,-0.444,-0.282,
1783,5,0.323,-0.352,-0.44,-0.282,
1783,6,0.094,-0.35,-0.417,-0.259,
1783,7,-0.365,-0.293,-0.431,-0.246,
1783,8,-0.228,-0.615,-0.433,-0.24,
1783,9,-1.004,-0.617,-0.423,-0.237,
1783,10,-0.093,-0.718,-0.414,-0.227,
1783,11,-2.145,-0.707,-0.413,-0.218,
1783,12,-0.84,-0.675,-0.392,-0.238,
1784,1,-0.711,-0.557,-0.395,-0.226,
1784,2,-2.375,-0.495,-0.414,-0.239,
1784,3,-0.178,-0.418,-0.402,-0.25,
1784,4,-1.095,-0.547,-0.409,-0.259,
1784,5,0.455,-0.502,-0.444,-0.262,
1784,6,0.477,-0.537,-0.486,-0.248,
1784,7,1.051,-0.504,-0.463,-0.236,
1784,8,0.519,-0.43,-0.424,-0.229,
1784,9,-0.08,-0.77,-0.409,-0.233,
1784,10,-1.641,-0.826,-0.416,-0.244,
1784,11,-1.606,-0.894,-0.432,-0.256,
1784,12,-1.256,-0.876,-0.428,-0.286,-0.273
1785,1,-0.316,-0.964,-0.45,-0.287,-0.279
1785,2,-1.486,-0.973,-0.475,-0.276,-0.283
1785,3,-4.267,-0.896,-0.492,-0.287,-0.284
1785,4,-1.764,-0.775,-0.481,-0.315,-0.276
1785,5,-0.362,-0.632,-0.448,-0.339,-0.266
1785,6,0.692,-0.542,-0.419,-0.339,-0.263
1785,7,-0.005,-0.643,-0.405,-0.346,-0.265
1785,8,0.416,-0.592,-0.419,-0.331,-0.264
1785,9,0.839,-0.184,-0.391,-0.315,-0.266
1785,10,-0.181,0.023,-0.388,-0.318,-0.266
1785,11,0.112,0.096,-0.395,-0.315,-0.277
1785,12,-0.186,0.028,-0.383,-0.306,-0.268
1786,1,-1.527,0.047,-0.338,-0.287,-0.257
1786,2,-0.868,-0.04,-0.336,-0.283,-0.256
1786,3,0.626,-0.111,-0.319,-0.277,-0.261
