Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,3,-0.287,,,,
1824,4,0.215,-0.719,,,
1824,5,-0.574,-0.602,,,
1824,6,,-0.46,,,
1824,7,0.105,-0.419,,,
1824,8,-0.847,-0.382,,,
1824,9,-1.029,-0.327,,,
1824,10,-1.303,-0.289,,,
1824,11,-0.324,-0.24,,,
1824,12,-0.126,-0.217,,,
1825,1,-0.028,-0.211,,,
1825,2,-0.269,-0.173,,,
1825,3,0.38,-0.18,,,
1825,4,0.662,-0.155,,,
1825,5,0.023,-0.128,,,
1825,6,0.156,-0.122,,,
1825,7,0.176,-0.183,-0.495,,
1825,8,-0.388,-0.252,-0.487,,
1825,9,-1.115,-0.379,-0.481,,
1825,10,-1.007,-0.456,-0.467,,
1825,11,-0.006,-0.466,-0.452,,
1825,12,-0.048,-0.529,-0.455,,
1826,1,,-0.556,-0.453,,
1826,2,-1.102,-0.608,-0.443,,
1826,3,-1.138,-0.635,-0.433,,
1826,4,-0.267,-0.639,-0.416,,
1826,5,-0.093,-0.632,-0.384,,
1826,6,,-0.565,-0.359,,
1826,7,-0.146,-0.491,-0.361,,
1826,8,-1.021,-0.391,-0.365,,
1826,9,-1.431,-0.266,-0.362,,
1826,10,-1.055,-0.2,-0.368,,
1826,11,0.08,-0.197,-0.359,,
1826,12,0.747,-0.153,-0.369,,
1827,1,0.127,-0.139,-0.372,,
1827,2,0.1,-0.135,-0.37,,
1827,3,0.368,-0.132,-0.372,,
1827,4,0.521,-0.147,-0.359,,
1827,5,-0.056,-0.133,-0.362,,
1827,6,,-0.219,-0.369,,
1827,7,0.026,-0.319,-0.363,,
1827,8,-0.97,-0.423,-0.347,,
1827,9,-1.404,-0.475,-0.374,,
1827,10,-1.228,-0.522,-0.382,,
1827,11,0.243,-0.526,-0.404,,
1827,12,-0.285,-0.508,-0.419,,
1828,1,-1.073,-0.515,-0.413,,
1828,2,-1.144,-0.463,-0.419,,
1828,3,-0.252,-0.468,-0.428,,
1828,4,-0.049,-0.422,,,
1828,5,-0.103,-0.425,,,
1828,6,0.147,-0.428,,,
1828,7,-0.062,-0.394,,,
1828,8,-0.34,-0.375,,,
1828,9,-1.468,-0.366,,,
1828,10,,-0.37,,,
1828,11,0.203,-0.365,,,
1828,12,-0.312,-0.439,,,
1829,1,-0.675,-0.442,,,
1829,2,-0.915,-0.471,,,
1829,3,-0.143,-0.448,,,
1829,4,-0.091,-0.435,,,
1829,5,-0.05,-0.492,,,
1829,6,,-0.511,,,
1829,7,-0.099,-0.426,,,
1829,8,-0.696,,,,
1829,9,-1.184,,,,
1829,10,,,,,
1829,11,-0.485,,,,
1829,12,-0.54,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,,,,,
1833,2,,,,,
1833,3,,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,,,,,
1836,8,,,,,
1836,9,,,,,
1836,10,,,,,
1836,11,,,,,
1836,12,,,,,
1837,1,,,,,
1837,2,,,,,
1837,3,,,,,
1837,4,,,,,
1837,5,,,,,
1837,6,,,,,
1837,7,,,,,
1837,8,,,,,
1837,9,,,,,
1837,10,,,,,
1837,11,,,,,
1837,12,,,,,
1838,1,,,,,
1838,2,,,,,
1838,3,,,,,
1838,4,,,,,
1838,5,,,,,
1838,6,,,,,
1838,7,,,,,
1838,8,,,,,
1838,9,,,,,
1838,10,,,,,
1838,11,,,,,
1838,12,,,,,
1839,1,,,,,
1839,2,,,,,
1839,3,,,,,
1839,4,,,,,
1839,5,,,,,
1839,6,,,,,
1839,7,,,,,
1839,8,,,,,
1839,9,,,,,
1839,10,,,,,
1839,11,,,,,
1839,12,,,,,
1840,1,,,,,
1840,2,,,,,
1840,3,,,,,
1840,4,,,,,
1840,5,,,,,
1840,6,,,,,
1840,7,,,,,
1840,8,,,,,
1840,9,,,,,
1840,10,,,,,
1840,11,,,,,
1840,12,,,,,
1841,1,,,,,
1841,2,,,,,
1841,3,,,,,
1841,4,,,,,
1841,5,,,,,
1841,6,,,,,
1841,7,,,,,
1841,8,,,,,
1841,9,,,,,
1841,10,,,,,
1841,11,,,,,
1841,12,,,,,
1842,1,,,,,
1842,2,,,,,
1842,3,,,,,
1842,4,,,,,
1842,5,,,,,
1842,6,,,,,
1842,7,,,,,
1842,8,,,,,
1842,9,,,,,
1842,10,,,,,
1842,11,,,,,
1842,12,,,,,
1843,1,,,,,
1843,2,,,,,
1843,3,,,,,
1843,4,,,,,
1843,5,,,,,
1843,6,,,,,
1843,7,,,,,
1843,8,,,,,
1843,9,,,,,
1843,10,,,,,
1843,11,,,,,
1843,12,,,,,
1844,1,,,,,
1844,2,,,,,
1844,3,,,,,
1844,4,,,,,
1844,5,,,,,
1844,6,,,,,
1844,7,,,,,
1844,8,,,,,
1844,9,,,,,
1844,10,,,,,
1844,11,,,,,
1844,12,,,,,
1845,1,-0.418,,,,
1845,2,-1.498,,,,
1845,3,-0.872,-0.957,,,
1845,4,-0.744,-1.041,,,
1845,5,-1.034,-0.998,,,
1845,6,-0.847,-1.01,,,
1845,7,-0.184,-0.954,,,
1845,8,-0.655,-0.829,,,
1845,9,-0.974,-0.725,,,
1845,10,,-0.744,,,
1845,11,,-0.694,,,
1845,12,,-0.623,,,
1846,1,0.258,-0.59,,,
1846,2,-0.002,-0.552,,,
1846,3,0.373,-0.514,,,
1846,4,-0.972,-0.47,,,
1846,5,-0.436,-0.465,,,
