Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1849,2,-0.512,,,,
1849,3,-0.014,,,,
1849,4,-0.428,,,,
1849,5,-0.657,,,,
1849,6,-0.68,-0.561,,,
1849,7,-0.248,-0.621,,,
1849,8,-0.693,-0.604,,,
1849,9,-1.074,-0.597,,,
1849,10,-0.359,-0.552,,,
1849,11,-0.472,-0.547,,,
1849,12,-0.793,-0.5,,,
1850,1,-1.523,-0.517,,,
1850,2,-0.304,-0.489,,,
1850,3,0.063,-0.445,,,
1850,4,0.113,-0.461,,,
1850,5,-0.592,-0.512,,,
1850,6,-0.123,-0.483,,,
1850,7,-0.447,-0.418,,,
1850,8,-0.361,-0.463,,,
1850,9,-0.537,-0.513,,,
1850,10,-0.551,-0.513,,,
1850,11,-1.094,-0.458,,,
1850,12,-0.435,-0.458,,,
1851,1,-0.753,-0.426,,,
1851,2,-0.84,-0.405,,,
1851,3,-0.54,-0.366,,,
1851,4,0.115,-0.307,,,
1851,5,0.069,-0.292,,,
1851,6,-0.117,-0.185,,,
1851,7,-0.065,-0.16,,,
1851,8,-0.114,,,,
1851,9,-0.069,,,,
1851,10,0.157,,,,
1851,11,-0.91,,,,
1851,12,0.848,,,,
1852,1,,,,,
1852,2,,,,,
1852,3,,,,,
1852,4,,,,,
1852,5,,,,,
1852,6,,,,,
1852,7,,,,,
1852,8,,,,,
1852,9,,,,,
1852,10,,,,,
1852,11,,,,,
1852,12,,,,,
1853,1,,,,,
1853,2,,,,,
1853,3,,,,,
1853,4,,,,,
1853,5,,,,,
1853,6,,,,,
1853,7,,,,,
1853,8,,,,,
1853,9,,,,,
1853,10,,,,,
1853,11,,,,,
1853,12,,,,,
1854,1,,,,,
1854,2,,,,,
1854,3,,,,,
1854,4,,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,,,,,
1854,9,,,,,
1854,10,,,,,
1854,11,,,,,
1854,12,,,,,
1855,1,,,,,
1855,2,,,,,
1855,3,,,,,
1855,4,,,,,
1855,5,,,,,
1855,6,,,,,
1855,7,,,,,
1855,8,,,,,
1855,9,,,,,
1855,10,,,,,
1855,11,,,,,
1855,12,,,,,
1856,1,,,,,
1856,2,,,,,
1856,3,,,,,
1856,4,,,,,
1856,5,,,,,
1856,6,,,,,
1856,7,,,,,
1856,8,,,,,
1856,9,,,,,
1856,10,,,,,
1856,11,,,,,
1856,12,,,,,
1857,1,,,,,
1857,2,,,,,
1857,3,,,,,
1857,4,,,,,
1857,5,,,,,
1857,6,,,,,
1857,7,,,,,
1857,8,,,,,
1857,9,1.577,,,,
1857,10,,,,,
1857,11,,,,,
1857,12,,,,,
1858,1,,,,,
1858,2,,,,,
1858,3,-0.753,,,,
1858,4,0.231,,,,
1858,5,-0.061,,,,
1858,6,0.934,0.102,,,
1858,7,0.455,0.04,,,
1858,8,0.958,0.034,,,
1858,9,0.974,0.019,,,
1858,10,,0.249,,,
1858,11,1.144,0.443,,,
1858,12,-1.192,0.468,,,
1859,1,-1.281,0.383,,,
1859,2,,,,,
1859,3,-0.93,,,,
1859,4,2.983,,,,
1859,5,2.268,,,,
1859,6,1.233,,,,
1859,7,,,,,
1859,8,,,,,
1859,9,-0.238,,,,
1859,10,,,,,
1859,11,,,,,
1859,12,,,,,
1860,1,-1.348,,,,
1860,2,-2.01,,,,
1860,3,0.029,,,,
1860,4,,-0.785,,,
1860,5,-0.404,-0.882,,,
1860,6,-0.375,-0.927,,,
1860,7,-1.073,-0.98,,,
1860,8,-0.652,,,,
1860,9,-2.023,,,,
1860,10,-1.91,,,,
1860,11,-1.383,,,,
1860,12,,,,,
1861,1,,,,,
1861,2,,,,,
1861,3,,,,,
1861,4,,,,,
1861,5,,,,,
1861,6,,,,,
1861,7,,,,,
1861,8,,,,,
1861,9,,,,,
1861,10,,,,,
1861,11,,,,,
1861,12,,,,,
1862,1,-1.203,,,,
1862,2,-1.866,,,,
1862,3,-1.898,,,,
1862,4,-1.42,-0.542,,,
1862,5,,-0.699,,,
1862,6,-0.481,-0.829,,,
1862,7,0.479,-0.771,,,
1862,8,0.008,,,,
1862,9,-0.42,,,,
1862,10,-0.289,,,,
1862,11,,,,,
1862,12,-1.627,,,,
1863,1,,,,,
1863,2,,,,,
1863,3,,,,,
1863,4,,,,,
1863,5,,,,,
1863,6,,,,,
1863,7,,,,,
1863,8,,,,,
1863,9,,,,,
1863,10,,,,,
1863,11,,,,,
1863,12,,,,,
1864,1,,,,,
1864,2,,,,,
1864,3,,,,,
1864,4,,,,,
1864,5,,,,,
1864,6,,,,,
1864,7,,,,,
1864,8,,,,,
1864,9,,,,,
1864,10,,,,,
1864,11,,,,,
1864,12,,,,,
1865,1,0.367,,,,
1865,2,0.215,,,,
1865,3,-0.128,,,,
1865,4,-0.367,,,,
1865,5,-0.222,-0.108,,,
1865,6,-0.268,-0.111,,,
1865,7,-0.13,-0.209,,,
1865,8,-0.518,-0.283,,,
1865,9,-0.226,-0.341,,,
1865,10,0.323,-0.304,,,
1865,11,0.324,-0.307,,,
1865,12,-0.704,-0.318,,,
1866,1,-0.811,-0.297,,,
1866,2,-0.672,,,,
1866,3,-0.827,,,,
1866,4,,,,,
1866,5,-0.255,,,,
1866,6,-0.407,,,,
1866,7,,,,,
1866,8,,,,,
1866,9,,,,,
1866,10,,,,,
1866,11,,,,,
1866,12,,,,,
1867,1,,,,,
1867,2,,,,,
1867,3,,,,,
1867,4,,,,,
1867,5,,,,,
1867,6,,,,,
1867,7,,,,,
1867,8,,,,,
1867,9,,,,,
1867,10,,,,,
1867,11,,,,,
1867,12,,,,,
1868,1,-0.304,,,,
1868,2,-0.634,,,,
1868,3,-1.086,,,,
1868,4,-0.857,-0.252,,,
1868,5,,-0.457,,,
1868,6,-1.342,-0.467,,,
1868,7,-0.094,-0.511,,,
1868,8,0.449,-0.544,,,
1868,9,0.404,-0.475,,,
1868,10,-0.821,-0.377,,,
1868,11,-1.292,-0.453,,,
1868,12,0.063,-0.296,,,
1869,1,-0.833,-0.224,,,
1869,2,-1.023,-0.223,,,
1869,3,,-0.148,,,
1869,4,,-0.002,,,
1869,5,-1.002,-0.022,,,
1869,6,0.536,-0.095,,,
1869,7,0.777,-0.07,,,
1869,8,0.456,-0.107,,,
1869,9,1.307,-0.113,,,
1869,10,0.929,-0.235,,,
1869,11,-1.533,-0.254,,,
1869,12,-0.807,-0.266,,,
1870,1,-0.535,-0.28,,,
1870,2,-1.467,-0.273,,,
1870,3,,-0.297,,,
1870,4,-1.144,-0.255,,,
1870,5,-1.232,-0.14,,,
1870,6,0.386,-0.027,,,
1870,7,0.611,-0.145,,,
1870,8,0.543,-0.145,,,
1870,9,1.015,-0.17,,,
1870,10,1.429,,,,
1870,11,-0.148,,,,
1870,12,0.552,,,,
1871,1,,,,,
1871,2,,,,,
1871,3,,,,,
1871,4,,,,,
1871,5,,,,,
1871,6,,,,,
1871,7,,,,,
1871,8,,,,,
1871,9,,,,,
1871,10,,,,,
1871,11,,,,,
1871,12,,,,,
1872,1,,,,,
1872,2,,,,,
1872,3,,,,,
1872,4,,,,,
1872,5,,,,,
1872,6,,,,,
1872,7,,,,,
1872,8,,,,,
1872,9,,,,,
1872,10,,,,,
1872,11,,,,,
1872,12,,,,,
1873,1,,,,,
1873,2,,,,,
1873,3,,,,,
1873,4,,,,,
1873,5,,,,,
1873,6,,,,,
1873,7,-0.273,,,,
1873,8,-0.428,,,,
1873,9,0.117,-0.413,,,
1873,10,-0.569,-0.364,,,
1873,11,-1.181,-0.387,,,
1873,12,0.441,-0.379,,,
1874,1,-1.309,-0.401,,,
1874,2,-0.455,-0.439,,,
1874,3,-1.409,-0.448,,,
1874,4,0.512,-0.392,,,
1874,5,-0.279,-0.329,,,
1874,6,0.291,-0.419,,,
1874,7,-0.54,-0.379,,,
1874,8,-0.885,-0.421,,,
1874,9,0.012,-0.347,-0.304,,
1874,10,0.095,-0.386,-0.303,,
1874,11,-0.421,-0.39,-0.291,,-0.215
1874,12,-0.635,-0.473,-0.295,,-0.215
1875,1,-0.831,-0.444,-0.29,,-0.222
1875,2,-0.959,-0.424,-0.282,,-0.225
1875,3,-0.527,-0.424,-0.272,-0.189,-0.228
1875,4,0.043,-0.458,-0.26,-0.186,-0.232
1875,5,-0.322,-0.512,-0.24,-0.182,-0.232
1875,6,-0.71,-0.469,-0.23,-0.193,-0.234
1875,7,-0.183,-0.5,-0.233,-0.202,-0.237
