Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1787,2,-0.128,,,,
1787,3,-1.556,,,,
1787,4,-1.539,-1.058,,,
1787,5,-0.775,-0.781,,,
1787,6,,-0.482,,,
1787,7,-1.043,-0.719,,,
1787,8,-0.435,-0.698,,,
1787,9,-1.081,,,,
1787,10,-0.708,,,,
1787,11,0.674,,,,
1787,12,-0.148,,,,
1788,1,,,,,
1788,2,,,,,
1788,3,,,,,
1788,4,,,,,
1788,5,-1.799,,,,
1788,6,-0.2,,,,
1788,7,0.908,-0.533,,,
1788,8,-0.424,-0.605,-0.501,,
1788,9,-0.471,-0.492,-0.526,,
1788,10,-1.494,-0.456,-0.537,,
1788,11,0.465,-0.283,-0.54,,
1788,12,-1.79,-0.336,-0.535,,
1789,1,-0.715,-0.397,-0.552,,
1789,2,-0.739,-0.43,-0.564,,
1789,3,0.478,-0.451,-0.564,,
1789,4,0.31,-0.361,-0.555,,
1789,5,0.272,-0.463,-0.513,,
1789,6,-0.832,-0.402,-0.464,,
1789,7,0.171,-0.319,-0.48,,
1789,8,-0.811,-0.234,-0.471,,
1789,9,-0.726,-0.343,-0.453,,
1789,10,-0.41,-0.434,-0.444,,
1789,11,-0.759,-0.496,-0.44,,
1789,12,-1.065,-0.424,-0.422,,
1790,1,0.278,-0.445,-0.383,,
1790,2,0.282,-0.519,-0.381,,
1790,3,-0.824,-0.52,-0.362,,
1790,4,-0.79,-0.595,-0.372,,
1790,5,-0.47,-0.667,-0.401,,
1790,6,0.03,-0.618,-0.403,,
1790,7,-0.071,-0.6,-0.379,,
1790,8,-1.707,-0.635,-0.355,,
1790,9,-0.73,-0.656,-0.34,,
1790,10,-1.315,-0.638,-0.33,,
1790,11,-1.626,-0.616,-0.304,,
1790,12,-0.478,-0.596,-0.303,,
1791,1,0.5,-0.595,-0.319,,
1791,2,-0.146,-0.439,-0.322,,
1791,3,-1.067,-0.331,-0.326,,
1791,4,-0.581,-0.227,-0.316,,
1791,5,-0.202,-0.102,-0.335,,
1791,6,0.271,-0.13,-0.334,,
1791,7,-0.062,-0.227,,,
1791,8,0.168,-0.184,,,
1791,9,0.568,-0.134,,,
1791,10,-0.064,-0.165,,,
1791,11,-0.132,-0.194,,,
1791,12,-0.815,-0.071,,,
1792,1,-0.66,0.042,,,
1792,2,0.371,-0.0,,,
1792,3,-0.469,-0.04,,,
1792,4,-0.958,-0.146,,,
1792,5,-0.547,-0.223,,,
1792,6,1.749,-0.178,,,
1792,7,1.292,,,,
1792,8,-0.338,,,,
1792,9,0.09,,,,
1792,10,,,,,
1792,11,,,,,
1792,12,,,,,
1793,1,,,,,
1793,2,,,,,
1793,3,,,,,
1793,4,,,,,
1793,5,,,,,
1793,6,,,,,
1793,7,,,,,
1793,8,,,,,
1793,9,,,,,
1793,10,,,,,
1793,11,,,,,
1793,12,,,,,
1794,1,,,,,
1794,2,,,,,
1794,3,,,,,
1794,4,,,,,
1794,5,,,,,
1794,6,,,,,
1794,7,,,,,
1794,8,,,,,
1794,9,,,,,
1794,10,,,,,
1794,11,,,,,
1794,12,,,,,
1795,1,,,,,
1795,2,,,,,
1795,3,,,,,
1795,4,,,,,
1795,5,,,,,
1795,6,,,,,
1795,7,,,,,
1795,8,,,,,
1795,9,,,,,
1795,10,,,,,
1795,11,,,,,
1795,12,,,,,
1796,1,,,,,
1796,2,,,,,
1796,3,,,,,
1796,4,,,,,
1796,5,,,,,
1796,6,,,,,
1796,7,,,,,
1796,8,,,,,
1796,9,,,,,
1796,10,,,,,
1796,11,,,,,
1796,12,,,,,
1797,1,,,,,
1797,2,,,,,
1797,3,,,,,
1797,4,,,,,
1797,5,,,,,
1797,6,,,,,
1797,7,,,,,
1797,8,,,,,
1797,9,,,,,
1797,10,,,,,
1797,11,,,,,
1797,12,,,,,
1798,1,,,,,
1798,2,,,,,
1798,3,,,,,
1798,4,,,,,
1798,5,,,,,
1798,6,,,,,
1798,7,,,,,
1798,8,,,,,
1798,9,,,,,
1798,10,,,,,
1798,11,,,,,
1798,12,,,,,
1799,1,,,,,
1799,2,,,,,
1799,3,,,,,
1799,4,,,,,
1799,5,,,,,
1799,6,,,,,
1799,7,,,,,
1799,8,,,,,
1799,9,,,,,
1799,10,,,,,
1799,11,,,,,
1799,12,,,,,
1800,1,,,,,
1800,2,,,,,
1800,3,,,,,
1800,4,,,,,
1800,5,,,,,
1800,6,,,,,
1800,7,,,,,
1800,8,,,,,
1800,9,,,,,
1800,10,,,,,
1800,11,,,,,
1800,12,,,,,
1801,1,,,,,
1801,2,,,,,
1801,3,,,,,
1801,4,,,,,
1801,5,,,,,
1801,6,,,,,
1801,7,,,,,
1801,8,,,,,
1801,9,,,,,
1801,10,,,,,
1801,11,,,,,
1801,12,,,,,
1802,1,,,,,
1802,2,,,,,
1802,3,,,,,
1802,4,,,,,
1802,5,,,,,
1802,6,,,,,
1802,7,,,,,
1802,8,,,,,
1802,9,,,,,
1802,10,,,,,
1802,11,,,,,
1802,12,,,,,
1803,1,,,,,
1803,2,,,,,
1803,3,,,,,
1803,4,,,,,
1803,5,,,,,
1803,6,-0.814,,,,
1803,7,-0.068,,,,
1803,8,-0.312,0.186,,,
1803,9,-0.113,0.278,,,
1803,10,-0.611,0.312,,,
1803,11,0.028,0.344,,,
1803,12,1.172,0.39,,,
1804,1,1.151,0.381,,,
1804,2,0.98,0.388,,,
1804,3,0.808,0.36,,,
1804,4,1.172,0.346,,,
1804,5,0.73,0.418,,,
1804,6,-0.253,0.232,,,
1804,7,-0.186,0.171,,,
1804,8,-0.221,,,,
1804,9,-0.446,,,,
1804,10,-0.786,,,,
1804,11,,,,,
1804,12,,,,,
1805,1,,,,,
1805,2,,,,,
1805,3,,,,,
1805,4,,,,,
1805,5,,,,,
1805,6,,,,,
1805,7,,,,,
1805,8,,,,,
1805,9,,,,,
1805,10,,,,,
1805,11,,,,,
1805,12,,,,,
1806,1,,,,,
1806,2,,,,,
1806,3,,,,,
1806,4,,,,,
1806,5,,,,,
1806,6,,,,,
1806,7,,,,,
1806,8,,,,,
1806,9,,,,,
1806,10,,,,,
1806,11,,,,,
1806,12,,,,,
1807,1,,,,,
1807,2,,,,,
1807,3,,,,,
1807,4,,,,,
1807,5,,,,,
1807,6,,,,,
1807,7,,,,,
1807,8,,,,,
1807,9,,,,,
1807,10,,,,,
1807,11,,,,,
1807,12,,,,,
1808,1,,,,,
1808,2,,,,,
1808,3,,,,,
1808,4,,,,,
1808,5,,,,,
1808,6,,,,,
1808,7,,,,,
1808,8,,,,,
1808,9,,,,,
1808,10,,,,,
1808,11,,,,,
1808,12,,,,,
1809,1,,,,,
1809,2,,,,,
1809,3,,,,,
1809,4,,,,,
1809,5,,,,,
1809,6,,,,,
1809,7,,,,,
1809,8,,,,,
1809,9,,,,,
1809,10,,,,,
1809,11,,,,,
1809,12,,,,,
1810,1,,,,,
1810,2,,,,,
1810,3,,,,,
1810,4,,,,,
1810,5,,,,,
1810,6,,,,,
1810,7,,,,,
1810,8,,,,,
1810,9,,,,,
1810,10,,,,,
1810,11,,,,,
1810,12,,,,,
1811,1,,,,,
1811,2,,,,,
1811,3,,,,,
1811,4,,,,,
1811,5,,,,,
1811,6,,,,,
1811,7,,,,,
1811,8,,,,,
1811,9,,,,,
1811,10,,,,,
1811,11,,,,,
1811,12,,,,,
1812,1,,,,,
1812,2,,,,,
1812,3,,,,,
1812,4,,,,,
1812,5,,,,,
1812,6,,,,,
1812,7,,,,,
1812,8,,,,,
1812,9,,,,,
1812,10,,,,,
1812,11,,,,,
1812,12,,,,,
1813,1,,,,,
1813,2,,,,,
1813,3,,,,,
1813,4,,,,,
1813,5,,,,,
1813,6,,,,,
1813,7,,,,,
1813,8,,,,,
1813,9,,,,,
1813,10,,,,,
1813,11,,,,,
1813,12,,,,,
1814,1,,,,,
1814,2,,,,,
1814,3,,,,,
1814,4,,,,,
1814,5,,,,,
1814,6,,,,,
1814,7,,,,,
1814,8,,,,,
1814,9,,,,,
1814,10,,,,,
1814,11,,,,,
1814,12,,,,,
1815,1,,,,,
1815,2,,,,,
1815,3,,,,,
1815,4,,,,,
1815,5,,,,,
1815,6,,,,,
1815,7,,,,,
1815,8,,,,,
1815,9,,,,,
1815,10,,,,,
1815,11,,,,,
1815,12,,,,,
1816,1,,,,,
1816,2,,,,,
1816,3,,,,,
1816,4,,,,,
1816,5,,,,,
1816,6,,,,,
1816,7,,,,,
1816,8,,,,,
1816,9,,,,,
1816,10,,,,,
1816,11,,,,,
1816,12,,,,,
1817,1,,,,,
1817,2,,,,,
1817,3,,,,,
1817,4,,,,,
1817,5,,,,,
1817,6,,,,,
1817,7,,,,,
1817,8,,,,,
1817,9,,,,,
1817,10,,,,,
1817,11,,,,,
1817,12,,,,,
1818,1,,,,,
1818,2,,,,,
1818,3,,,,,
1818,4,,,,,
1818,5,,,,,
1818,6,,,,,
1818,7,,,,,
1818,8,,,,,
1818,9,,,,,
1818,10,,,,,
1818,11,,,,,
1818,12,,,,,
1819,1,,,,,
1819,2,,,,,
1819,3,,,,,
1819,4,,,,,
1819,5,,,,,
1819,6,,,,,
1819,7,,,,,
1819,8,,,,,
1819,9,,,,,
1819,10,,,,,
1819,11,,,,,
1819,12,,,,,
1820,1,,,,,
1820,2,,,,,
1820,3,,,,,
1820,4,,,,,
1820,5,,,,,
1820,6,,,,,
1820,7,,,,,
1820,8,,,,,
1820,9,,,,,
1820,10,,,,,
1820,11,,,,,
1820,12,,,,,
1821,1,,,,,
1821,2,,,,,
1821,3,,,,,
1821,4,,,,,
1821,5,,,,,
1821,6,,,,,
1821,7,,,,,
1821,8,,,,,
1821,9,,,,,
1821,10,,,,,
1821,11,,,,,
1821,12,,,,,
1822,1,,,,,
1822,2,,,,,
1822,3,,,,,
1822,4,,,,,
1822,5,,,,,
1822,6,,,,,
1822,7,,,,,
1822,8,,,,,
1822,9,,,,,
1822,10,,,,,
1822,11,,,,,
1822,12,,,,,
1823,1,,,,,
1823,2,,,,,
1823,3,,,,,
1823,4,,,,,
1823,5,,,,,
1823,6,,,,,
1823,7,,,,,
1823,8,,,,,
1823,9,,,,,
1823,10,,,,,
1823,11,,,,,
1823,12,,,,,
1824,1,,,,,
1824,2,,,,,
1824,3,,,,,
1824,4,,,,,
1824,5,,,,,
1824,6,,,,,
1824,7,,,,,
1824,8,,,,,
1824,9,,,,,
1824,10,,,,,
1824,11,,,,,
1824,12,,,,,
1825,1,,,,,
1825,2,,,,,
1825,3,,,,,
1825,4,,,,,
1825,5,,,,,
1825,6,,,,,
1825,7,,,,,
1825,8,,,,,
1825,9,,,,,
1825,10,,,,,
1825,11,,,,,
1825,12,,,,,
1826,1,,,,,
1826,2,,,,,
1826,3,,,,,
1826,4,,,,,
1826,5,,,,,
1826,6,,,,,
1826,7,,,,,
1826,8,,,,,
1826,9,,,,,
1826,10,,,,,
1826,11,,,,,
1826,12,,,,,
1827,1,,,,,
1827,2,,,,,
1827,3,,,,,
