Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1787,3,-0.847,,,,
1787,4,-0.715,-0.637,,,
1787,5,-0.11,-0.614,,,
1787,6,,-0.496,,,
1787,7,-0.892,-0.678,,,
1787,8,-0.213,-0.579,,,
1787,9,-1.296,,,,
1787,10,-1.286,,,,
1787,11,0.148,,,,
1787,12,-1.339,,,,
1788,1,,,,,
1788,2,,,,,
1788,3,,,,,
1788,4,,,,,
1788,5,-1.15,,,,
1788,6,0.261,,,,
1788,7,1.85,0.033,,,
1788,8,-0.021,-0.134,-0.333,,
1788,9,-0.292,-0.195,-0.354,,
1788,10,-0.44,-0.247,-0.366,,
1788,11,0.183,-0.118,-0.39,,
1788,12,-1.783,-0.145,-0.385,,
1789,1,0.691,-0.22,-0.412,,
1789,2,-1.486,-0.234,-0.425,,
1789,3,-0.571,-0.224,-0.429,,
1789,4,-0.208,-0.314,-0.419,,
1789,5,0.406,-0.354,-0.417,,
1789,6,-0.073,-0.268,-0.378,,
1789,7,0.955,-0.337,-0.411,,
1789,8,-0.187,-0.24,-0.395,,
1789,9,-0.174,-0.256,-0.394,,
1789,10,-1.516,-0.386,-0.392,,
1789,11,-0.303,-0.485,-0.393,,
1789,12,-0.753,-0.449,-0.398,,
1790,1,-0.136,-0.552,-0.377,,
1790,2,-0.323,-0.564,-0.391,,
1790,3,-0.763,-0.607,-0.36,,
1790,4,-1.769,-0.557,-0.358,,
1790,5,-0.775,-0.617,-0.376,,
1790,6,0.352,-0.622,-0.359,,
1790,7,-0.271,-0.686,-0.361,,
1790,8,-0.338,-0.664,-0.348,,
1790,9,-0.691,-0.663,-0.356,,
1790,10,-0.911,-0.481,-0.357,,
1790,11,-1.026,-0.504,-0.341,,
1790,12,-0.807,-0.528,-0.348,,
1791,1,-0.904,-0.54,-0.378,,
1791,2,-0.064,-0.505,-0.389,,
1791,3,-0.75,-0.439,-0.38,,
1791,4,0.416,-0.434,-0.389,,
1791,5,-1.055,-0.347,-0.403,,
1791,6,0.072,-0.313,-0.403,,
1791,7,-0.425,-0.388,,,
1791,8,0.09,-0.358,,,
1791,9,0.092,-0.361,,,
1791,10,-0.845,-0.444,,,
1791,11,0.018,-0.37,,,
1791,12,-0.402,-0.314,,,
1792,1,-1.806,-0.247,,,
1792,2,0.302,-0.343,,,
1792,3,-0.791,-0.302,,,
1792,4,-0.584,-0.332,,,
1792,5,-0.165,-0.411,,,
1792,6,0.744,-0.4,,,
1792,7,0.378,,,,
1792,8,-1.061,,,,
1792,9,0.582,,,,
1792,10,,,,,
1792,11,,,,,
1792,12,,,,,
1793,1,,,,,
1793,2,,,,,
1793,3,,,,,
1793,4,,,,,
1793,5,,,,,
1793,6,,,,,
1793,7,,,,,
1793,8,,,,,
1793,9,,,,,
1793,10,,,,,
1793,11,,,,,
1793,12,,,,,
1794,1,,,,,
1794,2,,,,,
1794,3,,,,,
1794,4,,,,,
1794,5,,,,,
1794,6,,,,,
1794,7,,,,,
1794,8,,,,,
1794,9,,,,,
1794,10,,,,,
1794,11,,,,,
1794,12,,,,,
1795,1,,,,,
1795,2,,,,,
1795,3,,,,,
1795,4,,,,,
1795,5,,,,,
1795,6,,,,,
1795,7,,,,,
1795,8,,,,,
1795,9,,,,,
1795,10,,,,,
1795,11,,,,,
1795,12,,,,,
1796,1,,,,,
1796,2,,,,,
1796,3,,,,,
1796,4,,,,,
1796,5,,,,,
1796,6,,,,,
1796,7,,,,,
1796,8,,,,,
1796,9,,,,,
