Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1849,8,-0.492,,,,
1849,9,-0.996,-0.502,,,
1849,10,-1.521,-0.518,,,
1849,11,-0.249,-0.582,,,
1849,12,-0.621,-0.593,,,
1850,1,0.896,-0.597,,,
1850,2,0.226,-0.521,,,
1850,3,0.046,-0.438,,,
1850,4,-0.793,-0.328,,,
1850,5,-2.049,-0.379,,,
1850,6,-1.225,-0.55,,,
1850,7,-0.382,-0.654,,,
1850,8,0.422,-0.767,,,
1850,9,-0.005,-0.836,-0.715,,
1850,10,-0.197,-0.797,-0.701,,
1850,11,-0.864,-0.619,-0.692,,
1850,12,-2.681,-0.519,-0.69,,
1851,1,-0.344,-0.544,-0.685,,
1851,2,-1.138,-0.578,-0.692,,
1851,3,-0.782,-0.651,-0.684,,
1851,4,-0.323,-0.678,-0.693,,
1851,5,0.093,-0.752,-0.661,,
1851,6,-0.025,-0.606,-0.637,,
1851,7,-0.688,-0.8,-0.66,,
1851,8,0.015,-0.608,-0.66,,
1851,9,-0.876,-0.594,-0.66,,
1851,10,-0.527,-0.607,-0.66,,
1851,11,-1.753,-0.617,-0.653,,
1851,12,-0.929,-0.681,-0.652,-0.765,
1852,1,-2.67,-0.669,-0.664,-0.772,
1852,2,1.174,-0.718,-0.677,-0.769,
1852,3,-0.619,-0.718,-0.681,-0.761,
1852,4,-0.477,-0.772,-0.652,-0.781,
1852,5,-0.023,-0.725,-0.664,-0.782,
1852,6,-0.797,-0.611,-0.682,-0.779,
1852,7,-0.549,-0.54,-0.703,-0.779,
1852,8,-0.572,-0.783,-0.729,-0.774,
1852,9,-0.876,-0.851,-0.756,-0.779,
1852,10,-1.179,-0.812,-0.744,-0.784,
1852,11,-1.186,-0.815,-0.695,-0.781,
1852,12,0.441,-0.835,-0.687,-0.773,
1853,1,-1.819,-0.785,-0.704,-0.77,
1853,2,-1.739,-0.829,-0.734,-0.79,
1853,3,-1.441,-0.844,-0.76,-0.794,
1853,4,-0.001,-0.841,-0.787,-0.787,
1853,5,-0.067,-0.746,-0.785,-0.779,
1853,6,-1.03,-0.829,-0.753,-0.776,
1853,7,0.056,-0.779,-0.799,-0.778,
1853,8,-1.109,-0.698,-0.808,-0.782,
1853,9,-1.051,-0.516,-0.81,-0.778,
1853,10,-1.143,-0.566,-0.799,-0.768,
1853,11,-0.051,-0.631,-0.808,-0.769,
1853,12,-0.557,-0.634,-0.798,-0.765,
1854,1,-1.21,-0.726,-0.789,-0.777,
1854,2,-0.77,-0.736,-0.78,-0.763,
1854,3,0.744,-0.753,-0.794,-0.77,
1854,4,-0.606,-0.642,-0.814,-0.772,
1854,5,-0.841,-0.717,-0.816,-0.756,
1854,6,-1.075,-0.813,-0.837,-0.746,-0.745
1854,7,-1.04,-0.743,-0.818,-0.75,-0.745
1854,8,-1.237,-0.791,-0.83,-0.747,-0.739
1854,9,-1.248,-0.983,-0.833,-0.751,-0.731
1854,10,0.188,-0.936,-0.864,-0.748,-0.734
1854,11,-0.949,-0.796,-0.883,-0.746,-0.734
1854,12,-1.711,-0.768,-0.877,-0.765,-0.729
1855,1,-0.376,-0.797,-0.88,-0.783,-0.735
1855,2,-1.338,-0.807,-0.879,-0.796,-0.733
1855,3,-1.561,-0.837,-0.893,-0.804,-0.731
1855,4,-0.045,-1.003,-0.897,-0.801,-0.734
1855,5,0.842,-0.983,-0.887,-0.781,-0.727
1855,6,-0.745,-0.905,-0.912,-0.768,-0.723
1855,7,-1.385,-1.131,-0.891,-0.765,-0.722
1855,8,-1.352,-1.16,-0.882,-0.776,-0.718
1855,9,-1.608,-1.105,-0.872,-0.784,-0.712
1855,10,-1.813,-1.075,-0.873,-0.787,-0.707
1855,11,-0.705,-1.179,-0.866,-0.789,-0.703
1855,12,-0.767,-1.072,-0.862,-0.776,-0.693
1856,1,-3.095,-0.967,-0.871,-0.786,-0.693
1856,2,-1.683,-0.811,-0.872,-0.784,-0.696
1856,3,-0.9,-0.821,-0.872,-0.782,-0.698
1856,4,0.309,-0.81,-0.843,-0.779,-0.697
1856,5,-0.404,-0.907,-0.877,-0.785,-0.698
1856,6,0.536,-1.025,-0.893,-0.784,-0.699
1856,7,-0.122,-0.895,-0.893,-0.775,-0.702
1856,8,0.516,-0.718,-0.865,-0.779,-0.699
1856,9,-1.722,-0.712,-0.881,-0.78,-0.698
1856,10,-1.68,-0.931,-0.883,-0.789,-0.697
1856,11,-1.876,-0.995,-0.86,-0.77,-0.694
1856,12,-2.173,-1.074,-0.84,-0.755,-0.69
1857,1,-1.538,-1.124,-0.835,-0.723,-0.688
1857,2,0.433,-1.212,-0.818,-0.744,-0.689
1857,3,-0.827,-1.212,-0.822,-0.743,-0.684
1857,4,-2.318,-1.186,-0.844,-0.747,-0.684
1857,5,-1.171,-1.082,-0.829,-0.749,-0.679
1857,6,-0.406,-0.986,-0.849,-0.745,-0.675
1857,7,-0.726,-0.908,-0.863,-0.736,-0.672
1857,8,-0.534,-1.043,-0.862,-0.731,-0.666
1857,9,-1.732,-1.047,-0.852,-0.725,-0.661
1857,10,-1.369,-0.854,-0.858,-0.724,-0.655
1857,11,-0.623,-0.727,-0.867,-0.724,-0.651
1857,12,-1.025,-0.763,-0.849,-0.739,-0.635
1858,1,-0.598,-0.74,-0.826,-0.727,-0.633
1858,2,-1.182,-0.793,-0.818,-0.713,-0.641
1858,3,-0.875,-0.738,-0.808,-0.698,-0.638
1858,4,-0.013,-0.575,-0.787,-0.7,-0.635
1858,5,0.353,-0.696,-0.794,-0.705,-0.636
1858,6,-0.833,-0.736,-0.799,-0.699,-0.632
1858,7,-0.445,-0.789,-0.772,-0.708,-0.634
1858,8,-1.17,-0.613,-0.759,-0.709,-0.634
1858,9,-1.079,-0.557,-0.754,-0.707,-0.63
1858,10,0.594,-0.619,-0.759,-0.711,-0.628
1858,11,-2.075,-0.604,-0.763,-0.72,-0.626
1858,12,-1.506,-0.521,-0.77,-0.731,-0.623
1859,1,-1.244,-0.549,-0.761,-0.734,-0.625
1859,2,0.932,-0.468,-0.778,-0.73,-0.624
1859,3,-0.201,-0.503,-0.765,-0.746,-0.628
1859,4,-0.761,-0.645,-0.765,-0.748,-0.627
1859,5,0.537,-0.476,-0.723,-0.743,-0.624
1859,6,0.168,-0.593,-0.673,-0.737,-0.622
1859,7,-0.787,-0.589,-0.629,-0.734,-0.621
1859,8,-0.199,-0.776,-0.657,-0.725,-0.622
1859,9,-1.497,-0.841,-0.653,-0.714,-0.618
1859,10,-1.107,-0.811,-0.629,-0.727,-0.617
1859,11,-0.05,-0.83,-0.614,-0.733,-0.614
1859,12,-2.914,-0.817,-0.613,-0.725,-0.62
1860,1,-1.196,-0.75,-0.592,-0.732,-0.626
1860,2,-1.31,-0.807,-0.582,-0.725,-0.629
1860,3,-0.974,-0.766,-0.557,-0.719,-0.631
1860,4,-0.4,-0.72,-0.552,-0.723,-0.63
1860,5,0.311,-0.809,-0.561,-0.726,-0.621
1860,6,0.32,-0.655,-0.567,-0.721,-0.617
1860,7,0.016,-0.68,-0.563,-0.712,-0.617
1860,8,-0.883,-0.646,-0.543,-0.701,-0.623
1860,9,-1.009,-0.612,-0.524,-0.686,-0.622
1860,10,-0.552,-0.58,-0.527,-0.679,-0.625
1860,11,-1.115,-0.657,-0.545,-0.677,-0.624
1860,12,-1.068,-0.678,-0.536,-0.678,-0.624
1861,1,-1.492,-0.643,-0.545,-0.649,-0.627
1861,2,-0.909,-0.613,-0.545,-0.643,-0.624
1861,3,-0.566,-0.603,-0.541,-0.636,-0.622
1861,4,-0.014,-0.7,-0.578,-0.643,-0.622
1861,5,-0.617,-0.554,-0.563,-0.645,-0.623
1861,6,0.076,-0.395,-0.57,-0.655,-0.622
1861,7,0.431,-0.179,-0.574,-0.659,-0.619
1861,8,-0.516,-0.208,-0.594,-0.665,-0.616
1861,9,-0.898,-0.206,-0.611,-0.655,-0.613
1861,10,-1.709,-0.28,-0.612,-0.649,-0.615
1861,11,0.637,-0.253,-0.625,-0.634,-0.612
1861,12,0.84,-0.285,-0.635,-0.616,-0.611
1862,1,1.094,-0.276,-0.633,-0.603,-0.608
1862,2,-1.26,-0.231,-0.631,-0.609,-0.614
1862,3,-0.539,-0.174,-0.607,-0.608,-0.613
1862,4,-0.897,-0.122,-0.61,-0.588,-0.61
1862,5,-0.29,-0.27,-0.637,-0.577,-0.607
1862,6,-0.312,-0.455,-0.601,-0.57,-0.604
1862,7,0.538,-0.577,-0.602,-0.564,-0.604
1862,8,0.028,-0.473,-0.589,-0.559,-0.605
1862,9,-0.224,-0.402,-0.585,-0.542,-0.602
1862,10,-1.081,-0.343,-0.589,-0.526,-0.602
1862,11,-1.141,-0.381,-0.585,-0.521,-0.608
1862,12,-1.38,-0.381,-0.593,-0.497,-0.615
1863,1,-0.371,-0.507,-0.599,-0.496,-0.615
1863,2,-0.007,-0.608,-0.584,-0.492,-0.606
1863,3,0.319,-0.66,-0.564,-0.482,-0.599
1863,4,-0.198,-0.704,-0.571,-0.484,-0.605
1863,5,-0.737,-0.704,-0.559,-0.494,-0.604
1863,6,-0.315,-0.752,-0.558,-0.487,-0.603
1863,7,-0.978,-0.846,-0.526,-0.49,-0.605
1863,8,-1.18,-0.867,-0.527,-0.486,-0.605
1863,9,-0.852,-0.997,-0.517,-0.483,-0.603
1863,10,-1.606,-1.048,-0.527,-0.488,-0.603
1863,11,-1.149,-1.005,-0.527,-0.483,-0.609
1863,12,-1.953,-1.013,-0.539,-0.48,-0.608
1864,1,-1.497,-0.989,-0.558,-0.474,-0.603
1864,2,-0.258,-0.899,-0.553,-0.486,-0.601
1864,3,-1.239,-0.829,-0.545,-0.485,-0.604
1864,4,-0.813,-0.806,-0.533,-0.483,-0.612
1864,5,-0.224,-0.847,-0.544,-0.491,-0.611
1864,6,-0.412,-0.746,-0.558,-0.498,-0.608
1864,7,-0.681,-0.726,-0.577,-0.493,-0.608
1864,8,-0.103,-0.749,-0.561,-0.496,-0.601
1864,9,-0.011,-0.708,-0.563,-0.485,-0.6
1864,10,-1.329,-0.692,-0.546,-0.486,-0.603
1864,11,-1.645,-0.627,-0.54,-0.481,-0.6
1864,12,-0.741,-0.607,-0.528,-0.475,-0.594
1865,1,-1.257,-0.579,-0.536,-0.469,-0.6
1865,2,-0.536,-0.573,-0.536,-0.462,-0.598
1865,3,-0.749,-0.555,-0.527,-0.458,-0.594
1865,4,-0.622,-0.522,-0.5,-0.46,-0.599
1865,5,0.557,-0.421,-0.482,-0.46,-0.601
1865,6,-0.168,-0.44,-0.428,-0.465,-0.598
1865,7,-0.347,-0.301,-0.429,-0.47,-0.594
1865,8,-0.025,-0.337,-0.44,-0.469,-0.591
1865,9,0.205,-0.274,-0.44,-0.46,-0.591
1865,10,-0.941,-0.27,-0.442,-0.463,-0.585
1865,11,-0.432,-0.371,-0.443,-0.459,-0.582
1865,12,-0.963,-0.408,-0.439,-0.472,-0.578
1866,1,0.403,-0.437,-0.435,-0.469,-0.563
1866,2,-0.96,-0.453,-0.426,-0.464,-0.555
1866,3,-0.0,-0.508,-0.424,-0.462,-0.556
1866,4,-0.572,-0.512,-0.398,-0.465,-0.559
1866,5,-0.656,-0.477,-0.403,-0.461,-0.561
1866,6,-0.612,-0.398,-0.39,-0.46,-0.566
1866,7,-0.688,-0.435,-0.374,-0.463,-0.57
1866,8,-0.22,-0.378,-0.377,-0.453,-0.576
1866,9,-0.452,-0.432,-0.358,-0.447,-0.574
1866,10,-0.998,-0.378,-0.354,-0.441,-0.571
1866,11,-0.012,-0.316,-0.356,-0.455,-0.569
1866,12,-0.009,-0.23,-0.361,-0.467,-0.57
1867,1,-0.044,-0.17,-0.353,-0.493,-0.567
1867,2,-0.273,-0.149,-0.36,-0.484,-0.571
1867,3,-0.645,-0.086,-0.362,-0.482,-0.568
1867,4,0.068,0.046,-0.361,-0.474,-0.562
1867,5,0.093,0.041,-0.325,-0.466,-0.558
1867,6,0.422,0.196,-0.35,-0.463,-0.557
1867,7,0.028,0.162,-0.337,-0.472,-0.554
1867,8,0.029,0.132,-0.336,-0.479,-0.549
1867,9,0.307,0.21,-0.332,-0.478,-0.542
1867,10,0.592,0.18,-0.331,-0.48,-0.535
1867,11,-0.079,0.103,-0.336,-0.491,-0.537
1867,12,1.852,0.066,-0.338,-0.491,-0.538
1868,1,-0.454,-0.002,-0.341,-0.502,-0.539
1868,2,-0.632,-0.056,-0.354,-0.499,-0.536
1868,3,0.296,-0.143,-0.356,-0.499,-0.534
1868,4,-0.297,-0.194,-0.354,-0.51,-0.533
1868,5,-0.831,-0.311,-0.359,-0.503,-0.533
1868,6,-0.023,-0.563,-0.387,-0.506,-0.528
1868,7,-0.787,-0.567,-0.413,-0.502,-0.526
1868,8,-0.621,-0.555,-0.4,-0.501,-0.523
1868,9,-0.733,-0.585,-0.406,-0.499,-0.522
1868,10,-0.023,-0.609,-0.403,-0.494,-0.525
1868,11,-1.482,-0.569,-0.395,-0.498,-0.518
1868,12,-1.171,-0.628,-0.382,-0.484,-0.518
1869,1,-0.506,-0.576,-0.368,-0.473,-0.514
1869,2,-0.481,-0.571,-0.353,-0.472,-0.518
1869,3,-0.064,-0.521,-0.349,-0.463,-0.513
1869,4,-0.587,-0.624,-0.348,-0.475,-0.511
1869,5,-0.356,-0.457,-0.365,-0.479,-0.509
1869,6,-0.727,-0.546,-0.375,-0.479,-0.513
1869,7,-0.167,-0.544,-0.41,-0.482,-0.51
1869,8,-0.555,-0.541,-0.406,-0.478,-0.514
1869,9,-0.131,-0.577,-0.401,-0.486,-0.512
1869,10,-1.258,-0.577,-0.401,-0.479,-0.512
1869,11,0.522,-0.526,-0.391,-0.467,-0.513
1869,12,-2.238,-0.488,-0.397,-0.464,-0.5
1870,1,-0.482,-0.519,-0.407,-0.469,-0.494
1870,2,-0.45,-0.541,-0.421,-0.47,-0.495
1870,3,-0.5,-0.522,-0.429,-0.47,-0.495
1870,4,-0.582,-0.488,-0.46,-0.475,-0.496
1870,5,0.251,-0.59,-0.501,-0.477,-0.497
1870,6,-0.264,-0.625,-0.554,-0.474,-0.499
1870,7,-0.544,-0.68,-0.575,-0.476,-0.504
1870,8,-0.815,-0.66,-0.559,-0.48,-0.507
1870,9,0.093,-0.646,-0.558,-0.495,-0.508
1870,10,-0.847,-0.63,-0.578,-0.491,-0.512
1870,11,-0.7,-0.664,-0.562,-0.488,-0.516
1870,12,-2.664,-0.63,-0.574,-0.478,-0.515
1871,1,-1.134,-0.573,-0.569,-0.476,-0.518
1871,2,-0.216,-0.447,-0.576,-0.467,-0.517
1871,3,-0.329,-0.471,-0.575,-0.477,-0.517
1871,4,-0.393,-0.482,-0.591,-0.476,-0.518
1871,5,-0.153,-0.51,-0.594,-0.476,-0.516
1871,6,0.138,-0.337,-0.578,-0.478,-0.516
1871,7,0.137,-0.42,-0.572,-0.481,-0.519
1871,8,0.701,-0.407,-0.566,-0.487,-0.52
1871,9,-0.193,-0.409,-0.568,-0.493,-0.519
1871,10,-0.98,-0.368,-0.596,-0.492,-0.513
1871,11,-1.036,-0.298,-0.602,-0.504,-0.521
1871,12,-0.583,-0.307,-0.597,-0.524,-0.527
1872,1,-2.128,-0.364,-0.61,-0.531,-0.534
1872,2,-0.066,-0.491,-0.596,-0.534,-0.529
1872,3,-0.357,-0.49,-0.609,-0.529,-0.527
1872,4,0.101,-0.514,-0.597,-0.537,-0.526
1872,5,0.692,-0.637,-0.608,-0.539,-0.528
1872,6,0.029,-0.701,-0.578,-0.544,-0.53
1872,7,-0.546,-0.667,-0.6,-0.543,-0.534
1872,8,-0.823,-0.631,-0.605,-0.538,-0.539
1872,9,-0.184,-0.574,-0.607,-0.541,-0.544
1872,10,-1.267,-0.705,-0.618,-0.544,-0.541
1872,11,-2.507,-0.755,-0.618,-0.552,-0.541
1872,12,-1.354,-0.816,-0.611,-0.578,-0.542
1873,1,-1.72,-0.814,-0.611,-0.582,-0.547
1873,2,0.371,-0.829,-0.606,-0.581,-0.551
1873,3,0.321,-0.87,-0.634,-0.586,-0.557
1873,4,-1.476,-0.848,-0.627,-0.581,-0.56
1873,5,0.102,-0.775,-0.617,-0.572,-0.562
1873,6,-0.705,-0.679,-0.569,-0.568,-0.562
1873,7,-0.525,-0.553,-0.539,-0.562,-0.563
1873,8,-0.999,-0.59,-0.534,-0.561,-0.561
1873,9,-0.679,-0.631,-0.548,-0.562,-0.562
1873,10,-1.006,-0.701,-0.548,-0.563,-0.556
1873,11,-1.623,-0.768,-0.558,-0.553,-0.555
1873,12,-0.212,-0.745,-0.574,-0.557,-0.549
1874,1,-0.199,-0.781,-0.593,-0.554,-0.552
1874,2,-0.071,-0.672,-0.621,-0.549,-0.55
1874,3,-0.176,-0.692,-0.638,-0.542,-0.546
1874,4,-2.312,-0.654,-0.635,-0.538,-0.548
1874,5,-0.708,-0.531,-0.642,-0.528,-0.554
1874,6,-0.433,-0.549,-0.674,-0.529,-0.555
1874,7,-0.948,-0.682,-0.652,-0.527,-0.552
1874,8,0.3,-0.736,-0.661,-0.532,-0.556
1874,9,-0.908,-0.777,-0.656,-0.539,-0.558
1874,10,-0.552,-0.687,-0.673,-0.538,-0.555
1874,11,-0.149,-0.606,-0.686,-0.545,-0.553
1874,12,-0.43,-0.554,-0.691,-0.525,-0.553
1875,1,-1.793,-0.525,-0.679,-0.519,-0.555
1875,2,-0.719,-0.59,-0.655,-0.527,-0.557
1875,3,-0.67,-0.648,-0.652,-0.531,-0.556
1875,4,-1.231,-0.639,-0.627,-0.532,-0.554
1875,5,0.259,-0.633,-0.604,-0.533,-0.56
1875,6,0.189,-0.579,-0.601,-0.533,-0.561
1875,7,-0.595,-0.373,-0.589,-0.538,-0.562
1875,8,-0.487,-0.305,-0.603,-0.544,-0.564
1875,9,-1.602,-0.349,-0.614,-0.556,-0.567
1875,10,-0.443,-0.28,-0.585,-0.562,-0.568
1875,11,-0.082,-0.364,-0.581,-0.573,-0.569
1875,12,0.225,-0.447,-0.562,-0.557,-0.567
1876,1,0.675,-0.482,-0.554,-0.567,-0.575
1876,2,0.099,-0.522,-0.545,-0.57,-0.572
1876,3,-1.198,-0.491,-0.548,-0.573,-0.576
1876,4,-0.399,-0.521,-0.534,-0.57,-0.577
1876,5,-0.753,-0.634,-0.512,-0.571,-0.574
1876,6,-0.803,-0.862,-0.536,-0.571,-0.574
1876,7,-1.023,-0.987,-0.536,-0.575,-0.573
1876,8,-0.962,-1.046,-0.533,-0.587,-0.574
1876,9,-1.234,-0.947,-0.516,-0.592,-0.577
1876,10,-0.802,-0.991,-0.479,-0.584,-0.578
1876,11,-1.437,-0.939,-0.453,-0.587,-0.587
1876,12,-2.506,-0.89,-0.46,-0.587,-0.593
1877,1,-0.821,-0.795,-0.443,-0.574,-0.598
1877,2,-0.612,-0.663,-0.468,-0.575,-0.598
1877,3,-0.014,-0.56,-0.47,-0.573,-0.599
1877,4,-0.921,-0.471,-0.478,-0.577,-0.604
1877,5,-0.136,-0.445,-0.482,-0.591,-0.608
1877,6,-0.217,-0.337,-0.473,-0.598,-0.614
1877,7,0.117,-0.353,-0.438,-0.596,-0.619
1877,8,0.63,-0.336,-0.449,-0.599,-0.623
1877,9,0.005,-0.368,-0.454,-0.609,-0.628
1877,10,0.265,-0.266,-0.447,-0.602,-0.637
1877,11,-1.124,-0.228,-0.448,-0.591,-0.642
1877,12,-1.216,-0.175,-0.456,-0.592,-0.659
1878,1,-1.012,-0.187,-0.465,-0.591,-0.663
