Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,-0.297,-0.391,,,
1750,3,,-0.411,,,
1750,4,0.151,-0.433,,,
1750,5,-1.47,-0.758,,,
1750,6,-0.022,-0.793,,,
1750,7,0.678,-0.93,,,
1750,8,0.743,-1.186,,,
1750,9,,-1.217,,,
1750,10,-1.927,-1.359,,,
1750,11,-5.09,-1.306,,,
1750,12,-3.557,-1.373,,,
1751,1,-1.61,-1.319,,,
1751,2,-3.363,-1.326,,,
1751,3,1.408,-1.312,,,
1751,4,-1.551,-1.321,,,
1751,5,-0.838,-1.192,,,
1751,6,-0.827,-1.09,,,
1751,7,1.325,-1.136,,,
1751,8,0.665,-0.722,,,
1751,9,-0.376,-0.748,,,
1751,10,-2.043,-0.719,,,
1751,11,-3.542,-0.686,,,
1751,12,-2.331,-0.551,,,
1752,1,-2.16,-0.551,,,
1752,2,1.604,-0.664,,,
1752,3,1.095,,,,
1752,4,-1.195,,,,
1752,5,-0.442,,,,
1752,6,0.786,,,,
1752,7,1.333,,,,
1752,8,-0.702,,,,
1752,9,,,,,
1752,10,-0.68,,,,
1752,11,-0.389,,,,
1752,12,-1.284,,,,
1753,1,-0.743,,,,
1753,2,-1.325,,,,
1753,3,1.668,-0.35,,,
1753,4,-0.196,-0.311,,,
1753,5,0.175,-0.412,,,
1753,6,0.039,-0.683,,,
1753,7,0.02,-0.672,,,
1753,8,-0.841,-0.78,,,
1753,9,-0.644,-1.043,,,
1753,10,-0.21,-0.871,,,
1753,11,-1.602,-0.82,,,
1753,12,-4.541,-0.756,,,
1754,1,-0.609,-0.759,,,
1754,2,-2.619,-0.775,,,
1754,3,-1.484,-0.822,,,
1754,4,1.861,-0.77,,,
1754,5,0.784,-0.682,,,
1754,6,0.81,-0.349,,,
1754,7,-0.011,-0.45,,,
1754,8,-1.038,-0.53,,,
1754,9,-1.209,-0.47,,,
1754,10,0.42,-0.544,,,
1754,11,-0.553,-0.558,,,
1754,12,-0.54,-0.482,,,
1755,1,-1.824,-0.406,,,
1755,2,-3.575,-0.447,,,
1755,3,-0.771,-0.448,-0.229,,
1755,4,0.978,-0.395,-0.29,,
1755,5,0.617,-0.482,-0.313,,
1755,6,1.719,-0.572,-0.347,,
1755,7,0.908,-0.32,-0.413,,
1755,8,-1.537,0.208,-0.44,,
1755,9,-1.223,0.322,-0.48,,
