Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1820,9,-0.84,,,,
1820,10,-2.241,,,,
1820,11,-1.891,-0.38,,,
1820,12,-2.461,-0.542,,,
1821,1,1.41,-0.608,,,
1821,2,3.28,-0.479,,,
1821,3,1.08,-0.598,,,
1821,4,0.049,-0.562,,,
1821,5,-0.261,-0.463,,,
1821,6,-2.271,-0.349,,,
1821,7,-0.948,-0.61,,,
1821,8,-0.648,-0.762,,,
1821,9,-2.275,-0.575,,,
1821,10,-1.807,-0.537,,,
1821,11,-0.71,-0.549,,,
1821,12,-1.081,-0.431,,,
1822,1,-1.731,-0.357,,,
1822,2,1.457,-0.386,,,
1822,3,3.321,-0.314,,,
1822,4,0.505,-0.29,-0.657,,
1822,5,-0.402,-0.376,-0.644,,
1822,6,-0.855,-0.515,-0.576,,
1822,7,-0.056,-0.52,-0.502,,
1822,8,-0.993,-0.669,-0.498,,
1822,9,-1.411,-1.003,-0.504,,
1822,10,-1.519,-1.117,-0.515,,
1822,11,-1.752,-1.165,-0.514,,
1822,12,-2.746,-1.113,-0.5,,
1823,1,-1.79,-1.078,-0.52,,
1823,2,-0.33,-1.112,-0.513,,
1823,3,-0.69,-1.148,-0.521,,
1823,4,-0.857,-1.213,-0.505,,
1823,5,-0.98,-1.115,-0.462,,
1823,6,-0.233,-1.046,-0.443,,
1823,7,0.359,-0.912,-0.489,,
1823,8,-1.399,-0.8,-0.569,,
1823,9,-1.834,-0.714,-0.604,,
1823,10,-2.307,-0.571,-0.604,,
1823,11,-0.568,-0.442,-0.589,,
1823,12,-1.927,-0.457,-0.543,,
1824,1,-0.175,-0.473,-0.522,,
1824,2,1.008,-0.44,-0.532,,
1824,3,0.341,-0.372,-0.512,-0.497,
1824,4,0.863,-0.29,-0.493,-0.493,
1824,5,0.564,-0.247,-0.474,-0.494,
1824,6,-0.408,0.087,-0.442,-0.496,
1824,7,0.168,0.188,-0.404,-0.487,
1824,8,-1.005,0.095,-0.401,-0.487,
1824,9,-1.019,0.005,-0.429,-0.496,
1824,10,-1.325,-0.036,-0.428,-0.493,
1824,11,-0.05,-0.035,-0.41,-0.485,
1824,12,2.077,0.044,-0.382,-0.469,
1825,1,1.038,-0.085,-0.365,-0.425,
1825,2,-0.103,-0.147,-0.362,-0.401,
1825,3,-0.741,-0.173,-0.351,-0.406,
1825,4,0.367,-0.172,-0.338,-0.416,
1825,5,0.582,-0.109,-0.303,-0.43,
1825,6,0.543,-0.39,-0.271,-0.436,
1825,7,-1.381,-0.592,-0.294,-0.424,
1825,8,-1.75,-0.709,-0.309,-0.419,
1825,9,-1.341,-0.733,-0.292,-0.424,
1825,10,-1.306,-0.758,-0.28,-0.426,
1825,11,0.706,-0.753,-0.279,-0.401,
1825,12,-1.296,-0.76,-0.285,-0.375,
1826,1,-1.38,-0.616,-0.278,-0.396,
1826,2,-1.508,-0.575,-0.265,-0.454,
1826,3,-1.033,-0.554,-0.26,-0.483,
1826,4,0.064,-0.502,-0.232,-0.492,
1826,5,0.64,-0.524,-0.223,-0.494,
1826,6,0.462,-0.345,-0.197,-0.476,
1826,7,0.351,-0.184,-0.211,-0.471,
1826,8,-1.258,0.079,-0.243,-0.48,
1826,9,-1.095,0.3,-0.254,-0.478,
1826,10,-0.679,0.343,-0.287,-0.483,
1826,11,0.449,0.346,-0.309,-0.504,
1826,12,0.842,0.376,-0.324,-0.508,
1827,1,0.558,0.426,-0.325,-0.515,
1827,2,1.644,0.465,-0.329,-0.537,
1827,3,1.623,0.493,-0.34,-0.571,
1827,4,0.586,0.487,-0.33,-0.574,
1827,5,0.676,0.477,-0.326,-0.578,
1827,6,0.822,0.339,-0.362,-0.578,
1827,7,0.941,0.032,-0.348,-0.58,
1827,8,-0.789,-0.209,-0.304,-0.585,
1827,9,-0.758,-0.319,-0.308,-0.59,
1827,10,-0.745,-0.379,-0.316,-0.584,
1827,11,0.327,-0.51,-0.346,-0.578,
1827,12,-0.813,-0.627,-0.372,-0.587,
1828,1,-3.135,-0.644,-0.328,-0.591,
1828,2,-1.243,-0.628,-0.324,-0.596,
1828,3,0.304,-0.694,-0.327,-0.613,
1828,4,-0.135,-0.682,-0.346,-0.618,
1828,5,-0.901,-0.714,-0.34,-0.609,
1828,6,-0.577,-0.675,-0.307,-0.621,
1828,7,0.739,-0.496,-0.302,-0.621,-0.715
1828,8,-0.592,-0.473,-0.34,-0.619,-0.711
1828,9,-1.555,-0.523,-0.362,-0.608,-0.709
1828,10,-0.603,-0.604,-0.379,-0.603,-0.698
1828,11,-0.053,-0.595,-0.4,-0.602,-0.705
1828,12,-0.347,-0.656,-0.408,-0.601,-0.7
1829,1,-0.991,-0.707,-0.42,-0.638,-0.701
1829,2,-0.964,-0.761,-0.428,-0.652,-0.698
1829,3,-0.301,-0.771,-0.444,-0.639,-0.7
1829,4,-1.097,-0.781,-0.473,-0.652,-0.7
1829,5,-0.797,-0.762,-0.533,-0.654,-0.706
1829,6,-1.312,-0.739,-0.574,-0.655,-0.705
1829,7,0.124,-0.499,-0.626,-0.653,-0.699
1829,8,-1.235,-0.209,-0.673,-0.654,-0.695
1829,9,-1.678,-0.263,-0.713,-0.642,-0.692
1829,10,-0.725,-0.181,-0.72,-0.641,-0.699
1829,11,0.178,-0.22,-0.747,-0.63,-0.71
1829,12,-0.074,-0.192,-0.774,-0.65,-0.718
1830,1,1.89,-0.096,-0.795,-0.658,-0.71
1830,2,2.522,-0.123,-0.807,-0.636,-0.712
1830,3,-0.952,-0.109,-0.829,-0.642,-0.721
1830,4,-0.115,-0.253,-0.831,-0.639,-0.72
1830,5,-1.262,-0.179,-0.852,-0.649,-0.72
1830,6,-0.976,-0.114,-0.902,-0.669,-0.72
1830,7,1.273,-0.364,-0.889,-0.668,-0.716
1830,8,-1.562,-0.888,-0.884,-0.669,-0.706
1830,9,-1.511,-1.007,-0.933,-0.674,-0.705
1830,10,-2.45,-1.077,-0.956,-0.685,-0.71
1830,11,1.066,-1.021,-0.938,-0.702,-0.716
1830,12,0.713,-0.942,-0.958,-0.696,-0.713
1831,1,-1.11,-1.078,-0.964,-0.684,-0.739
1831,2,-3.768,-1.095,-0.973,-0.673,-0.749
1831,3,-2.384,-1.139,-0.956,-0.66,-0.772
1831,4,-0.953,-1.136,-0.975,-0.667,-0.782
1831,5,-0.593,-1.487,-0.981,-0.677,-0.784
1831,6,-0.025,-1.679,-1.006,-0.69,-0.779
1831,7,-0.358,-1.801,-1.066,-0.695,-0.774
1831,8,-1.765,-1.588,-1.061,-0.687,-0.775
1831,9,-2.046,-1.453,-1.025,-0.69,-0.77
1831,10,-2.405,-1.362,-1.017,-0.686,-0.768
1831,11,-3.152,-1.387,-0.998,-0.723,-0.781
1831,12,-1.591,-1.451,-0.986,-0.728,-0.796
1832,1,-2.569,-1.451,-0.98,-0.744,-0.792
1832,2,-1.212,-1.43,-0.979,-0.757,-0.797
1832,3,-0.766,-1.429,-0.944,-0.787,-0.801
1832,4,0.141,-1.301,-0.953,-0.813,-0.793
1832,5,-0.893,-1.116,-0.934,-0.824,-0.794
1832,6,-0.793,-1.305,-0.937,-0.846,-0.794
1832,7,-0.357,-1.283,-0.968,-0.846,-0.799
1832,8,-1.518,-1.261,-0.969,-0.838,-0.8
1832,9,-2.037,-1.42,-0.976,-0.841,-0.793
1832,10,,-1.559,-0.963,-0.842,-0.787
1832,11,-0.939,-1.47,-0.952,-0.87,-0.787
1832,12,-3.861,-1.548,-0.966,-0.859,-0.773
1833,1,-2.306,-1.487,-1.008,-0.87,-0.767
1833,2,-0.945,-1.457,-1.013,-0.867,-0.757
1833,3,-2.678,-1.331,-1.02,-0.887,-0.75
1833,4,-1.523,-1.403,-1.024,-0.889,-0.739
1833,5,0.18,-1.362,-1.064,-0.892,-0.739
1833,6,-1.736,-1.193,-1.086,-0.893,-0.747
1833,7,0.383,-1.385,-1.065,-0.885,-0.749
1833,8,-1.166,-1.36,-1.007,-0.878,-0.743
1833,9,-0.527,-0.981,-0.957,-0.876,-0.734
1833,10,-1.723,-0.904,-0.955,-0.873,-0.726
1833,11,-0.445,-0.894,-0.954,-0.886,-0.734
1833,12,-1.828,-0.8,-0.972,-0.882,-0.718
1834,1,-4.615,-0.788,-0.97,-0.891,-0.709
1834,2,-0.636,-0.787,-0.946,-0.881,-0.715
1834,3,1.864,-0.71,-0.935,-0.904,-0.711
1834,4,-0.602,-0.671,-0.898,-0.906,-0.718
1834,5,0.301,-0.523,-0.913,-0.918,-0.728
