Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,-1.336,-0.654,,,
1750,3,,-0.637,,,
1750,4,0.385,-0.575,,,
1750,5,-1.655,-0.783,,,
1750,6,0.06,-0.755,,,
1750,7,0.582,-0.807,,,
1750,8,0.62,-0.964,,,
1750,9,,-1.014,,,
1750,10,-0.761,-1.18,,,
1750,11,-3.915,-1.126,,,
1750,12,-2.891,-1.19,,,
1751,1,-2.008,-1.12,,,
1751,2,-3.216,-1.086,,,
1751,3,0.973,-1.071,,,
1751,4,-1.615,-1.12,,,
1751,5,-0.996,-1.095,,,
1751,6,-0.712,-1.075,,,
1751,7,1.421,-1.063,,,
1751,8,1.023,-0.683,,,
1751,9,-0.158,-0.735,,,
1751,10,-1.346,-0.697,,,
1751,11,-3.617,-0.672,,,
1751,12,-2.649,-0.491,,,
1752,1,-1.869,-0.534,,,
1752,2,1.346,-0.719,,,
1752,3,0.35,,,,
1752,4,-1.159,,,,
1752,5,-0.698,,,,
1752,6,1.467,,,,
1752,7,0.897,,,,
1752,8,-1.194,,,,
1752,9,,,,,
1752,10,-0.374,,,,
1752,11,-0.671,,,,
1752,12,-1.553,,,,
1753,1,-1.474,,,,
1753,2,-1.593,,,,
1753,3,0.944,-0.349,,,
1753,4,0.211,-0.344,,,
1753,5,0.196,-0.444,,,
1753,6,0.911,-0.531,,,
1753,7,0.631,-0.499,,,
1753,8,-0.741,-0.615,,,
1753,9,-0.675,-0.914,,,
1753,10,-0.316,-0.806,,,
1753,11,-1.866,-0.756,,,
1753,12,-2.602,-0.748,,,
1754,1,-1.084,-0.781,,,
1754,2,-2.986,-0.735,,,
1754,3,-2.643,-0.752,,,
1754,4,1.507,-0.648,,,
1754,5,0.796,-0.48,,,
1754,6,0.997,-0.3,,,
1754,7,0.236,-0.443,,,
1754,8,-0.181,-0.516,,,
1754,9,-0.886,-0.365,,,
1754,10,0.938,-0.281,,,
1754,11,0.15,-0.318,,,
1754,12,-0.44,-0.233,,,
1755,1,-2.799,-0.206,,,
1755,2,-3.867,-0.306,,,
1755,3,-0.833,-0.344,-0.251,,
1755,4,2.518,-0.352,-0.303,,
1755,5,0.351,-0.537,-0.329,,
1755,6,2.018,-0.562,-0.341,,
1755,7,0.554,-0.314,-0.386,,
1755,8,-1.378,0.132,-0.413,,
1755,9,-1.337,0.229,-0.439,,
1755,10,0.841,0.011,-0.452,,
1755,11,-2.072,0.013,-0.48,,
1755,12,-0.745,-0.042,-0.491,,
1756,1,0.176,-0.086,-0.525,,
1756,2,1.491,0.051,-0.544,,
1756,3,0.329,0.145,-0.568,,
1756,4,-0.097,0.02,-0.609,,
1756,5,0.381,-0.044,-0.589,,
1756,6,1.348,-0.158,-0.555,,
1756,7,0.026,-0.369,-0.512,,
1756,8,0.268,-0.451,-0.442,,
1756,9,-0.21,-0.521,-0.399,,
1756,10,-0.652,-0.447,-0.435,,
1756,11,-2.842,-0.396,-0.47,,
1756,12,-2.112,-0.325,-0.477,,
1757,1,-2.355,-0.086,-0.478,,
1757,2,0.504,0.044,-0.477,,
1757,3,-0.51,0.046,-0.466,,
1757,4,0.791,-0.189,-0.491,,
1757,5,0.994,-0.141,-0.557,,
1757,6,2.204,-0.155,-0.589,,
1757,7,2.883,-0.307,-0.577,,
1757,8,1.839,-0.614,-0.537,,
1757,9,-0.194,-0.626,-0.559,-0.53,
1757,10,-3.474,-0.739,-0.589,-0.539,
1757,11,-2.258,-0.943,-0.599,-0.539,
1757,12,-2.279,-1.109,-0.632,-0.554,
1758,1,-4.187,-1.463,-0.648,-0.572,
1758,2,-3.177,-1.773,-0.638,-0.563,
1758,3,-0.657,-1.934,-0.638,-0.59,
1758,4,-0.556,-1.874,-0.664,-0.596,
