Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,3,-0.2,,,,
1824,4,0.18,-0.674,,,
1824,5,-0.436,-0.56,,,
1824,6,,-0.411,,,
1824,7,0.212,-0.38,,,
1824,8,-0.817,-0.337,,,
1824,9,-0.966,-0.291,,,
1824,10,-1.261,-0.256,,,
1824,11,-0.325,-0.219,,,
1824,12,-0.009,-0.199,,,
1825,1,-0.006,-0.203,,,
1825,2,-0.29,-0.17,,,
1825,3,0.354,-0.18,,,
1825,4,0.596,-0.157,,,
1825,5,0.007,-0.131,,,
1825,6,0.117,-0.145,,,
1825,7,0.16,-0.21,-0.474,,
1825,8,-0.421,-0.278,-0.46,,
1825,9,-1.08,-0.393,-0.454,,
1825,10,-0.982,-0.46,-0.44,,
1825,11,-0.011,-0.461,-0.425,,
1825,12,-0.179,-0.523,-0.424,,
1826,1,,-0.545,-0.42,,
1826,2,-1.101,-0.591,-0.408,,
1826,3,-1.028,-0.612,-0.398,,
1826,4,-0.208,-0.62,-0.382,,
1826,5,-0.0,-0.616,-0.35,,
1826,6,,-0.541,-0.323,,
1826,7,-0.104,-0.472,-0.329,,
1826,8,-0.977,-0.363,-0.332,,
1826,9,-1.329,-0.245,-0.334,,
1826,10,-1.077,-0.175,-0.34,,
1826,11,0.039,-0.17,-0.334,,
1826,12,0.718,-0.126,-0.345,,
1827,1,0.042,-0.109,-0.35,,
1827,2,0.199,-0.099,-0.347,,
1827,3,0.39,-0.1,-0.35,,
1827,4,0.633,-0.104,-0.338,,
1827,5,0.063,-0.091,-0.343,,
1827,6,,-0.176,-0.352,,
1827,7,0.106,-0.251,-0.345,,
1827,8,-0.857,-0.338,-0.331,,
1827,9,-1.34,-0.39,-0.356,,
1827,10,-1.124,-0.448,-0.364,,
1827,11,0.186,-0.457,-0.383,,
1827,12,-0.295,-0.43,-0.397,,
1828,1,-0.859,-0.438,-0.39,,
1828,2,-0.849,-0.387,-0.393,,
1828,3,-0.229,-0.391,-0.401,,
1828,4,-0.074,-0.353,,,
1828,5,-0.045,-0.35,,,
1828,6,0.214,-0.342,,,
1828,7,0.016,-0.33,,,
1828,8,-0.241,-0.345,,,
1828,9,-1.388,-0.352,,,
1828,10,,-0.36,,,
1828,11,0.223,-0.365,,,
1828,12,-0.198,-0.447,,,
1829,1,-0.716,-0.456,,,
1829,2,-1.03,-0.487,,,
1829,3,-0.312,-0.467,,,
1829,4,-0.169,-0.458,,,
1829,5,-0.1,-0.526,,,
1829,6,,-0.554,,,
1829,7,-0.095,-0.464,,,
1829,8,-0.617,,,,
1829,9,-1.14,,,,
1829,10,,,,,
1829,11,-0.594,,,,
1829,12,-0.541,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,,,,,
1833,2,,,,,
1833,3,,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,,,,,
1836,8,,,,,
1836,9,,,,,
1836,10,,,,,
1836,11,,,,,
1836,12,,,,,
1837,1,,,,,
1837,2,,,,,
1837,3,,,,,
1837,4,,,,,
1837,5,,,,,
1837,6,,,,,
1837,7,,,,,
1837,8,,,,,
1837,9,,,,,
1837,10,,,,,
1837,11,,,,,
1837,12,,,,,
1838,1,,,,,
1838,2,,,,,
1838,3,,,,,
1838,4,,,,,
1838,5,,,,,
1838,6,,,,,
1838,7,,,,,
1838,8,,,,,
1838,9,,,,,
1838,10,,,,,
1838,11,,,,,
1838,12,,,,,
1839,1,,,,,
1839,2,,,,,
1839,3,,,,,
1839,4,,,,,
1839,5,,,,,
1839,6,,,,,
1839,7,,,,,
1839,8,,,,,
1839,9,,,,,
1839,10,,,,,
1839,11,,,,,
1839,12,,,,,
1840,1,,,,,
1840,2,,,,,
1840,3,,,,,
1840,4,,,,,
1840,5,,,,,
1840,6,,,,,
1840,7,,,,,
1840,8,,,,,
1840,9,,,,,
1840,10,,,,,
1840,11,,,,,
1840,12,,,,,
1841,1,,,,,
1841,2,,,,,
1841,3,,,,,
1841,4,,,,,
1841,5,,,,,
1841,6,,,,,
1841,7,,,,,
1841,8,,,,,
1841,9,,,,,
1841,10,,,,,
1841,11,,,,,
1841,12,,,,,
1842,1,,,,,
1842,2,,,,,
1842,3,,,,,
1842,4,,,,,
1842,5,,,,,
1842,6,,,,,
1842,7,,,,,
1842,8,,,,,
1842,9,,,,,
1842,10,,,,,
1842,11,,,,,
1842,12,,,,,
1843,1,,,,,
1843,2,,,,,
1843,3,,,,,
1843,4,,,,,
1843,5,,,,,
1843,6,,,,,
1843,7,,,,,
1843,8,,,,,
1843,9,,,,,
1843,10,,,,,
1843,11,,,,,
1843,12,,,,,
1844,1,,,,,
1844,2,,,,,
1844,3,,,,,
1844,4,,,,,
1844,5,,,,,
1844,6,,,,,
1844,7,,,,,
1844,8,,,,,
1844,9,,,,,
1844,10,,,,,
1844,11,,,,,
1844,12,,,,,
1845,1,-0.363,,,,
1845,2,-1.668,,,,
1845,3,-0.9,-0.941,,,
1845,4,-0.69,-1.035,,,
1845,5,-0.989,-1.003,,,
1845,6,-0.83,-1.009,,,
1845,7,-0.108,-0.954,,,
1845,8,-0.628,-0.819,,,
1845,9,-0.977,-0.708,,,
1845,10,,-0.744,,,
1845,11,,-0.705,,,
1845,12,,-0.646,,,
1846,1,0.293,-0.621,,,
1846,2,-0.048,-0.584,,,
1846,3,0.437,-0.547,,,
1846,4,-1.119,-0.498,,,
1846,5,-0.522,-0.491,,,
1846,6,-0.126,-0.347,-0.822,,
1846,7,0.195,-0.362,-0.814,,
1846,8,-0.188,-0.383,-0.8,,
1846,9,-0.533,-0.526,-0.79,,
1846,10,-1.092,-0.492,-0.788,,
1846,11,-1.173,-0.559,-0.786,,
1846,12,-0.287,-0.598,-0.782,,
1847,1,0.112,-0.644,-0.776,,
1847,2,-0.305,-0.675,-0.768,,
1847,3,-1.277,-0.681,-0.759,,
1847,4,-0.702,-0.657,-0.758,,
1847,5,-1.331,-0.612,-0.746,,
1847,6,-0.595,-0.74,-0.73,,
1847,7,-0.358,-0.89,-0.746,,
1847,8,-0.552,-0.891,-0.727,,
1847,9,-0.608,-0.864,-0.721,-0.772,
1847,10,-0.811,-0.859,-0.727,-0.769,
1847,11,-0.628,-0.848,-0.731,-0.767,
1847,12,-1.818,-0.852,-0.728,-0.772,
1848,1,-1.695,-0.817,-0.727,-0.777,
1848,2,-0.32,-0.84,-0.72,-0.793,
1848,3,-0.945,-0.863,-0.71,-0.792,
1848,4,-0.65,-0.855,-0.698,-0.791,
1848,5,-1.191,-0.88,-0.696,-0.784,
1848,6,-0.649,-0.802,-0.677,-0.778,
1848,7,0.059,-0.696,-0.688,-0.777,
1848,8,-0.821,-0.736,-0.701,-0.777,
1848,9,-0.887,-0.689,-0.729,-0.776,
1848,10,-0.72,-0.753,-0.728,-0.778,
1848,11,-0.923,-0.755,-0.733,-0.774,
1848,12,-0.887,-0.765,-0.739,-0.775,
1849,1,-0.415,-0.785,-0.737,-0.773,
1849,2,-0.807,-0.763,-0.741,-0.77,
1849,3,-0.376,-0.764,-0.746,-0.77,
1849,4,-1.421,-0.743,-0.736,-0.768,
1849,5,-1.207,-0.742,-0.732,-0.763,
1849,6,-0.78,-0.752,-0.74,-0.761,
1849,7,-0.179,-0.827,-0.757,-0.757,
1849,8,-0.548,-0.803,-0.77,-0.755,
1849,9,-0.901,-0.816,-0.777,-0.751,
1849,10,-0.469,-0.789,-0.782,-0.748,
1849,11,-0.917,-0.791,-0.766,-0.742,
1849,12,-1.01,-0.778,-0.764,-0.73,
1850,1,-1.309,-0.766,-0.764,-0.733,
1850,2,-0.522,-0.741,-0.764,-0.724,
1850,3,-0.528,-0.696,-0.765,-0.724,-0.823
1850,4,-1.1,-0.736,-0.766,-0.725,-0.824
1850,5,-1.224,-0.754,-0.773,-0.724,-0.826
1850,6,-0.626,-0.741,-0.755,-0.719,-0.829
1850,7,-0.034,-0.664,-0.734,-0.725,-0.83
1850,8,-0.256,-0.692,-0.754,-0.723,-0.83
1850,9,-0.353,-0.752,-0.75,-0.723,-0.83
1850,10,-0.954,-0.746,-0.749,-0.716,-0.826
1850,11,-1.133,-0.713,-0.741,-0.709,-0.821
1850,12,-0.859,-0.703,-0.738,-0.696,-0.818
1851,1,-0.383,-0.675,-0.742,-0.696,-0.817
1851,2,-0.851,-0.688,-0.742,-0.701,-0.817
1851,3,-1.255,-0.728,-0.743,-0.71,-0.813
1851,4,-1.021,-0.689,-0.745,-0.707,-0.809
1851,5,-0.833,-0.672,-0.74,-0.708,-0.809
1851,6,-0.502,-0.663,-0.728,-0.711,-0.811
1851,7,0.301,-0.709,-0.733,-0.714,-0.812
1851,8,-0.413,-0.729,-0.741,-0.718,-0.812
1851,9,-0.834,-0.763,-0.75,-0.722,-0.808
1851,10,-0.49,-0.764,-0.748,-0.717,-0.807
1851,11,-0.927,-0.725,-0.739,-0.713,-0.803
1851,12,-0.741,-0.721,-0.739,-0.717,-0.801
1852,1,-0.94,-0.776,-0.738,-0.728,-0.803
1852,2,-1.088,-0.786,-0.741,-0.739,-0.803
1852,3,-1.666,-0.772,-0.742,-0.736,-0.808
1852,4,-1.039,-0.807,-0.739,-0.742,-0.813
1852,5,-0.356,-0.817,-0.739,-0.742,-0.81
1852,6,-0.458,-0.815,-0.731,-0.743,-0.809
1852,7,-0.363,-0.772,-0.72,-0.744,-0.806
1852,8,-0.534,-0.809,-0.722,-0.747,-0.806
1852,9,-0.667,-0.731,-0.727,-0.754,-0.804
1852,10,-0.911,-0.691,-0.722,-0.758,-0.801
1852,11,-1.047,-0.722,-0.716,-0.762,-0.8
1852,12,-0.715,-0.725,-0.711,-0.755,-0.805
1853,1,-0.418,-0.71,-0.723,-0.752,-0.809
1853,2,-1.537,-0.734,-0.726,-0.758,-0.813
1853,3,-0.726,-0.757,-0.735,-0.761,-0.815
1853,4,-0.564,-0.751,-0.735,-0.765,-0.816
1853,5,-0.727,-0.712,-0.723,-0.764,-0.812
1853,6,-0.491,-0.67,-0.715,-0.77,-0.809
1853,7,-0.181,-0.691,-0.705,-0.775,-0.81
1853,8,-0.824,-0.671,-0.701,-0.774,-0.809
1853,9,-0.94,-0.689,-0.691,-0.775,-0.808
1853,10,-0.844,-0.749,-0.686,-0.778,-0.808
1853,11,-0.579,-0.747,-0.682,-0.776,-0.808
1853,12,-0.215,-0.768,-0.683,-0.78,-0.813
1854,1,-0.661,-0.765,-0.69,-0.784,-0.812
1854,2,-1.3,-0.754,-0.694,-0.789,-0.811
1854,3,-0.944,-0.758,-0.697,-0.799,-0.812
1854,4,-1.289,-0.71,-0.698,-0.797,-0.809
1854,5,-0.693,-0.737,-0.694,-0.792,-0.806
1854,6,-0.747,-0.763,-0.694,-0.792,-0.804
1854,7,-0.149,-0.763,-0.699,-0.798,-0.805
1854,8,-0.69,-0.71,-0.707,-0.801,-0.804
1854,9,-0.982,-0.698,-0.696,-0.801,-0.8
1854,10,-0.271,-0.658,-0.702,-0.804,-0.798
1854,11,-0.905,-0.672,-0.717,-0.805,-0.793
1854,12,-0.528,-0.639,-0.721,-0.804,-0.789
1855,1,-0.654,-0.688,-0.724,-0.797,-0.786
1855,2,-0.675,-0.668,-0.731,-0.802,-0.783
1855,3,-0.799,-0.663,-0.743,-0.808,-0.784
1855,4,-0.8,-0.717,-0.749,-0.807,-0.785
1855,5,-0.866,-0.674,-0.751,-0.804,-0.782
1855,6,-0.344,-0.663,-0.755,-0.807,-0.781
1855,7,-0.743,-0.592,-0.77,-0.807,-0.781
1855,8,-0.448,-0.586,-0.762,-0.813,-0.779
1855,9,-0.918,-0.576,-0.772,-0.818,-0.777
1855,10,-0.919,-0.569,-0.781,-0.817,-0.771
1855,11,-0.393,-0.545,-0.787,-0.816,-0.768
1855,12,-0.391,-0.564,-0.802,-0.817,-0.762
1856,1,0.198,-0.509,-0.807,-0.827,-0.765
1856,2,-0.606,-0.528,-0.805,-0.828,-0.768
1856,3,-0.676,-0.536,-0.807,-0.826,-0.777
1856,4,-0.721,-0.507,-0.81,-0.824,-0.776
1856,5,-0.576,-0.53,-0.812,-0.824,-0.776
1856,6,-0.571,-0.557,-0.831,-0.831,-0.777
1856,7,-0.092,-0.681,-0.836,-0.837,-0.779
1856,8,-0.669,-0.758,-0.838,-0.836,-0.78
1856,9,-1.013,-0.787,-0.848,-0.833,-0.779
1856,10,-0.568,-0.844,-0.845,-0.833,-0.776
1856,11,-0.679,-0.901,-0.844,-0.83,-0.775
1856,12,-0.711,-0.912,-0.846,-0.831,-0.775
1857,1,-1.286,-0.948,-0.857,-0.835,-0.778
1857,2,-1.53,-0.973,-0.862,-0.833,-0.782
1857,3,-1.024,-1.002,-0.86,-0.829,-0.779
1857,4,-1.402,-1.06,-0.869,-0.832,-0.779
1857,5,-1.261,-1.102,-0.872,-0.832,-0.775
1857,6,-0.702,-1.121,-0.877,-0.835,-0.775
1857,7,-0.534,-1.126,-0.874,-0.834,-0.775
1857,8,-0.962,-1.083,-0.882,-0.836,-0.775
1857,9,-1.364,-1.11,-0.89,-0.836,-0.775
1857,10,-1.267,-1.085,-0.892,-0.833,-0.774
1857,11,-1.184,-1.072,-0.892,-0.833,-0.773
1857,12,-0.931,-1.126,-0.902,-0.838,-0.766
1858,1,-1.351,-1.126,-0.892,-0.842,-0.76
1858,2,-1.019,-1.103,-0.899,-0.833,-0.762
1858,3,-1.348,-1.078,-0.901,-0.837,-0.764
1858,4,-1.091,-1.059,-0.899,-0.842,-0.763
1858,5,-1.111,-1.017,-0.909,-0.84,-0.759
1858,6,-1.349,-1.053,-0.919,-0.84,-0.758
1858,7,-0.532,-1.017,-0.95,-0.844,-0.759
1858,8,-0.688,-1.054,-0.955,-0.842,-0.757
1858,9,-1.069,-1.071,-0.96,-0.841,-0.753
1858,10,-1.035,-1.071,-0.962,-0.839,-0.75
1858,11,-0.683,-1.03,-0.966,-0.841,-0.747
1858,12,-1.357,-0.989,-0.979,-0.85,-0.743
1859,1,-0.918,-1.012,-0.984,-0.852,-0.743
1859,2,-1.464,-1.037,-0.979,-0.852,-0.743
1859,3,-1.55,-1.019,-0.97,-0.854,-0.745
1859,4,-1.093,-1.001,-0.967,-0.85,-0.741
1859,5,-0.624,-1.038,-0.965,-0.85,-0.736
1859,6,-0.856,-0.99,-0.969,-0.848,-0.732
1859,7,-0.808,-0.957,-0.972,-0.852,-0.729
1859,8,-0.986,-0.931,-0.96,-0.854,-0.727
1859,9,-0.859,-0.908,-0.962,-0.849,-0.725
1859,10,-0.81,-0.891,-0.961,-0.847,-0.723
1859,11,-1.128,-0.91,-0.947,-0.845,-0.722
1859,12,-0.786,-0.92,-0.948,-0.847,-0.722
1860,1,-0.514,-0.862,-0.945,-0.84,-0.72
