Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1787,2,0.468,,,,
1787,3,0.294,,,,
1787,4,-0.489,,,,
1787,5,-0.35,,,,
1787,6,0.618,,,,
1787,7,-1.738,,,,
1787,8,-0.901,,,,
1787,9,,,,,
1787,10,,,,,
1787,11,,,,,
1787,12,,,,,
1788,1,,,,,
1788,2,,,,,
1788,3,,,,,
1788,4,,,,,
1788,5,,,,,
1788,6,,,,,
1788,7,,,,,
1788,8,,,,,
1788,9,,,,,
1788,10,,,,,
1788,11,,,,,
1788,12,-1.875,,,,
1789,1,,,,,
1789,2,-0.349,,,,
1789,3,-0.884,,,,
1789,4,-0.788,,,,
1789,5,-0.279,,,,
1789,6,-0.151,,,,
1789,7,-0.454,-0.484,,,
1789,8,-0.734,-0.441,,,
1789,9,-0.292,-0.346,,,
1789,10,-1.071,-0.318,,,
1789,11,-0.971,-0.413,,,
1789,12,-0.009,-0.359,,,
1790,1,0.176,-0.373,,,
1790,2,0.167,-0.341,,,
1790,3,0.259,-0.343,,,
1790,4,-0.459,-0.282,,,
1790,5,-1.416,-0.251,,,
1790,6,0.496,-0.214,,,
1790,7,-0.625,-0.169,,,
1790,8,-0.347,-0.232,,,
1790,9,-0.316,-0.198,,,
1790,10,-0.338,-0.076,,,
1790,11,-0.604,-0.064,,,
1790,12,0.433,-0.159,,,
1791,1,0.718,-0.152,,,
1791,2,-0.591,-0.101,,,
1791,3,0.668,-0.054,,,
1791,4,1.014,-0.084,,,
1791,5,-1.273,-0.038,,,
1791,6,-0.645,-0.056,,,
1791,7,-0.543,-0.208,,,
1791,8,0.269,-0.097,,,
1791,9,0.237,-0.155,,,
1791,10,-0.692,,,,
1791,11,-0.048,,,,
1791,12,0.216,,,,
1792,1,-1.108,,,,
1792,2,0.736,,,,
1792,3,,,,,
1792,4,,,,,
1792,5,,,,,
1792,6,,,,,
1792,7,,,,,
1792,8,,,,,
1792,9,,,,,
1792,10,,,,,
1792,11,,,,,
1792,12,,,,,
1793,1,,,,,
1793,2,,,,,
1793,3,0.144,,,,
1793,4,0.577,,,,
1793,5,0.029,,,,
1793,6,,,,,
1793,7,,,,,
1793,8,-0.306,,,,
1793,9,,,,,
1793,10,,,,,
1793,11,-0.108,,,,
1793,12,-0.188,,,,
1794,1,0.185,,,,
1794,2,,,,,
1794,3,1.236,,,,
1794,4,1.227,-0.135,,,
1794,5,0.397,-0.107,,,
1794,6,-1.588,-0.093,,,
1794,7,-1.777,0.013,,,
1794,8,-0.758,0.147,,,
1794,9,-0.358,0.115,,,
1794,10,0.36,0.107,,,
1794,11,0.23,0.164,,,
1794,12,-0.021,,,,
1795,1,1.455,,,,
1795,2,1.367,,,,
1795,3,0.851,,,,
1795,4,1.133,,,,
1795,5,,,,,
1795,6,,,,,
1795,7,,,,,
1795,8,,,,,
1795,9,,,,,
1795,10,,,,,
1795,11,,,,,
1795,12,,,,,
1796,1,,,,,
1796,2,,,,,
1796,3,,,,,
1796,4,,,,,
1796,5,,,,,
1796,6,,,,,
1796,7,,,,,
1796,8,,,,,
1796,9,,,,,
1796,10,,,,,
1796,11,,,,,
1796,12,,,,,
1797,1,,,,,
1797,2,,,,,
1797,3,,,,,
1797,4,,,,,
1797,5,,,,,
1797,6,,,,,
1797,7,,,,,
