Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1889,2,0.513,,,,
1889,3,-0.155,0.022,,,
1889,4,0.396,-0.063,,,
1889,5,0.524,-0.096,,,
1889,6,0.181,-0.074,,,
1889,7,0.138,-0.084,,,
1889,8,-0.535,-0.164,,,
1889,9,-0.184,-0.224,,,
1889,10,-0.983,-0.343,,,
1889,11,-0.478,-0.477,,,
1889,12,-0.022,-0.523,,,
1890,1,-0.405,-0.572,,,
1890,2,-0.447,-0.561,,,
1890,3,-0.879,-0.564,,,
1890,4,-1.023,-0.596,,,
1890,5,,-0.659,-0.466,,
1890,6,,-0.778,-0.459,,
1890,7,-0.455,-0.859,-0.455,,
1890,8,-0.403,-0.912,-0.455,,
1890,9,-0.222,-0.942,-0.451,,
1890,10,-1.368,-0.888,-0.452,,
1890,11,-1.228,-0.841,-0.461,,
1890,12,-1.455,-0.822,-0.467,,
1891,1,-1.375,-0.793,-0.474,,
1891,2,-1.075,-0.831,-0.473,,
1891,3,-1.246,-0.852,-0.466,,
1891,4,-0.374,-0.817,-0.483,,
1891,5,-0.52,-0.79,-0.487,,
1891,6,-0.141,-0.722,-0.492,,
1891,7,-0.103,-0.654,-0.507,,
1891,8,-0.863,-0.649,-0.527,-0.479,
1891,9,-0.478,-0.558,-0.526,-0.475,
1891,10,-0.952,-0.557,-0.555,-0.471,
1891,11,-0.897,-0.523,-0.571,-0.47,
1891,12,-0.641,-0.487,-0.577,-0.467,
1892,1,-0.554,-0.477,-0.578,-0.465,
1892,2,-1.023,-0.455,-0.571,-0.463,
1892,3,-0.148,-0.395,-0.576,-0.455,
1892,4,-0.366,-0.328,-0.56,-0.454,
1892,5,-0.105,-0.263,-0.553,-0.451,
1892,6,0.285,-0.251,-0.575,-0.446,
1892,7,0.017,-0.28,-0.589,-0.436,
1892,8,-0.598,-0.285,-0.599,-0.428,
1892,9,0.245,-0.328,-0.589,-0.421,
1892,10,-0.153,-0.344,-0.573,-0.41,
1892,11,-0.112,-0.435,-0.561,-0.396,
1892,12,-0.497,-0.509,-0.563,-0.399,
1893,1,-0.9,-0.555,-0.544,-0.388,
1893,2,-1.083,-0.498,-0.534,-0.39,
