Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1879,2,-0.974,,,,
1879,3,-1.127,,,,
1879,4,-1.052,,,,
1879,5,-0.109,,,,
1879,6,-0.325,-0.777,,,
1879,7,-0.785,-0.848,,,
1879,8,,-0.928,,,
1879,9,,-0.977,,,
1879,10,,-1.034,,,
1879,11,-1.069,-1.05,,,
1879,12,-1.705,,,,
1880,1,-2.026,,,,
1880,2,-1.935,-1.02,,,
1880,3,-1.723,-1.062,,,
1880,4,-1.738,-1.071,,,
1880,5,-0.294,-1.007,,,
1880,6,,-0.935,,,
1880,7,0.019,-0.839,-0.585,,
1880,8,-0.548,-0.737,-0.589,,
1880,9,-0.986,-0.688,-0.607,,
1880,10,-0.344,-0.666,-0.619,,
1880,11,-0.299,-0.71,-0.619,,
1880,12,-0.843,-0.765,-0.628,,
1881,1,-0.869,-0.9,-0.637,,
1881,2,-0.715,-0.89,-0.657,,
1881,3,-1.133,-0.82,-0.653,,
1881,4,-1.477,-0.779,-0.647,,
1881,5,-0.819,-0.794,-0.657,,
1881,6,-1.162,-0.72,-0.653,,
1881,7,-1.603,-0.609,-0.645,,
1881,8,-0.428,-0.489,-0.633,,
1881,9,-0.148,-0.46,-0.636,,
1881,10,0.143,-0.393,-0.633,-0.439,
1881,11,-0.47,-0.36,-0.636,-0.439,
1881,12,0.039,-0.312,-0.639,-0.432,
1882,1,0.466,-0.231,-0.65,-0.438,
1882,2,0.721,-0.207,-0.647,-0.438,
1882,3,-0.783,-0.231,-0.655,-0.445,
1882,4,-0.679,-0.335,-0.661,-0.438,
1882,5,-0.412,-0.322,-0.658,-0.432,
1882,6,-0.59,-0.387,-0.631,-0.437,
1882,7,-0.629,-0.519,-0.608,-0.455,
1882,8,-0.142,-0.581,-0.575,-0.466,
1882,9,-0.436,-0.561,-0.559,-0.465,
1882,10,-1.109,-0.524,-0.545,-0.471,
1882,11,-0.314,-0.493,-0.541,-0.469,
1882,12,-0.731,-0.449,-0.528,-0.47,
1883,1,-1.128,-0.43,-0.517,-0.468,
1883,2,-0.018,-0.51,-0.505,-0.47,
1883,3,-0.538,-0.511,-0.49,-0.477,
1883,4,-0.239,-0.445,-0.487,-0.487,
1883,5,-0.037,-0.45,-0.489,-0.499,
1883,6,-0.071,-0.445,-0.482,-0.509,
1883,7,-0.401,-0.413,-0.478,-0.524,
1883,8,-1.093,-0.432,-0.463,-0.526,
1883,9,-0.457,-0.497,-0.453,-0.524,
1883,10,-0.315,-0.547,-0.435,-0.519,
1883,11,-0.375,-0.568,-0.402,-0.528,
1883,12,-0.672,-0.602,-0.363,-0.525,
1884,1,-0.735,-0.691,-0.328,-0.521,
1884,2,-0.251,-0.609,-0.317,-0.51,
1884,3,-1.313,-0.649,-0.314,-0.502,
1884,4,-0.841,-0.675,-0.328,-0.493,
1884,5,-0.292,-0.718,-0.328,-0.488,-0.469
