Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1816,4,-1.169,,,,
1816,5,-0.417,,,,
1816,6,-1.412,-1.683,,,
1816,7,-1.91,-1.723,,,
1816,8,-1.273,-1.463,,,
1816,9,-2.315,-1.5,,,
1816,10,-3.221,-1.421,,,
1816,11,-2.235,-1.542,,,
1816,12,-1.712,-1.646,,,
1817,1,-0.605,-1.625,,,
1817,2,-0.48,-1.589,,,
1817,3,-1.245,-1.668,,,
1817,4,-0.227,-1.599,,,
1817,5,-1.867,-1.527,,,
1817,6,-2.657,-1.555,-1.494,,
1817,7,-1.659,-1.557,-1.537,,
1817,8,-0.849,-1.643,-1.556,,
1817,9,-3.263,-1.587,-1.541,,
1817,10,-2.386,-1.546,-1.517,,
1817,11,-1.379,-1.404,-1.505,,
1817,12,-2.039,-1.244,-1.476,,
1818,1,-0.636,-1.221,-1.482,,
1818,2,-1.511,-1.239,-1.492,,
1818,3,-0.573,-1.193,-1.494,,
1818,4,0.267,-1.192,-1.489,,
1818,5,-0.159,-1.191,-1.478,,
1818,6,-0.746,-1.135,-1.469,,
1818,7,-1.382,-1.278,-1.463,,
1818,8,-1.063,-1.304,-1.392,,
1818,9,-2.706,-1.397,-1.381,-1.165,
1818,10,-2.382,-1.588,-1.366,-1.169,
1818,11,-1.36,-1.674,-1.363,-1.186,
1818,12,-1.373,-1.736,-1.354,-1.181,
1819,1,-2.343,-1.717,-1.334,-1.172,
1819,2,-1.831,-1.741,-1.326,-1.165,
1819,3,-1.685,-1.648,-1.325,-1.144,
1819,4,-2.023,-1.568,-1.297,-1.132,
1819,5,-1.198,-1.55,-1.274,-1.116,
1819,6,-1.48,-1.609,-1.256,-1.111,
1819,7,-1.16,-1.701,-1.233,-1.095,
1819,8,-1.354,-1.727,-1.204,-1.091,
1819,9,-1.59,-1.665,-1.151,-1.081,
1819,10,-1.414,-1.502,-1.159,-1.08,
1819,11,-1.154,-1.434,-1.13,-1.09,
1819,12,-2.072,-1.402,-1.1,-1.103,
1820,1,-3.447,-1.363,-1.079,-1.096,
1820,2,-2.148,-1.353,-1.079,-1.091,
