Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,2.6,0.188,,,
1750,3,2.675,0.243,,,
1750,4,0.458,0.173,,,
1750,5,-0.088,-0.023,,,
1750,6,-0.031,-0.146,,,
1750,7,1.32,-0.111,,,
1750,8,-0.129,-0.576,,,
1750,9,0.203,-0.705,,,
1750,10,-2.523,-0.813,,,
1750,11,-3.646,-0.888,,,
1750,12,-1.667,-0.908,,,
1751,1,-0.505,-1.015,,,
1751,2,-2.974,-1.011,,,
1751,3,1.125,-1.137,,,
1751,4,-0.844,-1.061,,,
1751,5,-0.989,-0.972,,,
1751,6,-0.262,-0.909,,,
1751,7,0.031,-0.873,,,
1751,8,-0.086,-0.613,,,
1751,9,-1.301,-0.682,,,
1751,10,-1.62,-0.662,,,
1751,11,-2.577,-0.661,,,
1751,12,-0.907,-0.534,,,
1752,1,-0.075,-0.505,,,
1752,2,0.156,-0.517,,,
1752,3,0.295,,,,
1752,4,-0.608,,,,
1752,5,-0.971,,,,
1752,6,1.26,,,,
1752,7,0.372,,,,
1752,8,-0.226,,,,
1752,9,,,,,
1752,10,-0.769,,,,
1752,11,0.188,,,,
1752,12,0.194,,,,
1753,1,-2.739,,,,
1753,2,-0.148,,,,
1753,3,1.32,-0.159,,,
1753,4,0.405,-0.112,,,
1753,5,-0.0,-0.283,,,
1753,6,0.968,-0.404,,,
1753,7,0.091,-0.224,,,
1753,8,-1.247,-0.327,,,
1753,9,-0.166,-0.711,,,
1753,10,-0.212,-0.805,,,
1753,11,-1.861,-0.72,,,
1753,12,-1.26,-0.823,,,
1754,1,-0.578,-0.935,,,
1754,2,-1.387,-0.854,,,
1754,3,-3.283,-0.918,,,
1754,4,-0.723,-0.888,,,
1754,5,1.013,-0.748,,,
1754,6,-0.261,-0.697,,,
1754,7,-1.258,-0.976,,,
1754,8,-0.268,-1.187,,,
1754,9,-0.942,-1.051,,,
1754,10,0.147,-0.777,,,
1754,11,-0.172,-0.923,,,
1754,12,-0.655,-0.719,,,
1755,1,-3.928,-0.59,,,
1755,2,-3.917,-0.698,,,
1755,3,-1.649,-0.751,-0.43,,
1755,4,2.563,-0.845,-0.479,,
1755,5,-0.734,-0.908,-0.475,,
1755,6,2.187,-0.829,-0.502,,
1755,7,0.29,-0.301,-0.512,,
1755,8,-1.562,0.184,-0.514,,
1755,9,-1.579,0.33,-0.54,,
1755,10,-0.982,-0.013,-0.565,,
1755,11,-0.928,-0.058,-0.532,,
1755,12,0.294,-0.111,-0.537,,
1756,1,2.404,-0.041,-0.567,,
1756,2,1.907,0.019,-0.541,,
1756,3,0.093,0.191,-0.566,,
1756,4,-1.55,0.181,-0.598,,
1756,5,-1.268,0.048,-0.582,,
1756,6,1.546,-0.257,-0.567,,
1756,7,1.133,-0.713,-0.522,,
1756,8,-0.842,-0.885,-0.461,,
1756,9,0.486,-0.928,-0.391,,
1756,10,-1.104,-0.715,-0.372,,
1756,11,-2.519,-0.645,-0.399,,
1756,12,-3.375,-0.694,-0.38,,
1757,1,-3.067,-0.506,-0.323,,
1757,2,-0.153,-0.392,-0.311,,
1757,3,-0.42,-0.511,-0.304,,
1757,4,1.0,-0.732,-0.305,,
1757,5,-0.427,-0.484,-0.356,,
1757,6,0.956,-0.322,-0.409,,
1757,7,3.394,-0.343,-0.396,,
1757,8,0.526,-0.353,-0.348,,
1757,9,-0.947,-0.338,-0.343,-0.371,
1757,10,-3.753,-0.515,-0.378,-0.397,
1757,11,0.462,-0.312,-0.367,-0.416,
1757,12,-1.438,-0.336,-0.387,-0.446,
1758,1,-3.321,-0.761,-0.394,-0.466,
1758,2,-0.274,-0.781,-0.382,-0.452,
1758,3,-0.233,-0.841,-0.349,-0.475,
1758,4,-1.12,-0.706,-0.351,-0.485,
1758,5,2.009,-0.818,-0.343,-0.498,
1758,6,0.659,-0.727,-0.32,-0.508,
1758,7,-1.704,-0.276,-0.368,-0.51,
1758,8,0.284,-0.066,-0.371,-0.499,
1758,9,-1.657,0.033,-0.339,-0.511,
1758,10,-2.135,0.162,-0.309,-0.53,
1758,11,-0.884,-0.058,-0.268,-0.523,
1758,12,-0.35,-0.04,-0.274,-0.505,
1759,1,2.097,0.282,-0.297,-0.483,
1759,2,2.243,0.295,-0.264,-0.453,
1759,3,0.957,0.392,-0.263,-0.436,
1759,4,0.425,0.576,-0.301,-0.432,
1759,5,-0.629,0.382,-0.273,-0.429,
1759,6,0.877,0.092,-0.276,-0.435,
1759,7,2.155,-0.348,-0.205,-0.414,
1759,8,0.441,-0.62,-0.211,-0.422,
1759,9,-0.495,-0.81,-0.253,-0.433,
1759,10,0.078,-0.81,-0.227,-0.454,
1759,11,-3.214,-0.764,-0.206,-0.467,
1759,12,-3.83,-0.756,-0.218,-0.476,
1760,1,-3.184,-0.943,-0.269,-0.435,
1760,2,-1.02,-1.05,-0.31,-0.43,
1760,3,-1.325,-0.974,-0.312,-0.406,
1760,4,0.429,-1.075,-0.315,-0.42,
1760,5,-0.082,-0.843,-0.358,-0.42,
1760,6,0.976,-0.386,-0.39,-0.437,
1760,7,-0.096,-0.162,-0.421,-0.452,
1760,8,-0.838,0.071,-0.39,-0.439,
1760,9,0.414,0.348,-0.41,-0.435,
1760,10,-1.135,0.331,-0.405,-0.43,
1760,11,-0.422,0.441,-0.464,-0.436,
1760,12,1.657,0.457,-0.48,-0.458,
1761,1,-0.5,0.445,-0.454,-0.5,
1761,2,1.77,0.606,-0.458,-0.53,
1761,3,2.001,0.619,-0.455,-0.534,
1761,4,0.228,0.433,-0.462,-0.508,
1761,5,1.234,0.397,-0.464,-0.499,
1761,6,1.167,-0.038,-0.444,-0.512,
1761,7,-0.234,0.103,-0.445,-0.521,
1761,8,1.091,-0.086,-0.444,-0.515,
1761,9,0.573,-0.499,-0.481,-0.52,
1761,10,-3.374,-0.306,-0.493,-0.521,
1761,11,-0.848,-0.338,-0.459,-0.503,
1761,12,-3.57,-0.417,-0.491,-0.493,
1762,1,1.195,-0.365,-0.506,-0.517,
1762,2,-0.497,-0.622,-0.533,-0.496,
1762,3,-2.951,-0.756,-0.563,-0.495,
1762,4,2.539,-0.803,-0.602,-0.516,
1762,5,0.849,-0.908,-0.578,-0.526,
1762,6,0.227,-0.89,-0.544,-0.548,
1762,7,0.383,-1.421,-0.475,-0.585,
1762,8,-1.986,-1.248,-0.511,-0.59,
1762,9,-1.044,-1.124,-0.469,-0.58,-0.606
1762,10,-3.928,-1.402,-0.462,-0.556,-0.598
1762,11,-2.11,-1.599,-0.472,-0.55,-0.593
1762,12,-3.355,-1.645,-0.486,-0.559,-0.593
1763,1,-5.182,-1.687,-0.51,-0.562,-0.575
1763,2,1.579,-1.518,-0.496,-0.56,-0.581
1763,3,-1.463,-1.557,-0.522,-0.573,-0.587
1763,4,-0.798,-1.442,-0.51,-0.567,-0.587
1763,5,-1.514,-1.351,-0.529,-0.585,-0.586
1763,6,-0.322,-0.999,-0.595,-0.593,-0.592
1763,7,-0.121,-0.396,-0.633,-0.578,-0.594
1763,8,0.044,-0.337,-0.689,-0.583,-0.586
1763,9,-1.52,-0.319,-0.73,-0.585,-0.586
1763,10,-2.544,-0.278,-0.707,-0.582,-0.584
1763,11,-1.018,-0.032,-0.73,-0.578,-0.577
1763,12,0.875,-0.092,-0.749,-0.577,-0.569
1764,1,2.052,0.022,-0.746,-0.593,-0.575
1764,2,2.284,-0.082,-0.765,-0.615,-0.567
1764,3,-1.242,-0.144,-0.778,-0.627,-0.549
1764,4,-0.31,-0.125,-0.741,-0.627,-0.541
1764,5,1.437,-0.185,-0.733,-0.626,-0.543
1764,6,-1.036,-0.408,-0.71,-0.644,-0.54
1764,7,1.242,-0.497,-0.829,-0.662,-0.535
1764,8,-1.201,-0.956,-0.782,-0.674,-0.533
1764,9,-2.26,-0.75,-0.736,-0.675,-0.536
1764,10,-2.32,-0.657,-0.804,-0.709,-0.539
1764,11,-1.741,-0.83,-0.846,-0.688,-0.556
1764,12,-1.797,-0.734,-0.878,-0.655,-0.563
1765,1,0.984,-0.963,-0.902,-0.634,-0.547
1765,2,-3.223,-0.863,-0.869,-0.624,-0.518
1765,3,1.223,-0.771,-0.848,-0.639,-0.507
1765,4,0.811,-0.611,-0.798,-0.659,-0.516
1765,5,-0.64,-0.598,-0.741,-0.662,-0.514
1765,6,0.121,-0.641,-0.728,-0.679,-0.514
1765,7,-1.514,-0.952,-0.703,-0.683,-0.511
1765,8,-0.002,-0.82,-0.73,-0.672,-0.502
1765,9,-1.157,-0.957,-0.736,-0.669,-0.49
1765,10,-0.401,-0.893,-0.729,-0.67,-0.488
1765,11,-1.581,-0.851,-0.707,-0.675,-0.494
1765,12,-2.31,-0.859,-0.706,-0.684,-0.495
1766,1,-2.744,-0.737,-0.703,-0.699,-0.533
1766,2,-1.645,-0.743,-0.708,-0.733,-0.536
1766,3,-0.42,-0.66,-0.716,-0.782,-0.532
1766,4,1.582,-0.724,-0.701,-0.813,-0.522
1766,5,-0.14,-0.624,-0.692,-0.809,-0.523
1766,6,0.025,-0.611,-0.709,-0.82,-0.527
1766,7,-0.047,-0.881,-0.742,-0.822,-0.526
1766,8,-0.075,-0.547,-0.787,-0.846,-0.522
1766,9,-0.161,-0.53,-0.773,-0.859,-0.528
1766,10,-1.174,-0.788,-0.762,-0.838,-0.526
1766,11,-0.376,-0.915,-0.794,-0.844,-0.519
1766,12,-2.157,-1.059,-0.798,-0.806,-0.509
1767,1,-5.981,-1.145,-0.818,-0.831,-0.504
1767,2,2.357,-1.138,-0.815,-0.83,-0.513
1767,3,-0.214,-1.11,-0.788,-0.812,-0.51
1767,4,-1.519,-1.088,-0.816,-0.844,-0.52
1767,5,-1.663,-0.948,-0.798,-0.867,-0.517
1767,6,-1.703,-0.981,-0.766,-0.861,-0.524
1767,7,-1.076,-0.792,-0.793,-0.864,-0.541
1767,8,0.016,-0.99,-0.737,-0.85,-0.542
1767,9,0.166,-1.126,-0.81,-0.841,-0.54
1767,10,-0.9,-1.03,-0.856,-0.799,-0.527
1767,11,1.298,-0.907,-0.852,-0.77,-0.526
1767,12,-2.552,-0.787,-0.872,-0.739,-0.527
1768,1,-3.713,-0.691,-0.855,-0.684,-0.521
1768,2,-0.025,-0.713,-0.849,-0.71,-0.526
1768,3,-1.838,-0.893,-0.815,-0.698,-0.528
1768,4,-0.369,-0.958,-0.83,-0.689,-0.518
1768,5,-0.189,-1.106,-0.822,-0.675,-0.521
1768,6,-0.26,-0.906,-0.774,-0.675,-0.521
1768,7,0.078,-0.587,-0.766,-0.677,-0.503
1768,8,-0.251,-0.619,-0.776,-0.673,-0.501
1768,9,-1.993,-0.502,-0.833,-0.662,-0.502
1768,10,-1.68,-0.441,-0.919,-0.638,-0.506
1768,11,-0.476,-0.465,-0.888,-0.631,-0.501
1768,12,-0.159,-0.551,-0.891,-0.633,-0.489
1769,1,0.122,-0.555,-0.898,-0.667,-0.507
1769,2,-0.415,-0.621,-0.927,-0.68,-0.503
1769,3,-0.435,-0.504,-0.941,-0.662,-0.499
1769,4,0.365,-0.697,-0.935,-0.65,-0.492
1769,5,-0.473,-0.713,-0.955,-0.658,-0.483
1769,6,-1.291,-0.691,-0.903,-0.644,-0.488
1769,7,0.022,-0.756,-0.833,-0.655,-0.492
1769,8,-1.037,-0.707,-0.879,-0.644,-0.485
1769,9,-0.588,-0.935,-0.888,-0.638,-0.477
1769,10,-3.999,-1.127,-0.884,-0.625,-0.472
1769,11,-0.664,-1.122,-0.889,-0.645,-0.459
1769,12,0.1,-1.105,-0.844,-0.649,-0.442
1770,1,-0.662,-1.149,-0.826,-0.658,-0.445
1770,2,0.179,-1.029,-0.83,-0.607,-0.448
1770,3,-3.173,-0.909,-0.834,-0.609,-0.431
1770,4,-1.939,-0.683,-0.799,-0.612,-0.436
1770,5,-0.408,-0.719,-0.8,-0.608,-0.43
1770,6,-1.09,-0.679,-0.751,-0.591,-0.435
1770,7,-0.506,-0.815,-0.665,-0.57,-0.433
1770,8,0.406,-1.017,-0.689,-0.565,-0.42
1770,9,0.851,-1.074,-0.661,-0.544,-0.42
1770,10,-1.294,-1.207,-0.648,-0.545,-0.416
1770,11,-1.087,-1.03,-0.643,-0.553,-0.421
1770,12,0.571,-0.954,-0.644,-0.532,-0.437
1771,1,-2.292,-0.95,-0.652,-0.565,-0.442
